,cid,votes,含hate,含hate中文翻译
11942,UgxwDHPBM4vw2MBHlWF4AaABAg,0,"whenever i watch her videos, i will scroll down the comment just to read positive comments and it pains me when all i see is hates and ""china propaganda"" like bitch who cares if it's propaganda or not, is liziqi promoting her stuffs here? no? she's just showing us her fantasy life. get off the fucking internet yall close minded shits",每当我观看她的视频时，我都会向下滚动评论只是为了阅读积极的评论，当我看到的只是讨厌和“中国宣传”时，我会像bit子一样，让我感到痛苦，他是否在乎，如果是在乎宣传，liziqi是否在这里宣传她的东西？不？她只是向我们展示了她的幻想生活。脱离他妈的互联网
18273,UgzD23PikbPTDnMvWut4AaABAg.92Y3ad_4C4k92Z-I5RrlGC,0,you are just such hater and idiot,你只是这样的仇恨和白痴
18328,Ugx53Zl9ycoHajVKjKN4AaABAg,0,i dont know why chinese hate her. they tell her show poor of china. its not true. i think it is the tradition value of life in asian.,我不知道为什么中国人讨厌她。他们告诉她表演中国穷人。这不是真的。我认为这是亚洲生活的传统价值。
18343,Ugx53Zl9ycoHajVKjKN4AaABAg.92WwcGl8LRb92ZIqER_edc,0,no chinese hates her.,没有中国人讨厌她。
18348,Ugyx6K5-MFt8_NXZsDx4AaABAg.92WmOfrdVfQ92_X9wN5Jvx,0,"​ @valenciabbk lets talk facts and civilized: 
1. i am and will be a chinese whatever in looking or paper. and dissappointly not in any party . i am physically and psychologically intact not blind in anyway. i dont like the word 'blind' u used, which is very offensive and disgrace.
2. hongkong is a beautiful modern and democracy city as many other citys in china and hopefully will be so soon again. all chinese (included inland chinese) had/has the right to go to the street to speak out their different thoughts/demands. you never heard? pls do research or learn history from the books even youtube instead of the official westen medien. 
3. violence was/is/will not be tolerent in any country in this world. 
4. independence of taiwan? oh, big question and frankly i dont really care it happens or not because i have no idea what and how will everything change based on my poor knowledge about politics and financial aspects. you should better ask the people who live there. i hope oneday i could visit my taiwan-friends, only the reason of food is enough. 


suggestions for u to learn more about china and more if u are interested:
https://www.youtube.com/channel/ucaslyjhr4wc7qhyuaivxb6g
https://www.youtube.com/channel/ucvvik8oq2vnzsci4vr9o4dg
https://www.youtube.com/channel/ucgrhgv7atbftqk8dxwidktg


god bless more peace and happiness for this insane world. this talk is ended from my side. bye...","@valenciabbk让我们谈论事实并文明：
1.无论外观或纸张，我都是中国人。并且在任何政党中都不感到失望。无论如何，我在身体和心理上都不是盲目的。我不喜欢您使用的“盲人”一词，这非常令人反感和耻辱。
2.香港是一座美丽的现代和民主城市，就像中国的许多其他城市一样，希望再次如此。所有中国人（包括内陆中国人）都有/有权上街说出他们不同的想法/需求。你从未听说过吗？请在YouTube而不是官方Westen Medien中从书籍中进行研究或学习历史。
3.暴力是/is/is/ins/is in in in in in in in in ins in in is in is in is in is ins in is/is is in is in in th这个国家的任何国家都不会容忍。
4.台湾独立？哦，大问题，坦率地说，我真的不在乎它是否会发生，还是因为我不知道一切都会根据我对政治和财务方面的知识而发生什么变化。您应该最好问住在那里的人。我希望我可以拜访我的台湾朋友，只有食物的原因就足够了。


建议您了解有关中国的更多信息，如果您有兴趣，更多有关中国的信息：
https://www.youtube.com/channel/ucaslyjhr4wc7qhyuaivxb6g
https://www.youtube.com/channel/ucvvik8oq2vnzsci4vr9o4dg
https://www.youtube.com/channel/ucgrhgv7atbftqk8dxwidktg


上帝保佑这个疯狂的世界更多的和平与幸福。这场演讲是从我身边结束的。再见..."
18582,UgwS-xxE_3Yaiy1TMD54AaABAg,0,"bought this liziqi luosifen from tmall shop when i am watching this vidio. this is that kind of food you smell it you hate it, after first bite you will fall in love with it.",当我看这个Vidio时，从Tmall Shop购买了这个Liziqi Luosifen。这就是您讨厌它的那种食物，第一次咬人后，您会爱上它。
18628,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92ipmqOidIo,0,"@alexandernorrie said that if you can't use vpn, the criminal is really laughing. lao tzu suspects that you are only 16. lao tzu tells you that i will work in a state -owned military industry enterprise. when she is an official, her mother uses vpn to work. you can tell me that it is a criminal based on law. you fucking is afraid that he has never even been to the network? the chinese communist party has given me a moisturizing life now. i am too grateful to be too late. only the abandoned waste and the dead mother will hate the chinese communist party so much. you are one of them.",@alexandernorrie 还说什么不能用VPN用了就是罪犯真是笑死老子了，老子怀疑你年龄不过16。老子告诉你，我就在国营军工企业上班，当官的都她妈用VPN办公你搁这跟我说依据法律就是罪犯，你他妈怕是连网吧都没去过吧？中共给了我现在中产滋润的生活我感激还来不及，也就只有被生活抛弃的废物和死妈轮子会这么恨中共，你也就是他们的一员
16922,UgwkOVUO2hyyb75qMtt4AaABAg.92q2MqjoPUj92xiCre2ynG,0,i dont understand this but whateverit is and because of her i agree with you. ☺,我不明白这一点，但是无论如何，我同意你的看法。 ☺
16809,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI9383HiDF2Iy,0,dont think about it too much people hate for no reason,不要考虑太多的人无缘无故讨厌
16402,Ugzh1lJ1iaoKvh0xrj94AaABAg.92voVh6WAp292wgF2aL99e,0,"brother taiwan hates the heavenly dynasty, so he hates everything in the dynasty, so his eyes are blinded, and you turn a blind eye to see beautiful things. don't you think it's sad to live in hatred?",兄台你痛恨天朝，所以痛恨天朝的一切，于是双眼被蒙蔽，对美好的事物视而不见。你不觉得一直活在憎恨中很可悲？
16085,UgzQdaJLJmqNR6bgn7h4AaABAg,0,"all your ccp haters go fuck yourself. the world is a better place because of the socialists and communists. you don't know the truth about world history because you are 100% brainwashed. you westerners tried to colonize the world, and guess who stopped you?",您所有的CCP仇恨者都会他妈的自己。由于社会主义者和共产主义者，世界是一个更好的地方。您不知道关于世界历史的真相，因为您100％被洗脑了。您的西方人试图殖民世界，猜猜谁阻止了您？
15979,Ugxa_eREMvfiTNCdUdJ4AaABAg,0,capitalist will hate this video because every food here is free,资本家会讨厌这个视频，因为这里的每种食物都是免费的
15568,UgyndjDkVe1nRUSIFul4AaABAg.93AbhU5avkO948kQONjQMT,0,i hate rural life but after saw her video think reconsider of my hate. but all rural areas are not such beautiful :(,我讨厌乡村生活，但是看到她的视频思考重新考虑我的仇恨。但是所有农村地区都不是那么美丽:(
15429,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9AdQhael_6Q,0,"strait arrow 
who gave you the self confidence to say “i just made one statement”? do i need to remind you again that making statements require supportive evidence, especially when you are accusing others? look at the random titles and random accusations you made against random targets, none of them have supportive evidence really. don’t copy my words but seeing you biting around i frankly think the metaphor was quite suitable to you. i hate to repeat my word but do pay respect to those who work hard behind the scene, and take responsibility for your own words.","海峡箭头
谁给了您自信地说“我刚刚发表了一句话”？我是否需要再次提醒您，制作陈述需要支持证据，尤其是在指责别人的情况下？查看您针对随机目标的随机标题和随机指控，它们实际上都没有支持证据。不要复制我的话，但是看到你在咬我的话，坦率地认为隐喻非常适合您。我讨厌重复我的话，但请尊重那些在现场努力工作的人，并对自己的话负责。"
15361,Ugx2bhZldjuBDcXJq7x4AaABAg,0,"woman gathered whatever shit from the garden, she stuck",女人收集了花园里的任何东西，她卡住了
14792,UgyFsGA-8sk0qg3dqhV4AaABAg.93x2w4qvmA1940leB7lMND,0,"strait arrow those english speaker in comment section said this is all fake chinese propaganda ect, only make me hate them more, ugly ppl with ugly mind, started their history with slavery & rob & river of blood, no wonder they won't believe chinese is out of their aggressive world, pathetic",海峡箭头在评论部分中说这都是假的中国宣传，只会让我更讨厌他们，丑陋的头脑丑陋的ppl，从奴隶制和罗布和河上开始了他们的历史，难怪他们不会相信中国人不在他们侵略性世界中，可悲
14177,UgyhIxeeyWFxPGzKlJJ4AaABAg,0,i hate people who eat meat. taste on tongue cannot remove by people. looking like beautiful angel but inside is demon soul sitted.,我讨厌吃肉的人。舌头的味道不能被人们消除。看起来像美丽的天使，但里面是恶魔灵魂。
14049,UgzHNczVbVIUdGhWwT54AaABAg,0,this is the lifestyle that i've dreamed of...i hate city life in korea so much. i want happy and rural life with nature.,这是我梦dream以求的生活方式...我非常讨厌韩国的城市生活。我想要大自然的幸福和乡村生活。
13892,Ugz6GXKhjxJ8CHteMRJ4AaABAg,0,whatever it is but awesome,不管是不可思议的
13863,UgwtUIWGzgLnNmNQw7V4AaABAg,0,"i do not believe that ths is an impoverished unfortunate soul. ths woman is of noble means, which is why she able to find & harvest fresh original bamboo shoots ages old for their size & able too harvest fresh river shellfish . but i am not a hater. i appreciate & admire her fortune to be able to share with the global community her blessings and happenstance. it's a relief to those of us less fortunate fighters of presence & human being. i have subscribed to this channel. i am an african-american blk male taking pleasure in viewing this asian woman sharing her story to the world. i know she is much more than she appears...but she holds to her legacy of tradition & privilege by sharing her views to the world. a most beautiful & amazing view from her post. i pray she honors and give respect to the lives of the souls who sustain her privileges that we do not see on you tube!",我不相信Ths是一个贫穷的不幸灵魂。这位女人是高尚的手段，这就是为什么她能够找到并收获新鲜的原始竹芽，因为她们的尺寸是老化的，并且能够收获新鲜的河贝类。但是我不是仇恨者。我感谢并钦佩她的命运，能够与全球社区分享她的祝福和偶然性。这让我们中的那些人不幸的战斗机和人类感到欣慰。我已经订阅了这个频道。我是一名非裔美国人的男性男性，很高兴观看这位亚洲妇女向世界分享她的故事。我知道她比她看起来更重要……但是她通过向世界分享自己的观点来掌握自己的传统和特权。她的帖子中最美丽，最神奇的景色。我祈祷她的荣誉，并尊重灵魂的生活，这些灵魂维持她在你看来没有看到的特权！
13418,UgztkoLJwqXBeChDgmB4AaABAg,0,"i hate that y'all label her as a housewife, like sure i get she can do many things for her grandma and herself but just the meaning behind housewife is so annoying, how dare you disrespect queen liziqi like that, she's obviously an independent woman who even does so called ""man work"" no housewife here, just and independent woman who happens to know many things and cares for her grandma",我讨厌你们把她标记为家庭主妇，就像我确定的那样，她可以为奶奶和她做很多事情，但是只是家庭主妇背后的含义真是太烦人了，你多么敢于不尊重皇后liziqi，她显然是一个独立的女人甚至在这里做“男人工作”的人，在这里没有家庭主妇，正义和独立的女人恰好知道许多事情和照顾她的祖母
13031,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk96tQnm_upY2,0,"the best of both worlds then the precmsent technological advances in comunication, health care is a must for human survivaval coupled with worryless life in habitats like this, 
well i hate life in the city,, and prefer places like this but cant relinquish some of the mordern stuff


stuff we can do is, denouncing plastic, trying to grow stuffs for own food, and planting more trees, more lakes","在两全其美的情况下，最好的卫生保健是人类的预先技术进步，以及在这样的栖息地中的无忧生活，这是一个必不可少的生活。
好吧，我讨厌这座城市的生活，更喜欢这样的地方，但不能放弃一些Mordern的东西


我们能做的就是谴责塑料，试图种植自己的食物，种植更多的树木，更多的湖泊"
12759,Ugw39L5nsNrciYxc7Sd4AaABAg,0,i really hate the vietsubs and then jostle the cute. but fucking cheeks is disgusting. each time i have to turn off vietsub. proposal next time vietsub is normal,我真的很讨厌vietsubs，然后徘徊可爱。但是他妈的脸颊令人恶心。每次我都必须关闭Vietsub。下次vietsub的提案正常
12651,UgxiMtojtmmntJb-4tR4AaABAg,0,"this food is very popular in china, some people really love it,but some hate it, because it smells disgusting,but it tastes really good,when you start,you cannot stop（when i cook at home, my parents think i am cooking shit",这种食物在中国很受欢迎，有些人真的很喜欢它，但是有些人讨厌它，因为它闻起来很恶心，但是味道真的很好，当您开始时，您不能停止（当我在家做饭时，我的父母认为我在做饭（屎
35028,Ugy5fBUsOcgtGCYsuCJ4AaABAg,0,"most hate watching, just uploaded already deleted and then uploaded again hadehhh",最讨厌的观看，刚刚上传已经删除，然后再次上传了Hadehhh
