,cid,votes,time,含grandma,含grandma中文翻译
20963,UgzDA7LvsQaDocWgzfh4AaABAg.944JVs0uHe0949vfDbs7pc,12,3 years ago,"cherry w. mann i was thinking the same too. but she had been living in city before. she know how to do photo and etx. she is liziqi girl who raised by her grandma, then going to the capital city(beijing)to take her career, later she was going back to village in sichuan, china to take care of her grandma.
she is hoping that all of people who are living in city know how the food come from.","Cherry W. Mann我也在想。但是她以前曾住在城市。她知道如何拍照和ETX。她是Liziqi女孩，她是由祖母抚养长大的，然后去首都（北京）去职业生涯，后来她回到中国四川的村庄照顾祖母。
她希望所有住在城市的人都知道食物的来源。"
23443,UgyBcEe4ZLjPJ1F1iEt4AaABAg,12,3 years ago,i love the scary sound of popcorn machine made and the happiness it brings. the scene is full of joy and love. wish you and your grandma a very happy new year! ps granny's hat is soooooo cute!,我喜欢爆米花机的可怕声音及其带来的幸福。场景充满喜悦和爱。祝您和您的祖母新年快乐！ PS Granny的帽子太可爱了！
11133,UgyhnTAQJRhVGJusNgx4AaABAg,11,2 years ago,i love your little dogs and have 2 of my own i love with all my heart. you do so much for your grandma and family. i admire what you do.,我爱你的小狗，有2个我全心全意地爱。您为祖母和家人做了很多事情。我很欣赏你的工作。
12777,Ugzjf-Y-ybc39244_Sx4AaABAg,10,2 years ago,"shes been blessed!! looking after her elderly grandparents is a blessing, living of the farm and watching her work and care for her grandma is so enjoyable to watch god bless her❤️",她很幸运！照顾她的年迈的祖父母是一种祝福，农场的生活，看着她的工作和照顾祖母，看着上帝祝福赫❤️
45872,UgzO7lfQRj8y3zVrhVZ4AaABAg,9,4 years ago,"man these videos are so refreshing and addictive. every single element is excellently executed in such detail from the recipes, the emotional angle (the grandma/ family relationship, how to be resourceful/ independent etc), the camera shots to the editing. i hope you never stop uploading, as i'll never tire of these. hope you are well, happy new year",这些视频是如此令人耳目一新和上瘾。每个元素都可以从食谱，情感角度（奶奶/家庭关系，如何机智/独立等）中进行如此详细地执行。希望您永远不会停止上传，因为我永远不会厌倦这些。希望你一切都好，新年快乐
25352,UgwJVpehKaKELcdYy8p4AaABAg.9-RhCpaDX1W90Lk2jMzBox,9,3 years ago,"and how the grandma barely moved, just smiled the whole time. the grandma is so cute.",以及奶奶几乎没有动的，一直微笑着。奶奶真可爱。
23321,UgwEYeZGKyG8ZV_RnN54AaABAg,9,3 years ago,grandma's hat is so cute ~,奶奶的帽子脖围好可爱啊～
45884,UgzRndfRMOqVxbkwpbd4AaABAg,9,4 years ago,grandma lookin' cute in her scarf hood with ears >d<,奶奶在她的围巾中可爱，耳朵> d <
38994,UgyJGu_lDI1qrnFJCwt4AaABAg,9,4 years ago (edited),"6:00 
li ziqi: oh my lord, iss the demon
grandma: ppfffttt... kids these days","6:00
李齐（Li Ziqi）：哦，我的主人，恶魔
奶奶：PPFFFTTT ...这些天的孩子"
32962,UgyMOesLN9z4KLbWLtV4AaABAg,9,4 years ago,grandma is a gangster. she didn't even flinch ๐,奶奶是一个黑帮。她甚至没有退缩
32057,UgwlrcsnlxBK_XQhCXd4AaABAg.8vztA6WkhKN8wFcQI1K2qd,9,3 years ago,"kuke her grandma did teach her these things, she went too live with her grandma when she found out she was sick",她的奶奶确实教了她这些东西，当她发现自己生病时，她也和奶奶一起生活
32056,UgwlrcsnlxBK_XQhCXd4AaABAg.8vztA6WkhKN8wDRAoWL5qM,9,4 years ago,grandma probably taught her most of the skills she's using in these videos,奶奶可能教了她在这些视频中使用的大部分技能
41134,UgzonIYreStf3b2FWBp4AaABAg.8s0jWMEbRgJ8s8Ickji63l,8,4 years ago,"seeing these videos of the up lord, i thought of the atmosphere of rural uncle and grandma's house when i was a kid. i felt like i was full of movement for a while when i returned to the new year and new year. thank you, the lord, it is great* ^ ^* b must like it ~~~ now returning to china for the new year is really deserted. essence essence",看到up主的这些视频就想到小时候农村姥姥和奶奶家过年过节时的那种氛围，有那么一瞬间感觉好像回到了十几年前，满满都是感动。要谢谢up主，太棒了*^ ^* b必须赞~~~现在回国过年真的是冷清的要死。。。
24442,UgwoLvdgOdvEpmVFHEF4AaABAg,8,3 years ago (edited),"her grandma and her grandpa is lucky because of her, she cook healthy original food, good job keep up the cooking!! ziqi was cute.",她的祖母和爷爷很幸运，因为她，她煮健康的原始食物，做得好，保持烹饪！！ Ziqi很可爱。
49094,UgxM0eHMyMomAlAvEZp4AaABAg,8,4 years ago (edited),"omg this video is cuteness overload! i love the bit where she covers grandma's ears and she jumped when all the pressure was released. she was concerned about grandma's ears even though she's scared. shows you how much she cares about her grandma. grandma was just all giggles. i've replayed that bit a few times already. annnd the bit at the end where she peeks in through the door way and pops in with the snacks. as always, thank you for these awesome videos! they're relaxing, and always puts a smile on our face. happy new year!",天哪，此视频是可爱的超载！我喜欢她覆盖奶奶耳朵的位，当所有压力都释放时，她跳了起来。即使她很害怕，她也担心奶奶的耳朵。向您展示她对祖母的关心程度。奶奶只是傻笑。我已经重播了几次。刻有钻头在她的门口偷看，然后用小吃弹出。与往常一样，谢谢您的这些很棒的视频！他们很放松，总是在我们的脸上露出微笑。新年快乐！
24044,Ugze6XqYYJhKvkITGGt4AaABAg,8,3 years ago,7:46 grandma looks so cute ๐๐๐,7:46奶奶看起来很可爱
14935,Ugy37nZi7xIGh8zfWhh4AaABAg,8,2 years ago,"it's really hard to watch ziyi's video, so i don't like her, so good, meat ...
the popcorn is covered with the grandmother's ears subconsciously, very good for grandma ❤️","看了子柒的视频真的很难不喜欢她吧
爆米花那里子柒下意识就捂住奶奶的耳朵了，对奶奶很好呀❤️"
6235,UgwSZevzzixa79X1Z814AaABAg,8,2 years ago,loving the bond of grandma and lizqi,爱奶奶和利兹的纽带
36986,Ugys5HUZ3Qn6uKkPGj14AaABAg.8uLTm1B6D-P8uXUAaejNF8,7,4 years ago,"it easy to say than done. coming from someone who asked for it and my father was like ""lol aight"" and sent me to the village he was born. i lived with my grandma and pa and i couldn't even survive for 2 days dkfjfjjf ๐ญ๐’€๐’€ (i lived around the mountain regions but i gotta tell ya, the view was prettyโค๏ธ)",说出比完成的容易。来自一个要求它的人，我父亲就像“大声笑”，然后把我送到了他出生的村庄。我和奶奶和宾夕法尼亚州住在一起，甚至无法生存2天DKFJFJJF
22225,UgywTjuT8QKKy_E3k8F4AaABAg,7,3 years ago,i like how she covered her grandmas ears instead of her earโคโคโค 5:56,我喜欢她如何遮盖祖母的耳朵，而不是耳朵5:56
538,UgwMIyhkXPcl2ZiZzPV4AaABAg,7,4 months ago,"love this girl so much! ❤ she’s truly an inspiration… i admire how she lives her life to its fullest. simple but more meaningful life♥️ and i can see how she loves and cares for her grandma. makes me miss my own grandma who’s in heaven now 
looking for your comeback! ❤ god bless you","非常爱这个女孩！ ❤她确实是一个灵感……我很欣赏她如何充实自己的生活。简单但更有意义的生活♥️和我可以看到她的爱和照顾奶奶。让我想念自己的祖母，他现在在天堂
寻找您的卷土重来！ ❤上帝保佑你"
30776,UgwQ2xhVnvpq1XezpcV4AaABAg,7,3 years ago,"god bless you dear๐๐‘u r simple great,hi grandma,love frm indiaโค๐‘๐‘๐ค๐’",上帝保佑你亲爱的
24607,UgyN_2jdHlje_oIoRix4AaABAg,7,3 years ago,"in addition to the beautiful li ziyi and grandma, the cute wang wang and the puppets also appear.","除了美丽的李子柒及慈祥奶奶, 可爱的汪汪及咩咩们也上镜."
12559,UgwDu6lZOf-oIp4k9It4AaABAg,7,2 years ago (edited),bless this girl so beautiful taking care of her grandma as an orphan what a beautiful video,祝福这个女孩如此美丽照顾祖母，就像一个孤儿
7878,UgxlKunjHaxXc4Yjml54AaABAg,7,2 years ago,i love her and how dhe takes care of her grandma. i really like the candy she made. i will deffinately try some them.,我爱她，以及DHE如何照顾她的祖母。我真的很喜欢她制作的糖果。我会去脱脂。
12791,Ugz9pv5YLnRvxRUPyOJ4AaABAg,6,2 years ago (edited),the way she’s being very kind to her grandma,她对祖母非常友善的方式如此甜蜜
37125,UgwA-4glOyOblf3Vlat4AaABAg.8uJNdG3PRmb8uXThyuFmet,6,4 years ago,"my grandma owns 90 sheep's and i help her with chores and when it snows it looks beautiful because the mountains just look the one's you see online but it consist hard work but anyone can do it!!!!

when my grandma dies my grandma told me i could look after her sheep's she's 70 but still healthy we have a apple tree and some cherry blossom trees cows and goose!! raspberries honestly anything but
so everyone lets work hard in achieving this dream!!","我的祖母拥有90只绵羊，我为她提供杂务，当雪雪它看起来很漂亮，因为山脉看起来只是您在网上看到的那个人，但它既艰苦又努力，但是任何人都可以做到！！！！

当我的祖母死后，我的祖母告诉我，我可以照顾她的绵羊，她是70岁，但仍然很健康，我们还有一棵苹果树和一些樱花树牛和鹅！老实说，除了
因此，每个人都可以努力实现这个梦想！！"
40248,Ugy7RLqCe9qteN_0EtZ4AaABAg,6,4 years ago,"ziqi, you are so happy, your grandma has you so happy",子柒你好幸福 ，你阿嬷有你真幸福
17051,UgwK9539iV52w-ZpAft4AaABAg,6,3 years ago,how she covered her grandmas ears is so heartwarming ❤️❤️,她如何遮盖祖母的耳朵是如此令人心动❤️❤️
17626,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98AQIr4XPqn,6,3 years ago,"her parents divorced when she was a kid. after her stepmother abused her, she went back to grandma and grew up with them. due to poverty, she dropped out of school at 14 and went to big city and tried to make a living. she moved back to village to take care of her sick grandma and started filming her life in rural. i wouldn’t argue whether it’s fake or not. she created a life that many ppl wants to own. given her background, what an achievement!",她的父母小时候离婚。继母虐待她后，她回到奶奶，和他们一起长大。由于贫困，她在14岁时辍学，去了大城市，试图谋生。她搬回村庄照顾自己的奶奶，并开始在农村拍摄自己的生活。我不会争论是否是假的。她创造了许多人想要拥有的生活。鉴于她的背景，这是一项成就！
7252,UgzdYBGPKOJ5-UO31s54AaABAg,6,2 years ago,damn that girl really loves her grandma ❤️,该死的那个女孩真的爱她的奶奶❤️
25212,UgwGFRrsWRPOE7AQFfp4AaABAg,6,3 years ago,"she is so hard working, and her grandma is so cute!",她的工作很努力，她的祖母真可爱！
32493,UgyIxvPyiC8eDoOzRfB4AaABAg.8vpQsjhrFL18yIaTyYBL7j,5,3 years ago,"cyndri ana this is her grandparent's property. she has shown in her video she lives with her brother and other family members. she is also a millionare. she has a contract with companies who offer her many business opportunities as an entrepreneur. she has her own brand..and she sells food products online. she also launched a clothing line. so she isn't a real life disney princess. she worked in the city and was a dj at a club at night. she's the exact opposite of what everyone think she is. she is not self taught. her grandpa was a very successful chef and this land, garden and house belonged to him. he taught her how to cook and create things. grandma makes vegetables and fruits. she will inherit everything in the end.",Cyndri ana这是她祖父母的财产。她在视频中展示了她与哥哥和其他家庭成员一起生活。她也是一百万。她与为企业家提供许多商机的公司签订了合同。她有自己的品牌..并在网上销售食品。她还推出了一条服装系列。因此，她不是现实生活中的迪士尼公主。她在这座城市工作，晚上是俱乐部的DJ。她与每个人的想法完全相反。她不是自学的。她的爷爷是一位非常成功的厨师，这座土地，花园和房屋属于他。他教她如何做饭和创造东西。奶奶制作蔬菜和水果。她最终将继承一切。
