,cid,votes,含grandma,含grandma中文翻译
8283,Ugzw28u0jHwWAm1g8Tp4AaABAg,0,it is good to know you after the propaganda of mr. cui! are you a girl in sichuan? listening to your dialogue with grandma seems to be sichuan dialect.,经过崔老师的宣传认识了你，真好！您是我们四川的姑娘吗？听您跟奶奶的对话好像是四川话。
7954,UgyQTTxorPAWPQ6p-oV4AaABAg,0,"the grandma also wants to eat some noodles, why not five her?",奶奶还想吃一些面条，为什么不五个呢？
7705,UgzZLBIz6--mgoVucHh4AaABAg,0,hello' sis you are my all-time favourite.your just amazing.big hug to your beautiful lovely grandma.๐๐’–๐’–๐’–๐’–๐’–๐’–๐’–๐’–๐’–๐’–๐’–,你好'sis你是我历史上的最爱。你真是太神奇了。
7140,UgyFH9oQHKiepRsMr_N4AaABAg,0,"it was really moved after watching it. i thought that when i was a child, i went to the home of the country โ€s grandmother. relatives took us to the mountains and water to grab ingredients to pick the fish and pick the field snails. intersection
grandma has long been in heaven, and relatives have also moved to the city to make a living, oh! continue to be a cities township!","看了真是感动，想到小时侯去乡下外婆家，亲戚带我们上山下水采食材抓鱼捡田螺，回家料理一番，大伙大吃一顿，晚上在虫鸣蛙叫下睡了香香的！
外婆早就上天堂，亲戚们也都搬到都市谋生，唉！继续当个城市乡巴佬！"
6951,UgxSW3iRKPfyonSNBj94AaABAg,0,grandma enjoys.,奶奶喜欢。
6861,UgyOpr8CW92_iPCztzB4AaABAg,0,after a stressful day it's always a pleasure seeing what liziqi is making for her grandma!,经过压力很大的一天，很高兴看到Liziqi为她的祖母做了什么！
6495,UgwYOO0hMHypHMHfssR4AaABAg,0,very healthy grandma,非常健康的奶奶
10006,Ugx2jPO-nVBTjZ1cVGx4AaABAg,0,i love her grandma,我爱她的祖母
10104,UgzjRP9MwE-YqPqKFZ54AaABAg,0,i am very happy to have found one of the best videos can be sure. it will not have a culinary chief of the seamstress. you and complete there is a singer i keep imagining ok you don't fans ... i love you a hug to your grandma admire them ..,我很高兴找到最好的视频之一可以肯定。它将没有裁缝师的烹饪负责人。你和完成的是我一直想像的歌手，好吧，你不粉丝...我爱你一个拥抱你的奶奶。
10141,UgwLtSH78edCIIRfTEh4AaABAg,0,do you show grandma your completed videos? hope you’ll answer for me,您会向奶奶展示您完成的视频吗？希望你能为我回答
11183,Ugw9is24frkcB9i2OeZ4AaABAg,0,grandma wanted soup too.,奶奶也想要汤。
12100,UgzF9W71RnUQB7TMdMB4AaABAg,0,"everything is so simple and not complex, peaceful and serene, all you need is your grandma!!",一切都是如此简单，不复杂，和平与宁静，您需要的只是您的祖母！
11835,Ugw69mFnpawPN0fhsjt4AaABAg.97Cf8C9f5VC97FpEaxpO2L,0,that's her grandma,那是她奶奶
11748,UgwWuFkQ1qoL6J-xwN14AaABAg,0,how nice if we can live in such a place like this and be as hardworking as she is.... lovely. she is gifted. she must have learnt a lot from her appoh... grandma...we are gifted too... we get the chance to watch these videos...,如果我们能住在这样的地方，并且像她一样勤奋。她有天赋。她一定从她的appoh中学到了很多东西...奶奶...我们也有天赋...我们有机会观看这些视频...
11524,UgwnCv3aOLU0d-yI28N4AaABAg,0,why you eat noodle alone⁉️share with your grandma,为什么你一个人吃面条⁉️与祖母共享
11500,Ugynmg98h_dzn29MtuV4AaABAg,0,"the key to harmony between man and nature is that there are so many people. little girls and grandma live in their hometown and live enviable, but they are all rural areas. this bamboo shoot is not enough to eat.",人与自然和谐的关键是人别多，小姑娘和奶奶在老家自由自在生活让人羡慕，可是都会农村，这点竹笋就不够吃喽
11415,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD98z13o-2VC2,0,@logicone5667 she didn't start out that way. find her bio. it's out there. she's worked pretty hard for that $$ and god only knows how much her gov't takes. she started out doing everything herself and learning along the way. probably much more than you or i have ever achieved. she lives there with her grandma and needed a way to produce an income after she came home to take care of her grandmother after her grandfather passed. her bro was making videos online in china and she thought she would and that was the start. but she did it all herself for a long time.,@logicone5667她没有那样开始。找到她的简历。它在那里。她为$$工作很努力，上帝只知道她的政府没有多少。她开始自己做所有事情，并在此过程中学习。可能比您或我所取得的成就要多得多。她和祖母一起住在那里，在祖父通过后，她回家后需要一种收入来照顾祖母的方法。她的兄弟在中国在线制作视频，她认为自己会的，这就是开始。但是她自己做了很长时间。
11345,UgxFbKoVvID2PVnSJaJ4AaABAg,0,"all these beautiful family recipes handed down for generations i guess.. but lizqui is also creative and imaginative. isn't her grandma the sweetest thing? i wonder how long it takes her to scrub those soot covered pots and pans... this is backbreaking work,no two ways about it.god bless you dear and your family.",我猜所有这些美丽的家庭食谱都传下来了。她的祖母不是最甜蜜的东西吗？我想知道她要花多长时间才能擦洗那些烟灰和锅子……这是令人震惊的工作，没有两种方法。上帝祝福您和您的家人。
11334,Ugx4F9e762EeVoIpDd94AaABAg,0,grandma did everything before and teach her everything ?,奶奶以前做了一切，教她一切？
11315,UgxNK0BWPPUUFaPYi1x4AaABAg,0,grandma also wants to eat screw powder,奶奶也想吃螺丝粉
11100,UgzUQCIeie8HPcNI-114AaABAg,0,its an amazing video i like her grandma so much,这是一个了不起的视频，我非常喜欢她的祖母
10143,UgyVsKR066AM3i6vhXh4AaABAg,0,i like that you are always there for grandma,我喜欢你一直在奶奶那里
10787,UgyQRR5Y2sXsj0i5aNd4AaABAg,0,i wish i has a grandma like that,我希望我有这样的奶奶
10667,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799ZhxGLQBb4,0,@mango_kerapu that she can do this job living with grandma is a sweet work package.,@mango_kerapu，她可以和奶奶一起生活的工作是一个甜蜜的工作包。
10665,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799ZfAb7zOGr,0,@mohammedharoon8453 no... was going to...but she cancelled it n chose to go home to her grandma,@Mohammedharoon8453不...
10562,UgyBw9PEGP_lHQwxqEl4AaABAg.98e8mRXCz-o9EzPf3WvTs8,0,@juan-ksporty7348 you think you would make your 80 year old grandma record...,@juan-ksporty7348您认为您会制作80岁的祖母唱片...
10561,UgyBw9PEGP_lHQwxqEl4AaABAg.98e8mRXCz-o9EzPTYdU9Yp,0,grandma's is recoding .,奶奶正在重新编码。
10479,UgyprXZ8va7AKyp89ZV4AaABAg,0,"just found this channel and i ended up watching all her videos. please adopt me, i want to live with you and your grandma",刚刚找到了这个频道，我最终观看了她的所有视频。请收养我，我想和你和你的奶奶一起生活
10463,Ugz9lPty7vNLxlGnURB4AaABAg,0,how do you spend all day just cooking for your grandma and yourself and not gain weight?,您如何整天为奶奶和自己做饭而不体重？
10226,UgzbTJgct5t5V_ZWt5h4AaABAg,0,"i like ziqi so much, she is smart, capable, and very kind. her video reminds me of a beautiful experience of living with her grandmother in the rural hometown in jiangxi when she was young. zi yan's cultivation is what my grandma often taught me what i want to have when i was a child. zi yan reflects the traditional virtues of many chinese women. in the future, the person who marrys ziyi will be blessed. i am making a dream and hope she can be my daughter -in -law. essence essence essence essence",我太喜欢子柒了， 她聪明，能干，而且非常的善良。她的视频让我想起小的时候在江西的农村老家和奶奶一起生活的美好经历。子柒的修养就是我奶奶在我小时候常常教导我要具备的。子柒身上体现了很多中国妇女的传统美德。将来娶子柒为妻的那个人一定得福了。我在做美梦希望她能成为我的儿媳。。。。。
10163,UgwhZisY9Ebi5_TOi3p4AaABAg,0,"her grandma must be a ladylike lady, right?",她的奶奶当年一定也是一位大家闺秀吧
6491,UgzweJD4tbnhvDNxb8Z4AaABAg,0,i love your grandma she is sooo nice i love every grandma and mom and dad in the world bless god all of you mother and dad and grandma bless all of you even you bless you bless god everyone ๐บโค๐’๐’๐บโค๐บ๐’๐’โค,我爱你的祖母，她太好了，我爱世界上的每个祖母，爸爸妈妈祝福上帝，你们所有人，爸爸爸爸和奶奶，甚至你们所有人，你们所有人祝福你祝福上帝
6347,UgzrOgipSKHwc8hEvCV4AaABAg.9EsO86ldc5x9GN_NGSN5H-,0,i am only 8 to but iโ€m on my grandmas account,我只有8岁，但我在祖母帐户上
6304,UgyFdhbWHCZe1PyLh2V4AaABAg.9Eu8AizLBF89Ewylel8wVK,0,i think we all hope that for her grandma <3 may she live to a strong and vigorous eleventy-one!,我认为我们都希望她的祖母<3愿她活着一个强大而有力的高度！
1846,UgzWcCP7vaG878j-1xh4AaABAg,0,"keep healthy, grandma",保持健康，奶奶
3110,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9c36fO2UEPX,0,grandma is not a baby boomer!!!,奶奶不是婴儿潮一代！！！
3100,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9Y6Xof-vcLM,0,"haha, if you lived like you would know that grandma would have scolded her for putting her hand in the pickling brine!",哈哈，如果您像您一样生活，就知道奶奶会因为将她的手放在腌制的盐水中而责骂她！
2927,UgyzIkLcDZEi_Hw5d4B4AaABAg.9Qj7umTKX949RnGbAB2svJ,0,"liziqi carefully watches her grandma's diet, this soup maybe too spicy. look for the ice cream video when grandma tries to sneak more ice cream.",Liziqi仔细地看着她奶奶的饮食，这种汤可能太辣。当奶奶试图偷偷溜走更多冰淇淋时，请寻找冰淇淋视频。
2917,UgyzIkLcDZEi_Hw5d4B4AaABAg,0,"in this video, at the end when grandma and zizi are eating, i realized she didn’t share the pot of river snail noddles with grandma!!!! lol",在这段视频中，在奶奶和Zizi吃饭的最后，我意识到她没有与奶奶共享河水蜗牛noddles的锅！大声笑
2878,UgyAMHvG6uX6rW2aNeh4AaABAg,0,"ziyi, i invite you to return to taiwan to help my old lady do it? can you come back and support me? oriental food living home, can you manage it? talk to grandma to take grandma back to taiwan to play with our grandmother to manage the source of industry development items together! discuss the planning of agricultural transportation and sales cooperation projects! 2021*8*12 i am alone! your own factory dynamics for a limited time! laipan a white 3.5 metric tons lift tail gate truck charging battery battery to launch the engine speed to be driven out. where can i download you! do the procedures! reply to me to go back to taiwan to meet me, can i wait for your phone to connect? be quick!",子柒我邀请您回台湾帮忙我老娘给妳做？回来支援我好吗？东方美食生活家妳来管理好吗？跟奶奶谈好一起带奶奶回台湾玩咱们一起管理产业发展物品来源所拥有权研究！探讨规划农产运销合作工程！ 2021*8*12我现在一个人！自家工厂限时动态！发动白色3.5公吨升降尾门货车充包电瓶发动引擎转速到一定要开出来我来载妳在哪里！办好手续！回覆给我准备回台湾相聚会缘我等妳的电话连线好吗？快点啦！
2760,UgxudFvqtz_M9Z4AL6x4AaABAg,0,why you did not give some noodle soup to grandma¿ i am sad.,为什么你没有给奶奶的面条汤，我很难过。
2352,UgyuiyljYkoSULyyrsp4AaABAg,0,so much food for just grandma a d her.,她只为奶奶和她提供了很多食物。
2317,UgwQUd0NG7xHwoUKdZd4AaABAg,0,that grandma is so lucky...,那个奶奶很幸运...
2142,UgwINEyDztggTWfdsSZ4AaABAg,0,wish for her grandma be well...........,希望她的祖母一切都好....................................................
1804,UgzafBF-nlayWxz9jRx4AaABAg.9XjP1lO2n3Y9fCBCXZonPO,0,@user-df5uv9vb2m this question is irrelevant since she appears to be interested solely in keeping grandma company.,@user-df5uv9vb2m这个问题是无关紧要的，因为她似乎只对奶奶公司感兴趣。
3239,UgwTBQfB6PYAjPteaEN4AaABAg,0,she should give grandma the bigger bowl,她应该给奶奶一个更大的碗
1769,Ugyu9SEH9fBolMR7NxZ4AaABAg,0,i like your video very much. i wish you and your grandma all the best. i'm fine.,我非常喜欢你的视频。祝您和您的祖母一切顺利。我很好。
1757,UgwrExyK24M1ydlvq4B4AaABAg,0,"i love your beautiful heart the respect and goodness you give to your grandma
you are beautiful girl ❤❤❤","我爱你美丽的内心，你给祖母的尊重和善良
你是美丽的女孩❤❤❤"
1591,UgyklwgH2-nUo7RmkDp4AaABAg,0,"can add some words, there will be a lot of color, many people speak many people to listen, the human nature (grandma happiness) granddaughter will pass by",能加点言语，会多很多色彩，美女讲话很多人爱听，人之本性(奶奶幸福)孙女一个就过
1436,UgymdSDz8APE0Q77W5x4AaABAg,0,love to see you cooking. you amaizz me. everything is natural. love grandma,喜欢见你做饭。你是我。一切都是自然的。爱奶奶
1224,Ugz2-_RCMHTBBIpzkDZ4AaABAg,0,ziyi now picks bamboo shoots! grandma looks so happy!,子柒现采竹笋！奶奶看着好高兴喔！
1179,UgxdXyfiLgWUTk35B0l4AaABAg,0,how is your grandma,你的祖母怎么样
1059,UgyrybVQbKssN2IcMux4AaABAg.9bpJQ_Rqdlo9ozrFm6Lf4n,0,grandma is guidi.,老奶奶是顾得。
530,UgythxiBNKiNno8nsT94AaABAg,0,grandma teacher has worked well early,奶奶老师早安好辛苦了
466,UgwYDQQfo9RjfQuPvVF4AaABAg.9ju6hiwzrf09kIYPTJ6AfM,0,his grandma is not her mother,他奶奶吧 不是她妈妈
3112,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9cA_WOtBvpE,0,"thank you for your sharing. if grandma is over 76 years old, she is no more a baby boomer. baby boomers are those who were born between 1946 and 1964, that is, after the 2nd world war which ended in 1945.",感谢您的分享。如果奶奶已经超过76岁，她将不再是婴儿潮一代。婴儿潮一代是1946年至1964年之间出生的人，即在1945年结束的第二次世界大战之后。
3268,UgyxZMdNZRTxt1ERWex4AaABAg,0,grandma also wants to eat snail lion powder,奶奶也想吃螺狮粉啊
6093,UgwVPnhW-3yJOQB7boJ4AaABAg,0,her grandma is sooooo cute.. the cutest ๐”โค๏ธโค๏ธ!! do u like her??,她的祖母太可爱了..最可爱的
4242,UgxP4ssXIXV1R45h3OZ4AaABAg,0,i want to sit in the swing with grandma... after going to the bamboo forest... lovely,我想和奶奶一起坐在秋千上...去竹林后...可爱
6027,UgxNAhnf1wLC_NxgQaF4AaABAg,0,"i'm a small you tuber too your avid fan from philippines. bamboo shoots are my favorite to eat, stay safe with your grandmaโค๐",我是一个小你的块茎，也是菲律宾的狂热粉丝。我最喜欢吃竹芽，请与您的奶奶保持安全
5981,UgxvAuJTFlMG5TuJm3F4AaABAg,0,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
5596,UgzY48n0KHW0jKBksbh4AaABAg.9G8OVTterlX9Ici21DOZbX,0,"ahh yes, must find a way to make grandma happier and then so will i. ๐ wink2",啊，是的，必须找到一种使奶奶更快乐的方法，然后。
5486,UgyvC0zdox_RcDJUAUh4AaABAg.9GOFskXFXco9IMUFNrel4a,0,ok grandma let's sleep,好吧，奶奶让我们睡觉
5135,UgyNd7kq7ljv0ZPBOIN4AaABAg,0,"liziqi ,you are an amazing person.love your place and your hard work. may you and your grandma be blessed always",liziqi，你是一个了不起的人。爱你的位置和辛勤工作。愿你和你的祖母永远得到祝福
5080,Ugy6qGih-by_ZgR381R4AaABAg,0,so amazing girl there nice idea grandma,太神奇的女孩那里好主意奶奶
5073,UgzDZbJm2Nf9L8o1Ypp4AaABAg,0,i wish i was in her grandmas place :),我希望我在她的祖母:)
4879,UgxEiO5DRLUE-7tV88h4AaABAg,0,i love this girl....more than everyone in this world..❤❤ she is living in the peace world...❤❤.even i am also a nature lover....love u as always...❤❤❤ and she even shows that money cant buy happiness....❤❤ i wish your grandma may live like a mortal life❤,我爱这个女孩....比这个世界上的每个人都多....❤❤她生活在和平世界中...❤❤。即使我也是自然情人。...一如既往地爱你...❤ ❤❤她甚至表明金钱不能买幸福。
4425,UgyOH5BrjRPy8Gnk8ep4AaABAg,0,grandma is so lucky,奶奶很幸运
4159,UgxsQ7KMNZmOA8izX814AaABAg,0,i want to be her grandma so i can eat her food every day.,我想成为她的奶奶，所以我每天都可以吃她的食物。
3291,UgyK6qchVX-EGG125lZ4AaABAg,0,so nice to see u nourishing grandma with food and love,很高兴看到你用食物和爱滋养奶奶
4033,Ugw3lPr4ca-ek-0Fmwt4AaABAg.9LNZfg91zko9Lc9UQ4GqMX,0,"because
korean: liziqi's grandma is korean!!!","因为
韩语：利兹奇的祖母是韩国人！！！"
3953,Ugw_VFCnEAP9oUL_quV4AaABAg.9LbFUxa6z2b9LchS8W2iMo,0,wth which part of these is korean culture again? her grandma is korean?,WTH又是韩国文化中的哪一部分？她的祖母是韩国人吗？
3913,UgxVCz_KFOsiYjWGeIZ4AaABAg,0,may grandma always be given health and long life,愿奶奶总是有健康和长寿
3828,UgydnqEeIfntdQ4WXI14AaABAg,0,"her grandma said on the swing, i want great grandson as soon as possible.",她的祖母在秋千上说，我想尽快曾孙子。
3811,UgzjMt4dNTd6iBpnMf94AaABAg,0,lucky grandma,幸运的奶奶
3500,Ugwt4oaOwMjxhGOHGzN4AaABAg,0,is there any doubt that grandma is different from his bowl?,有疑问❓ 奶奶跟他那一碗不一样啊？
3476,UgxfmzR8CIHQhtIWG2Z4AaABAg,0,eat grandma eat plenty of good food and enjoy life,吃奶奶吃很多美食，享受生活
