,cid,votes,time,含liziqi,含liziqi中文翻译
11493,UgzPiAAri6LirzDp_oB4AaABAg,0,2 years ago,"hi liziqi! i love your videos! in onecof them i've seen that you have a pumpkin bowl. if you know how to do it, you could make us see? i would love to do some pumking bowl.",嗨，liziqi！我爱你的视频！在他们的一口气中，我看到您有一个南瓜碗。如果您知道该怎么做，您可以让我们看到吗？我很想做一些小碗。
11379,UgzNK_gJSV8lho0kq294AaABAg,0,2 years ago,"she is truly an inspiration. ๐i watched almost every videos in her channel. โค๏ธ makes me want to live a simple life too. to everybody enjoying it as well i wanna share with you my friend's music and hopefully liziqi notice it too (would be truly awesome ๐). he writes very good music for free and it's a nice way to enjoy life even on quarantine. let's all share positivity and love. you can check the link below! ๐€
https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga","她确实是一个灵感。 
https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga"
11236,UgxZCzeEx_H61fbNWF54AaABAg,0,2 years ago,you are vloger queen liziqi... i am you'r big fan๐’–๐’–๐ค—๐ค—,你是vloger女王liziqi ...我是你的大粉丝
11150,Ugw6vKWj3jwsGfCM-wZ4AaABAg,0,2 years ago,"@ๆๅญๆ’ liziqi is there a link where we can buy this?? please, let us know. we love you and want to support you all!",@liziqi有一个链接，我们可以在这里购买吗？请告诉我们。我们爱你，想支持你们！
5352,Ugw40AwyytNDBiTyhft4AaABAg,0,1 year ago,"when liziqi gets married and she have kids.
her kids: mom i need cadbury and m&m. will you by it for me. 
liziqi: we have that at home. home-made chocolate.
the cadbury and m&m at home:","当Liziqi结婚并有孩子时。
她的孩子：妈妈我需要吉百利和M＆M。你会为我陪吗？
Liziqi：我们在家里有。自制巧克力。
吉百利和M＆M在家："
11010,UgzVXwN2Sk-mZ8X4ecJ4AaABAg.9FA6C_x_tzk9FFDuymxFec,0,2 years ago,"i appreciate that you made the effort to translate this history of liziqi, but please get someone who knows how to write in english to do your translations. it is a pretty terrible translation. thanks!",我感谢您努力翻译Liziqi的历史，但请找一个知道如何用英语写的人来进行翻译。这是一个非常可怕的翻译。谢谢！
5401,UgzOS0CmnbsCjEuRvEh4AaABAg.9OlfOyVfdDW9Omt45ZpH_i,0,1 year ago,hello dear her name is liziqi 李子柒 in chinese,你好亲爱的她的名字是liziqi李子柒中文
5409,Ugwqvmf7kfb71sksyB94AaABAg.9OhotG_dfDP9QqKHXBZCDY,0,1 year ago,im currently having a depressive day and watching liziqi's videos just gives me a clear mind. i love watching her videos on repeat,我目前正在度过抑郁的一天，观看Liziqi的视频只是让我明确的头脑。我喜欢重复观看她的视频
10966,UgzNkq7CiEL0fILDiPt4AaABAg,0,2 years ago,"your life and home are beautiful a true paradise, there is no sr.liziqi?",您的生活和家是一个真正的天堂，没有Sr.liziqi？
10950,Ugz0UjHnVF0Bhpyujit4AaABAg,0,2 years ago,i love you liziqiโคโคโค,我爱你liziqi❤❤❤
5428,UgzJXEkn52St7JJsmOF4AaABAg,0,1 year ago,i love liziqi's cooking style❤,我喜欢Liziqi的烹饪风格❤
10835,UgxM3wY0y9Ga6YWEEqx4AaABAg,0,2 years ago,looking to speak to liziqi fans! i am writing an article about the trend of asian-style cottagecore and would love to interview fans of the aesthetic. please shoot me an email if this is you to kaila@kailayu.com,希望与Liziqi粉丝说话！我正在写一篇有关亚洲风格的Cottagecore趋势的文章，很想采访美学的粉丝。如果您是kaila@kailayu.com，请给我发送电子邮件
10759,UgxboXZyMrjK5Yo3aWB4AaABAg,0,2 years ago,where all of liziqi's cooking and vegetable matter are sold,Liziqi的所有烹饪和蔬菜都出售的地方
10687,UgzQFv-aUc7A5Lw5FxN4AaABAg,0,2 years ago,hi liziqi my name is aminur islam you all videos very nice and food looking very nice thanks,嗨，liziqi，我叫Aminur伊斯兰
10574,Ugw8Z5EXeMhdO8IHeJZ4AaABAg,0,2 years ago,"i love you hardworking spirit, liziqi you are great โคโคโค๐จ๐ฆ๐จ๐ฆ๐จ๐ฆ๐จ๐ฆ๐จ๐ฆ๐จ๐ฆ๐จ๐ฆ",我爱你勤奋的精神，liziqi你很棒❤❤❤
10506,UgwrRa-AIdM03iAx_Jx4AaABAg,0,2 years ago,"liziqi you are a women!
good job!๐‘","liziqi你是女人！
干得好！"
5460,UgwcHuWS09mhAh1BIZd4AaABAg,0,2 years ago,i like liziqi ❤️❤️❤️ ❤️,I like Liziqi ❤️❤️❤️
10447,UgyX16eCLQrTjmpi6E94AaABAg,0,2 years ago,"if i were there with liziqi's brother, he was happy",如果我和利兹奇的兄弟在那里，他很高兴
11994,Ugw-9H4rREsqI1ul0LR4AaABAg.9Dn6YAVft8N9Dv25KApLoL,0,2 years ago,love to live with liziqiโค๏ธ,喜欢与Liziqi❤️一起生活
12125,UgwvjponolJpJRk7AL14AaABAg,0,2 years ago,liziqi,Liziqi
12144,Ugw2vf8f883Td5ChZjJ4AaABAg,0,2 years ago,"hello liziqi, do we have any chance to talk about wechat, because i want to ask you a few things, i know you are very famous, but if possible, i want to seek your help. please give me my wechat?",您好liziqi，我们有什么机会谈微信，因为我想问您几件事，我知道您非常有名，但如果可能的话，我想寻求您的帮助. 请给我我的微信吧?
12979,UgzqYxbjoDKlReAwE7B4AaABAg,0,2 years ago,liziqi is now part of the ccp. this is no longer a safe channel to watch or to give a thumps up . if i where you i would unsubscribe from this channel and help get it banned from youtube. the ccp will use this channel as a soft weapon. this channel is banned from up loading videos in china. this channel has now became political .,Liziqi现在是CCP的一部分。这不再是一个安全的渠道，可以观看或进行重击。如果我在哪里，我会退订此频道，并帮助将其从YouTube中禁止。 CCP将使用此通道作为软武器。该频道被禁止在中国加载视频。该渠道现在已经成为政治。
13607,UgxNOd4SzpkTHTV_m8J4AaABAg,0,2 years ago,hii liziqi you 29 years old plz tell me,hii liziqi你29岁，请告诉我
13556,Ugw73Arzndi8SStLopd4AaABAg.9BhwngNN21u9CVZ9SDX8ZW,0,2 years ago,"@wowsurfing now let this video educate you:
https://www.youtube.com/watch?v=ovoslq-aep8&t=1674s
liziqi confront all your smartass judgemental people","@wowsurfing现在让此视频对您进行教育：
https://www.youtube.com/watch?v=ovoslq-aep8&t=1674s
Liziqi面对您所有的Smartass判断力"
13548,UgwzoCudlTWi16WhXqJ4AaABAg,0,2 years ago,i love your videos as always liziqi. you have inspired me to plant fruits and veggies in the backyard.,我一如既往地爱你的视频。您启发了我在后院种植水果和蔬菜。
13456,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9o7CaYTLp94,0,2 months ago,help liziqi to take her youtube chanel back to her,帮助Liziqi将她的YouTube香奈儿带回她
13450,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9XjGfiS7O7y,0,1 year ago,there is all about liziqihttps://m.youtube.com/watch?v=otorjoc0gym,关于liziqihttps：//m.youtube.com/watch？v = otorjoc0gym
13228,UgyPI0fuGlC1-18LfMZ4AaABAg,0,2 years ago,this virson can't get 2 like if not liziqi,这个Virson无法获得2，例如Liziqi
13157,Ugxc2Hx1kefbESTKLgJ4AaABAg,0,2 years ago,"love to live like her, it's like creating our homes as our own paradise ,really love the way she does things all on her own,and assist her grandmother with love and care, love u liziqi,i really admire you",热爱像她一样生活，就像创造我们的房屋作为我们自己的天堂一样，真的很喜欢她自己做事的方式，并为祖母提供爱与关怀，爱你Liziqi，我真的很佩服你
13145,UgzEqwH8NeEHDJ_Iuod4AaABAg,0,2 years ago,"#? what a hard worker bee, liziqi",＃？什么是勤奋的蜜蜂，liziqi
13140,UgyqNY4eCbTI0fRjf9t4AaABAg,0,2 years ago,idk why but liziqi's videos are so calming,idk为什么，但是利兹奇的视频很平静
13134,UgyHizT0g6OMyGkLuCR4AaABAg,0,2 years ago,hi my love liziqi channel ! who love her like me ??? please reply,嗨，我的爱Liziqi频道！谁像我一样爱她？？？请回复
13048,UgwQ8dCo2fCEygPXUSx4AaABAg,0,2 years ago (edited),"i cannot believe anthony padilla subscribed to her
that is why liziqi is popular in the first place","我不敢相信安东尼·帕迪拉（Anthony Padilla）订阅了她
这就是为什么Liziqi首先很受欢迎"
13005,UgwQRAARfrj4sOsIMZp4AaABAg,0,2 years ago,"i am really a fan of you dear liziqi, i hope to see you in person someday!",我真的是您亲爱的Liziqi的粉丝，希望有一天能见到您！
4089,UgzHE1itp69lPs-hOFN4AaABAg,0,1 year ago,"liziqi made another video showing her making that baking kiln she is using for chestnuts and mangos. liziqi can make most anything, she is so amazing.",利兹奇（Liziqi）制作了另一个视频，展示了她制作的烘焙窑炉用于栗子和芒果。 Liziqi最多可以做任何事情，她真是太神奇了。
4739,Ugwp17NhxvjO2ytm_9V4AaABAg,0,1 year ago,humor is limited to liziqi was shocked because of the explosion came,幽默仅限于利兹奇，因为爆炸爆发而感到震惊
12950,UgzR3AN_TOr8jXq4wip4AaABAg,0,2 years ago,youtube queen ❤️liziqi❤️❤️❤️,YouTube女王❤️Liziqi❤️❤️❤️❤️
12943,UgzzILYZDP3TWveste14AaABAg,0,2 years ago,this is how many people see liziqi's videos while lying on the bed,这就是有多少人躺在床上时看到Liziqi的视频
12918,Ugw_x_-SG-UCXNC2fHt4AaABAg.9CbxEpAyhEG9Dwx_XT3XYC,0,2 years ago,liziqi doesn't have steel rods piercing rayfishs' eyes,Liziqi没有钢棒刺穿雷鱼的眼睛
4227,UgxJ6N_Br0AG-3YjKFF4AaABAg,0,1 year ago,hi liziqi how r u...,嗨，liziqi如何...
4288,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9XjGJDhXYZo,0,1 year ago,there is all about liziqihttps://m.youtube.com/watch?v=otorjoc0gym,关于liziqihttps：//m.youtube.com/watch？v = otorjoc0gym
12587,UgzioEjyV7kADM14ALN4AaABAg,0,2 years ago,liziqi do 1video please how mane like thes video,liziqi do 1video请鬃毛如何喜欢thes视频
12507,UgyjJIv9CaFss5Uuv3N4AaABAg,0,2 years ago,"5:59 open guys 
the cutyyyy of liziqi","5:59开放的家伙
Liziqi的可爱"
12401,Ugw54O3hCwB6DnHCUhR4AaABAg,0,2 years ago,"liziqi, what did you add to the marshmallow? was it flour? if so, what kind? i love your work, well done!",Liziqi，您在棉花糖中添加了什么？是面粉吗？如果是这样，什么？我爱你的工作，做得好！
12369,UgzDnvSyhtT778JLpaV4AaABAg,0,2 years ago,"sept 2020, feeling hungry...see all the foodsssszz...appreciate all the process...tq liziqi coz at the same time u teach people how to be kind & thankfull for the food",2020年9月，感到饥饿...请参阅所有食品...欣赏所有过程... TQ Liziqi Coz同时您教人们如何善良，并感谢食物
12334,UgwM418YpGBKVFhu7mR4AaABAg,0,2 years ago,"liziqi , is there any covid-19 cases",liziqi，是否有任何COVID案件
12300,UgzIKzgh9A8rYPbTrLV4AaABAg,0,2 years ago,all she touch become meals..:d u re so amazing liziqi......,她所有的触摸成为一顿饭..：D u Re如此令人惊叹的Liziqi ......
4610,Ugyl-RWqpS1-BNVOknJ4AaABAg,0,1 year ago,liziqi make a video of how you make rock candies,Liziqi制作了您如何制作岩石糖果的视频
10441,Ugww7Q-FwT_YqolIbnp4AaABAg,0,2 years ago,liziqi i want to meet you,liziqi我想见你
10379,Ugzhvze05uTwTCsaECB4AaABAg,0,2 years ago,"wow, i love your channel liziqi",哇，我爱你的频道Liziqi
10373,Ugz-b96KeVZC_NYfdut4AaABAg,0,2 years ago,hello miss.liziqi ๐,你好，小姐
6584,Ugy0xoNs5EbbaEMiDGJ4AaABAg,0,2 years ago,i'm jealous of all the people that just found out about liziqi's channel,我嫉妒所有刚刚发现Liziqi频道的人
8565,UgyTVGVfcThAMtiDQOx4AaABAg,0,2 years ago,"liziqi and grandma only live alone, then he cooks that much for who",利兹奇和奶奶只独自生活，然后他为谁做了那么多
6341,Ugy3u6rrFBJ-w-tYs_t4AaABAg,0,2 years ago,"liziqi u r so ....lovely ,love from india",liziqi u r so ....可爱，来自印度的爱
6426,UgwS-HlS76AmM7nVpOp4AaABAg,0,2 years ago (edited),"her love and care of her grandmother is reaping her a beautiful, blessed, productive life. she'll look back on these and the only thing she will search for is her beloved grannie. how many of today's generation only see the matriarchs and patriarchs as living wallets or burdens? too many!! but, liziqi knows that the most beautiful part of her works is not what she does, but having the one she loves most there with her. grannie is the real star, isn't she?",她对祖母的爱和照顾正在为她带来美好，幸福，富有成效的生活。她会回顾这些，她唯一要寻找的就是她心爱的格兰妮。当今有多少一代只将族长和族长视为活钱包或负担？太多！！但是，Liziqi知道她的作品中最美丽的部分不是她所做的，而是让她最爱的那个。格兰妮是真正的明星，不是吗？
8437,UgxQY02k4kofUXwWFXB4AaABAg,0,2 years ago,"most people watch the liziqi video, chinese does not have english remarks in chinese. look at the christmas that we eat in china is really weak",最多人观看的liziqi视频，中文不带英文备注的。看看我们国内吃的圣诞节真是弱爆了
8431,UgwSCK7baTjYUZYYt0F4AaABAg,0,2 years ago,liziqi 's best friends dogs,Liziqi的最好的朋友狗
8393,UgwKD3mLi0DETMrQLjx4AaABAg,0,2 years ago,i don’t know why but this is my favorite video from liziqi.,我不知道为什么，但这是我最喜欢的Liziqi视频。
8377,Ugy79v0-b29oxUdJ0gl4AaABAg,0,2 years ago,hi liziqi ❤❤❤❤,Hi liziqi
8332,Ugzy-lLU5i6SDszSW2B4AaABAg,0,2 years ago,liziqi nice cooking,利兹奇好烹饪
6505,Ugygtz2IptZl_k3XSCJ4AaABAg,0,2 years ago,"a beautiful and quiet life but with a lot of work, however, it seems so easy what you do liziqi ... it is sensational",美好而安静的生活，但是有很多工作，似乎很容易您做的liziqi ...这是轰动的
8198,Ugzxf8SNjdAVZtj4ZBt4AaABAg,0,2 years ago,this liziqi hate sijinping u guys know that???,这个liziqi讨厌你们知道吗？？？
8096,Ugz7xriTmFbhbymGheF4AaABAg,0,2 years ago,i want a new episode of liziqi,我想要一个新的liziqi
7949,Ugxz0hgMzvhZOfDxghd4AaABAg,0,2 years ago,i lovvv popcorn :3 and the candy’s was liziqi making make me want to eat that candy’s,我喜欢爆米花：3和糖果是liziqi让我想吃那个糖果的
7839,UgykxnwFHQcNdtcTpVF4AaABAg.9JNs6vbdvmr9JVPH2t0vql,0,2 years ago,"@shinkurosetta2157 you're the brain-dead one whose making sweeping generalization on a freaking countryside and politicalizing it. and when someone points out your politically charge comment as flawed, you label and attack them as ccp. now you want to talk about ""morals"" and how it's not cool attacking people's hobby... what do you think you're doing on this comment section; attacking liziqi for her farming hobbies and making it political? if you wanna talk abt ccp, go on serpentza's video. if you're going to do it here, i'm going to call you out on your clickbait sht.",@shinkurosetta2157您是脑死亡的人，他在一个怪异的乡村中进行了广泛的概括并进行政治化。当有人指出您的政治指控评论是有缺陷的时，您将其标记并攻击为CCP。现在，您想谈论“道德”，以及对人们的爱好的攻击方式不是很酷的……您认为您在此评论部分做了什么？攻击利兹奇（Liziqi）的农业爱好并使其成为政治性？如果您想谈谈ABT CCP，请继续使用Serpentza的视频。如果您要在这里这样做，我将在ClickBait SHT上呼唤您。
8601,UgwYqCD2LygGCILClo14AaABAg.9IOsofHPWuB9IOxAp1rAyK,0,2 years ago,"李子柒, liziqi!!, she knows, she has a ""thief's heart.""",李子柒，Liziqi !!，她知道，她有“小偷的心”。
7710,UgxH9oIC7qovB36LzyJ4AaABAg,0,2 years ago,i love liziqi ❤,我爱liziqi❤
6591,UgwWOIJLH6zLisDFyGB4AaABAg,0,2 years ago,"hi liziqi,
can you please tell me what fruit are on the 8:50.
many thanks","嗨，liziqi，
你能告诉我8:50的水果。
非常感谢"
7555,UgwI7grHQys-45HC4uN4AaABAg,0,2 years ago (edited),"i love you liziqi, i am a big fan of you",我爱你liziqi，我是你的忠实粉丝
7513,UgxpOYTYvdVmtDWRfrp4AaABAg,0,2 years ago,"wow ,hello liziqi,love also to see ur cute little sheep, following u.philippines",哇，你好liziqi，也喜欢看到你可爱的小绵羊，跟随u.philippines
6650,UgywRwhdifyYwB4yYcp4AaABAg,0,2 years ago,"hi, liziqi, mujhe tumse pyaar ❤️000 ho gya h. (i fall in love with you.) how amyzing you are!",嗨，Liziqi，Mujhe tumse pyaar❤️000ho gya h。 （我爱上了你。）你有多杏仁！
6667,UgwHiP6lThGvZx1c7QR4AaABAg,0,2 years ago,my favourite liziqi mam,我最喜欢的liziqi妈妈
6921,Ugyb6TiFD4L-P6Pp6SZ4AaABAg,0,2 years ago,liziqi i proud of you,liziqi我为你感到骄傲
6895,Ugyoi-xjti2t_GKBjBV4AaABAg,0,2 years ago,wow we love liziqi,哇，我们爱liziqi
6816,UgzNeAgKzM4x33Jo4jV4AaABAg,0,2 years ago,old satisfying video of liziqi,Liziqi的旧视频
6808,UgyAZYa1oQtnVnp-UsB4AaABAg,0,2 years ago,##keep going ##liziqi,##继续前进##liziqi
6805,UgwBkVc51nTrDQNvjF14AaABAg,0,2 years ago,"mary had a little lamp
liziqi has two puupies and a lamp
lalalalalalalalalalalalalala","玛丽有一个小灯
Liziqi有两个笨蛋和一个灯
LALALALALALALALALALALALA"
6792,UgwIPfgma3YyYddxXul4AaABAg,0,2 years ago,the most beautiful place of china your home ...i enjoy your ability to make delicious food...whit all my respect i love you liziqi ...from los angeles ca.,中国最美丽的地方您的家...我很喜欢您制作美味的食物的能力...我的尊重，我爱你Liziqi ...来自洛杉矶CA。
8584,UgzCIO--tW1MAiwrkHt4AaABAg,0,2 years ago (edited),thanks to liziqi's heart very much for having vietnamese subtitle. love people as kind as her!,非常感谢Liziqi的内心拥有越南字幕。爱像她一样善良的人！
6312,UgwuTn-ul5rpPCgM7i14AaABAg,0,2 years ago,hello liziqi,Hello liziqi
10363,Ugx5CkOmfhcmRVYzfWt4AaABAg,0,2 years ago,love you liziqi,爱你liziqi
5896,Ugz5er10VOYsSJdGXpB4AaABAg,0,2 years ago,"i wish liziqi would write a recipe book. that would be amazing. full of photos. and please can you make it in english too. please, please.",我希望利兹奇能写一本食谱书。这将是惊人的。充满照片。而且，请您也可以用英语做。请，请。
10345,UgwoMsPIkOxvpTJhLVB4AaABAg,0,2 years ago,"wow, i love you liziqi โฅ ๏ธ โฅ ๏ธ",哇我爱你Liziqi♥️♥️
10283,Ugy0ClJEwbcaqqNNCPp4AaABAg,0,2 years ago,liziqi is the best youtuber everโค,liziqi是有史以来最好的YouTuber❤
10089,Ugz9teFE6G-_fbzLTEV4AaABAg.9GS8QbE7mJ29GVZ4taRag1,0,2 years ago,i know right i love you liziqi,我知道我爱你liziqi
9799,Ugy00YXHC9zdeOvEDal4AaABAg,0,2 years ago,my lovely and favroute girl liziqi,我可爱而狂热的女孩liziqi
9772,Ugwals9qraimKblasW54AaABAg,0,2 years ago,"yes it is afairytale,and the fairy os liziqi,she is so lucky to be born on such land which is full of fresh fruits,fresh vegetables,fresh non veg,she is blessed with all these,we can only imagine",是的，它是Afairytale，而童话OS Liziqi，她很幸运能在那个充满新鲜水果，新鲜蔬菜，新鲜蔬菜的土地上出生，她拥有所有这些，我们只能想象
5560,UgxxWdYqQITBwHUsqY54AaABAg,0,2 years ago,liziqi ' s cooking videos in facebook also,Liziqi的烹饪视频也在Facebook
9678,Ugwx-vXHhmvkIT_JdVx4AaABAg,0,2 years ago,superrrrr liziqi,Supeerrr Liziqi
9657,UgyNMXvmvItkZCNtqIh4AaABAg,0,2 years ago,i miss you liziqi where are you,我想念你liziqi你在哪里
9649,UgzW6TWNAoSVRQIyQoh4AaABAg,0,2 years ago,liziqii,Liziqi
9495,UgxqCtHrvTzS35Wy--l4AaABAg.9H9CoV7Y4L-9I8NyFHPNdG,0,2 years ago,njan undu. njan liziqi youde valiya fan anu ella vidiosum kanarundul,njan undu。 njan liziqi youde valiya fan anu ella vidiosum kanarundul
5658,UgynOya53yeKSuDTTVB4AaABAg.9O0M4kQDEh49OEyNlqOzMP,0,2 years ago,"look at you. sit at home, typing with your keyboard. look at liziqi , earning billions of money",看着你。坐在家里，用键盘打字。看利兹奇，赚了数十亿美元
5746,UgzZKxv-c3zAEKzWNVh4AaABAg,0,2 years ago,liziqi q,Liziqi
5934,UgwtkhAMUBxWK8qgHj94AaABAg,0,2 years ago,superb preparation....liziqi....,精湛的准备.... Liziqi ....
8675,UgxyYu7WsGnsddDW2iV4AaABAg.9IMPVU4WzXa9IP3jxHFh_5,0,2 years ago,"@user-rs6ib5sp7p i've already told you, normal people wouldn't eat these things, what liziqi makes are what normal chinese people eat.",@user-rs6ib5sp7p我已经告诉过你，普通的人不会吃这些东西，liziqi是普通的中国人吃的东西。
9244,UgxhL4OxMccmwYM6CV54AaABAg,0,2 years ago,hello liziqi you can speak spanish i do not understand anything that fruits are that ingredients use that vegetables from peru chiclayo,你好liziqi你可以说西班牙
6008,UgzEqCYo4MWItFFqut54AaABAg.9N8rZzM3Gvy9NHJgHxTjwk,0,2 years ago,do not waste your time. its a fake website. try the original website liziqi. this website us called liziqi music.,不要浪费时间。它是一个假网站。尝试原始网站Liziqi。这个网站我们称为Liziqi Music。
9034,UgyCPOSMKin_KBL2rk94AaABAg,0,2 years ago,liziqi very good and very beautiful,liziqi非常好，非常美丽
8996,UgzbA5vs8GVXJWdJn994AaABAg,0,2 years ago,bah liziqi pigi ko sabah meet sister sia ngam already soul mate you eni,bah liziqi pigi ko sabah认识姐妹sia ngam已经灵魂伴侣你
8976,UgxwIJGNjAkEilf8im54AaABAg,0,2 years ago,hi i am from india and i love your videos very much liziqi ❤️❤️❤️❤️❤️❤️♥️,嗨，我来自印度，我非常喜欢你的视频liziqi❤️❤️❤️❤早太郎qut
8975,UgxP56ETX37eIc7HxQ14AaABAg,0,2 years ago,imagine a heart from liziqi ❤️,想象一下liziqi❤️的一颗心
8874,UgyMeNdlr3AEqZKYcDN4AaABAg,0,2 years ago,"how lucky to be born with all the riches of mother earth (food) on your doorstep, that through your own hard work you can add to your bounty, having the skills passed down through endless generations on the land they walked and nurtured and learnt to be able to utilise everything mother earth can provide from the seed, fruit, flower and roots, sadly most of us will not live in such a paradise, but watching liziqi shows us her life is a joy to behold, happy new year everyone.",很幸运能与您家门口的所有财富（食物）的所有财富出生，通过自己的辛勤工作，您可以将自己的赏金添加到赏金中，使他们在他们走路，养育并学会的土地上的无尽一代人传递了几代人能够利用地球母亲可以从种子，水果，花朵和根源中提供的一切，可悲的是，我们大多数人都不会生活在这样的天堂中，但是看着Liziqi向我们展示了她的生活，这是一个愉快的事，每个人都在新年快乐。
6179,Ugy8sLC6i29B3ZJzTjN4AaABAg,0,2 years ago,liziqi and you are doing what good morning beautiful pork and mine,liziqi，你正在做早上好美丽的猪肉和我的
8847,Ugz35ARBZuxac2gWVfB4AaABAg,0,2 years ago,liziqi you are making me realize that what i am doing everyday is nothing,liziqi你让我意识到我每天都在做什么，没什么
8818,Ugx4ETW3GnInlQRX0HF4AaABAg,0,2 years ago,liziqi q,Liziqi
6306,Ugw76rqofprmMJ4GoeB4AaABAg,0,2 years ago,forever love you liziqi,永远爱你liziqi
8687,Ugx5pL58h4jn0Jodi514AaABAg,0,2 years ago,love you liziqi .....a lot love from bangladesh. ..❤❤❤❤❤,爱你liziqi .....来自孟加拉国的很多爱。 ..❤❤❤❤❤
3941,UgzuIdhoas05ZJzTNfZ4AaABAg,0,1 year ago,one thing i like about liziqi is she does not feature slaughteringnof animals in her videos unlike dianxi which is not comfortable for many to hear or see,我喜欢Liziqi的一件事是，她在视频中没有屠杀动物，而与Dianxi不同，这对许多人来说并不舒服
13841,UgzYMETrJFhhBjdRHM54AaABAg.9BNOqMxeC_59CVE6HzSmBc,0,2 years ago,she has her own brand haha the brand name is her name liziqi,她有自己的品牌哈哈，品牌名称是她的名字liziqi
20510,UgzNQJ781bCZWIdkHyJ4AaABAg,0,3 years ago,liziqi thanks for teaching me how to make fried peanut,liziqi感谢您教我如何制作炸花生
13844,Ugw6-JSLKheBCrNZ82N4AaABAg,0,2 years ago,this video changed my life. i love you liziqi. thank you for bringing peace to us through your videos. ❤,这个视频改变了我的生活。我爱你liziqi。感谢您通过您的视频为我们带来和平。 ❤
2517,UgxhSZPPGcJzP6iPUgN4AaABAg,0,1 year ago,there is all about liziqihttps://m.youtube.com/watch?v=otorjoc0gym,关于liziqihttps：//m.youtube.com/watch？v = otorjoc0gym
2539,UgxcKt0X-vw6ilId_8p4AaABAg,0,1 year ago,"under the new channel of liziqi, she can see her previous video. does that indicate that li ziyi won?",Liziqi的新频道下面能看到她以前的视频，那是不是说明李子柒赢了？
18769,UgzuGgbZKIweJCvago94AaABAg,0,3 years ago,hi liziqi wanted to know how to do these foods you do so easy but i can't you are a nutritionist i'm asking why you don't get fat i'm struggling to lose weight just don't understand your speech,嗨，liziqi想知道如何做这些食物，你做这么简单的食物，但是我不能，你是一个营养学家，我问你为什么不胖，我努力减肥，只是不明白你的演讲
2599,UgyyPiuILFTSgJYBlhh4AaABAg,0,1 year ago,i just wanted to steal liziqi house,我只是想偷利兹奇的房子
18628,UgzrKzeYZrQYnpf1cKt4AaABAg,0,3 years ago,liziqi is soooooooo pretty and so hard working,liziqi非常漂亮，很努力地工作啊，现在我迷上了她
18605,UgzRbUhXHf0OU49Mz4N4AaABAg,0,3 years ago,"my favorite , thanks liziqi !!!",我最喜欢的，谢谢Liziqi！
18429,Ugz52NCPpr9Ivm6_ppt4AaABAg,0,3 years ago,pata nahi kyu liziqi mujhe ab thora doubtfull lagati .. china government is with her,Pata Nahi Kyu Liziqi Mujhe Ab Thora dounalfull Lagati ..中国政府与她同在
2642,UgyZ3q6ap-2iPQZR5dV4AaABAg.9XG_cHHUo9u9o7Ce6hPeCM,0,2 months ago,help liziqi to get her youtube chanel back to her,帮助Liziqi将她的YouTube Chanel带回她
18413,Ugywthbw5xD_kH-5yXt4AaABAg,0,3 years ago,"love you liziqi..... your very lucky girl.
from srilanka","爱你liziqi .....你非常幸运的女孩。
来自斯里兰卡"
18222,Ugy7yk698EhZqMCeDVV4AaABAg,0,3 years ago,"liziqi beautiful kid ....
he loves his grandmother so much ...
they live in a place that is so beautiful ....
like in heaven ......","liziqi美丽的孩子。
他非常爱他的祖母...
他们住在一个如此美丽的地方。
就像天堂一样……"
2665,UgwoQ2QH-0xUU2vlLPl4AaABAg,0,1 year ago,"god protect you and protect your family always, liziqi",上帝始终保护你并保护你的家人，liziqi
18185,UgwWrS2oIL4YyE1bfsl4AaABAg,0,3 years ago,liziqi@ what you put to melt marshmallows? :))))(,liziqi@您投入了什么融化棉花糖？ ：））））（
18160,UgzdKnlGj5bu9zq8w614AaABAg,0,3 years ago,"the industrious ms liziqi & her adorable, animal entourage ^^^",勤奋的Liziqi女士和她可爱的动物随行人员^^^
2678,UgylCJqCw0cnERGrEhl4AaABAg,0,1 year ago,hi liziqi sister . please ripley me,嗨，利兹奇姐妹。请我
2689,Ugxa2XQgoBs8c-UAMlZ4AaABAg,0,1 year ago,"ganbatte, liziqi!","Ganbatte, Liziqi!"
18058,UgxVraA_mccS3cLu2IB4AaABAg,0,3 years ago,can you upload more videos please liziqi... i miss your videos,您可以上传更多视频吗，请Liziqi ...我想念您的视频
2782,Ugysk3fN1LFt4zR-ddp4AaABAg,0,1 year ago,we miss you liziqi. plz come back,我们想念您Liziqi。请回来
17955,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv9_ld2I1JmtS,0,1 year ago,liziqi is mulan turned into real human,liziqi是木兰变成了真正的人类
