,cid,votes,含beautiful,含beautiful中文翻译
4163,UgxVSZwdcZ2DsCRl5ed4AaABAg,0,"she is beautiful, truth",她很漂亮，真相
4160,UgyQGnbBpVhSqcyaEz14AaABAg,0,"please be encouraged and will be fc. you are always following. you are very good. beautiful people make it more beautiful, and some of the cases of the general person.",请鼓励并将成为足球俱乐部。您一直在关注。您非常好。美丽的人使它更加美丽，还有一些普通人的情况。
4097,UgzLPSKYxcvD6SLBrI94AaABAg,0,you are very good. beautiful people will follow her every time.,你很好。美丽的人每次都会跟随她。
4054,UgwMljk4-zUf-ZUTOsJ4AaABAg,0,"awesome, like so beautiful",太棒了，就像如此美丽
3915,UgxhQcgAjZkZNm1Gngx4AaABAg,0,already beautiful good at cooking wow,已经很漂亮擅长烹饪哇
3908,Ugzq8ToZKfpbgSHmbD14AaABAg,0,food looks good and she is beautiful,食物看起来不错，她很漂亮
3681,UgxJla41j00cCj5FunR4AaABAg,0,hello beautiful good night my precious lady rests,你好美丽的晚安我的宝贝女士休息
3677,UgySOrwHqsyeldwCAdB4AaABAg,0,so beautiful,如此美丽
3570,UgzBuyHD1M5isd7D_bZ4AaABAg,0,beautiful nature,美丽的自然
3270,UgxoC45CiFEvyT62zLR4AaABAg,0,your blog is so beautiful,您的博客是如此美丽
3559,Ugy15CfmZQDUv4vGcfx4AaABAg,0,"you are beautiful and good at cooking, it looks like you will be a wife who is very loved by your husband later",您美丽而擅长烹饪，看来您将是一个妻子，以后被您的丈夫非常爱
3549,UgxCsbkEYu86uA50zHB4AaABAg,0,you are all rounder.all videos are beautiful.and you also,你们都是圆形的。所有视频都很漂亮。
3540,Ugy5eGUZU9RJvMazudF4AaABAg.9NvtqVXNXHX9Nxi6VWWbw-,0,"@xiaoshengshou818
thank you for commentary.
it is really good to watch this video from art and beautiful eyes.","@xiaoshengshou818 
谢谢解说。
的确以艺术以及唯美的眼光看这个视频很是不错的。"
3460,Ugwgg31URBKsCZu8dRd4AaABAg,0,china is so beautiful lol,中国是如此美丽大声笑
3457,UgxZmksWwNV_rGanH-N4AaABAg,0,beautiful,美丽的
3441,UgxO_-f9OZgMJfqLFoF4AaABAg,0,what a beautiful life,多么美好的生活
3419,Ugzt5L6uIhVlx6YNpP14AaABAg,0,"this is freaken beautiful but its a difficult life. you work your ass off for every single meal. every meal is prepared and planted months in advance. if u dont keep up you go hungry. if there is a shortage, or the crops dont yield as plan, you go hungry. my family has lived this life and while its simple, its hard, very boring, and u basically dont know what is going on in the world. you yearn for new clothes, technology, education, and sometimes a big mac.",这真是太美了，但它是一种艰难的生活。您每顿饭都要做屁股。每顿饭都是准备好几个月的。如果你不跟上，你饿了。如果短缺或农作物不屈服于计划，您会饿。我的家人已经生活了这一生，尽管它简单，艰难，非常无聊，而且您基本上不知道世界上发生了什么。您渴望使用新衣服，技术，教育，有时甚至是巨无霸。
3372,UgwoQadoeX60xMq0yOh4AaABAg,0,beautiful,美丽的
3284,UgyPGUe9aVwJ9sg407l4AaABAg,0,you are beautiful,你 很 漂亮
11859,UgzrqQzro_XJy3cqual4AaABAg.97BYASCbpj797GNlzmTRlX,0,was very beautiful and enjoyable;,非常美丽和愉快；
11861,UgzrqQzro_XJy3cqual4AaABAg.97BYASCbpj797GNoH2EKfa,0,was very beautiful and enjoyable;,非常美丽和愉快；
20636,UgxgQaoytko3uCx5CSx4AaABAg,0,"beautiful scenery, fresh village atmosphere",美丽的风景，新鲜的乡村气氛
16932,UgxU1Lr_cOGIimr5POB4AaABAg,0,you have very beautiful videos,你有非常漂亮的视频
17397,UgwEcwf02i7jcmlMP1J4AaABAg,0,very beautiful,很漂亮
17396,Ugy49okqSeNm5PoDTGd4AaABAg,0,"you are so beautiful, you are so beautiful, you are so beautiful",你真美 你真美 你真美
17369,UgxIcLEJe93FJ6e-W1Z4AaABAg,0,"there is a comment that her videos are not real rural villagers. just like the wedding dresses placed on the table on the table, the original daily icon oil, salt sauce vinegar tea may not be so beautiful.",有句评论很中肯，她的视频不是真的农村乡野生活，就跟夫妻摆在台面上的婚纱一样，夫妻原本的日常柴米油盐酱醋茶可能并不那么美好
17347,Ugz4R3gxKzICr6qs9kt4AaABAg,0,you’re so beautiful and talented. marry me?,您是如此美丽和有才华。嫁给我吧？
17328,UgxbsUBHiGMUxfl6u8R4AaABAg,0,"i'm from indonesia,me like your cooking.smart,beautiful& inspairing",我来自印度尼西亚，我喜欢你的烹饪。
17317,UgxUhZRXnCFqBeOvkWl4AaABAg,0,beautiful. i love it.,美丽的。我喜欢它。
17289,Ugz-imWyG6aVpKpz5SR4AaABAg,0,the beautiful pastoral scenery is far away from the bustling city. this kind of life is too comfortable,真美的田园风光，远离繁华都市，这样的生活太舒心了
17242,UgzQCzWEr42mI7D1zDx4AaABAg,0,this girl is so beautiful,这女孩太好看了
17216,UgwAoOPE44ZKCBvkM8h4AaABAg,0,lovely young woman who works her tail off and appears to make it look easy.thank you for sharing your beautiful life for this brief video,可爱的年轻女子，她的尾巴努力，似乎使它看起来很容易。谢谢您为这个简短的视频分享美丽的生活
17207,UgzT_efSLFpt5TqqA1p4AaABAg,0,"your picture and music are beautiful, making me feel that this powder is sweet rather than smelly. bad review.",你的画面和音乐优美了，让我觉得这个粉是甜的而不是臭的了。差评。
17201,UgzlvhTjDacLBb4W0x14AaABAg,0,"there is something very unique about your videos, can't put my finger on what. but i know it's beautiful.",您的视频有一些非常独特的东西，无法掌握我的手指。但是我知道它很漂亮。
17193,UgyjvY9Xdz59O2PkwIB4AaABAg,0,beautiful,美丽的
17188,UgwuWNMwgW3GPNBr9wp4AaABAg.92n0J4PjzxQ92nEWyjmDku,0,"you are not born in a backward countryside. when we were young, we were like li ziyi, even more tired than li ziyi! i am in the south of gansu, close to sichuan, but li ziyi photographed more beautiful",你没有生在落后的农村，小时候我们都是像李子柒这样的，甚至比李子柒干的还累！我在甘肃南部，接近四川，只是李子柒拍出来比较唯美
17143,Ugw3V4mfinrYvtP86iJ4AaABAg,0,wow ~ so beautiful little sister,哇~好漂亮的小妹妹
17069,UgzdhE3AeDUveRjjWc54AaABAg,0,just beautiful！,只是美丽！
17064,UgzNJb2-itVl0UeRK7J4AaABAg,0,"beautiful scenery, beauty, food",美景，美人，美食
17054,UgxrtjuAB3WS50r2pdJ4AaABAg,0,she is so beautiful,她好漂亮噢
17053,UgxgFMq1q0DpYAHjisp4AaABAg,0,funny how capitalism has crushed most of this type of lifestyle in america. there is so much beauty in the simplicity of living like this. oh yeah!!...she just happens to be beautiful too.,有趣的是，资本主义如何压制美国大部分这种生活方式。像这样的生活的简单性如此之多。哦，是的！...她也恰好很漂亮。
17018,UgwWp35PMVnMmZwRh6V4AaABAg,0,she’s very beautiful in her own way.,她以自己的方式非常美丽。
16997,UgyWuDY5MnLIMa1QLO54AaABAg,0,"i would never cook these things yet it's i m watching ,it's beautiful!!",我永远不会做这些东西，但我看着，它很漂亮！
16973,Ugydeqn6J1wEZt6qR2R4AaABAg,0,it feels very beautiful (✪ ▽ ✪),给人的感觉就特别美好(✪▽✪)
17398,UgzKg8WKZTfBELDfwtR4AaABAg,0,"hope i can marry a strong woman like her... hardworking, very capable, woman of few words and beautiful...(quite rare these days)...",希望我能嫁给一个像她这样的坚强的女人...勤奋，能力很强，几乎没有言语和美丽的女人...（这些天很少见）...
17406,UgxDbxjIyzmj4tBISs94AaABAg,0,so beautiful. i don’t understand why someone presses dislike,太美了。不懂为什么会有人按dislike
17413,UgwV-uzw6206Qx2IoKZ4AaABAg.92kaKG0I8dO92oP2CXCPXy,0,@dexter_7883 hey dude...even m saying she is..the only thing i want mention is she a simple and beautiful..dnt mind with my comment if u don't like..,@dexter_7883嘿，伙计...甚至我说她是..我唯一要提及的是她一个简单而美丽的..如果你不喜欢的话，我的评论不在乎..
17717,Ugyq20sSrsHj5YXUi2l4AaABAg.92huIBS1Mwn92vBh3tszhk,0,"she lives in sichuan - home of really spicy cuisine and beautiful scenery. it's also a place that experiences a lot of earthquakes resulting in significant death tolls. mother natures gives and taketh. this river snail dish she made is a bit stinky though, but is very popular in china right now.",她住在四川 - 真正辛辣美食和美丽风景的家。这也是一个经历大量地震的地方，导致重大死亡人数。母亲的天性给予和take。她制作的这条河蜗牛菜有点臭，但现在在中国很受欢迎。
17873,Ugyhu1ms39aXiSdq2Ll4AaABAg,0,"it's really beautiful, no wonder she can succeed ~",真的太美了，怪不得她能成功~
17851,UgxtOOPCby9QGqhZ_Vp4AaABAg,0,girl is so beautiful,姑娘好美
17846,UgxQAz3_kgT3zbHRsdV4AaABAg,0,amazing lovely indostrious beautiful angelic woman...liziqi.,令人惊叹的可爱的印度美丽的美丽的天使般的女人... liziqi。
17820,Ugwe7ySLUeUiFUgf-eN4AaABAg,0,how beautiful is china without the communist party?,没有共产党的中国是多么的美好
17818,UgyMOcPcW7T-CJcgM4Z4AaABAg,0,"it is amazingly beautiful , so nature.",它非常美丽，所以大自然。
17760,UgwMdrhf7-GUJy1-_-94AaABAg,0,"you could say right,im not rich enough like those millionaires,but im more handsome or beautiful than em.you could say i dont care if he/she more handsome or beautiful than me ,take my money and shut the fuck up. 
when u stand before liziqi,ok girl.you win.totally win.","您可以说对了，我不像那些百万富翁那样富有，但是我比Em更帅或美丽。您可以说我不在乎他/她是否比我更帅或美丽，拿我的钱闭嘴。
当你站在liziqi面前时，好吧，你赢了。"
17758,UgzB_ykprJVw4z8qAWN4AaABAg,0,why should she be insanely beautiful?,她为什么要疯狂美丽？
17726,UgzASYz-k43eGdwhWFp4AaABAg,0,"find a husband to live, a person is beautiful, and the immortal is good enough, maybe it may seem lonely and cold.",找个老公过日子吧，一个人干活美则美矣，仙也够仙，未必显得孤寂清冷
17725,Ugw6lOkzLrhblbicv1h4AaABAg,0,"her life is beautiful and gentle, despite fatigue",尽管疲劳，她的生活是美丽而温柔的
17670,Ugw3fJi3HFp69a-J78J4AaABAg,0,"mountain beauty, beautiful water, beautiful food, more beautiful people",山美，水美，食物美，人更美
17417,UgwV-uzw6206Qx2IoKZ4AaABAg.92kaKG0I8dO92prFA4oTNz,0,"this is a perfect and beautiful life style,many people in china also aspire living like her,especially those people living in big city.",这是一种完美而美丽的生活方式，中国的许多人也渴望像她一样生活，尤其是那些居住在大城市的人。
17573,Ugwo-jIJlYgPF6PuyDJ4AaABAg,0,"this woman is too capable, and the rural areas are so beautiful",这女的太能干了，农村真漂亮
17563,Ugy5SAoSsxNpoKMsSIB4AaABAg,0,so nice so beautiful,好漂亮
17562,UgwUHeulyDUIu8PMsq54AaABAg,0,"li ziyi is really virtuous and beautiful, with a clever heart, very good chinese girl!",李子柒真的贤惠漂亮，心灵手巧，很赞的中国姑娘！
17509,UgyHQ3rDnAfyC1iDK6x4AaABAg,0,this is too beautiful,这也太漂亮了
17505,UgxI3WdcYSohHc3vtRN4AaABAg,0,beautiful village ☺️,美丽的村庄☺️
17479,UgyfjdYFc48YPdO2Jvp4AaABAg,0,"beautiful, traditional chinese food culture.来 we also bring food to africa",好好吃，中国传统美食文化。
17468,UgzDE_hq5hPKVCAvSsB4AaABAg,0,it's so beautiful here!,这里好漂亮啊！
17447,UgxwP5sr-dm5KOjqpDd4AaABAg,0,"i always like white women,but she change my view,chinese in sichuan also white and beautiful",我一直喜欢白人女人，但她改变了我的看法，四川中文也是白人和美丽
17444,UgxlhpAQvJaHV3nSC-d4AaABAg,0,"not sure how i ended up here, but i have subscribed after just a couple of minutes. this is so incredibly well filmed and so peaceful to watch. simply beautiful and fascinating.",不确定我是怎么回到这里的，但是仅几分钟后我就订阅了。这是如此令人难以置信的拍摄，非常宁静。简单美丽而有趣。
16947,UgyS09LGqDwWX4UtY7N4AaABAg,0,beautiful place ❤️,美丽的地方❤️
16876,Ugxn2HXbv1jvIkm5D4d4AaABAg,0,beautiful ❤️ love this place,美丽❤️爱这个地方
17881,UgznT0SM6EMyYmlr_h54AaABAg,0,"girl, you are so beautiful, where are you taking a video?",姑娘 你真美 你拍视频是在什么地方啊
16821,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI939I-zIHADG,0,"@tehkettybear lol, you would love to see the fact and truth, why don't you watch news, you will see street gun fighting in american, that is the most beautiful scene in america.",@TehkettyBear大声笑，您希望看到事实和真理，为什么不看新闻，您会看到美国最美丽的场景中的街头枪支战斗。
16402,Ugzh1lJ1iaoKvh0xrj94AaABAg.92voVh6WAp292wgF2aL99e,0,"brother taiwan hates the heavenly dynasty, so he hates everything in the dynasty, so his eyes are blinded, and you turn a blind eye to see beautiful things. don't you think it's sad to live in hatred?",兄台你痛恨天朝，所以痛恨天朝的一切，于是双眼被蒙蔽，对美好的事物视而不见。你不觉得一直活在憎恨中很可悲？
16368,Ugz9gkm87-UAwTYpSx54AaABAg,0,mbaks a beautiful beautiful tolek .. here you got a good rabb,mbaks一个美丽的tolek ..在这里你有一个很好的兔子
16367,UgzmztNKTIKnLWpIivx4AaABAg,0,"beautiful, good at cooking, love parents, diligent, all done alone, dream wife ..",美丽，擅长烹饪，爱父母，勤奋，都独自完成，梦dream以求的妻子。
16333,Ugxcy1b84S135aP_fA94AaABAg,0,living in paradise. beautiful.,住在天堂。美丽的。
16296,UgzMuOTuKKjzD3u9KTF4AaABAg,0,"i like her so much.. she is beautiful and smart ,all her videos is interesting and beautiful..",我非常喜欢她..她美丽而聪明，她所有的视频都很有趣又美丽。
16195,UgwGCyWFNIS_IlM90lN4AaABAg,0,"if i could get a woman like you. crafted, creative and beautiful. really happy :)",如果我能得到一个像你这样的女人。精心制作，富有创造力和美丽。非常开心 ：）
16186,UgyrQIQbe5dQFlBLJXx4AaABAg,0,china is very beautiful,中国很漂亮
16171,Ugwo_fy7hd-gaLexAwt4AaABAg,0,beautiful life with nature art. remeber me of shenmu videogame,自然艺术的美丽生活。记住我的shenmu电子游戏
16164,Ugznz2b5IDa1Wgd7n8d4AaABAg,0,my god that food looks so yummy...very talented and beautiful young lady,我的上帝，食物看起来很美味...非常有才华和美丽的小姐
16126,UgzUOSX0lIbNswSky9N4AaABAg,0,fantastic! beautiful work! brazil,极好的！美丽的作品！巴西
16083,UgyAEkxP1fp6JJJTrtZ4AaABAg,0,"beautiful place , food looks delicious gorgeous girl , what place is this",美丽的地方，食物看起来很美味的美丽女孩，这是什么地方
16082,Ugx078lyTrNpEBqYtPB4AaABAg,0,quiet and beautiful!,安静唯美！
16063,UgzFQQ1EtMPLbynV31x4AaABAg,0,the best beautiful woman of the world,世界上最好的美丽女人
16059,Ugyz07F6PPDIEDGCh414AaABAg.93-c4U3C9BY932R7nYzZxR,0,"whoever marries her is blessed by her and the god.

i am a taiwanese boy

miss li is really sweet -hearted and beautiful

a fragrance of turbid dust

i hope that in the ancient spiritual trajectory, you can encounter more fresh and noble souls like you

thanks!","Whoever marries her is blessed by her and the God.

我是台湾男生

李小姐真是脸甜心善人美

混浊尘世的一道清香

希望在亘古的精神轨迹中能够遇到更多像妳这样清新脱俗的高贵灵魂

谢谢！"
16055,UgzGuOUOQ_V68cHaMWp4AaABAg,0,it's so beautiful or beautiful,好美 事物还是人也好美
16053,Ugz-dn7bUydAgh0GiH54AaABAg,0,beautifully place,美丽的地方
15992,Ugw3auJW6P_MTs_yRr94AaABAg,0,"those who say that there is no such beautiful place in china, the video is edited by the studio, and that only people who have not been to china believe it. you can only lie on youtube, china's beautiful place not only liziqi' home, there are many places you have not been to and have not seen, i feel sad for you, you have never seen the beautiful world.",那些说在中国没有如此美丽的地方的人，该视频是由工作室编辑的，只有那些没有去过中国的人才相信这一点。您只能躺在YouTube上，中国美丽的地方不仅是Liziqi的家，而且有很多您从未去过和没有见过的地方，我为您感到难过，您从未见过美丽的世界。
15936,Ugx0SgUwJuU0yn9ZAU94AaABAg,0,it's a beautiful woman ~ the life power is strong ~,这是一个美丽的女人〜生活力量很强〜
15928,UgwMRdT6Ru8x4_2Pj554AaABAg,0,"why does she look like a model? with that kind of labor and hard work every day, there's no way her skin will be so flawless. beautiful video but she makes it look easier than it really is.",她为什么看起来像模特？每天都有这样的劳动和努力工作，她的皮肤绝不会如此完美。美丽的视频，但她看起来比实际更容易。
15924,UgyJUkeaP5GLqmepKvx4AaABAg,0,"from the idea of foraging fresh bamboo shoot which i have never had, to the brilliant fermenting clay pots, to the hearth broiled ashen pepper sauce, to the beautiful cowpea garden, to the way you fry bits of dry soy bean curd... as someone who used to live in an american chinatown and is picking up on asian cooking techniques i was amazingly inspired and impressed by this video. you are a wonderful person.",从觅食我从未有过的新鲜竹芽的想法，到鲜艳的发酵粘土锅，到炉烤胡椒酱，到美丽的牛皮花园，再到您炸干豆豆豆豆的方式...一个曾经住在美国唐人街并且正在接受亚洲烹饪技术的人，这段视频给我留下了深刻的印象。你是一个很棒的人。
15879,UgxzEMfSLraIhcd2IPp4AaABAg,0,"because of all the totalitarianism and bad politics of china, i forgot how beautiful the country side of china really is.",由于中国的所有极权主义和糟糕的政治，我忘记了中国国家的真正美丽。
16403,Ugzh1lJ1iaoKvh0xrj94AaABAg.92voVh6WAp292wpw_CMgZq,0,"beautiful food and tranquil life are expressed in this video. but you preset the theme -showing the aesthetics and preset tone of ordinary people -the chinese people are suffering. people like you will only get more and more painful, i advise you to let go of his obsession",美好的食物和恬静的生活是这个视频所要表达的。而你却预设主题——表现普通百姓的生活审美、预设基调——中国人民苦大仇深。像你这样的人只会越来越痛苦，我劝你放下执念
16415,Ugz7fVxN7X-MG39wMKV4AaABAg,0,wow ! amazing nowadays girls are more dependent by family..i always love her video..the forest give much.n it's rich she is beautiful she can be an actress..,哇 ！如今，神奇的女孩更依赖家人。我总是喜欢她的视频。森林给予了很多。
16424,Ugxv80nnGt3iyP2k4SV4AaABAg.92vfkD3X4aU92wgbPKTaHX,0,"with my understanding, i have adopted multiple shooting methods, and there are no opportunities. editor is very talented, very beautiful",以我的了解，是采用了多次拍摄的手法，并没有多机位。 editor很有天分，非常有美感
16656,UgxMeKYhrG0V2YIGoax4AaABAg,0,it's so beautiful where you are. thank you for sharing this.,你在哪里真漂亮。感谢您分享这一点。
16819,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI939GSd-UH31,0,"emily huang my grand parents live in henan. things are better now but they are still poor. there was still no toilet in the house in the country, concrete floors, and the river that used to be there when i was little got filled with trash. dirt mounds everywhere...no trees, rivers, natural beauty. it looked like poor parts of mexico. i went into the city and was told i couldn’t #2 in the toilet because it would clog the plumbing so it was for show only. sorry, but the infrastructure is just not there. the standard of living is just worse compared to the us. 5-star hotel in china is really 3-4 depending on the city.

maybe where liziqi lives in sichuan there’s is more natural beauty but there is lots of dirt and construction and decrepit stuff she probably doesn’t show on camera.

she’s talented for sure to be able to make her environment appear beautiful on camera. i’m not really jealous. good for her. 

not sure why you need to call me a bitch but if you think ikea is nice you got issues.","我的祖父母艾米丽·黄（Emily Huang）住在河南。现在情况更好，但它们仍然很差。该国的房子里仍然没有厕所，混凝土地板，当我很少被垃圾充满时，曾经在那里的河流。到处都是泥泞的土墩...没有树木，河流，自然的美丽。它看起来像墨西哥的贫困地区。我走进这座城市，被告知我不能在厕所里排名第二，因为它会堵塞管道，所以只能表演。抱歉，但是基础设施不存在。与美国相比，生活水平差得多。根据城市，中国的5星级酒店实际上是3-4。

也许Liziqi居住在四川的地方有更多的自然美景，但是她可能不会在相机上展示很多污垢，建筑和衰老的东西。

她一定有才华，能够使自己的环境在相机上显得美丽。我不是真的很嫉妒。对她有好处。

不知道为什么您需要称呼我为母狗，但是如果您认为宜家很好，您会遇到问题。"
16769,UgylweSoKPookEcP3gN4AaABAg,0,"this girl looks pretty, everyone is not beautiful and smooth",这个女孩看起来很漂亮，每个人都不漂亮又光滑
16760,UgwblwxtDuONAfhcGlt4AaABAg,0,hope beautiful can continue,希望美好可以延续下去
16755,UgzLkQKvBYmggTIz23h4AaABAg,0,this site so beautifully,这个网站是如此精美
16754,Ugx-pQMtzoG4jpl2RpJ4AaABAg,0,extremely beautiful.,极其漂亮。
16725,Ugzq9mf3t_JG1fPFCAJ4AaABAg,0,shenhua is so beautiful but where is ryo hazaki?,Shenhua是如此美丽，但是Ryo Hazaki在哪里？
16704,Ugw6PiA1AxglO7PEKfd4AaABAg,0,"the shot was beautiful. however, the snail powder was born in liuzhou in the 1980s. it is a night -stall food and has no tradition of rural areas.",拍得很美。不过螺蛳粉诞生于1980年代的柳州，是夜摊类的美食，并没有田园的传统。
16687,Ugz-_xEGQkbBtMBy7Sx4AaABAg,0,this is not real life in the chinese countryside but no one claims it is. the point is if you care you can really make the life in the chinese countryside so beautiful and make you aspire to live there.,这不是中国乡村的现实生活，但没有人声称是。关键是，如果您在乎，您确实可以使中国乡村的生活如此美丽，并使您渴望住在那里。
16678,Ugw3vElIGFEIq5vIX3B4AaABAg,0,mountain beauty beauty is more beautiful,山美水美人更美
16610,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H932R3YBEt8b,0,"whoever marries her is blessed by her and the god.

i am a taiwanese boy

miss li is really sweet -hearted and beautiful

a fragrance of turbid dust

i hope that in the ancient spiritual trajectory, you can encounter more fresh and noble souls like you

thanks!","Whoever marries her is blessed by her and the God. 

我是台湾男生 

李小姐真是脸甜心善人美 

混浊尘世的一道清香 

希望在亘古的精神轨迹中能够遇到更多像妳这样清新脱俗的高贵灵魂 

谢谢！"
16430,Ugzcphl_AsrucQtxoLd4AaABAg,0,what a beautiful lady. will you marry me?,多么美丽的女士。你愿意嫁给我吗？
16518,Ugxwe0hh48ynySoLQkx4AaABAg,0,"the shooting is so good, better than jinzheng garbage, and more beautiful than society, haha",拍得真好，比金坷垃美丽比社会摇真实，哈哈
16513,UgxgAs4BDkp0kFzEmjJ4AaABAg,0,what camera do you use? it looks always so beautiful.,您使用什么相机？它看起来总是那么美丽。
16502,Ugx5va2TT26aqR4zfCF4AaABAg,0,beautiful ... beautiful chinita,美丽...美丽的Chinita
16500,UgxWbpLU4RFGH-ZfINR4AaABAg,0,you can shoot so beautifully for food programs,美食节目也能拍得这么美
16490,UgzBqeoqwRQuO7wGjT94AaABAg,0,who is taking these beautiful shots? big thumbs up..,谁在拍这些漂亮的镜头？大拇指
16483,UgyClNhSrmo_2MuVmeN4AaABAg,0,this girl is so beautiful i want to go to liuzhou to find you and wait for me,这个妹子好漂亮 我要去柳州找你 等我
16477,UgxcWd8o3mntN--Moi54AaABAg,0,"my sister is a beautiful time, what is the perpetrators",我姐姐是一个美好的时光，肇事者是什么
16455,UgzL8K4z8UNHfd64alt4AaABAg,0,probably every man would like to have such a beautiful wife,大概每个男人都想有一个如此美丽的妻子
16448,Ugw3ELFRY7BjeL_xoXB4AaABAg,0,"a dexterous, hard worker, beautiful, filial piety, wonderful women, happiness lasting for a long time.",一种灵巧，勤奋的人，美丽，孝顺的虔诚，美好的女人，幸福持续了很长时间。
17874,UgyCfIFRdK7_DLC2OHt4AaABAg,0,the scenery is more beautiful. can the food be delicious? too much love,风景更美丽。食物可以美味吗？太多爱
17908,Ugz-UfH4sC5_JexyZuR4AaABAg,0,"beautiful! people are outstanding, the kingdom of tianfu!",美！人杰地灵，天府之国！
11875,UgxPEE1npvHxmNYlA0B4AaABAg,0,"what a delight, you are an exeaching boss, besides being beautiful, congratulations !!",多么高兴，除了美丽，恭喜之外，你是一个遥远的老板！！
19560,Ugz7Q1JeCfwvuS81r3x4AaABAg,0,"what a beautiful place, a good and beautiful girl. can you tell me where is this?",好美好美的地方，好能干又美丽的姑娘。能告诉我这是在哪里吗？
20162,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ92ALdC7vogO,0,"@ayumuchorizo4486 well ayumu it is soon to become a reality. all of the ancient prophetic writings point to beautiful bright naturally low stress love based world system after the catastrophic end of the current system.
a lot of people consider it a pipe dream but all the prophecies regarding times gone by have been dead on. so no reason to doubt the rest will turn out also","@Ayumuchorizo​​4486 Ayumu很快就会成为现实。所有古老的预言著作都表明，当前系统的灾难性末端之后，美丽的明亮自然低压力的基于压力的世界系统。
许多人认为这是一个白日梦，但是关于过去时代的所有预言都已经死了。因此，没有理由怀疑其余的也会发现"
20161,Ugy2JIei5Rk0MEDBhgF4AaABAg.919L3UszMwJ922vUplvhCP,0,beautiful thought.....unfortunately not.,美丽的想法.....不幸的是不是。
20140,UgyJifvjGVNJ4qJqgHd4AaABAg,0,your country so beautiful enjoy the girl,你的国家如此美丽享受女孩
20083,UgzWbwdRLQJQgwHyiFV4AaABAg,0,you are very beautiful and charm 和,你非常美丽和魅力
20081,Ugxx0-6ESqWs0z4jwm94AaABAg,0,"it will apologize more here in my cities there are chinese living where they have bars snack. moreover, you showed the menu everything passed more those snails god that free me. i won't make a point of approaching them because of the beautiful chinese i saw and smile at me, no! . never mind! let it eat snail even if the tussian cow. no!",它将在我的城市道歉，那里有中国居住，那里有酒吧小吃。此外，您向菜单展示了一切都通过了更多的蜗牛上帝，使我释放了我。由于我看到的美丽中国人并对我微笑，我不会与他们接触，不！ 。没关系！即使杜​​斯牛也要吃蜗牛。不！
20079,Ugxf4LG3yQPPT2itASx4AaABAg,0,so beautiful i like very of your videos congratulations i wastching everything.,如此美丽，我非常喜欢您的视频恭喜，我浪费了一切。
20044,UgxAGA3vh4IW9skZoPR4AaABAg,0,beautiful,美丽的
20006,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9ZCDXZ_blwO,0,"some people think it’s too staged, too fake. however, she openly admits there is a production team behind the whole thing. watch it as a reality show or cooking show. it’s beautiful and relaxing. don’t assume it’s a documentary of any ordinary chinese country. it is not, and she never claimed it to be.",有些人认为它太伪造了。但是，她公开承认整个事情背后都有一个生产团队。将其视为真人秀或烹饪节目。美丽而轻松。不要以为这是任何普通的中国国家的纪录片。不是，她从来没有声称这是。
20005,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9Y_rdmWjOIV,0,"hello, i invite you to watch a very beautiful and attractive video of cooking sour meat and playing in the snow and building an eskimo house in the jewel of ramsar in northern iran : https://youtu.be/wwqwqqybzkm",您好，我邀请您观看一个非常美丽而有吸引力的视频，烹饪酸肉，在雪地里玩耍，在伊朗北部拉姆萨尔（Ramsar）的珠宝中建造一所爱斯基摩人的房子：https：//youtu.be/wwqwqqybzkm
19891,UgxP2wloISQIFlGoNNV4AaABAg,0,beautiful n sweet pinter cooked,美丽的n甜pinter煮熟
19869,UgxkfpwJU9Xm_ZA2I2Z4AaABAg,0,very beautiful girl),很漂亮的女孩）
19865,UgwdlIjifZ-jCl0RKRR4AaABAg,0,"hello from what i know, life propagated by this charming woman does not look so cute in the chinese countryside. the expansion of cities makes beautiful and peaceful villages turn into stinking and complained gutters, with highly processed food, and people eat it. and about such food that this beautiful lady presents, they can only dream about ... and this is sad. fate has prepared",您好，据我所知，这个迷人的女人在中国乡村看起来并不那么可爱。城市的扩张使美丽且宁静的村庄变成了臭味，并抱怨沟槽，用高度加工的食物和人们食用。关于这位美丽的女士展示的这种食物，他们只能梦想……这很可悲。命运已经准备好了
19863,UgxfaRgMIzFAVfrE7uB4AaABAg,0,whats nature beauty ..how beautifull i m amazinggg love uu,什么大自然美女..美好我很棒
19862,Ugx4bAa-cZIqsvHqnCt4AaABAg,0,beautiful ka greetings from indonesia,来自印度尼西亚的美丽KA问候
19845,Ugwi8Nd_cJOm7bobSUF4AaABAg,0,this is beautiful and brilliantly done.,这是美丽而出色的。
19838,UgxEr37bx_TYL7H6P014AaABAg,0,this beautiful woman slk kkkkkkk i would marry them easy she is amazing kkkkk,这个美丽的女人slk kkkkkkk我会嫁给他们轻松的她很棒的kkkkk
19801,Ugxg4RJ2ECK45XeSY0x4AaABAg,0,"i thought that beautiful and hardworking girls were only in fairy tales.
you are just amazing!!!","我以为美丽而勤奋的女孩只是在童话中。
你真是太神奇了！！！"
