,cid,votes,time,含video,含video中文翻译
14471,UgwC1BG8OG690PtX4iB4AaABAg.94C3z5UoImQ99Iom1vgLs6,0,3 years ago,@bochaoyuan9962 her earlier period videos all done by herself with a phone. if you followed her long enough you would know. there is a video tells how she did it in the early time. now she has a team. but those earlier videos are just as beautiful. watch this interview before you say anything more stupid. https://www.youtube.com/watch?v=j9cfvcxoyh4,@bochaoyuan9962她的较早时期视频全部由电话完成。如果您跟随她足够长的时间，您会知道。有一个视频告诉她在早期是如何做到的。现在她有一个团队。但是那些早期的视频同样美丽。在说更愚蠢之前，请观看这​​次采访。 https://www.youtube.com/watch?v=j9cfvcxoyh4
14490,UgyUPf3dqwa1LpgUxkh4AaABAg,0,3 years ago,maybe some else makes videos on her name,也许有些人以她的名字制作视频
14820,Ugw5CdZojcXgqMiRast4AaABAg,0,3 years ago,"your video makes people feel comfortable and like this kind of life. although i know this is shooting, i really hope that there is such a life in the world",你的视频让人感觉很舒服 喜欢这种生活 虽然明知道这是拍摄 但是真希望世界上有这种生活
14833,Ugzwf7RQF-_PHKg8H6t4AaABAg,0,3 years ago,nice video..,不错的视频..
14875,UgxjOGueD6mKqDAilPx4AaABAg,0,3 years ago,ok but who shoots the video & how does she charge her camera,好的，但是谁拍摄了视频，她如何为相机充电
15343,UgxavkRG8eJ9yJEUG1Z4AaABAg,0,3 years ago,"love you so much, do u need a translator, i can use the airtime project, i like your younger sister very much, shouldn't i be the only chinese who watch your video in the outer network?","love you so much ,do u need a translator ,I can use airtime pro to make subtitles,非常喜欢你小姐姐，我应该不是跑到外网的唯一一个看你视频的中国人吧？"
15298,UgzFDLgAhR10Rp355l54AaABAg,0,3 years ago,so is this how she actually lives her life? how do they have access to such good qual cameras and videographers? i'm just genuinely curious bc it seems like they live in.....almost?? poverty but obviously they don't,这是她实际生活的方式吗？他们如何访问如此出色的质量相机和摄影师？我只是真的很好奇，似乎他们住在.....几乎是？贫穷，但显然他们没有
15306,UgzFDLgAhR10Rp355l54AaABAg.93JtQ1y5qs_93NrdTK0FiP,0,3 years ago,"@baraclude you know what, i never even noticed her tools! i watched some other videos after and noticed that she certainly is very wealthy. thank you for clarifying! i was so intrigued, but also so curious and confused!",@baraclude您知道了什么，我什至从未注意到她的工具！之后，我看了其他一些视频，并注意到她当然很富有。谢谢您的澄清！我很感兴趣，但也很好奇和困惑！
15330,UgzTSll_WwzgSvsXSqJ4AaABAg,0,3 years ago,"people's videos are naturally vietsub, nowhere",人们的视频自然是vietsub，无处
15331,UgxBAvgu3yj21Ri54a54AaABAg,0,3 years ago,your videos always give me peace. well done.,您的视频总是给我和平。做得好。
15332,UgwnZ2_ha69JRuWH3-F4AaABAg,0,3 years ago,"oh my god, this video is by no means she can shoot alone.","天哪,这视频绝不是她自己一个人能拍出来的。"
15336,UgyxFJqS046oLyuOQ0J4AaABAg,0,3 years ago,"i can't stop watching her videos
i am so overwhelmed

thank you ms. liziqi","我不能停止观看她的视频
我好不知所措

谢谢Liziqi女士"
15338,UgwBHDDIOldy1DqCGY14AaABAg,0,3 years ago,how do you happen to dislike such beautiful video?! amazingly inspirational and tasty,您如何不喜欢如此美丽的视频？令人惊讶的鼓舞人心和美味
15353,UgxPltIr7Y4EURYWRJ14AaABAg,0,3 years ago,watching liziqi's videos like watching films about the life of ancient chinese people who have wealth in cultural and culinary. it feels cool in the heart.,观看Liziqi的视频，例如观看有关文化和烹饪丰富的古代中国人生活的电影。内心感觉很酷。
15266,UgxDCPbYNY9SDg5D39t4AaABAg,0,3 years ago,it's really good video and view~!!,这是非常好的视频，并且观看〜!!
15404,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss97uvbghEZAu,0,3 years ago (edited),"that's a lot of manual labor for a fairytale, still the results are lovely and these videos are so relaxing, in some ways they remind me of my childhood home, it was simpler then...",这是童话般的手动劳动，结果仍然很可爱，这些视频在某些方面使我想起了我的童年家，那就更简单了...
15450,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9IAPIc0fNCE,0,2 years ago,@straitarrow5784 ?seriously? not everything in china is related to communist okay? she filmed videos by herself at the beginning just for ppl who live in the city. now she hires a camera man to assist her.,@straitarrow5784？认真吗？中国的一切都与共产主义者有关吗？她一开始就为居住在城市的PPL拍摄了视频。现在，她雇用了一个相机的人来协助她。
15465,UgwkU0IUiK7etuBaMSF4AaABAg,0,3 years ago,i love your videos you are a very good woman loves very beautiful grandma you do this with love and affection,我爱你的视频，你是一个非常好女人，爱奶奶非常漂亮，你以爱与爱心做到这一点
15483,UgwNd4JsOdtlYKltpYd4AaABAg.93F45rsb-Cr93OKytd2O7h,0,3 years ago,i watched the video well. why are so many people in china scolding her?,我看视频做得不错啊，为啥国内那么多人骂她？
15497,Ugw2zEUCIxaTb3yeb8h4AaABAg,0,3 years ago,"each ingredient in the video like snail bamboo shoot / fermented and the herbs as well is consumed in my state manipur and i believe in most parts of north east india as well , delicious !!",视频中的每种成分，例如蜗牛竹芽 /发酵和草药都在我的州曼尼普尔邦消耗，我相信印度东北部的大部分地区也很美味！
15511,Ugxqb3zbUvO_qaM9tTt4AaABAg,0,3 years ago,liziqi should invite some of her fans to work with her and play cameo parts in her video. i'd be the first to join and contribute in my own way;),Liziqi应该邀请她的一些粉丝与她合作，并在视频中玩客串部分。我是第一个以自己的方式加入并贡献的人；）
15515,UgxzPWioKxlWCmP9c2t4AaABAg,0,3 years ago,"they are very beautiful videos, but it does not explain what it does and then i do not know",他们是非常漂亮的视频，但不能解释它的作用，然后我不知道
15291,UgzF2It001VppOKzTqx4AaABAg,0,3 years ago,li ziyi is so beautiful i like to watch you video,李子柒 好漂亮 我喜欢看你了视频
15263,UgxMBOVuY-kFj_yuUHB4AaABAg,0,3 years ago,from kerala..india ..nice video. keep going dear... best of luck...,来自喀拉拉邦.. India .. Nice视频。继续亲爱的...祝您好运...
14877,UgzJqn-W8ZVLAVZ9g8N4AaABAg,0,3 years ago,why this video have 12k dislike?,为什么这个视频不喜欢12k？
15024,UgxnzH3H46eh9-pPOQx4AaABAg,0,3 years ago,me watching her videos: i wanna to marry her,我看着她的视频：我想嫁给她
14939,UgwBneCOLnJy3Wchhd14AaABAg,0,3 years ago,she's really good at cooking video shots too. incredible...!,她也很擅长烹饪视频拍摄。极好的...！
14979,UgyyziM9COuwrlP24Mx4AaABAg.93i-1aXzZ_o940HZmXhuq4,0,3 years ago,"she has 20 million fans on weibo, and some videos have more than 100 million video playback",她微博有2000万粉丝，有的视频播放量过亿
14987,Ugxx_vN9nHFYmN_ZxDl4AaABAg,0,3 years ago,"i wanted to understand what was the youtuber criterion to recommend this video. however, i loved haha",我想了解推荐此视频的YouTuber标准是什么。但是，我爱哈哈
14998,UgyptaRQW4xvlsuF-pF4AaABAg,0,3 years ago,these videos are so calming & interesting!,这些视频是如此的平静和有趣！
15010,UgxKLQNNRCPRqlqazJl4AaABAg,0,3 years ago,"a small red powder, shooting these chicken soup videos every day flicker! can your bamboo shoots be dug casually?",一个小红粉，天天拍这些鸡汤视频忽悠傻子！你那竹笋可以随便挖吗？
15017,UgzlrDrrjkiFM_nq36Z4AaABAg,0,3 years ago,"i go up the mountain every day, and i still shoot videos when i cook again. i ’m too hardworking",每天上山，又在我做饭还拍视频，太勤劳了
15018,Ugz41SNR2B-idl0Eonp4AaABAg,0,3 years ago,very relaxing video,非常轻松的视频
15077,UgztKB925ZOFbV5CrUl4AaABAg,0,3 years ago,"this is chinese communist government’s propaganda video, all subs are fake. why youtube still allows this happening?",这是中国共产党政府的宣传视频，所有潜艇都是假的。为什么YouTube仍然允许这种情况发生？
15262,UgyK-IqlwoPvF3mksid4AaABAg,0,3 years ago,wow i'm the only mexican watching these amazing videos,哇，我是唯一看这些令人惊叹的视频的墨西哥人
15124,UgzYaG8q1xN2uXktZBp4AaABAg.93XMX1w-pmD94V5SdyKXuP,0,3 years ago,"some (who claim to be her classmates in highschool or so) say that this girl doesn't really live this lifestyle, it is all fake, and that she is actually pretty rich.

but i wouldn't really care, whether it's real or fake. her videos calm me before sleep and i enjoy it. that's all. even if it's a show, it is certainly a great show.","有些人（自称是高中生的同学）说，这个女孩并没有真正过这种生活方式，这都是假的，她实际上很富有。

但是我真的不在乎，无论是真实的还是假的。她的视频在睡觉前让我平静下来，我喜欢它。就这样。即使这是一场演出，这肯定是一个很棒的表演。"
15125,UgzYaG8q1xN2uXktZBp4AaABAg.93XMX1w-pmD94V5wilIvWJ,0,3 years ago,"@mirabellebear yes she was well-off but she gave that all up, to pursue this life .... there is an article about her, you should check it out and you should also check her bts videos...",@mirabellebear是的，她很富裕，但她全力以赴，追求这一生。...有一篇关于她的文章，您应该检查一下，您还应该检查她的BTS视频...
15129,UgzJsBx381RbDX-j1_J4AaABAg,0,3 years ago,"i love your videos, please place subtitles in spanish",我喜欢你的视频，请用西班牙语放置字幕
15132,UgyDd785tYvpzokfbIt4AaABAg,0,3 years ago,"8.16 million subscribers. i wonder how much she makes from youtube alone each month. she probable could hire a team of more than a dozen farmers to help. based on the amount of veggies growing in her garden/farm, she would need more than ten farmers. add to that other labor intensive work (based on the other videos), such as raising lamb for wool, harvesting the wool and cleaning/dyeing/spinning the wool which she used to knit a huge winter coat. i know i won't be able to do all those without help. while i enjoyed the videos and admire her capabilities, i enjoy my simple life without having to toil like her. another note: unless she is selling them, why does she cook so much food? harvest so much veggies put into jars to ferment - that would last her ten years of fermented veggies, etc., etc. overall, one needs more than the knowledge of ten phd's to do all what she is doing in these videos. congratulations to her, super woman/girl. for city girls, don't dream of living like her, just not practical or possible. enjoy your city life.",816万用户。我想知道她每个月独自从YouTube中赚多少钱。她可能会雇用一个由十几个农民组成的团队来提供帮助。根据在她的花园/农场种植的蔬菜数量，她需要十多名农民。再加上其他劳动密集型工作（基于其他视频），例如抬起羊毛的羔羊，收获羊毛，清洁/染色/旋转羊毛，她用来编织一件巨大的冬衣。我知道我将无需帮助。当我喜欢这些视频并欣赏她的能力时，我享受了简单的生活，而不必像她一样辛苦工作。另一个注意：除非她要出售它们，否则她为什么要煮这么多食物？收获太多的蔬菜将罐子放入发酵中 - 这将持续她十年的发酵蔬菜等。总的来说，一个人比十个博士学位的知识更需要做她在这些视频中所做的一切。恭喜她，超级女人/女孩。对于城市女孩来说，不要梦想像她一样生活，只是不切实际或可能。享受你的城市生活。
15185,UgxLknMX1ezrTEqLxm54AaABAg,0,3 years ago,anybody curious who the video grapher could be for liziqi?,有人好奇的是谁可以为liziqi提供视频图表？
15198,UgyyujWv7FjpHBejdYF4AaABAg,0,3 years ago,"very nice liziqi,watching yours and dioaxi videos almost every day while having dinner or whenever i'm in low mood to have peaceful mind... keep it up..


your videos made me to do my own videos in healthy and different way... thank you so much
https://www.youtube.com/watch?v=6o8-b6_sj18","非常不错的利兹奇，几乎每天都在吃晚饭时几乎每天观看您的和dioaxi的视频


您的视频使我以健康和不同的方式进行自己的视频...非常感谢
https://www.youtube.com/watch?v=6O8-b6_sj18"
15237,Ugxw88mteA-qYYjoFpB4AaABAg,0,3 years ago,nice video i saw this video even i feel better,不错的视频，我也看过这个视频，即使我感觉好多了
14263,UgzJiAQyjFiP9-MH0wd4AaABAg,0,3 years ago,i came to youtube to search 'how to make fried rice by arabic style' but suddenly stopped by this beautiful video hahaha ok im heading to mountain now.,我来到YouTube搜索“如何用阿拉伯语制作炒饭”，但突然被这个美丽的视频Hahaha Ok赶上了我现在要去山上。
14240,UgyUqgHDqVioDO1p5iJ4AaABAg,0,3 years ago,i see so many people trying to copycat lizi but their content are unoriginal. i've watch so many videoes/channel but lizi's is best.,我看到这么多人试图复制丽兹，但他们的内容是非原始的。我看了很多视频/频道，但Lizi最好。
14238,UgyULwnn5h6gXCwHv2p4AaABAg,0,3 years ago,thank you for helping me release my stress with your videos,感谢您帮助我通过视频释放压力
13424,Ugy5dt7n-0XB2mxilsZ4AaABAg,0,3 years ago,missing your videos liziqi,错过了您的视频Liziqi
13334,UgzNnkB1pB878fvRtuN4AaABAg,0,3 years ago,i am in love with your video's...,我爱上了你的视频...
13346,UgylJORyI32YPgqjgDN4AaABAg,0,3 years ago,"out of this video, the local snail powder of liuzhou has increased the price.",出这视频柳州当地螺蛳粉都涨价了 之前七块钱二两 现在十块钱一碗
13356,UgwN28PRKvtYa3PYqN94AaABAg,0,3 years ago,this is a picture of a good video thank you,这是一个很好的视频的照片，谢谢
13359,UgylJORyI32YPgqjgDN4AaABAg.95gUnJA3t6P95mO6sq7mIY,0,3 years ago,"she turned over the wall to make a video, and worked hard (≧ ∇ ≦)/",她竟然翻墙来做视频，辛苦了(≧∇≦)/
13396,Ugy773RxuPmALwop8I94AaABAg,0,3 years ago,we need a video everyday!!!!! ❤️,我们每天都需要一个视频！ ❤️
13399,Ugw-LrU1M0GOOjMjGg54AaABAg,0,3 years ago,amazing video!!,令人惊叹的视频！！
13420,UgyktBcrTFINVRpyjhJ4AaABAg,0,3 years ago,anyone know the music in her videos?,有人知道她的视频中的音乐吗？
13438,UgxJYToRlP5QRkdhQ9F4AaABAg,0,3 years ago,"i'm a new subscriber. i like your videos. i have been so interested to chinese life since i was a kid, especially rural life. and i can explore that in your videos",我是一个新的订户。我喜欢你的视频。我从小就对中国生活很感兴趣，尤其是乡村生活。我可以在您的视频中探讨
13281,Ugxh8673BbZsQWq46XF4AaABAg,0,3 years ago,"i like these videos too.. good to see grandma, be happy...",我也喜欢这些视频..很高兴见到奶奶，快乐...
13477,UgyF9tEuMsV68gW_9F14AaABAg.95O4S11kPAl95f-W3UTFB8,0,3 years ago,"@user-jm2nf7m6c we know right or wrong in our hearts. if the puppy's meat is eaten in the video, do you still like it? why do you like pork and chicken?",@user-jm2nf7om6c 我们自己内心知道对错。如果录像里吃的是她家小狗的肉，大家还会点赞吗？为什么吃猪肉、鸡肉就点赞呢？
13484,UgyF9tEuMsV68gW_9F14AaABAg.95O4S11kPAl95gVn3itEey,0,3 years ago (edited),"j meng, you are a vegetarian, i respect you, because there are many people in the world different, and there are many differences in the same difference in differences. you can think that your own values ​​are correct, but you can't impose your values ​​on others, saying ky in a video that is not a vegetarian. since you have good publicity with us, we must refute us. the concept of causal cycle retribution is said in the dharma, but did the dharma tell you to respect others? since you talk to me ""peace"", but your speech is ominous at all, it seems to be gentle and sharp. you have eaten vegetarian food for so many years, and you do n’t see that the whole person is full of “peace” atmosphere. if you have “peace”, it will also let you threaten those who do n’t eat vegetarian reimbursement? you have been eating for so many years.",J Meng 你是一个素食者，我尊重你们这个群体，因为世界上跟我们不一样的人很多，要抱有求同存异。你可以认为你自己的价值观是正确的，但你不能把你的价值观强加于别人，在不是素食者的视频下说着ky的话。你既然跟我们宣传素食观念好，就必须做好我们对你的反驳。因果循环报应的理念是佛法里所说的，但佛法有没有跟你讲要尊重别人？你既然跟我讲“祥和”，但你讲话可一点都不祥和，看似温和实则尖锐。你吃了这么多年素食，也没见你整个人充满“祥和”氛围，有“祥和”的话还会让你威胁不食素者会有报应？你这么多年的素也是白吃了。
13499,Ugxy_NXjiKc-vsyVEy54AaABAg,0,3 years ago,now i'm curious who films her videos... i enjoy watching her videos a lot,现在我很好奇谁拍摄了她的视频...我喜欢看她的视频很多
13500,Ugw_sGftZGpeor8HT954AaABAg,0,3 years ago,i love these videos.,我喜欢这些视频。
13513,Ugwl4omiPOF4wtVw0dN4AaABAg,0,3 years ago,i like all your videos god bless you blessings i am new on your channel,我喜欢你所有的视频，上帝保佑你的祝福，我是您在频道上的新来的
13564,UgyXFIcnak2homIuKVd4AaABAg,0,3 years ago,dear we miss u so so much are u fine ?where's ur great videos isn't there something to wach it,亲爱的我们非常想念你，你很好吗？
13598,UgygEbNA7EeUcs1QVZ94AaABAg,0,3 years ago,"she's stunning. but, the videographer did a masterful job of shooting and editing.",她很棒。但是，摄影师在拍摄和编辑方面做得非常出色。
13332,UgzA7Y_b5jiuNb7O1nl4AaABAg,0,3 years ago,"she is such a treasure. but i have to say the ultra hd hyper realistic video quality almost takes away from an authentic visual of nature in real life, as you see it, which takes a wee bit off the lovely charm of seeing her videos . just saying!!",她是如此的宝藏。但是我不得不说，正如您所看到的那样，Ultra HD超级逼真的视频质量几乎可以从现实生活中的真实自然视觉效果中消失，这使观看她的视频的可爱魅力丝毫不可能。只是说！
13271,UgyaMlyqYuyZxgEDl_t4AaABAg,0,3 years ago,when i watch her videos its like i am watching chinese fantasy movies. movies like you never know that is existing in real life,当我观看她的视频时，就像我在看中国幻想电影一样。像你这样的电影永远不知道现实生活中存在
13632,Ugx5Kt8qSKzpsw9LcdB4AaABAg,0,3 years ago,i think i'm watching a movie on the other hand. please upload a lot of good videos.,另一方面，我想我正在看电影。请上传很多好的视频。
13085,Ugwzcax9fuVEX5xMgGF4AaABAg,0,3 years ago,fake video,假视频
13000,Ugx4jWf0K48TCHT_QB94AaABAg,0,3 years ago,"this style of video is really good, i like the rural life the most",这种风格的视频真的很好，乡村的生活我最喜欢
13005,Ugyg8SczgvIr8SWaDxh4AaABAg,0,3 years ago,"another great yt video from liziqi that leaves me thinking, wanting to delve further into the subject matter and makes me want to go foraging and living off the land like she does!! would greatly appreciate if you can show my channel hakka moi some support as well 'm producing content that hopefully carry a certain appeal and would encourage thought processes of different cultures and traditions that exist.",Liziqi的另一个很棒的YT视频让我思考，想进一步深入研究主题，让我想像她一样觅食和生活在土地上！如果您可以向我的频道Hakka Moi展示一些支持，也将非常感谢。我正在制作希望具有一定吸引力的内容，并鼓励存在的不同文化和传统的思维过程。
13037,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk976VfHeSM61,0,3 years ago,"then you wouldn't see things like this video... you would see exactly what's around you... this video is good to see because it's not a real life, but just a dream...",然后，您将看不到此视频类似的东西...您会确切地看到周围的内容...这段视频很高兴看到，因为它不是现实生活，而只是一个梦想...
13039,Ugwl6sRonzHw35234nV4AaABAg.963I9wQO_pk9EugZXHUlZb,0,2 years ago,"https://youtu.be/mrg92zrwkeg


i hope you guys enjoy this video","https://youtu.be/mrg92zrwkeg


我希望你们喜欢这个视频"
13066,UgwsZo1O9cH84-cQ5pd4AaABAg,0,3 years ago,"where is the video where she is running the beef, and pig farm and the slaughter house at the same time?",她在哪里经营牛肉，养猪场和屠宰场的视频在哪里？
13068,UgwyQveXU_JexayU55x4AaABAg,0,3 years ago,why not sending more videos,为什么不发送更多视频
13084,UgzBgMGBsVWuaCjhm-N4AaABAg,0,3 years ago,she is actress from city asked to film this countryside style video,她是来自城市的女演员，被要求拍摄这个乡村风格的视频
13086,UgxXNZvk3CEZb2xlwrh4AaABAg,0,3 years ago,"beautiful woman, delicate but at the same time strong. i love your videos.",美丽的女人，精致，但同时又强壮。我爱你的视频。
13260,UgyjYdWgG0mDCHg4M3t4AaABAg,0,3 years ago,"li ziyi and i count half a fellow, both from sichuan. watching her video is particularly comfortable ah haha",李子柒和我算半个老乡吧，都是四川人。看她的视频特别舒服啊哈哈
13105,UgymypA6HinBBANUzuZ4AaABAg.95zW9zXKP0O96zrp8_hVOS,0,3 years ago,@thydacookingtv the camera crew is seen in the beer making video! very talented group,@thydacookingtv在啤酒制作视频中可以看到摄制组！非常有才华的团体
13123,UgziqAqAHqvtgevhHuF4AaABAg,0,3 years ago,amazing video,惊人的视频
13167,UgwNGLUkVJxMZ8WToaZ4AaABAg,0,3 years ago,finally there is a video that can be understood.,终于有个能看懂的视频了。
13169,UgyMr9bQ1di-nVjSf2p4AaABAg,0,3 years ago,you are commenting using your twitter account activity this video is not available on this device you are commenting using your twitter account activity this video is not,您正在使用您的Twitter帐户活动来评论此视频在此设备上您使用Twitter帐户活动在此设备上可用此视频不是
13184,UgzOpEhj1IUqoEbggNF4AaABAg,0,3 years ago,"ống kính tây bắc subscribers
guys, i hope that you can see my comment. i'm here to tell you something about her childhood and now. as far as i'm concerned, her mother passed away when she was little. soon after, her father married another woman. her stepmother was mean, she was like every stepmother you've read about in the fairy tales. ziqi was forced to do all the housework, she didn't even get to go to school usually. her grandparents were very supportive to her and protected her, they are the most important people to her. her father passed away then, and idk what happened to her stepmother after that. she then quit school and came to the cities to work as much as she could to help her grandparents. she has been a waitress, a dj and all the other stuffs. but then, her granddad passed away, and her grandmother as you all see in the videos was sick. so she quit everything and came back to her hometown to take care of her grandmother although she knew that the finance would be a burden. she then figured out how to make a video. she made the video how to dye cloth by grapes' skin and people love it. she did all the work by herself and try again countless times. one video that is making chinese noodles, everytime she has set the camera angle, the dough got dry and she cannot use it anymore. so she had to make the dough by scratch again and again to record. the dough that was dry, she then baked them into bread for her and her mother to eat. she then said that she was scared just looking at the bread for a while. when she had some money earned from the videos, she hired some camera men, just 2 or 3, to support her. but the fame and popularity have led to her lack of privacy. papparazi, fly cams are all over her house, she feels really sorry and somehow guilty to her grandmother because of that. she suggested moving to another house but her grandmother told that she had lived in the house for her entire life, so she wouldn't want to move. some people may say that the videos are fake, that she didn't actually do what was shown in the videos, she just shows her hardworking hands. she really has had an unfortunate childhood, so she deserves what she has today. please, if you find my comment interesting, leave a like. this is based on my own knowledge so if i'm wrong, let me know. you can support her by clicking the ads or watching it till the end. thank you ❤","ốngkínhtâybắc订户
伙计们，希望您能看到我的评论。我在这里告诉您有关她的童年和现在的信息。就我而言，她的母亲小时候去世了。不久之后，她的父亲嫁给了另一个女人。她的继母是卑鄙的，她就像您在童话故事中读过的每个继母一样。 Ziqi被迫进行所有家务劳动，她通常甚至都没有上学。她的祖父母对她非常支持并保护她，他们是她最重要的人。她父亲那时去世了，在那之后她的继母发生了什么事。然后，她退出学校，来到城市尽可能多地工作以帮助她的祖父母。她一直是女服务员，DJ和所有其他东西。但是随后，她的爷爷去世了，当你在视频中看到的那样，她的祖母病了。因此，她辞去一切，然后回到家乡照顾祖母，尽管她知道财务将是一个负担。然后，她想出了如何制作视频。她制作了视频如何用葡萄的皮肤染色布，人们喜欢它。她自己做所有的工作，然后无数次重试。一个正在制作中国面条的视频，每次设置相机角度时，面团都会干燥，她再也无法使用它了。因此，她不得不一次又一次地划痕才能记录下来。干燥的面团，然后将它们烤成面包供她和她的母亲吃。然后，她说她只是害怕看面包一段时间。当她从视频中赚钱时，她雇用了一些只有2或3个相机的人来支持她。但是，名望和受欢迎程度导致她缺乏隐私。帕帕拉西（Papparazi），苍蝇凸轮都在她的房子上，因此，她对祖母感到非常抱歉，并以某种方式感到内gui。她建议搬到另一所房子，但她的祖母告诉她一生都住在房子里，所以她不想搬家。有些人可能会说这些视频是假的，她实际上没有做视频中显示的事情，她只是展示了勤奋的手。她确实有一个不幸的童年，所以她应该得到今天的一切。请，如果您觉得我的评论很有趣，请留下类似。这是基于我自己的知识，所以如果我错了，请告诉我。您可以通过单击广告或观看直到最后来支持她。谢谢"
13215,UgxJocw3FkoLyeONHn54AaABAg,0,3 years ago,love all her videos and missing you so much liziqi.,爱她所有的视频，非常想念您Liziqi。
13248,Ugzbnz_ByLOGqYWIz6N4AaABAg,0,3 years ago,i love watching these videos. i find it very relaxing and i admire how this girl works! but i don't know what the country is and i would like to know. if anyone can answer me i thank you. wonderful video!,我喜欢看这些视频。我发现它非常放松，我很欣赏这个女孩的工作方式！但是我不知道这个国家是什么，我想知道。如果有人能回答我，我谢谢你。很棒的视频！
13611,UgykKLmfGAY19HTWRn54AaABAg,0,3 years ago,very good your videos what you do is very beautiful congratulations that god always bless you and family amen lord,非常好的视频，您所做的是非常美丽的祝贺，上帝总是祝福你和家人阿们。
13640,Ugwr2e-Odpr2s_3MSZ14AaABAg,0,3 years ago,i can't stop crying watching her videos... whats wrong with me?,我不能停止哭泣看她的视频...我怎么了？
14230,UgxJervDshNWVDx7RrV4AaABAg,0,3 years ago,i feel relax while watching your video,我在观看您的视频时感到放松
14113,UgzjX7FdgDxWY2fCKsR4AaABAg,0,3 years ago,"really beautiful, i find great pleasure when i reger all your videos
best wishes","真的很漂亮，当我重新制定您的所有视频时，我感到非常高兴
最好的祝愿"
13972,UgwvCYKYzMU5jzi4-EN4AaABAg,0,3 years ago,every thing was very natural i really want to have her cooking...i really miss my home town when i watched this video,每件事都很自然，我真的很想做她做饭...当我看这部视频时，我真的很想念我的家乡
13990,UgzKtADLxDImfu3X1ql4AaABAg,0,3 years ago,"i love the simplicity of your videos. 
always support you.","我喜欢您的视频的简单性。
总是支持你。"
14011,UgzU1br_TcwXn7IE4H14AaABAg,0,3 years ago,"liziqi, can you upload a video how you make your skin so beautiful, please",Liziqi，您可以上传视频如何使皮肤如此美丽，请
14028,Ugw5Eu8CdNpCv-bURrd4AaABAg,0,3 years ago,"damn !!!!!!! the video could see lasted an hour and i would not have realized, it was 10 minutes and i never noticed it for how interesting it is and without a single word.",该死 ！！！！！！！视频可以看到一个小时，我不会意识到，那是10分钟，我从未注意到它的有趣，没有一个字。
14055,Ugzhic9CAXKcKhSwXdh4AaABAg,0,3 years ago,"like the video of liziqi, the duration is long and the atmosphere is cool and natural",就像利兹奇的视频一样，持续时间很长，气氛很凉爽自然
14067,UgwMMchXSHiNr6Dp4714AaABAg.94X-OXeU5p895XgLZnm8Ov,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
14094,UgyGfTfJLAF8ky64g_R4AaABAg,0,3 years ago,these videos are filled with a lot of positive energy and it's so cool!,这些视频充满了很多正能量，真是太酷了！
14140,UgwTj8fTUzbT7CAmIxF4AaABAg,0,3 years ago,these videos made me 're think about our present lives. life should be like this. i feel this girl is the real 'olang' who was the farmer's wife in the nobel prize winning story 'the good earth'.,这些视频使我想到了我们现在的生活。生活应该是这样的。我觉得这个女孩是真正的“奥朗”，他是诺贝尔奖获奖故事“好地球”中农民的妻子。
13944,UgzjIj_NMAM3JyQsElN4AaABAg,0,3 years ago,done subcribe..im watching your channel from malaysia. nice and very good videos.,施加了..我从马来西亚观看您的频道。不错的视频。
14145,UgwlWDuxgesEoBLujHl4AaABAg,0,3 years ago,i can literally smell this video,我可以从字面上闻到这个视频
14160,Ugzdb3Ja5TowGO8Dbax4AaABAg,0,3 years ago,ok now i realized that this video has so good quality,好的，现在我意识到该视频的质量很高
14161,UgyYKlahoH8eq_s0dvd4AaABAg,0,3 years ago,thank u for ur hard work i feel guilty watching ur videos for a long time on some of my many accounts but now i'll make it up by subscribing 's not easy work what u do so u can count on me i have ur back i'll support this channel and i big gud luck to u and thanks again for the amazing contends,谢谢您的辛勤工作，我很长一段时间以我的一些帐户中的某些帐户感到内gui，但是现在我会通过订阅
14172,UgxhOUXbZAJ0PtM19IF4AaABAg.94REYyKeZb095XgO7kQJ_D,0,3 years ago,"my wife spend more than 3.00 hrs day watching her videos . she is very strong girl , peace , talented and hope of everyone . let’s inspire her for more videos .",我的妻子花了3.00多小时的日子观看她的视频。她是非常坚强的女孩，和平，才华横溢，所有人的希望。让我们激发她的更多视频。
14198,Ugx1kFRYu_JM92lGXc14AaABAg.94OrmTj7uxK94QlYx-XRnV,0,3 years ago,"i don't know how to do it, because this is not a traditional sichuan cuisine, it is guangxi cuisine. i haven't been idle, i have helped a lot in the video before",姥姥很可能不会做，因为这不是传统的四川菜，是广西菜。姥姥没闲着啊，之前视频里帮过很多忙
14206,UgxPCTN1xJi-W0KLiyN4AaABAg,0,3 years ago,"the dog's bark never is missing 9/10 video i always listen to it.

and it turns out that it is always at eating","狗的树皮永远不会缺少9/10视频，我总是听。

事实证明它总是在吃"
14220,UgxEQpjZ66OnuteNT8x4AaABAg,0,3 years ago,"beautiful video. i wish i was there to enjoy the lifestyle, the setting, and the food.",美丽的视频。我希望我在那里享受生活方式，环境和食物。
