,cid,votes,time,含simple,含simple中文翻译
2387,UgwnqM9o44yMY3ulw5Z4AaABAg,0,1 year ago,it is so appetizing and very colorful! it seems that everything is very simple and fast!,它是如此的开胃，非常丰富多彩！看来一切都非常简单快！
2593,UgyoBrs0D1jnCnGLmPV4AaABAg,0,1 year ago (edited),her life is amazing and simple even it's harsh but depending on yourself is great job,她的生活很棒，很简单，即使这很苛刻，但依赖自己是出色的工作
2595,UgwAso6G-1kEfmbqmZJ4AaABAg,0,1 year ago,i want to have like this a simple life... at the same time combination of technology...,我想拥有一个简单的生活...同时结合了技术...
2718,UgzfVTwnWOf3iNOkT1h4AaABAg,0,1 year ago,how beautiful this simple life ♥ ️ ♥ ️,这个简单的生活多么美丽♥♥♥)
2764,UgyfRkTZ9VI_ahs1vfZ4AaABAg,0,1 year ago,"rich people, but still simple",有钱人，但仍然很简单
3044,Ugy3M9xZNOFhPjDFs-94AaABAg,0,1 year ago,"it is very messy and unsanitary, but the cooking method seems very simple.",它非常凌乱且不卫生，但是烹饪方法似乎很简单。
3153,UgyTH5djRCCPEkwrPAF4AaABAg,0,1 year ago (edited),"i understand the appeal of her videos because they portray an idealized version of a life that stopped existing for most of us generations ago. especially in china where so many have moved from these settings to cities where the jobs are. i can appreciate it while also realizing she is a multimillionaire with a production team behind her to make these things. they are far too professional for a rural woman with an iphone. just because she isn't some simple country girl and this is all staged doesn't mean it isn't wonderful to watch as long as you can separate the fantasy from the reality. the reality of rural life isn't a lovely dream; it's a hard life that most of us wouldn't prefer if we had to live it on a daily basis. she shows an idealized version of the good parts, which is fine for what it is: a fantasy for the cameras. american media does this, too. we elected a fool for president because of a reality show that portrayed him as something he is not.",我了解她的视频的吸引力，因为他们描绘了一种理想化的生活，这在我们大多数人几代之前都停止了。特别是在中国，许多人已经从这些环境转移到工作所在的城市。我可以欣赏它，同时也意识到她是一名千万富翁，在她身后有一个制作团队来制作这些东西。对于拥有iPhone的农村妇女来说，他们太专业了。仅仅因为她不是一个简单的乡村女孩，这一切都在上演并不意味着只要您可以将幻想与现实区分开来，这并不是一件好事。乡村生活的现实不是一个可爱的梦。如果我们每天必须过上它，这是我们大多数人不喜欢的艰难生活。她展示了优质零件的理想化版本，这对它的本质很好：摄像机的幻想。美国媒体也这样做。我们当选为总统的傻瓜，因为真人秀将他描绘成他不是的东西。
3356,UgwCVLh2wZ51dTaEJIF4AaABAg,0,1 year ago,"the dream is diyala, we live, so you have a simple, pure life in the arms of nature, lord, lord",梦是迪亚拉，我们活着，所以你在自然的怀抱中拥有简单，纯洁的生活
3526,UgxStVrPIl4mBdz0z2x4AaABAg,0,1 year ago (edited),"super...i love watching your videos, lt is simple and just like movies... so cute puppies and lambs",超级...我喜欢观看您的视频，LT很简单，就像电影一样...如此可爱的小狗和羔羊
3891,Ugz1q7XeMdu78XfeDg14AaABAg,0,1 year ago,"our country and party faction have always been not optimistic, nor do they need anyone. because this country has never belonged to those who see, they are only people who work hard to build. it doesn't matter if you don't look at it. it doesn't matter if you don't look at it. i just do my business down and complete the five -year plan. the five -year plan is like a relay stick. it took over and passed it over. everyone worked hard to pass it until today, a powerful china is still growing.
as for why it is not optimistic, the reason is actually very simple, because there are always some people who always want to be the kneeling people in other countries and the nobles of their own country. these people have no backbone. they are born to kneel and lick their dogs. unfortunately, they died early in the morning, and it became difficult. this incident has become more difficult since chairman mao said on september 21, 1949 that ""the chinese people have stood up"". but today there are still some people who have no shame on their knees. they are confused and angry about the chinese people standing around them, so they roar at the chinese people standing up. master yang stands up! you still don't come back and kneel! you can't do it! you can't stand up! ""when they found that the chinese people stood indifferently about it, they said it's not okay, or that, it's not optimistic or optimistic. they forgot that slaves were slaves. the natural knees could not become nobles. they forgot that the slave's face is used to fight. whoever is optimistic or not, it doesn't matter. don't delay us. it can be tolerated or not.","我们这个国家、这个党派，从来就有人不看好，也不需要谁都看好。因为这个国家从来不属于那些看的人，只属于踏踏实实去努力建设的人。你看不看好没关系，你看不看也没关系，我只踏踏实实的去做我的事，完成一个一个的五年计划。五年计划就像一个接力棒，接过来传下去，大家努力的传递着，一直到了今天，一个强大的中国还在成长着。
至于为什么不看好，其实原因很简单，因为总 有那么一些人，老想着当别的国家的跪族、自己国家的贵族。这些人是没有脊梁的，天生的会跪会舔狗仗人势的奴才相，可惜啊，大清早亡了，这事变得困难了。从1949年9月21日毛主席说过「中国人民站起来了」以后，这事变得更加困难了。但是时至今日还是有那么一些人，跪的踏踏实实丝毫不觉羞耻，对他们身边站起来的中国人民有着困惑与愤怒，于是冲着站起来的中国人民吼叫着「你们怎么敢在洋大人洋老爷们跟前站起来!你们还不回来跪着!你 们是不行的!你们是不能站起来的!」 当他们发现中国人民对此无动于衷的站着的时候，他们又说站不长久的，数落着这也不行那也不行，这也不看好那也不看好。他们忘了，奴才就是奴才，天生的跪族，成不了贵族。他们忘了，奴才的脸就是用来打的，谁看不看好、看不看，都不重要，别耽误我们做事就行。是可忍孰不可忍，前车之鉴，勿谓言之不预也"
4992,Ugxw1GnHODvf2F_M9WN4AaABAg.9Ppc9PxyQ2s9Pq8sdDVrDI,0,1 year ago,"@valerialopez611 hell valeria, move on out to the country and give it a try! we need farmers and self sustaining people. i haven't traveled that much but everywhere i've been it's the people with simple lives that seem the happiest. i get what you mean though, the harmony of the all the living things around her place just shows how far down the wrong path we've gone.",@valerialopez611地狱Valeria，继续前往该国，尝试一下！我们需要农民和自我维持的人。我没有走那么多旅行，但是到处都是我的生活，这似乎是最幸福的人。不过，我明白了您的意思，她所在的地方周围所有生物的和谐只是表明了我们走了多远的道路。
5849,UgwQtuE5heijEtjmAhl4AaABAg,0,2 years ago,"where can this sorceress can find a simple person to be able to do so many things? give someone her address, send the matchmakers to her, i want such a bride",这个女巫在哪里可以找到一个简单的人来做很多事情？给别人她的地址，将媒人发送给她，我想要这样的新娘
6477,Ugz8ZEoOpUqoTGN5gWF4AaABAg,0,2 years ago,"wow. it's just nice to watch. i feel that life is abundant, simple and peaceful",哇。很高兴观看。我觉得生活丰富，简单且和平
7526,UgyGXQE9iDL4IfiDBIF4AaABAg,0,2 years ago,"making this type of video is very hard , but showing easy n simple. i never understand any cooking but i like.",制作此类视频非常困难，但是简单地显示简单。我从来不懂任何烹饪，但我喜欢。
8068,UgzuQIiFOrii7FrOJ_94AaABAg,0,2 years ago,"a nice place .
simple life","一个好地方。
简单的生活"
8233,UgzLji2XwYVifjnbCCh4AaABAg,0,2 years ago,"liziki you learn a lot of you to do and they are simple easy, but i",liziki你学到了很多你要做的，而且很简单，但是我
8867,UgwciCAT8MVb6RSmxYN4AaABAg,0,2 years ago,happiness is simple,幸福很简单
9172,UgyYUq_z8tcFKHnXHJ94AaABAg,0,2 years ago,"erkan davulcu 
has some simple village videos if you like","Erkan Davulcu
如果您愿意，有一些简单的乡村视频"
9431,Ugzpt6G5v2KIA84XEAF4AaABAg,0,2 years ago,"https://youtu.be/qih0dcwr8dq if you want to learn this simple beautiful fun batter with the royal taste of the royal taste, then you can watch the video on this link once hope everyone likes you and if you like, let me know and comment. of course subscribe if you like",https://youtu.be/qih0dcwr8dq，如果您想学习这个简单的美丽糊涂的皇家口味，那么您可以在此链接上观看视频，希望每个人都喜欢您，如果您喜欢，请告诉我，请告诉我并评论。当然，如果您愿意，请订阅
9570,UgzneOobjGzPcruxzjd4AaABAg,0,2 years ago,she is a good cook and look simple and pure.,她是一个很好的厨师，看起来很简单和纯净。
9740,Ugxp8IwiX_yjUPV67hV4AaABAg,0,2 years ago (edited),"i have a distraction, and i am pleased with a communication and correspondence, and his love increased more, but so far i have confessed to something. today, my family, they decided to go to the sermon, rawan, to mortada, and this is the biggest joy of the line. we take off my dog ​​every hour.
mother: i am a lofty with a wage, when i am tired and my fatigue today.
hoda: there is no rug with the possibility of his neighborhoods.
mother: fadwwah for the dawn of the house of the house
hoda: i do not want to want to keep me.
ahmed: what is a rising boss, with a righteous, hahaha
he ruined his day, forgive me from this
hoda: ha -ha -ha -ha, no darling,
ahmed: by god, you are the girls, they are darkened after you dream of a horse
hoda: my darling, complete your way and his dreams with his dreams
ahmed: i swear by god, i will repel you
i went to my mother, and i went to sleep.
yasser: the day of the time, god willing
hoda:......
yasser: hoda, i love and address to me
hoda: yasser
yasser: his eyes
hoda: i love you
yasser: here is my shape
hoda: hahahahahahahahaha
yasser: my form
hoda: i did not
yasser: attractive, and god heard
hoda: what i heard
yasser: hoda, to let my dog, eidi al -hajjiti, before shui, because he heard
hoda: if you hear what she walked, why do you ask hahaha
yasser: he destroyed it with his horses
hoda: hahaha
yasser: if it is not a horse on her feast
hoda: maaanah hahaha
yasser: haha, ok, with a need, is the well -being
hoda: aaaaaa. i love you and become good, hahahaha
yasser: lacofi. his closure was broken
hahahaha
yasser""
simple hadawi, my dog ​​will be stingy on him with this word, hahaha, ashamed of me, my love, i called her mother, my mother
mother: alo, hala yam, yousouri
yasser: all al hala big
mother: how are you, your brother, mohamed shalonah
yasser: thank god, you are fine, how are you?
mother: praise be to god, fine. its time
yasser: how many days and naji, god willing
mother: god willing
yasser: eat his mother
mother: hajji, hear you
yasser:
mother: oh, this is the blessed hour
yasser: hahaha
mother: but, where is her for her to know her, her people know you, how are you?
yasser: .......
mother: oh, hey, and yes, the choice is forgiven, and my hand is the girl of origin
yasser: god is generous, but he is the father of the father, and keshi is easy, god willing
mother: olide spoiled
yasser: let's take his mother
mother: god and you are safe
i forbade the contact, my mother, and i am more happy, but the tact of her argument with a reasonable head, what is it.
i went to abraham for his pill as a d'or who will be on the only one on the mobile and laughs.
ibrahim: draw baba, you are after you
yasser: hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
ibrahim: and god has the right that i am a young man and my head is sixty luck ... after him he performs hajj and raised his eyes on him
ibrahim: what is the daughter of muhammad. you all love you .... i shook my head
yasser: hi, the daughter of my dog
ibrahim: hahaha, may god grant you success, and you will be your share that i did not bear your luck and his bloc.
yasser: receive your eyes, dear, but you see that i am afraid, and they do not reject its people, and god is the one who turns the world on them if they do not want it
ibrahim: ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha
yasser: ha -ha -ha -ha -ha, i will go to it, i will cook it
ibrahim: get up your house from the growth of yesterday. listen to you, you will be slaughtered.
yasser: ha -ha -ha -ha
ibrahim: ambine and laughter
his chastity completes his correspondence and i slept. to complete the story, subscribe to my channel and continue the events","我分心，我对交流和信件感到满意，他的爱增加了，但是到目前为止，我已经承认了一些事情。今天，我的家人决定去讲道，罗丹（Rawan）去莫特达（Mortada），这是界限中最大的快乐。我们每小时都会脱下我的狗。
母亲：当我疲倦和今天的疲劳时，我很崇高。
霍达：他的邻居的可能性没有地毯。
母亲：fadwwah是房子房子的曙光
霍达：我不想留住我。
艾哈迈德（Ahmed：
他毁了自己的一天，从中原谅我
霍达：哈哈-ha -ha -ha，不亲爱的，
艾哈迈德：上帝，你是女孩，梦见一匹马后，她们变黑了
Hoda：亲爱的，通过梦想完成您的方式和他的梦想
艾哈迈德：我是上帝发誓，我会击退你
我去找妈妈，然后去睡觉。
Yasser：当时的那一天，上帝愿意
霍达：......
Yasser：Hoda，我爱我
霍达：Yasser
亚瑟：他的眼睛
霍达：我爱你
Yasser：这是我的形状
霍达：哈哈哈哈哈哈哈哈哈
Yasser：我的形式
霍达：我没有
Yasser：有吸引力，上帝听到了
霍达：我听到的
Yasser：Hoda，让我的狗，Eidi al -hajiti，在Shui之前，因为他听到了
霍达：如果您听到她走了什么，为什么要问哈哈哈
亚瑟：他用马摧毁了它
霍达：哈哈哈
Yasser：如果不是她的盛宴上的马
Hoda：Maaanah Hahaha
Yasser：哈哈，好的，有需要的是井
Hoda：Aaaaaa。我爱你，变得很好，哈哈哈哈
Yasser：Lacofi。他的关闭被打破了
哈哈哈哈
Yasser”
简单的哈达维，我的狗会用这个词对他来说，哈哈哈，我的爱感到羞耻，我叫她的母亲，我的母亲
母亲：Alo，Hala Yam，Yousouri
Yasser：All Al Hala Big
母亲：你好吗，你的兄弟，穆罕默德·沙洛那
亚瑟：谢谢上帝，你很好，你好吗？
母亲：赞美上帝，很好。是时候了
Yasser：几天和纳吉，上帝愿意
母亲：上帝愿意
Yasser：吃他的母亲
母亲：哈吉，听到你
Yasser：
母亲：哦，这是有福的时刻
Yasser：哈哈哈
母亲：但是，她在哪里认识她，她的人民认识你，你好吗？
Yasser：.......
母亲：哦，嘿，是的，选择是原谅的，我的手是原籍女孩
Yasser：上帝很慷慨，但他是父的父亲，Keshi很容易，上帝愿意
母亲：olide宠坏了
Yasser：让他的母亲
母亲：上帝，你很安全
我禁止接触，我的母亲，我更加高兴，但是她以合理的头脑争论的技巧是什么。
我去亚伯拉罕（Abraham）作为D'或将在手机上唯一的笑声并笑的人。
易卜拉欣：画巴巴，你在追随你
Yasser：Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah，Ah，
易卜拉欣：上帝有我是一个年轻人，我的头是六十个运气...在他之后，他表演了朝j，并向他抬起眼睛
易卜拉欣：穆罕默德的女儿是什么。你们都爱你...我摇了摇头
Yasser：嗨，我的狗的女儿
易卜拉欣：哈哈哈，愿上帝赐予你成功，您将是您的分享，我不承担您的运气和他的众多。
Yasser：亲爱的，您会收到您的眼睛，但您会看到我害怕，他们不拒绝其人民，而上帝是那个在他们不想要它的世界上转向世界的人
易卜拉欣：ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha
yasser：ha -ha -ha -ha -ha -ha，我会去，我会做饭
易卜拉欣：从昨天的成长中起床。听你说，你会被屠杀。
Yasser：ha -ha -ha -ha -ha
易卜拉欣：男生和笑声
他的贞操完成了他的信件，我睡了。要完成故事，请订阅我的频道并继续活动"
11379,UgzNK_gJSV8lho0kq294AaABAg,0,2 years ago,"she is truly an inspiration. ๐i watched almost every videos in her channel. โค๏ธ makes me want to live a simple life too. to everybody enjoying it as well i wanna share with you my friend's music and hopefully liziqi notice it too (would be truly awesome ๐). he writes very good music for free and it's a nice way to enjoy life even on quarantine. let's all share positivity and love. you can check the link below! ๐€
https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga","她确实是一个灵感。 
https://m.youtube.com/channel/ucdexl2evplsj8dvfv4cmcga"
11967,UgwvVLVUo_fyzjlhgwZ4AaABAg,0,2 years ago,"this was an amazing video!
it's an awe inspiring beautiful, & timeless representation of how families continue to use longstanding recipes to intice & inspire their children..and their children's children..to pass these traditions on to generations to come! 
the video is well produced & makes one long for simpler times when you & your family actively worked the land to provide for your family, & countless others in the neighborhood & in the community. 
many of their traditions are thousands of years old & just prove that instant gratification isn't always the most appreciated. 
now! i'm worried about your grandma! 
thank you both for sharing your world with other societies who are dumbstruck by your experience & attention to detail. simple... yet intricate.
.","这是一个了不起的视频！
这是一个令人敬畏的美丽而永恒的表现，表明家庭如何继续使用长期使用的食谱来掌握和启发他们的孩子。.将这些传统传给后代！
当您和您的家人积极地为您的家人提供土地，以及社区和社区中的其他其他人时，该视频的制作良好，并使您和您的家人积极地为您的家人提供土地时，使一个漫长的时间变得更加简单。
他们的许多传统已有数千年的历史，只是证明即时的满足并不总是最受赞赏的。
现在！我担心你的祖母！
感谢您俩与其他社会分享您的世界，这些社会因您的经验和对细节的关注而笨拙。简单...尚未复杂。
。"
11975,UgyE7eN7Esg6pGizK6Z4AaABAg,0,2 years ago,i really like her very simple life but full of joy ๐ฅฐ๐ฅฐ๐ฅฐ๐ฅฐ๐ฅฐ๐ฅฐ๐ฅฐ,我真的很喜欢她非常简单的生活，但充满喜悦
12103,UgzhMu93u-cmLjIVd5N4AaABAg,0,2 years ago,"a simple, holy and clean life",简单，圣洁和清洁的生活
12177,UgyCuVSlr-KS46FxWMd4AaABAg,0,2 years ago,"i like you, making it look like this. it is a happy life, very simple. i like it. i am happy to watch every time.",我喜欢你，使它看起来像这样。这是一种幸福的生活，非常简单。我喜欢。我很高兴每次都看。
21072,UgyLj-tyen8vrNFsoOJ4AaABAg,0,3 years ago,what simpler and quieter life !!!,多么简单，更安静的生活！！！
21586,Ugzkx0KCrbD4RK30x7V4AaABAg,0,3 years ago,"you're a true inspiration! i love your videos, they have given me countless recipes and proof that life can be simpler and more beautiful!",您是一个真正的灵感！我喜欢您的视频，他们给了我无数的食谱，并证明了生活可以更简单，更美！
34680,Ugxva1iGVodUocLZJmJ4AaABAg,0,4 years ago,honestly with the world ending and climate change i think the world should look like where she is living and we should all go back to using the skills she is using in all these videos let life be beautiful and simple again,老实说，随着世界的结局和气候变化，我认为世界应该看起来像她的住所，我们都应该回到使用她在所有这些视频中使用的技能，让生活再次变得美丽而简单
30268,UgyDFZDYUU-hgeHui7x4AaABAg,0,3 years ago,i love this! the country and simple life with her cooking and working it so relaxing and it is so amazing. it much better compare to those vlogger who like to shop and parties and showing thr expensive stuf those are most stressful to watch.,我喜欢这个！这个国家和简单的生活，她的烹饪和工作如此放松，真是太神奇了。与那些喜欢购物和派对并展示昂贵的Stuf的Vlogger相比，这是更好的选择。
30603,UgynaY4uNY_IxP1ssxR4AaABAg,0,3 years ago (edited),she is simply amazing...super woman..what skill she has..makes look everything so simple and easy...,她真是太神奇了...超级女人..她拥有什么技巧。
80,UgzsEmQ8E5M2FHxnoEp4AaABAg,0,2 weeks ago,"the life of a rural country is beautiful. i liked it, and it made me reassured and made it simple.",农村国家的生活很美。我喜欢它，这使我放心并变得简单。
31335,UgxbLqwUIl3uYK4Vny14AaABAg,0,3 years ago,ninhao!i came from the countryside and i miss childhood days.it is so simple but life is so fresh!greetings from the philippines,忍者！我来自乡村，想念童年时代。这是如此简单，但生活是如此新鲜！
31445,UgwyTfsyHNWF1sBLHhF4AaABAg,0,4 years ago,gorgeous .. adorable .. simple .. and a loving caring grandchild ..,华丽..可爱..简单..和一个充满爱心的关怀孙子..
31451,Ugxp56hhh2g7My2OnCl4AaABAg,0,4 years ago,so simple yet difficult for us to try to do.,我们很难尝试做。
31460,UgzUJ-OKAIwGHrYjEpJ4AaABAg,0,4 years ago,"this is how life should be, calm and simple.",这就是生活应该如何平静而简单的方式。
31621,UgwBa5ys2Bp-jOXDdVZ4AaABAg,0,4 years ago,all about simple life..peace & nature without polution..love the style of chinese cooking,关于简单的生活。
31624,UgxcaLGUEX9oLHYTiMd4AaABAg,0,4 years ago,this reminds me of the studio ghibli movies simple and calming,这让我想起了吉卜力工作室的电影简单而平静
31744,UgwTkoKy_LhQ7W3L2QN4AaABAg,0,4 years ago,"this chine that i didnโ€t know, sรณ simple and to humanity.",我不知道的这种Chine简单而对人类。
31826,Ugy9OcqdYqzLSRXHyT94AaABAg,0,4 years ago,"i randomly clicked on the video and now i admire her.. the way she loves life is amazing.. so simple.. i'd be in heaven if i'm in a place like that.. being in an era where gadgets seem to have just taken away everyone, including myself, it's very helpful to see your videos.. it's inspiring.. also, wishing your family all the best.. i love my grandma so much as well but i can't be by her side.. you and your grandma are so cute.. ๐",我随机点击了视频，现在我欣赏她..她爱生活的方式很棒..太简单了..如果我在这样的地方，我会在天堂。要把包括我在内的每个人带走，看到您的视频非常有帮助。.它鼓舞人心。。也希望您的家人一切顺利..我也非常爱我的祖母，但我不能在她身边..你和你的祖母真可爱..
32170,UgysBs4Iz2EJM_SBeOp4AaABAg,0,4 years ago,this is such a beautiful simple life! iโ€d pick to live like this any day! this is awesome,这是一种美丽的简单生活！每天我都会选择这样的生活！这太棒了
32212,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx9CVDumor0Es,0,2 years ago,this video just makes me want to buy a farm and be a simple village people,这个视频只是让我想买一个农场，成为一个简单的乡村人
32330,UgwKGEITuPfh8GtR5Q94AaABAg,0,4 years ago,"hmm, she now looks artificial to me. dnt knw wht. its not village simple girl. there are more natural chinese channels like dianxi",嗯，她现在对我来说是人造的。 dnt knw wht。它不是乡村简单的女孩。有更多天然的中国频道，例如Dianxi
32748,UgzoMfzGh1-EsNoHYu94AaABAg,0,4 years ago,i want simple life with someone i love,我想和一个我爱的人一起生活
32756,Ugy2pNNkCbrbmoUoswN4AaABAg.8vgynR2NjQ98vxdwDS46mF,0,4 years ago,it's actually not a simple but an abundant life she has.,实际上，这不是一个简单的生活，而是她拥有丰富的生活。
32757,Ugy2pNNkCbrbmoUoswN4AaABAg.8vgynR2NjQ98vzvjVCn4Qu,0,4 years ago,"i mean, i can consider it simple life compare to the life in city (which i live in). here, you have to do everything and yet still worry about everything. and that's the reason why i really love to watch her videos, its so positive .",我的意思是，我可以认为这与城市的生活（我所居住）相比，它可以简单地生活。在这里，您必须做所有事情，但仍然担心一切。这就是我真正喜欢观看她的视频的原因，如此积极。
33198,Ugwoo9UPoDdjNwGoWhd4AaABAg,0,4 years ago,this lady show us what is the real worth of woman..living a simple yet meaningful way to lived.working hard for the people she loved,这位女士向我们展示了女人的真正价值。以一种简单而有意义的生活方式。为她所爱的人努力工作
33435,UgzA9xtBvb3QDDP7J8F4AaABAg.8vGXNnQVFKV8vHeFiO9WiV,0,4 years ago,right? like a staged/perfectly renovated simple but huge farm.. has big land too apparently but i wish it's real and wish more people would want live like lived/depicted here,正确的？就像一个舞台上/完整翻新的简单但庞大的农场。显然有大土地，但我希望它是真实的，希望更多的人想要像在这里的生活/描绘一样的生活
33494,UgxFbiYwPb_wRq_jwEd4AaABAg,0,4 years ago,"we were supposed to live life like this, simple, peaceful and productive. now here we are, a fee years away from a dangerous pollutant air and global warming lol",我们应该过这样的生活，简单，和平与富有成效。现在我们在这里，距离危险的污染物和全球变暖大声笑了几年
33542,UgzYhPqEDzXz1XTnk254AaABAg,0,4 years ago,"funny how i feel stressed doing the bare minimum and she's at the other side of the planet living her best life working hard and enjoying the simple things, totally admirable. she's gorgeous <3",有趣的是，我感到压力很小，她在地球的另一端过着最好的生活，努力工作，享受简单的事物，完全令人钦佩。她很漂亮<3
33879,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd4947nFNskEXW,0,3 years ago,successful first simple second,成功的第一个简单第二
33904,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd496OHSb-bY8t,0,3 years ago,"@funwithfood7451 me too...the simplicity is filled of wonder so satisfying, to become enchanting an idea of life lived fully. chasing nothing but simplest pleasures surrounded by love.",@funwithfood7451我也是我...简单充满了令人满意的奇迹，使人们充满了生活的观念。除了追逐被爱所包围的最简单的乐趣。
33923,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd4986QDrbEPYP,0,3 years ago,"@ingestrauss3826 agreed. the wrong things matter to us too much. material wealth, looking good, being spotless, aiming for millionnaire status, cosmetic surgery to look more beautiful...yet, at the end of the day we all die. at the end of the day our money or looks really don't matter. the simple life is the easiest and most natural for us.",@ingestrauss3826同意。错误的事情对我们太重要了。物质财富，看起来不错，一尘不染，瞄准百万富翁地位，整容手术看起来更美丽……然而，在一天结束时，我们都死了。归根结底，我们的钱或看起来真的没关系。对我们来说，简单的生活是最简单，最自然的。
33940,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd499Zdy5wvUuA,0,3 years ago,"watched this video again and again...just like my hometown and childhood, the life is so simple but warm and satisfied.",一次又一次地观看了这段视频...就像我的家乡和童年一样，生活是如此简单但温暖和满足。
34246,UgwZjAG4JT35jlvkatF4AaABAg,0,4 years ago,i love your lifestyle ... simple and healthy ... i wish i live with you ... a hug,我爱你的生活方式...简单健康...我希望我和你一起生活...一个拥抱
34303,UgzqvMumQC0r89hr2hx4AaABAg,0,4 years ago,"this is what school should teach us. why are we living so hard? trying to best each other. trying so hard, but for what? recognition ? appreciation? preservation ? if we all just stopped, if we all just listened, if we all were to breathe from the depths of our hearts, if we were to live.... the world wouldnโ€t be so bad. because there would be nothing we would be living for. no ideals, no trying to one up, no competition, no bloody suck ups. if money was not a thing and if we arenโ€t so selfish then we could get by. taking only the amount we need. sharing and not discriminating, not hating, not killing. then the world we live in wouldnโ€t be sinking? living as one, living peacefully, just like the animals all around us. taking only what they need and nothing more. theyโ€ve survived longer then us yet the amount of time we have existed is a chip of what they have and what have we done? killed this earth. schools should have taught us how to harvest wool, how to clean wool, how to make clothing. schools should of taught us how to cook with the life around us. schools should of taught us not to be selfish, not to want, not to become greedy like the people before us. instead we learn about multiplying aโ€s,bโ€s and cโ€s, learning about history, singing do re mi. but for what? to get a job, to earn money, to eat too much, to become corrupt, to listen to leaders who donโ€t give a fuck. this is what it means to live. like her. yet we live a life of such unhappiness. trying to buy too much trying to earn too much. when all we need is just a little. keep it simple. what have we done.",这是学校应该教我们的。我们为什么这么努力？试图互相最好的。尝试这么努力，但是什么呢？认出 ？欣赏？保存？如果我们都停下来，如果我们都倾听的话，如果我们都要从我们的内心深处呼吸，如果我们要活下去。...世界不会那么糟糕。因为我们将没有什么可以为之而来的。没有理想，没有尝试一个人，没有竞争，没有流血的吮吸。如果钱不是一件事情，如果我们不是那么自私，那么我们就可以通过。只拿我们需要的金额。分享，不歧视，不讨厌，不杀人。那么我们生活的世界不会沉没吗？像我们周围的动物一样生活，和平地生活。只采取他们需要的东西，仅此而已。他们的生存比我们更长，但是我们已经存在的时间是他们拥有的东西以及我们做了什么的筹码？杀死了这个地球。学校应该教我们如何收获羊毛，如何清洁羊毛，如何制作衣服。学校应该教我们如何与周围的生活一起做饭。学校应该教会我们不要自私，不要想要，不要像我们之前的人们那样变得贪婪。取而代之的是，我们了解了乘以A，B和C的繁殖，了解历史，唱歌Do Mi。但是什么？找工作，赚钱，吃得太多，变得腐败，倾听那些不他妈的的领导者。这就是生活的含义。像她这样的。然而，我们过着如此不幸的生活。试图购买太多尝试赚到太多的东西。当我们只需要一点时。把事情简单化。我们做了什么。
34362,Ugzy0E0FHCpS3XjuIGt4AaABAg,0,4 years ago,"i cannot actually fathom how this deserves like 8k dislikes. whatever grosses people out about just watching a simple story, it escapes me.",实际上，我无法理解这一值得8K不喜欢的人。无论人们看一个简单的故事，人们都逃脱了我。
34448,UgzIF_caUgoSp0eUZMF4AaABAg,0,4 years ago,simple things are the warmest things. she is awesome. * . *,简单的事情是最温暖的事情。她很棒。 *。 *
34633,UgwcUz37pAeC9p5HFuR4AaABAg,0,4 years ago,i wish i had such a simple life was too good and saw and admired,我希望我过着如此简单的生活太好了，看到和钦佩
30478,UgzsO4JdBlfGOW7R6wl4AaABAg,0,3 years ago (edited),sorry for the word that's what you call a fucking simple life all u need is right there,抱歉，您称之为他该死的简单生活，您所需要的就是在那里
29929,Ugx7jznHyy8PJHo72dV4AaABAg,0,3 years ago,ok.... based on the production skills of all of these videos. this is not a simple family with a gopro etc . there is big money been made here .based on national income .they are making 30-40 times the average. its all very beautiful etc.but there has to be a big team behind it all,好的....根据所有这些视频的生产技能。这不是一个带有GoPro等的简单家庭。这里有大笔资金。基于国民收入。他们的平均水平是平均水平的30-40倍。一切都很漂亮等。但是，这一切都必须有一个大团队
21683,UgxGUVFM5kPaXUxmYZJ4AaABAg,0,3 years ago,a simple and happy life that's all we ever wanted..โบ,我们想要的简单幸福的生活。
29909,UgzwLAANTk5m3qE9Vcp4AaABAg.8xSycDswmB_99nppI-M5KN,0,3 years ago,too young too simple !!!,太年轻，太单纯 ！！！
21758,UgwgxF7CcNsExubtl-d4AaABAg,0,3 years ago,beautiful live simple,美丽的生活简单
