,cid,votes,time,含cook,含cook中文翻译
17521,UgxC0AyT9PU_ME2BPOd4AaABAg,2,3 years ago,"the fairy tale is simple |
everything is beautiful: girl, dogs, sheep, nature, jewelry, plants, sky, house, interior, stove, hearth, dishes, shooting is impeccable, cooking, not a single channel about food is nearby, granny, warming by the fire, like all this is all not enough in the gray jungle, the same type of days ..
i'm just in a wild aesthetic orgasm !!! low bow to the girl, for such hard work","童话很简单|
一切都很漂亮：女孩，狗，绵羊，自然，珠宝，植物，天空，房屋，内饰，炉子，炉灶，炉灶，射击，射击是无可挑剔的，烹饪，没有关于食物的单个渠道在附近，奶奶，在火上变暖，就像所有这些一样，在灰丛林中还不够，也是一样的。
我只是在狂野的美学性高潮中！！！低弓对女孩，这么辛苦"
17330,Ugw_6AAkgbhCP0j1MFN4AaABAg,2,3 years ago (edited),"i'm hangry i want to eat your food lijiqi 
so funny when the cooking popcorn bomm
watching from philippines 
4/28/2020","我很饥饿，我想吃你的食物lijiqi
当烹饪爆米花bomm
从菲律宾观看
4/28/2020"
27073,UgwY1uri-QKLlBKhSmF4AaABAg,2,3 years ago,u so cute sister i love your cooking super,你是如此可爱的姐姐，我爱你的烹饪超级
17085,UgxjhKv1Ndw-3dM2B6d4AaABAg,2,3 years ago (edited),wonderful. are you a professional cook? and it's a great worker. such a woman is probably not in the current japanese. i want to see you once.,精彩的。您是专业厨师吗？这是一个很棒的工人。这样的女人可能不在目前的日本人中。我想见一次。
23544,UgwrTvJI7cj9ru8jEZ14AaABAg.92JzZdPSB8g92qazuWebTl,2,3 years ago,"until some jackass from earth invades his planet, attack and restrain him while cooking for dinner. cut off his hand in proses and finally beheading him with axe. what wonderful life lol ๐ 




https://youtu.be/dwfcw1v8zbs ๐ฏ๐ต๐ฏ๐ต๐ฏ๐ต๐๐‘","直到地球上的一些公驴侵入他的星球，在做饭时攻击并约束他。切断他的手，最终用斧头斩首。多么美好的生活大声笑




https://youtu.be/dwfcw1v8zbs"
4068,Ugz3o11BchNghJOmuMl4AaABAg,2,1 year ago,honestly she is good at cooking her cooking skills are amazing,老实说，她擅长烹饪她的烹饪技巧很棒
501,Ugy08Xq9tLdlzSr55At4AaABAg,2,4 months ago,when i saw her every vedio i m really peacefull .....when i am tired and sad .....omg i can't tell how to peace.....the music her work cooking ....m so edict....,当我看到她的每一个小吠陀时，我真的很平静.....当我疲倦和悲伤时.....天哪，我无法说出如何和平.....音乐她的作品做饭....我法令....
48327,Ugym60kdcy5X3hciLL54AaABAg,2,4 years ago,she cooks like a pro....nice to watch her vid. and i always craving for food to eat....love from philippines,她像专业人士一样做饭。...很高兴看她的vid。而且我总是渴望吃食物。...来自菲律宾的爱
10053,UgxsOujY7gGBtiENFKF4AaABAg,2,2 years ago,good idea! an interesting cooking method!,好主意！一个有趣的烹饪方式！
8360,Ugxb9FlelcoEliou0-p4AaABAg,2,2 years ago,"it seems she easily and quickly prepared everything, but in fact it is hellish work. one cannot cook so many.",看来她很容易，快速地准备一切，但实际上是地狱般的工作。一个人不能做很多。
31734,UgwbFf7PAPBePkqL4Xx4AaABAg,2,4 years ago,when woman start cooking they look more beautiful๐๐’“,女人开始烹饪时看起来更漂亮
3254,Ugzr2_S9aYsEzCtoLy94AaABAg,2,1 year ago,"makak, full life fullness, ws serbi, ra need supermarket to cook woven, saluuut with you",马卡克（Makak），充实的生活饱满，WS塞尔维（WS Serbi），RA需要超市来烹饪编织，并与您一起使用
9049,UgwZtzaVjEXFjunv2ht4AaABAg.9HqN3ITnpX79JV2bCKrWpt,2,2 years ago,"@picestoes7535 and stuff to cooking, planting, buy food",@Picestoes7535和烹饪，种植，购买食物的东西
47766,UgxVhbEIPwreMNmJ6w54AaABAg,2,4 years ago,"is it true, that she had plastic surgery? i don't mind at all. cause she's a great cook.",她接受了整形手术是真的吗？我一点都不介意。因为她是一个很棒的厨师。
31836,UgwcRJWIzWK1xh-ej-l4AaABAg,2,4 years ago,"sat here watching her cook things and thinking, she probably made her own pans.",坐在这里看着她的厨师，思考，她可能自己做了自己的锅。
543,Ugx4BSW-L6l8XM0F1iR4AaABAg,2,4 months ago,wow i cannot get enough of watching this sweet gourgous lil lady cooking up a storm and as always it looks goooood what ever she's making,哇，我看不到这个甜美的美味的小女士在烹饪暴风雨，一如既往地看着她在做什么
32648,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U9UWP0QC2P4F,2,1 year ago,"@bibit3856 i think she's giving them food off camera, maybe she just doesn't want them to bother her while she films and cooks, it's understandable",@bibit3856我认为她正在给他们食物，也许她只是不想让他们在拍摄和烹饪时打扰她，这是可以理解的
27644,UgzaP51_qaU8jid4Qi54AaABAg,1,3 years ago (edited),"is there anything she cant cook at all ,she is awesome...she is gracefull",她根本不能做什么，她很棒...她很优雅
50923,Ugw3PDMQmGGIgx9Ef0h4AaABAg,1,4 years ago,i am from indonesia i like you cooking,我来自印度尼西亚，我喜欢你做饭
16488,UgzO7Q9LG_oAD2wUg3p4AaABAg.98fdQ3AeW6l99TW4ViPq6O,1,3 years ago,"there's a reason we exchanged this life for the city life we have now..

no more physical brunt everyday! imagine generations of her ancestors and her immediate family tilling, maintaining, and harvesting all of their produce. of course, it doesn't end there.. have to do normal chores like washing, cooking, cleaning, etc.","我们将这一生换来的城市生活交换是有原因的。

每天都不再有身体上的野蛮！想象一下她的祖先和直系亲属的几代人在耕种，维护和收获所有农产品。当然，它并没有结束。"
27680,UgzS0thCEwODQLqMxmB4AaABAg,1,3 years ago,it will take whole day for me to cook all those items.. really she is great,我要花一整天的时间来煮所有这些物品。
27608,UgyVHv2smosW9J2OMYB4AaABAg,1,3 years ago,i love k cook always and eat with that great lady k it will be your mother i guess well,我一直爱k厨师，和那个伟大的女士一起吃饭，这将是你的母亲，我猜很好
16427,Ugy5bDisC5RYZoviSHF4AaABAg,1,3 years ago,i burnt my cast iron skillet..... making hashbrowns..... how the crap do you do all that and all i do is burn skillets!!!!???? i didnt even know burning a skillet was possible!!!! i'm 14 and learning to cook so pls don't hate me,我燃烧了铸铁煎锅.....制作悬面.....您如何做所有这些，我所做的就是燃烧的煎锅！我什至不知道燃烧煎锅是可能的！我14岁，学习做饭，所以请不要恨我
23395,UgwDT1gE-boAZT2ZhJx4AaABAg,1,3 years ago,"i adore this channel, everything is so cute and very tasty, and the girl is just on all hands, and builds and cooks, and bakes, now there are no such girls, everyone is only waiting for a freebie, smart and big well done๐ค—๐ค—๐ค—๐ค—",我喜欢这个频道，一切都很可爱又非常美味，这个女孩只是在所有人的手上，建造和厨师和烤肉，现在没有这样的女孩
40088,UgymkvrfMZtWtgpSMK54AaABAg,1,4 years ago,such a hardworking young woman! i admire her. and all those food she cooked looked amazing! drooled for the snowflake squares :-p~,如此勤奋的年轻女子！我钦佩她。她煮熟的所有食物看起来很棒！为雪花正方形流口水：-p〜
32647,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U9UWI8qdgKzC,1,1 year ago,"i never see her give some food to the dogs. always pushing them away. i feel terrible for those puppies. some of the food we eat are ok for dogsโ€ฆplusโ€ฆwith all that cookingโ€ฆ.i find it easy to just make a little something on the side for the dogs to eat. i do it everydayโ€ฆ i cook for my family and i cook something safe for my dogs. there is nothing more sad than to see humans enjoying food and innocent, hungry, begging dogs just watching the humans eating in delight. so sad. i seriously donโ€t understand how some people can do that. in my homeโ€ฆwhen we eat our dogs eat. we all eat together.",我从未见过她给狗的食物。总是把它们推开。我对那些小狗感到很糟糕。我们吃的一些食物适合狗……再加上所有的烹饪……。我每天都这样做……我为家人做饭，并为狗做安全的东西。没有什么比看到人类享受食物和无辜，饥饿，乞求狗的狗只是看着人类的饮食而感到难过的。好难过。我真的不明白有些人如何做到这一点。在我家里……当我们吃狗时。我们都一起吃饭。
27357,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB94FsWijokPK,1,3 years ago,i've been told this is just a cooking show funded by the chinese government. it's all a setup and not real. there are plenty of these shows on youtube and chinese tv.,有人告诉我这只是中国政府资助的烹饪节目。这都是一个设置，而不是真实的。 YouTube和中文电视上有很多这样的节目。
24555,UgwkfZqiAUxOl5Yl5Qh4AaABAg,1,3 years ago,i have seen many kinds of traditional cooking videos but this is pure 'divine' !!!,我看过许多传统的烹饪视频，但这是纯粹的“神” ！！！
17072,UgxyLPLg1abWFzAbk_V4AaABAg,1,3 years ago (edited),liziqi you are amazing you cook amazing yumiiiiiiii,liziqi你很棒，你做饭很棒的yumiiiiiiii
35353,UgzP4gjisP8RV4lk-BZ4AaABAg,1,4 years ago,it's so nice y can't you give some english subtitles wht your cooking,很好，你不能给你做一些英文字幕
20663,UgyvKcrw8Kzz7DpTutZ4AaABAg,1,3 years ago,"siter every cooking than food 
cooking in grandma","每一个烹饪者都比食物
在奶奶做饭"
20567,UgwgXzAc1AwQ6EyFqRN4AaABAg,1,3 years ago (edited),no more meat and animal cruelty. enjoy your coronavรญrus now from your cooked dogs and bat soup. nature is the best revenge for this cruel society.,没有更多的肉和动物残酷。现在可以从熟食狗和蝙蝠汤中享受冠心大战。大自然是这个残酷社会的最佳报仇。
32623,UgzB8g7xi9aMF1JVfs94AaABAg.8vj7Fl_oJ-U8xmLtLJxLMR,1,3 years ago,"@notchefcook we feel her little dogs and lamb should have treats/ food/water bowls out for all-day munching of their pet food and each have a warm dog bed and winter coats to protect them from the bitter, cold weather. they seem hungry most of the time, but their bowls filled with kibble will fill their hungry tummies.",@NotChefCook，我们感到她的小狗和羊肉应该有零食/食物/水碗，以全天咀嚼他们的宠物食物，每个食物都有温暖的狗床和冬季外套，以保护它们免受苦涩而寒冷的天气。他们大部分时间似乎都饿了，但是他们的碗里充满了千磨的碗会充满饥饿的肚子。
50350,Ugy30mvmJf3hQOjf60Z4AaABAg,1,4 years ago,"how can you get the small stove that can burn the fire like li ziyi in europe? i hate the days when there is no fire, but only cooking.",请问大家在欧洲如何才能弄到像李子柒用的那种可以烧火的小炉子啊，我恨透了没有火只有电做饭的日子。
