,cid,votes,time,含amazing,含amazing中文翻译
1905,Ugz2vRL7_xduuqXwYlZ4AaABAg,0,1 year ago,amazing,惊人的
1979,UgzsUoHsDHrLkBJjw9t4AaABAg,0,1 year ago,amazing.,惊人的。
2023,Ugw-D9IkgBILT_QEB1p4AaABAg,0,1 year ago,amazing video like always,一如既往的惊人视频
2028,UgyBnM-PbTZ4boErH3l4AaABAg,0,1 year ago,it's amazing that you can see this pure appearance without political colors in chinese people.,令人惊讶的是，您可以看到这种纯粹的外观在中国人中没有政治色彩。
2060,UgxmL-mhoFNQmkN1W6x4AaABAg,0,1 year ago,"i love your beautiful videos,your talent cooking.thank your director and brillant camera mann. all amazing!!!",我喜欢您美丽的视频，您的才华烹饪。谢谢您的导演和光彩照人Mann。一切都很棒！！！
1132,Ugyw0U2v8MOOospbNRJ4AaABAg,0,1 year ago,she is amazing,她很棒
890,UgzWMihtZUOAMtucu6J4AaABAg,0,11 months ago,so amazing sister i love you i am indian,太神奇的姐姐，我爱你，我是印度人
2493,Ugy6B4DYU-DeFkdiISp4AaABAg,0,1 year ago,amazing,惊人的
528,UgwAMzIB2AF_Vs_JnT14AaABAg,0,7 months ago,wow amazing,哇，太棒了
101,UgzIX6v6qNFz5C4zBx94AaABAg.9qE0PYZQ1zp9qNZ5m_yk-y,0,2 weeks ago (edited),@najwanorhan2557 oh i see. i hope she will come up with amazing ideas soon.thanks for the info :),@najwanorhan2557哦，我明白了。我希望她能尽快提出惊人的想法。谢谢这些信息:)
161,UgxdQxAXpMG3kgfNpbh4AaABAg,0,1 month ago,"liziqi 
i miss you're amazing video","liziqi
我想念你很棒的视频"
383,UgxPcCx6LGDyXtAU4L54AaABAg,0,4 months ago,"really good view of the bamboo, you are really amazing",真的很欣赏竹子，你真的很棒
394,UgzFBzUGFv7Ym0gq0Ah4AaABAg,0,5 months ago,amazing life,惊人的生活
469,UgymOo--h6BLRNUP_1Z4AaABAg,0,5 months ago,"amazing life,good video",惊人的生活，美好的视频
503,UgxkqQn37WbLkSwmLYx4AaABAg,0,6 months ago,amazing,惊人的
541,UgxbhEdHs9_9SdHaFkB4AaABAg,0,7 months ago,the garden is amazing!!,花园很棒！
880,UgykQf3R030NGcIbG7V4AaABAg,0,11 months ago,amazing video view,惊人的视频视图
607,UgxgHJ8lteYlItD7dSd4AaABAg,0,8 months ago,amazing. look at the first pattern in the world.,惊人。看看世界上的第一个模式。
609,Ugz-ywAQXfoyvCVA3SN4AaABAg,0,8 months ago,"every cook , there always an amazing skill ..",每个厨师，总有一项了不起的技能。
754,UgwoIRnmGBz3GVgDdUl4AaABAg,0,10 months ago,she so amazing.,她真了不起。
773,UgywMkAQLv5Sye4vzHl4AaABAg,0,10 months ago,wo so amazing,太神奇了
819,Ugx3TqT5lzNeZ75jfHh4AaABAg,0,10 months ago,learned so many dishes by just watching.. amazing contents keep it coming,只需观看就学到了很多菜肴。.令人惊叹的内容使它不断来
877,UgzTylSCIuLqLtfUgeV4AaABAg,0,11 months ago,just amazing she is very hard working no doubt about it.,令人惊讶的是，毫无疑问，她非常努力。
2147,UgzdTusBw2qQr-Qhjat4AaABAg,0,1 year ago,she is so amazing good good,她真是太好了，好
2542,UgziNGKmy5SqppU4PjR4AaABAg,0,1 year ago,"sugoii, amazing, kakkoi",sugoii，惊人，kakkoi
4908,UgwE7Q9_KGxb_T3yD954AaABAg,0,2 years ago,she is amazing.,她很棒。
4421,UgyU1ghmGUKE68Dl3qR4AaABAg,0,2 years ago,amazing,惊人的
4071,UgyqIKM1rG7kGBCaTa14AaABAg,0,2 years ago,amazing,惊人的
4104,UgwfR1nanOgX_LYiaWx4AaABAg,0,2 years ago,girl not amazing. camera man it's amazing!!!! ha ha....,女孩并不神奇。摄影师真是太神奇了！！！哈哈....
4148,UgzEc6bjdY6zaHCmn7h4AaABAg,0,2 years ago,wow amazing....,哇，太棒了...
4170,Ugyu0ItuhU0EwcqQiLN4AaABAg,0,2 years ago,amazing,惊人的
4237,UgyT8BeaZ0plODQHeuV4AaABAg,0,2 years ago,amazing,惊人的
4273,UgydQ23pT2WEwpFMooZ4AaABAg,0,2 years ago,amazing,惊人的
4432,UgwUoHkeiGPWNvgcRSt4AaABAg,0,2 years ago,amazing,惊人的
4020,Ugw2NoJZ9yVXSPeEHRx4AaABAg,0,2 years ago,"it's amazing is right! however, why is the kitchen so dark and gloomy?",太神奇了！但是，为什么厨房如此黑暗而阴暗？
4445,Ugx8_iqhcR1KHslzZcZ4AaABAg,0,2 years ago,it was amazing to se her life,她的生活真是太神奇了
4582,Ugy4iCwKmDcUk3u122N4AaABAg,0,2 years ago,amazing skill....,惊人的技能...
4667,UgwDkRJMyeDBBdKAPON4AaABAg.9J4VkDdRUW59JxlV3dQR0l,0,2 years ago,most of her cooking is quite nutritious and she also gets a lot of energy burned by working all day everyday. haha. she’s amazing.,她的大部分烹饪都是营养丰富的，每天都会整天工作都会燃烧很多能量。哈哈。她太赞了。
4693,UgzKESKdrmkiqB8VI994AaABAg,0,2 years ago,shes amazing!!!,她太赞了！！！
4698,UgxVhLyKt40HNqKnxpN4AaABAg,0,2 years ago,you are so amazing,你真棒
4821,UgzhXhpc5__04H-6a0J4AaABAg,0,2 years ago,god amazing,上帝神奇
4022,UgxiZ8UX3j5d_mRTqN14AaABAg,0,2 years ago,amazing,惊人的
3951,UgybVGLCO1xhnhpXNsZ4AaABAg,0,2 years ago,"what is the time for bamboo.and edible, i see that you do not work very hard ... pvc planting ... pvc spoon.vc kitchen that is a marvel ... pvc still embroider.costura you are amazing i'm loving you eu estou adorando vc e tudo que vc faz parabéns",竹子是什么时候。而且可食用，我看到您不太努力... PVC种植... PVC Spoon.vc厨房，这是一个奇迹... PVC仍然刺绣。Costura，您很棒，我很棒，我爱你欧盟estou adorando vc e tudo que vc fazparabéns
2582,UgwVOV_v5efGFqUMdTB4AaABAg,0,1 year ago,amazing,惊人的
3241,UgxWgoqnuoqkNk4b1tp4AaABAg,0,1 year ago,"recommendation led me here, i thanked it. she's amazing.",建议把我带到这里，我感谢它。她太赞了。
2651,Ugxk93953jvqAcBDxfp4AaABAg,0,1 year ago,amazing,惊人的
2831,UgyrVhp5hhnG4ii9zJN4AaABAg,0,1 year ago,wow amazing .. fans from egypt,哇太棒了..来自埃及的粉丝
2865,Ugw1OAGe9-b5nMNJavx4AaABAg,0,1 year ago,amazing,惊人的
2893,UgzMFOLp63hPn2gp9_p4AaABAg,0,1 year ago,"i have to pause... your [amazing] videos every litlle time...trying to read,the short translation....you give...cause letters running fast....it's a pitty...!cause everything.. else is just perfect..!!!thank you..greetings from greece.",我必须暂停...您的[惊人的]视频每一个时间...试图阅读，简短的翻译....您给...导致字母快速运行。一切..其他是完美的..！
2939,UgwZ01NKjDrF5rkMt4R4AaABAg,0,1 year ago,amazing,惊人的
2990,UgytHer6DaAsPOvu8r54AaABAg,0,1 year ago,amazing lift style,惊人的升力风格
3391,UgzDYYl9R8aCa7bDGAZ4AaABAg,0,2 years ago,amazing... https://youtu.be/7n7lbkjietu,惊人的... https：//youtu.be/7n7lbkjietu
3941,UgyxSWeByWka_cBiHEF4AaABAg,0,2 years ago,"superb, your recipe very amazing... & your mind is natural mind.",很棒，您的食谱非常令人惊奇……而且您的思想是自然的头脑。
3394,UgyKvP2xJY7s_GIH3-Z4AaABAg,0,2 years ago,amazing girls,惊人的女孩
3442,Ugx56rQ2eryPEods1aJ4AaABAg,0,2 years ago,amazing,好厉害
3477,Ugx9VHqC9L-QE7T5qn14AaABAg,0,2 years ago,wow amazing,哇，太棒了
3596,Ugw6DOCNxb5lGHiexWB4AaABAg,0,2 years ago,amazing saw,惊人的锯
3650,UgzcHt9nzjma85QHJlF4AaABAg,0,2 years ago,"amazing, lovely spicy",令人惊叹，可爱的辣
3880,UgzmqhZFvLFG5IQ3F-R4AaABAg,0,2 years ago,waoooo...amazinggggg.,waoooo ...Amakegggg.
10277,Ugxl-XqsW6fKwAU9iMh4AaABAg,0,3 years ago,"how does she do it .
she can cook so much food .
everything she find in the woods she can cook .and it look so delicious to .i enjoy it so much watching her cooking all those things and making all those hand craft to .she the best .and she knows a lot about herbs and others stuff.its amazing","她怎么做。
她可以做很多食物。
她在树林里发现的一切都可以做饭。看起来很美味。我非常喜欢她，看着她烹饪所有这些东西，并使所有这些手工制作到最好的。她对草药和其他东西都了解很多。它很棒"
10516,Ugwv_KauV9yH80bNTtB4AaABAg,0,3 years ago,"amazing girl l admire her the most ,",惊人的女孩我最佩服她，
21819,UgyQREUlC-ezoX097pZ4AaABAg,0,3 years ago,"i grew up and still live in the country side but dang i was never been as amazing as you!! i really love your content
sending love from phillipines","我长大了，仍然住在乡村方面，但是当我从来没有像你那样令人惊奇！我真的很喜欢你的内容
从菲律宾发送爱"
10592,UgxLte90zy-IGwbZn6Z4AaABAg,0,3 years ago,you are a very talented and strong woman. very proud of you to be able to live off the land that way. amazing!! thank you for sharing,你是一个很有才华和坚强的女人。为您能够以这种方式生活在土地上而感到自豪。惊人的！！感谢你的分享
17365,UgyYsAG2VwwjTYZxowJ4AaABAg,0,3 years ago,"looking at li ziyi in the oil pipe, it feels that the fans of the oil pipe are more than domestic, so amazing!",在油管看李子柒，感觉油管的粉丝比国内还多的样子，厉害！
17367,UgzCBPEHTO8cYnLSOsB4AaABAg,0,3 years ago,this is so amazing!,这太厉害了吧！
17407,UgxypmsOxRH9Gn1cQsx4AaABAg,0,3 years ago,this is an amazing youtube and a amazing life. i can really appreciate this way of living it seems so natural and peaceful.,这是一个了不起的YouTube，也是一个了不起的生活。我真的可以欣赏这种生活方式，看起来如此自然与和平。
17435,Ugysg4khewZJu6-aKwJ4AaABAg,0,3 years ago,amazing existing asian channels focused on a very traditional cuisine,惊人的现有亚洲频道集中在非常传统的美食上
17438,UgwV-LNEpQJAbi0pmAJ4AaABAg,0,3 years ago,"wow! beauty, talent and a dream life. she's amazing.",哇！美丽，才华和梦想的生活。她太赞了。
17474,UgzgxlneSPaQ6qpNGdB4AaABAg,0,3 years ago,"i just love everything i see on her video, from garden to cooking its all amazing! keep it up!",我只是喜欢我在她的视频中看到的一切，从花园到烹饪都很棒！继续努力吧！
17675,Ugw6unBHgmutbJEj0r54AaABAg,0,3 years ago,"with so many foods, she didn't eat fat. amazing!",这么多美食，她却没吃胖。了不起！
17691,UgyXvJIH-Cz_Bb2ks854AaABAg,0,3 years ago,waow...this channel is amazing....,waow ...这个频道很棒。
17780,Ugwl3fT1ctd28kIFFv54AaABAg,0,3 years ago,accepted you be my girlfriend i am really amazing this wonderful life that you live take me with you write me hafidarandon410@gmail.com it is my email,接受你是我的女朋友，我真的很棒
17818,UgyMOcPcW7T-CJcgM4Z4AaABAg,0,3 years ago,"it is amazingly beautiful , so nature.",它非常美丽，所以大自然。
17846,UgxQAz3_kgT3zbHRsdV4AaABAg,0,3 years ago,amazing lovely indostrious beautiful angelic woman...liziqi.,令人惊叹的可爱的印度美丽的美丽的天使般的女人... liziqi。
17937,UgyXNYsUJpVasjno6MV4AaABAg,0,3 years ago,amazing they should eat like that!,他们应该那样吃，太棒了！
17954,Ugx0jLwMXdsc1DPSnwB4AaABAg,0,3 years ago,"li ziqi is amazing! i enjoy watching her videos. by the way, am i the only one who noticed the little dog in the video ? it’s so cute.",李齐（Li Ziqi）很棒！我喜欢看她的视频。顺便说一句，我是唯一注意到视频中那只小狗的人吗？它真可爱。
18104,Ugwddk2CHKojp9rVIIJ4AaABAg,0,3 years ago,you are an amazing work of art. as well as your work. and you live in the most beautiful land i have ever seen i live in hawaii thank you for your videos.,您是一件了不起的艺术品。以及您的工作。您住在我见过的最美丽的土地上，我住在夏威夷，谢谢您的视频。
18363,UgzpYq3S9uSD6XbOWDt4AaABAg,0,3 years ago,wow amazing ... #harikrishnasahu,哇，太棒了... #harikrishnasahu
17279,UgyPGCGY4gYDcDHtP_l4AaABAg,0,3 years ago,can i have holiday at your house please.. it will be amazing experience. would rather staying at yours than 5 star hotel.,我可以在你家度假吗？这将是很棒的经历。宁愿留在您的5星级酒店。
16969,UgwAzvlLQFo6c5t2nqN4AaABAg,0,3 years ago,all that food looks absolutely amazing,所有这些食物看起来绝对很棒
16766,UgxbD_z5cS-_FQ5IrCd4AaABAg,0,3 years ago,it's really amazing.,真的厉害。
16087,Ugw7UjmINI8ZkCIF6dV4AaABAg,0,3 years ago,she trully amazing.. 10m for sure..,她很棒。
15714,UgxlLOZ9YgUCM9hxikF4AaABAg,0,3 years ago,that s like watching an amazing film. but she earns alot of money from youtube... ah chinesish chinesish you get stronger and stronger as the times goes by....,就像看一部令人惊叹的电影一样。但是她从YouTube赚了很多钱...啊，随着时间的流逝，您变得越来越强壮。
15743,Ugyvm0rbH2HrvXy_lYd4AaABAg,0,3 years ago,"that’s entirely too much work... take out it is... props to her, seriously just amazing.",这完全是太多的工作……取出它是...对她的道具，非常惊人。
15782,UgzZGp3AMqaiRefm8pt4AaABAg,0,3 years ago,7:00 subtitle is amazing and funny at the same time,7:00字幕同时很棒且有趣
15924,UgyJUkeaP5GLqmepKvx4AaABAg,0,3 years ago (edited),"from the idea of foraging fresh bamboo shoot which i have never had, to the brilliant fermenting clay pots, to the hearth broiled ashen pepper sauce, to the beautiful cowpea garden, to the way you fry bits of dry soy bean curd... as someone who used to live in an american chinatown and is picking up on asian cooking techniques i was amazingly inspired and impressed by this video. you are a wonderful person.",从觅食我从未有过的新鲜竹芽的想法，到鲜艳的发酵粘土锅，到炉烤胡椒酱，到美丽的牛皮花园，再到您炸干豆豆豆豆的方式...一个曾经住在美国唐人街并且正在接受亚洲烹饪技术的人，这段视频给我留下了深刻的印象。你是一个很棒的人。
15957,Ugw3VM2dRQNth5_RJT54AaABAg,0,3 years ago,u r amazing ❤️,你很棒❤️
15998,Ugy0eScrgsAoJ4kp-eB4AaABAg,0,3 years ago,"the number of more than 20 million clicks is really amazing, it can be regarded as a cultural output! give it a like!",2000多万的点击量，真的挺厉害的，也算是一种文化输出吧！赞一个！
16123,UgzsTO_6tkCpwM_WhB14AaABAg,0,3 years ago,this lady is amazing,这位女士很棒
16694,UgwuJECP3-i9FyEeZ-h4AaABAg,0,3 years ago,"amazing chinese girl, amazing culture, hope everyone find a peaceful life with love",令人惊叹的中国女孩，令人惊叹的文化，希望每个人都用爱找到宁静的生活
16159,UgyNCK4o7xqcocWNGI94AaABAg,0,3 years ago,this woman is truly amazing!,这个女人真的很棒！
16269,Ugy8bhJLMAZvh_8pUH14AaABAg,0,3 years ago,100k kitchen thousands worth of high quality french pots plus superior german knives... hehehe thx for sharing it looks so delicious & amazing area,100k厨房价值数千种高质量的法国锅以及优质的德国刀...呵呵分享它看起来如此美味和惊人的区域
16415,Ugz7fVxN7X-MG39wMKV4AaABAg,0,3 years ago (edited),wow ! amazing nowadays girls are more dependent by family..i always love her video..the forest give much.n it's rich she is beautiful she can be an actress..,哇 ！如今，神奇的女孩更依赖家人。我总是喜欢她的视频。森林给予了很多。
16459,UgygEkwtXR3W-N4oxLp4AaABAg,0,3 years ago,omg you cooking and your garden look just out of this world amazing...,天哪，你做饭，花园外观刚好这个世界惊人...
16504,Ugwy-HkS9v_WKJvNOhp4AaABAg,0,3 years ago,the way she preserve her traditional way of living and culture is amazing. 100000graduate,她保留传统的生活和文化方式的方式令人惊叹。 100000级
16631,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H97ZL3HVeaoy,0,3 years ago,"she used to film everything all by herself, now she got a photographer for that, cause it's too much work. but she still do the editing by herslef. amazing talent.",她曾经自己拍摄所有东西，现在她为此找到了摄影师，因为这太多了。但是她仍然由赫尔斯勒夫进行编辑。惊人的才华。
18445,UgwGOVkuHTT12w-NKGB4AaABAg.92Uhq2T0usQ92Wntg4LUBz,0,3 years ago,"it's one of the most foods you want to eat when chinese college students go home. i can't eat it and it's amazing, but i'll try it someday.",当中国大学生回家时，这是您想吃的食物之一。我不能吃它，这太神奇了，但是有一天我会尝试的。
18667,Ugy-AHuU1UvLfpyoKWl4AaABAg,0,3 years ago,"i once cared about her history, or rumors of plastic surgery. but now i see amazing attention, and i am happy to spread and love chinese food culture. isn't this the most important? i know her disgraceful history as well as her face nose. but what ’s more important that our culture spread all over the world?",我曾经也在意过她的坐台历史，亦或整容传闻。可如今我看到惊人的关注量，我高兴中国饮食文化得到传播及喜爱，这难道不是最重要的吗？I know her disgraceful history as well as her fake nose. But what’s more important that our culture spread all over the world ?
18750,UgwiCcXYmQpCOhqa88l4AaABAg,0,3 years ago,"it's really fun to watch her youtube videos, giving knowledge recipes and how to process them ... i like it ... amazing",观看她的YouTube视频，提供知识食谱以及如何处理它们真的很有趣...我喜欢...很棒
20849,UgxLZS1wB3hKt1HuyVl4AaABAg,0,3 years ago,she changed my perspective that even living in the province you can earn money. super amazing. im inspired coz i came also in the province and thriving to get a job in the city but then i saw her videos. lots of love from the philippines. ❤❤❤,她改变了我的观点，即即使住在该省也可以赚钱。超级惊人。我启发了我，因为我也来了该省，蓬勃发展，在这座城市找到一份工作，但后来我看到了她的视频。菲律宾有很多爱。 ❤❤❤
19863,UgxfaRgMIzFAVfrE7uB4AaABAg,0,3 years ago,whats nature beauty ..how beautifull i m amazinggg love uu,什么大自然美女..美好我很棒
20219,UgychS8A-mYiu7LhAsh4AaABAg,0,3 years ago,amazing lady,神奇的女士
20248,UgwPQxrmzFw7Kubd1Y54AaABAg,0,3 years ago,i love watching your videos! your way of life is very beautiful. your kitchen is amazing!,我喜欢看你的视频！你的生活方式非常美丽。你的厨房很棒！
20440,Ugyyya9H7QTTedOaql14AaABAg.90sW5w5mbqW917BGC7CCIT,0,3 years ago,"i think her grandparents, especially her grandma, built and tended to that amazing garden. so yes, god's gift would be grandma's hard work and gardening talents",我认为她的祖父母，尤其是她的祖母，建造并倾向于那个惊人的花园。是的，上帝的礼物将是奶奶的辛勤工作和园艺才华
20732,UgzsnRb-Iiel-5By6G94AaABAg,0,3 years ago,those bamboo woods are amazing.,那些竹子很棒。
20811,UgwKeVgZoaekArc0xZ54AaABAg,0,3 years ago,"firstly thank you for sharing your amazing videos. this is by far my favourite channel, there is something special about the traditional ways and you are mesmerising to watch.",首先，感谢您分享您的惊人视频。到目前为止，这是我最喜欢的频道，传统方式有一些特别之处，您正在关注。
20851,UgzBvHwDbVsPUnCFJP54AaABAg,0,3 years ago,amazing !!!,惊人的 ！！！
19832,UgxKl72FXuPwYhZpnLx4AaABAg,0,3 years ago,amazing,很棒的
20854,UgwN-WuJg4BZRuVLiLt4AaABAg,0,3 years ago,"this amazing playback volume scared me, i feel that ziyi promotes chinese culture!",这惊人的播放量吓到我了，感觉子柒弘扬中国文化！
21129,Ugw-IbLxxjD9EGxbvjZ4AaABAg,0,3 years ago,amazing,惊人的
21149,UgwE70w1e8BnLfzvCzN4AaABAg,0,3 years ago,you are amazing,你很棒
21158,UgxF5RhAOKV2TqSjtVZ4AaABAg,0,3 years ago,amazing. so fantastic .like a heaven all u need's have,惊人的。太棒了。就像天堂一样，你需要的是
21593,UgyQLa630mHKwy55ymN4AaABAg,0,3 years ago,it's amazing,太奇妙了
21676,UgxD3mkuUabsxgsScWJ4AaABAg,0,3 years ago,great (your video is amazing),太棒了 (Your video is amazing)
19838,UgxEr37bx_TYL7H6P014AaABAg,0,3 years ago,this beautiful woman slk kkkkkkk i would marry them easy she is amazing kkkkk,这个美丽的女人slk kkkkkkk我会嫁给他们轻松的她很棒的kkkkk
19801,Ugxg4RJ2ECK45XeSY0x4AaABAg,0,3 years ago,"i thought that beautiful and hardworking girls were only in fairy tales.
you are just amazing!!!","我以为美丽而勤奋的女孩只是在童话中。
你真是太神奇了！！！"
18792,UgzB2zE9OGkLuCYcn554AaABAg,0,3 years ago,this amazing view of viewing,这惊人的观看量
19117,Ugzcmv6s-Nl5xgt-iNl4AaABAg,0,3 years ago,"someday i want to live a place like that,, so peaceful,, its amazing video!",总有一天，我想住一个这样的地方，如此宁静，它的令人惊叹的视频！
18798,UgxKKpVO48nHoU-7R_h4AaABAg,0,3 years ago,i’m watching every ep. of your video.. amazing,我正在看每张EP。您的视频..令人惊奇的
18877,UgzbZoravYiIgbOH0954AaABAg,0,3 years ago,amazing,好厉害
18882,UgzbZoravYiIgbOH0954AaABAg.92EEre7em9B92YzgRNk-jZ,0,3 years ago,"it's really amazing, the camera is so beautiful",真的好厉害，镜头好美
18997,Ugxo7E481H9SMYOzWYV4AaABAg,0,3 years ago,no words can praise it .amazing.,没有话可以赞美它。
19025,UgwnJjgQPhkxWDMMG8h4AaABAg,0,3 years ago,this is an amazing female. mad props the food always look amazing,这是一位了不起的女性。疯狂道具食物总是看起来很棒
19090,Ugxx0C0wczLWx2DIaoJ4AaABAg.928Ic4g69m392ObfGdTtmv,0,3 years ago,"welcome to china and u can come visit guangzhou, the foods there are soooo amazing and u will wish to stay longer☺️",欢迎来到中国，你可以来参观广州，那里的食物真是太神奇了，你希望保持更长的距离。
19208,Ugz7EwXngvSpw1qdKrN4AaABAg,0,3 years ago,amazing,惊人的
19682,Ugz-cG6POqJkSId2nSx4AaABAg,0,3 years ago,"she was amazing, liked her way of life, very meaningful, but who did it mean?",她很棒，喜欢她的生活方式，非常有意义，但是这意味着谁？
19232,UgxNZmWcDtIFcoKZUE54AaABAg,0,3 years ago,ohh the witch house... how amazing,哦，女巫屋...多么神奇
19245,UgzZ9c1X8JxaIjIQREF4AaABAg.92-ZyicXLEa92Yzwfvw77A,0,3 years ago,"totally agree, it is amazing to watch such stunning",完全同意，看到如此惊人的人真是太神奇了
19254,Ugy3XKE_gqpZme3d_Sp4AaABAg,0,3 years ago,wonderful the beans are amazing !! i can almost taste it now!!,很棒的豆很棒！我现在几乎可以品尝！
19279,UgyGc-uW7lgMRCANecJ4AaABAg,0,3 years ago,amazing woman.,惊人的女人
19385,UgwNGXbugtY3DGMFlW54AaABAg,0,3 years ago (edited),the beauty that is put into the filming of this is amazing. been vegan for 55 years everything is perfect but the animal that's not alive in here. but if somebody chose and had the land they could live this way without the animal added. there could be videos of how to make tofu or eat beans. she certainly has a large enough garden to create any version of this that anybody would love. this still has less dead animals in a burger king commercial. i'll focus on the garden in the bamboo forest and hope that all that waste gets composted.,拍摄中的美丽是惊人的。素食主义者已有55年了，一切都是完美的，但是这里没有活着的动物。但是，如果有人选择并拥有土地，他们可以这样生活，而没有添加动物。可能会有有关如何制作豆腐或吃豆类的视频。她当然有一个足够大的花园来创建任何人都会喜欢的任何版本。在汉堡王广告中，这仍然具有较少的死动物。我将专注于竹林的花园，并希望所有废物都堆肥。
19436,Ugx5Ot171Kkj8Whtqpd4AaABAg,0,3 years ago,this is better than my asian food channel! food is home and home is food. its amazing what the country has to offer if you dont care about burgers and chips,这比我的亚洲美食频道更好！食物在家，家是食物。如果您不关心汉堡和薯条，该国所能提供的令人惊讶的是
15712,UgyHUJ-f9o12o_ZM1Zx4AaABAg,0,3 years ago,amazing woman,了不起的女人
15691,UgzKyeD4xCEHcVqrdup4AaABAg,0,3 years ago,i wouldn’t mind going to her place to try out these amazing food she made from scratch. it looks so delicious!,我不介意去她的地方尝试她从头开始做的这些令人惊叹的食物。看起来很美味！
15686,Ugxw4xyuB21W4RuNOIJ4AaABAg,0,3 years ago (edited),"i was enjoying the video and her stressfree, simple but life-fulfilling moments and activities, perfect/amazing skills/talents in any/every activity, warm auras, aesthetics of the camera angles and moments taken, when all of a sudden im interrupted by an ad. a pizza delivering, dominos ad.
when that car pulled up from the ad, reality hits me like a car accident, making me realize the life, society, environment, and most of all, the s t r e s s that i have and live in. im in an urban area, near an iconic city you could see in postcards. that ad, reminded of how every second counts as a huge factor in my life that could mess it up. that ad, brought back the stress, the feeling of every opportunity good or bad at every corner of my brain. that ad, brought back the weight, suffocation, and reminders that my life is in a city and not as stressfree and life-fulfilling such as her. 
now, i have to watch another video to bring down this stress.","我喜欢视频以及她的无压力，简单但充实的时刻和活动，任何/每项活动的完美/惊人技能/才华，温暖的光环，相机角度的美学和时刻，当时突然被我突然被我打断了一个广告。 Dominos广告的披萨交付。
当那辆车从广告中撤出时，现实像车祸一样袭击了我，使我意识到了生活，社会，环境，最重要的是我所拥有和居住的S t r s s。您可以在明信片中看到的城市。那个广告让人想起了每一秒如何算作我一生中可能会弄乱它的重要因素。那个广告带回了压力，每个机会在我大脑的每个角落都好坏。那个广告使重量，窒息和提醒我的生活在一个城市中，而不是像她这样的无压力和生活充实。
现在，我必须观看另一个视频以减轻这种压力。"
12593,UgwTcUlvMuRRmYcG1Ol4AaABAg,0,3 years ago,"li ziyi's income is over 100 million yuan, it is really amazing! and they all rely on this small fresh video, not those vulgar and interesting videos, it is really good.",李子柒年收入过亿人民币，真是厉害！而且都是靠这种小清新视频，不是那些低俗恶趣味的视频，真的很好。
12079,UgxBP3z7AAdFzwjn9rV4AaABAg,0,3 years ago (edited),"mostly american youtubers spends lots of money and just waste them for blogs, but this girl is finding any single thing and make amazing thing ou tof it",大多数是美国YouTubers花很多钱，只浪费它们来博客，但是这个女孩正在发现任何一件事，并做出了惊人的事情
12117,UgwgB_YvbYFSH3OJRWB4AaABAg,0,3 years ago,wauuuuuu liziqi amazing@amazing,wauuuuuu liziqi惊人@Amazing
12146,Ugx80QK2oa6uZnkgzn14AaABAg,0,3 years ago,wow i love all your videos it's amazing ....stay safe,哇，我喜欢你所有的视频，这太棒了....保持安全
12198,UgyPZR8FHanBZd8iCDd4AaABAg,0,3 years ago,wow! you're amazing! lovely garden vegetable,哇！你太棒了！可爱的花园蔬菜
12344,UgzHPl5s_qH4e-GdqRR4AaABAg,0,3 years ago,this girl is amazing,这个女孩很棒
12391,Ugwf-um5aztxqfUFIdt4AaABAg,0,3 years ago,it seems like i’m watching a well made fantasy movie. thank you so much for making an amazing film.,看来我正在看一部制作精良的幻想电影。非常感谢您制作了一部出色的电影。
12673,UgwroaNMMqkAQw6kEdl4AaABAg,0,3 years ago,this is amazing,这真太了不起了
11774,UgyRd4LAZ7X3xrNE2E94AaABAg,0,3 years ago,am very like it watch to the video this amd amazing,我非常喜欢观看这段令人惊叹的视频
12854,Ugzj3qwx4wjq3krjlKx4AaABAg,0,3 years ago,"would love to know which camera she's using, besides of the color correction it looks insanele amazing",很想知道她正在使用哪种相机，除了颜色校正外，它看起来很疯狂
12920,UgwGFTrCwDFZDE5PLgd4AaABAg,0,3 years ago,hai mam me n my son we're ur big fan ....how can u do this .. just amazing ...keep going....we r from kerala....thnk u mam for ur beautiful vedios...keep going n god bless u an ur family....,hai mam me n我的儿子，我们是您的忠实粉丝....你怎么能做到这一点..太神奇了...继续前进。...我们从喀拉拉邦起来。 ..继续前往上帝保佑你一个家庭....
12980,UgxLIUF0mj20hsQ-ZTZ4AaABAg,0,3 years ago,simply amazing,简直太神奇了
13059,UgyOaMH22bWZXWeKzFJ4AaABAg,0,3 years ago,"i will see it ...
this person is really amazing (´ ； ω ； ｀)","我会看到的...
这个人真的很棒（´；ω；；）"
13123,UgziqAqAHqvtgevhHuF4AaABAg,0,3 years ago,amazing video,惊人的视频
13210,UgyrUkIyKF8p6AiDWYh4AaABAg,0,3 years ago,you are yet another legend. sister you are amazing.,你是另一个传奇。姐姐你很棒。
12078,UgxHkA-dB3LGnDR_Ix94AaABAg,0,3 years ago,amazing,惊人的
11764,UgyUnUUbwX3b0jh1TpJ4AaABAg,0,3 years ago,"it's amazing, everything will be a little bit",厉害了
13246,UgxNzGBLxnTWGNsun954AaABAg,0,3 years ago,where can i find this amazing music?,我在哪里可以找到这首令人惊叹的音乐？
11204,UgzMTERMq4uK3ztT3NR4AaABAg,0,3 years ago,"its amazing everyone from every country watches this great job
work hard","每个国家的每个人都很棒，看着这项出色的工作
努力工作"
