,cid,votes,含like,含like中文翻译
18552,Ugy5DtcWrJ8THsKRt-F4AaABAg,0,"who wouldn't want a girl like her to be his wife??
she is like the disney princesses.
she deserves all the hardwork done by her
she is really amazing.
it gives me a lot of pleasure while watching her videos ♥️
leave a life if u do too!!
","谁不想像她这样的女孩成为他的妻子？
她就像迪士尼公主。
她应该得到她所做的所有辛勤工作
她真的很棒。
观看她的视频时，这给了我很多乐趣♥️
如果你也这样做，就会留下生活！！
"
18573,Ugy8ZvQfHnUcdfaTkkd4AaABAg,0,maybe this is a glimpse of what heaven will be like :),也许这是对天堂的样子的一瞥:)
18576,UgxcHWYvvpcNgV3I2b94AaABAg.96k0lf-RA7A96mJBJ6HeUJ,0,"thank you so much for your support hope you like chinese music too, here is the link, https://youtu.be/rhqecmtkgqu",非常感谢您的支持，希望您也喜欢中文音乐，这是链接，https://youtu.be/rhqecmtkgququ
18316,UgxjmA7l7H-RKWKlnFp4AaABAg,0,you are very pretty you seem like a disney princess who is difficult to believe what you do all that job a lot of respect looks delicious.,你很漂亮，你看起来像个迪斯尼公主，很难相信自己做的所有工作看起来很美味。
18311,UgwTZ-H-WSJaeyZnYDR4AaABAg,0,i want to live with you.. i so like your life,我想和你一起生活..我很喜欢你的生活
18304,Ugyi_JhixxkhUU7-2JJ4AaABAg,0,"great, like it!",太好了，喜欢！
18178,UgymXL1umrFrxqYNoZB4AaABAg,0,really good want to have a house like that,真的很想有这样的房子
17835,UgybdKCJzjpbB9lZjyl4AaABAg.97VVW4BLMWD97W4BJ9O1lJ,0,suraka bloom omg! i thought i was the only one! i distinctly remembered watching the popcorn part over and over because her scared reaction made me laugh and so i went to rewatch and i’m like what is this music?? then i thought maybe i somehow confused the videos or something.,Suraka Bloom OMG！我以为我是唯一的！我清楚地记得看着爆米花的一遍又一遍地，因为她害怕的反应使我发笑，所以我去了重新观看，就像这是什么音乐？然后我以为我可能会以某种方式混淆了视频之类的东西。
17840,UgzrzQVlVE8U33HjHNV4AaABAg.97VNJr4DvN7980obbsoO74,0,i don’t need anybody’s opinion. i like her chanel.,我不需要任何人的意见。我喜欢她的香奈儿。
17876,Ugz2Rwr32athlqUDztZ4AaABAg,0,"boring noise, it looks like a funeral",无聊的噪音，看起来像葬礼
17891,UgwLvUOsWlTjtqPdS_J4AaABAg,0,"i really like the older piece, which is soothing, clear and makes me feel relaxed",我真的很喜欢旧的作品，它舒缓，清晰，让我感到放松
17898,UgyCn_6DbpAV4E5bql14AaABAg,0,what a woman so extrahordinary numca had seen someone like that in my life soi in venezuela i adore her,一个女人如此外界的Numca在委内瑞拉我一生中见过这样的人，我崇拜她
17901,UgzEGmEo9VaLPW0Jru94AaABAg,0,ok _ like,好的_喜欢
17943,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv9AH7N4en_6T,0,"seriously, we need a disney princess like li ziyi",说真的，我们需要一个李子柒那样的迪士尼公主
17973,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv9oyz_acGlJ6,0,@anniearevalo3157 k look like they did u send it looks of k koi baat hai look of k look like to be the lord is like they were ko,@anniearevalo3157 k看起来像他们把它寄给了k koi baat hai k k koi baat hai看起来像是主，就像他们是ko
17988,UgyzNfxZsB-QkOM8Y-94AaABAg,0,i like natural what she do,我喜欢她所做的自然
17989,UgymWnYYd93sVIfY7q54AaABAg,0,i don't like the music,我不喜欢音乐
18038,Ugy3LMgRRuVFh81SUkR4AaABAg.97OctMRyFnB98QQKt1UpDu,0,@nationalnews9280 why do i smell something like curry now?,@NationalNews9280我为什么现在闻到咖喱的味道？
18067,Ugw2zBMk7VZ_Us9iLdR4AaABAg,0,mother -in -law hat is super cute! like a giant panda!,婆婆帽子超可爱！像只大熊猫！
18179,UgyF9KK7Ph51IvuHzx14AaABAg,0,grandma be like “this bish is either on crack or just crazy”.,奶奶就像“这个比什要么是在裂缝，要么疯狂”。
18303,UgyNlLzNCfzt0rWcGe14AaABAg,0,i feel like her whole life is just spent gathering things for cooking and cooking things she’s planted and gathered and honestly that speaks to my soul,我觉得她的一生只是花了很多时间来烹饪和烹饪她种植，聚集和诚实的东西，与我的灵魂说话
18186,Ugw59tHEyeqyeSRu2FR4AaABAg,0,i really like this chenel high school,我真的很喜欢这座Chenel高中
18197,UgxpD_V0eVCft4o5K8h4AaABAg,0,what beautiful video ily would like to be there for at least one day.,我想在那里至少有一天的美丽视频。
18203,Ugy9zBZvNGjGisHC64R4AaABAg,0,i love you so much you so precious like an angel,我是如此爱你，你像天使一样珍贵
18222,Ugy7yk698EhZqMCeDVV4AaABAg,0,"liziqi beautiful kid ....
he loves his grandmother so much ...
they live in a place that is so beautiful ....
like in heaven ......","liziqi美丽的孩子。
他非常爱他的祖母...
他们住在一个如此美丽的地方。
就像天堂一样……"
18228,UgybKmEATKYMPqmuiFJ4AaABAg,0,why are there good people like this!,为什么有这样的好人！
18236,UgxXjAgQkzGMZPvJWBl4AaABAg,0,zi yan's side is like leslie cheung.,子柒侧面神似张国荣。
18244,UgyOQhl6U5fIAdEa2ud4AaABAg,0,"if we lived closer to this life style it would be like a fairy tale't need or want, spending a lot of our time on tv, computer or phone, in my opinion is depressing and leads to depression",如果我们生活在这种生活方式上，那就像一个童话故事
18248,UgzD0f0m73G4uK-TFe14AaABAg,0,look so amazing i like your video a lot nice girl nice work,看起来很棒，我喜欢你的视频很多好的女孩
18260,UgwEkkERoFHWp2e4fP54AaABAg,0,ilike❤️❤️,Ilike❤️❤️
18273,UgwORRyGnYhqncOFLPl4AaABAg,0,i wonder what the puppies look like now,我想知道幼犬现在是什么样的
18295,Ugy1UybswTHI9-9DS9d4AaABAg,0,who here likes to watch but from indonesia?,谁喜欢看印度尼西亚？
18298,UgxcGL0rsLm-XGGhagh4AaABAg.976arM7GdM597ErODukhp8,0,what is that powder she add to melt marhmallows like making nougga :)),她添加到融化的marhmallow中的那个粉末是什么，例如制作牛g :)）
16770,Ugx5EVWi-xc4hjKR4sB4AaABAg,0,like +1+1+1,像+1+1+1
16749,Ugw6Io6sIM0MKdFlsPR4AaABAg,0,"wow she is an amazing cook,the japanese make delicious food like caramelized apples",哇，她是一位了不起的厨师，日本人制作美味的食物，例如焦糖苹果
14985,UgxdX5fXkF-mbsMF__54AaABAg,0,"the video you made is great. i really like it, i watch tv every day. vedio is perfect and great investment. i wish you good health and succeed",您制作的视频很棒。我真的很喜欢，我每天都看电视。 Vedio非常完美，投资巨大，祝您身体健康，取得成功
15364,UgzWkCl2rUa82jjV6bR4AaABAg,0,"my ancestral house is up the mountains in china, i wonder would it be as beautiful as like this :d
(from singapore)","我的祖先房屋在中国的山上，我想知道它会像这样美丽：D
（来自新加坡）"
15368,Ugx_wh_ElZyYF7ResaB4AaABAg,0,i wish i were your family member to help you. you are so hardworking. i always feel peace and happy when i ever i watch you. i also want my life just like you. ❤lots of wishes for you and your family ❤,我希望我是您的家人来帮助您。你真努力。当我看着你时，我总是感到安宁与快乐。我也想要像你一样的生活。 ❤祝愿您和您的家人的愿望
15401,UgyzKcVps2jf_rwLmah4AaABAg.99bE4vqNKkd9ARURUjXfSY,0,this is a few chinese youtuber. there is no attack remark. people all over the world include taiwanese without those remarks. this is like a paradise.,这是为数不多的中国youtuber下面没什么攻击言论的了，全世界的人包括台湾人都没有那些言论。这里就像世外桃源。
15405,Ugw2F3QsD5w1BsRqwDd4AaABAg,0,feel like visiting yr place n b der fr a week to admire d beauty of yr surroundings,就像一个星期那样访问n b der fr，欣赏周围环境的美
15432,UgwqaBeNVb7XR71TsMd4AaABAg,0,"crazy, people nowadays are so interested living in a suburb or living simple life like liziqi. wonder what life looks like back in those era, men went hunting women do all the agriculture childrens learning from their elders. i really want to experience all that kind of life without thinking how to get money or rent a apartment etc. back in those days, we fckn build a house by using woods and without money. man i really wanted to live a simple life",疯狂，如今的人们非常感兴趣地生活在郊区或像Liziqi这样的简单生活中。想知道那个时代的生活是什么样的，男人去狩猎妇女，使所有农业儿童从长老那里学习。我真的很想体验所有这种生活，而无需考虑如何赚钱或租公寓等。在那时，我们通过使用树林和没有钱来建造房屋。男人，我真的很想过一个简单的生活
15444,UgzeorZNgn1vhPncHCl4AaABAg,0,i really like li ziyi,我真的好喜欢李子柒
15451,UgwsvYjHlnbpMPMMdj14AaABAg,0,i'm just happy there is still rural life like this out there in the world. it is beautiful,我很高兴仍然有世界上这样的乡村生活。它很美
15468,UgyY91-Oenk9J5Bt4ZF4AaABAg,0,it’s like watching a live action ghibli film,就像看现场动作吉卜力电影
15473,Ugzu-rFgwZeQKQkcXJF4AaABAg,0,"i want to live like this, so happy.",我想这样生活，很高兴。
15477,UgwZaM7IWZvb2Nd48VF4AaABAg,0,i love your vedeo. i like watch your vedeo,我爱你的vedeo。我喜欢看你的vedeo
15505,UgzZcBrWu5IDJhTAONV4AaABAg,0,"may you always be healthy, live in harmony with your family, and visit a happy place, where there is paradise -like vegetation, silent and nutritious recipes, and smart and smart people",愿您一直健康，与家人和睦相处，并参观一个幸福的地方，那里是天堂般的植被，静默着美味又有营养的食谱，还有聪明又聪明的人
15512,Ugzdlk3o216k1OZcFAN4AaABAg.99VgO26eq-I9A5fBld0QKL,0,curious why foreigners like this video.,好奇老外为什么喜欢这个视频。
15540,UgxznnLslf-SjS-yoMR4AaABAg,0,"people certainly click the dislike button inadvertently, because i don't understand,",人们当然会无意中单击“不喜欢”按钮，因为我不明白，
15566,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p99n0Ttr_29p,0,"pineapple y_y human instincts only apply to when you don’t know where the sound is coming from or you aren’t anticipating it. but if your staring right at the thing that’s going to make that sound and have experienced it before, then you know what’s coming. it’s like in a horror movie and you know there is going to be a sudden twist/jump-scare, you aren’t phased. also, take reference to my previous comment about how planned everything is.",菠萝y_y人类的本能仅适用于您不知道声音来自何处或您没有期待的时候。但是，如果您正盯着要发出声音并以前经历过的东西，那么您就会知道会发生什么。就像在一部恐怖电影中，您知道会突然的扭曲/跳投，您没有分阶段。另外，请参考我以前关于一切计划的评论。
15569,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p99nQUqyMYYY,0,"tixel craft yes, it is a comment, good job. commenting is a way to share thoughts. if you don’t like my thoughts then don’t read them. don’t get mad at me because i have viable information that i want to share.",Tixel Craft是的，这是一条评论，做得好。评论是分享思想的一种方式。如果您不喜欢我的想法，那就不要阅读它们。不要生我的气，因为我有要分享的可行信息。
15582,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p9ACIcxAs-G3,0,@lindseyrubenstein6028 its indeed acting but tbh its kinda like a nostalgic chinese inside joke bc most of us were scared of that black popcorn machine in our childhood. i am older than her but i wont even stand that close to the machine like her lol,@lindseyrubenstein6028的确表现得很重要，但它像一个怀旧的中国笑话，bc bc bc中的大多数人都害怕我们童年时期的那台黑色爆米花机。我比她大，但我甚至不会像她那样靠近机器
15590,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p9AXXrPKJVbx,0,"lindsey rubenstein plenty of grown women are scared of loud noises, it’s actually normal for humans to be afraid of them. besides, if you’ve never heard one of those things in real life, they explode kind of like a firecracker or a cannon, it’s really loud",林赛·鲁本斯坦（Lindsey Rubenstein）有很多成年女性害怕大声的噪音，实际上，人类害怕她们是正常的。此外，如果您从未听说过现实生活中的一件事，那么它们就像鞭炮或大炮一样爆炸，这真的很大
15591,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p9AXutlupnKp,0,"lindsey rubenstein apparently, you have no knowledge about the popcorn thing in rural area in china. i’m older than ziqi but i’m scared of that popcorn “machine” since i was a child. and it has become a kinda culture that children and adults gather together to wait for that bam although they are all scared of it. this culture has been carried on from generation by generation. she has two assistants to help her shooting videos, but doesn’t mean her life is fake. sadly, some people like you grown up in cities tend to assume an ideal life fake since you can’t appreciate such pure beauty generated from nature.",Lindsey Rubenstein显然，您对中国农村地区的爆米花事物一无所知。我比Ziqi大，但我从小就害怕那个爆米花的“机器”。这已经成为一种有点文化，尽管他们都害怕这种BAM，但儿童和成年人聚集在一起等待该BAM。这种文化是通过代代相传的。她有两名助手来帮助她拍摄视频，但并不意味着她的生活是假的。可悲的是，像您在城市长大的人这样的人往往会假定一个理想的生活，因为您无法欣赏自然界产生的纯粹美。
15597,Ugy1GrME6sRfrnGkFot4AaABAg,0,i like to see the video,我喜欢看视频
15607,UgxslStB34ippby0BBx4AaABAg,0,man! why can't more women be like her?,男人！为什么更多的女人不能像她一样？
15621,UgzgsWM9jHtuP-bY_oh4AaABAg,0,"wow i really like this rhythm of life, i like it",哇，我真的很喜欢这种生活的节奏，我喜欢它
15626,UgzxZjoWKy0cChIz4jF4AaABAg,0,do many terrible feats. the world is true only one person can do it like you. real admiration. then how can i eat it all?,做许多可怕的壮举。世界是真的，只有一个人能像你一样做到这一点。真正的钦佩。那我该怎么吃？
15628,UgxRscdrvXSJzTy1-al4AaABAg,0,"every time he sees, he looks like twice mina",每次他看到时，他看起来像Mina两次
15662,UgxW8vzZm1pmwa9WIc14AaABAg,0,"smile to see liziqi .. it's pretty .... rajin .... wise pulak tu ...
alahai .... whatever .. like life like this ... 
love from malaysia","微笑着看到liziqi ..很漂亮.... Rajin .... Wise pulak tu ...
Alahai ....无论如何..像这样的生活...
来自马来西亚的爱"
15714,Ugzp7lVpDalQ5asj4s94AaABAg,0,"can someone tell me what's this stove (@4:03, @6:28) called and how it can be made? 
i am from india and found this wood fire stove at many cooking videos. i would like to make such for my home in india. can someone guide me. 
thanks. mateen","有人可以告诉我这个炉子是什么（ @4：03， @6：28），如何制作它？
我来自印度，在许多烹饪视频中发现了这个木火炉。我想为我在印度的家做这样的家。有人可以指导我吗？
谢谢。玛汀"
15717,UgwzHfiteDIFw0k8kP94AaABAg,0,any country that planted anything would like to really like it,任何种植任何东西都想真正喜欢的国家
15718,UgzDf0p2l6I8VCKu_Xp4AaABAg,0,i like it very much.,我非常喜欢它。
15720,UgxplZcb9JADiVpfQCt4AaABAg.99J3RkyNxks99QbuV6ZDNL,0,"i mean, if you read the comments it's fairly easy to see why. people watch her videos to watch fairytale like versions of country living, a romanticised version of it, rather than seeing the amount of hard work and effort that goes into it. not that i judge anyone for it, i love watching these videos.",我的意思是，如果您阅读评论，那么很容易理解原因。人们观看她的视频观看童话，例如《乡村生活》的版本，这是它的浪漫化版本，而不是看到其中的辛勤工作和努力。并不是我为此判断任何人，我喜欢观看这些视频。
15367,UgzHRzUayLQjMeVbAOp4AaABAg,0,"why are there 25k dislikes? me think, those are master chefs around the world or at least wannabe, that are not as popular as her. whats more she got more than 10 millions followers. even the most famous master chef tv show are not as popular as her. that is one big reason to dislike.",为什么有25k的不喜欢？我认为，这些是世界各地的厨师，或者至少是想成为她的人。她有什么是1000万以上的追随者。甚至最著名的大师厨师电视节目也不像她那样受欢迎。那是不喜欢的一个重要原因。
15360,UgwAonGjZgRjld4s58J4AaABAg,0,life is so peaceful ... like in a fairy tale..,生活是如此和平...就像在童话中一样..
16734,UgzNPaqTnQeGrjsoBlt4AaABAg.98Tl0pLSUFY98Xz80P3rgG,0,it seems like that is not a mango but a yellow peach.,似乎那不是芒果，而是黄色的桃子。
15338,UgwHqEmMmq9jyFye6OB4AaABAg,0,this chinita is incredible i love her recipes i would like to prepare in my house,这个奇妮塔令人难以置信，我爱她的食谱，我想在家里准备
14998,UgzzBvluW2W7z55ecB14AaABAg,0,i wish i had a wife like this woman.,我希望我有一个像这个女人这样的妻子。
15012,UgzlAY9umD3Rv2ZMO7R4AaABAg,0,"https://youtu.be/_duf8ac7usi please check our channel...like,share ..our videos.. please",https://youtu.be/_duf8ac7usi请检查我们的频道...喜欢，分享..我们的视频..请
15028,UgybATYoV7XbOAFrWJJ4AaABAg,0,a year and still like watching ♥ ️ ♥ ️ ♥ ️,一年，仍然喜欢看♥谢♥♥♥)
15059,UgyuV-d3cRAR0OD45I94AaABAg,0,what is the white ice -like substance that he puts on the pan? i don't understand what is it,他把锅放在锅上的白冰是什么样的物质？我不明白这是什么
15069,UgzHQ-VA7LnAsVBHx594AaABAg,0,i like your video creative,我喜欢你的视频创意
15071,UgxHD0T0FQzv_WzvGqx4AaABAg,0,"26k dislikes seriously , people who dont like to do household works..",26K认真地不喜欢，不喜欢做家居工作的人。
15081,UgzC8zr3XSyLVh9dvBB4AaABAg,0,this inspired me how to cook even im just 10 year old its kinda weird that in the age like this can cook something,这启发了我如何烹饪即使我只有10岁，这有点奇怪，在这样的年龄可以烹饪一些东西
15082,Ugwamor_GideC9a8z_V4AaABAg,0,"her husband will definitely luckiest person in the world. she is really unbelievable, she deserve more subscribers. i wish my wife will be like her.",她的丈夫肯定会在世界上最幸运的人。她真的令人难以置信，她应该得到更多的订阅者。我希望我的妻子会像她一样。
15088,Ugzm1PJdDZW-blbPzUp4AaABAg,0,i like,我喜欢
15096,UgyMPbonwvcfHozgypt4AaABAg,0,"ever since i was a young kid i've always wanted to live like this. in nature, alone with my own resources, peaceful. i'd only go back to get things i cant make or grow. but i'm only 15 so i still live in a place i dont like. my shyness plays a big role in my wanting to be alone, but living with nothing but nature has always been what i wanted",自从我还是个小孩以来，我一直想这样生活。本质上，独自拥有我自己的资源，和平。我只回去得到我无法做出或成长的东西。但是我只有15岁，所以我仍然住在一个我不喜欢的地方。我的害羞在我想要的一个人中起着很大的作用，但是除了自然之外，什么都不是我想要的
15108,UgynBDTMJt1HgMMfBJd4AaABAg,0,i like natural,我喜欢自然
15111,UgxljstxBaIUycgFEdl4AaABAg,0,"https://www.youtube.com/c/mianbrochannel
all types of videoooz 
like and share my videos 
subscribed my channel 
enjoy all types of videozzzz 
mianbro channel","https://www.youtube.com/c/mianbrochannel
所有类型的Videoooz
喜欢并分享我的视频
订阅了我的频道
享受所有类型的Videozzzz
Mianbro频道"
15115,UgznD4SO88k3luWTsH14AaABAg,0,"i liked that place where you live, village life nature people i would like visit this place",我喜欢你居住的地方，乡村生活大自然，我想参观这个地方
15142,Ugx4atFR45rDoXmBIWV4AaABAg,0,like,喜欢
15153,UgwJ1TjuMNoMDZPD-FJ4AaABAg.99pBRkxnDmq99tyKWSH4hz,0,"@user-hj7nn3zi1l
i liked me, i am giving birth to","@user-hj7nn3zi1l
我喜欢我，我要生下"
15173,Ugzbjehh3b3jAuStNB54AaABAg,0,i would like to know the dessert d bombon k contains to do it,我想知道甜点bombon K包含
15180,UgzfwbQrkZJ-VFpFCK14AaABAg,0,the world is sad and like a loan who wants to be troi.bih yen and how beautiful. ta ta ta cuc and cuc ky da tam.,这个世界是悲伤的，就像一笔想成为troi.bih日元的贷款，多么美丽。
15184,UgyIlePtTS1hzD-KLQN4AaABAg,0,people who play pve in ark be like:,在方舟中玩PVE的人就像：
15247,UgxCQYXap9vk2YRw9dd4AaABAg.99m_yaZlMKh9B46Sv7Bhi7,0,"some people pay attention to quality, do not substitute politics here
what likes us is our friends, isn't it?
야 야, 한다,
우린 우린 친구 친구","某些国人注意素质，不要把政治代入这里
喜欢我们的就是我们的朋友，不是吗？
사랑한다, 야,
우린 친구야"
15248,UgzB5kXixX6U59Sl6GF4AaABAg,0,like,喜欢
15256,UgzcWR1EZCL1sRiompV4AaABAg,0,"in fact, after understanding how big this kind of film is filming and editing, it is necessary to know that people such as lee actually operate in fact, but this does not prevent me from like these films, at least it shows people's hearts in their hearts. i also made a lot of publicity for our country. of course, as a chinese, it must be unconditionally supported.",其实在明白这种片子拍摄剪辑之类的需要多大一个团队后就知道实际上生活成李这样的人基本都是运作出来的，但是这并不妨碍我喜欢这些影片，至少其表现了人们内心的向往，也为我们国家做了很大的宣传，作为中国人当然要无条件的支持。
15275,Ugww8YoAgEFDmClwhuB4AaABAg,0,i don’t think all these pollutions electronic devices or any material things. i just need to live like her ❤️,我认为并非所有这些污染电子设备或任何物质物品。我只需要像她的❤️一样生活
15289,UgxDenq5Qcix9CijEup4AaABAg.99iyGbID1Gr9Ank4oSgyQh,0,"wow, just like china, i also did popcorn when i was a kid.",哇，竟然跟中国一样，我小时候也有这样做爆米花的
15293,UgwDSR136j_pksLukW94AaABAg,0,greetings kk 'i'm from indonesia. i really like all the videos. i want to go to the beautiful tmpt all the scenery. which one is the original person? chinese area. salute can be versatile kk.,问候KK'我来自印度尼西亚。我真的很喜欢所有视频。我想去美丽的TMPT所有风景。哪一个是原始人？中国地区。致敬可能是多才多艺的KK。
15304,UgzabYKageWpoULjKbt4AaABAg,0,where is that sky from. i cant believe thats earth. it looks like a projector. where do u live,那天空在哪里。我不敢相信那是地球。它看起来像投影仪。你住在哪里
15316,UgzxI2UFRCDopHKJuRx4AaABAg,0,"fantastic snacks ...
everything liziqi does is wonderful !!!
i would like to see a video where you can see what you feed and caress your puppies, is it possible?
thank you!!!
conxita ^: ^","很棒的小吃...
Liziqi所做的一切都很棒！！！
我想看一个视频，您可以看到您的幼犬喂食和爱抚您的幼犬吗？
谢谢你！！！
conxita ^： ^"
15326,UgwcP29n839ngWfiyhx4AaABAg,0,i like u becausedeserve it,我喜欢你，因为
15748,Ugyaa1zVfdKvwKBvBNl4AaABAg,0,this is story like princess you're the real princess in the world,这是像公主一样的故事，你是世界上真正的公主
15763,UgzOaUypX-qmeB3c2e54AaABAg,0,"i have always wanted to live your life, non stop working in my own land, cold weather, in a variously planted village like yours. ❤",我一直想在自己的土地上过着寒冷的天气，不再在像你这样种植的村庄里过着寒冷的天气。 ❤
15800,Ugz2z56xuftY1p6PyRV4AaABAg,0,"hoooh, this destiny,s like our,s ....",哦，这个命运，像我们一样。
15809,UgytZ9mCDasChR2kIJp4AaABAg.99DUgaM0Tri99Q88kk2Vs2,0,"@bhy4694 i watch dianxi xiaoge; more realistic, asks for help and feeds siblings, more people than lziqi, just more realistic. liziqi's the old antiquated male chauvinist's dream; quiet, work hard, beautiful, talented, don't ever ask for help just keep serving....sounds like the chinese communist propaganda....i'm still skeptical that she cooks all that for her skinny self and her skinny grandma. they should be gaining weight. seriously, still looks so much like an act.",@bhy4694我看dianxi xiaoge;更现实，寻求帮助并养活兄弟姐妹，比Lziqi更多的人，更现实。利兹奇的古老的陈旧男性沙文主义者的梦想；安静，努力工作，美丽，才华奶奶。他们应该增加体重。认真地说，看起来仍然像是一种行为。
16160,UgwbPRcw-DmnXEWMOkp4AaABAg,0,"she is no 1 youtuber for all time ...

everyone of you are jealous of her life, everyone’s wanting to have life like this.. specially to those living in the exotic and crowded city.","她一直以来都是Youtuber ...

你们每个人都嫉妒她的生活，每个人都想要这样的生活..特别是那些生活在异国情调和拥挤的城市的人。"
16170,UgyOHhwm2uOuge1jUzp4AaABAg,0,i really like your videos! congratulations on the simple way to live!,我真的很喜欢你的视频！祝贺生活的简单方式！
16183,Ugz2Gjpul13TiuoJj9F4AaABAg.98rhLA7jw4W9A2L7Q8u7VI,0,"to be honest i ‘d love to live like this if i have much money but the most difficult thing is choosing to live like that before you have enough money but also can make a lot of money after , that’s why she is so special. normal people like me are afraid of too many things and can’t take the step.",老实说，如果我有很多钱，我会喜欢这样的生活，但是最困难的事情是在您有足够的钱之前选择这样的生活，但也可以赚很多钱，这就是为什么她如此特别的原因。像我这样的普通人害怕太多的事情，不能采取措施。
16203,UgzIo1AA6E9llzMxwdF4AaABAg,0,our! i'm employed with this girl! it looks like a machine! where do you take so much strength? vigor and wisdom? things of this msm people!,我们的！我和这个女孩一起工作！看起来像机器！你在哪里占用这么多的力量？活力和智慧？这个MSM人的东西！
16211,UgyGkfci-vd0Xg6uzFN4AaABAg,0,"watching her channel from only 1.2 million sub. only 2 years, now 10 million sub. i really like watching the beautiful idyllic in her videos. she is a wonderful girl. wishing you and her always healthy and happy ❤️❤️❤️❤️❤️",看着她的频道只有120万个子。仅2年，现在1000万个子。我真的很喜欢在她的视频中观看美丽的田园风光。她是一个很棒的女孩。祝你和她永远健康快乐❤️❤️❤️❤️❤️❤️
16223,UgxzVDmM9nuh0lp1aTp4AaABAg,0,if all chinese like this maybe we life in the peace world now:( no corona,如果所有中国人都这样，也许我们现在在和平世界中生活:(没有电晕
16249,UgzdRWrzFCfe1atDNsl4AaABAg,0,so life! like in a dream,所以生活！就像在梦中一样，一切都很完美！
16251,UgyJOtiWvdhgiWkpC2h4AaABAg,0,"i think that heaven is like this ,very beautiful beautiful place",我认为天堂就是这样，非常美丽的地方
16254,Ugyxj-qmvYKapiQ6rwF4AaABAg,0,"wow i don't get tired of seeing how intelligent, and how i would like to eat this delicious",哇，我不厌倦看到多么聪明，我想如何吃这个美味的
16283,UgwwOYbPEUhJhRV1oNp4AaABAg,0,"the scenery is beautiful, i like it",风景很美，我喜欢
16287,Ugx5BJn9gC8Tc3rjZhx4AaABAg,0,wow their life is wonderful . i also like a life like her . she is so happy . i love nature a lot . but the modern technology is a very bad thing . may be there are good effect also . but the nature is wonderful amazing . there is no words to discribe that .,哇，他们的生活很棒。我也喜欢像她一样的生活。她很高兴。我非常爱大自然。但是现代技术是一件非常糟糕的事情。可能也有很好的效果。但是大自然真是太神奇了。没有话可以归因于此。
16327,UgxbnYIYDXcFUfA27L14AaABAg,0,like from indonesia,就像来自印度尼西亚
16359,UgwnQMtwiYdCbSg1NGh4AaABAg,0,the most like this episode,最喜欢这一集
16383,Ugza1oioWbMGLjNHtRV4AaABAg.98iowEsIg9G99FzCFZbELu,0,them mean dis i like or ackadentaly pressed that while looking at the vid,它们的意思是我喜欢或Ackadentaly在看vid时施压
16388,Ugza1oioWbMGLjNHtRV4AaABAg.98iowEsIg9G99d4tutFWOa,0,"me think, those 24k dislikes are master chefs around the world or at least wannabe, that are not as popular as her. whats more she got more than 10 millions followers. even the most famous master chef tv show are not as popular as her. that is one big reason to dislike.","我认为，那些24,000的不喜欢的人是世界各地的厨师，或者至少是想成为她的最受欢迎的人。她有什么是1000万以上的追随者。甚至最著名的大师厨师电视节目也不像她那样受欢迎。那是不喜欢的一个重要原因。"
16408,Ugw57qDFVcDR_keNf5l4AaABAg,0,"the girl is very strong she did a lot of things... i want my life like her full of peace and with nature i love it,",这个女孩很坚强，她做了很多事情……我想要我的生活，就像她充满和平，与自然一样，我喜欢它，
16417,UgyWQwKdl6o3Gnt4POh4AaABAg.98i0cVQSs-z98lQbcQprVE,0,@onur8848 white people actually eat more dogs than chinese. lots of them are in switzerland. don't be racist or you'll end up looking like a fool.,@onur8848白人实际上吃的狗比中国人多。他们中的许多人在瑞士。不要成为种族主义者，否则你最终会看起来像个傻瓜。
16419,UgyWQwKdl6o3Gnt4POh4AaABAg.98i0cVQSs-z98qGnnFT3eJ,0,"@onur8848 ""if this is racism"". lol is that a question or you just really dumb. you're like north korean level of brainwashed against chinese people. you should go outside for once, for your own health.",@onur8848“如果这是种族主义”。大声笑是一个问题，或者您真的很愚蠢。您就像朝鲜对中国人民的洗脑水平。为了自己的健康，您应该一次去外面。
16483,UgzO7Q9LG_oAD2wUg3p4AaABAg.98fdQ3AeW6l997YhFbYHH3,0,"this kind of life is fairy like... beauty and happiness lives within simplicity, more people don’t understand that.",这种生活像...美和幸福生活在简单范围之内，越来越多的人不了解这一点。
16499,UgzO7Q9LG_oAD2wUg3p4AaABAg.98fdQ3AeW6l9HXXHAza-_1,0,i will really will want a life like that,我真的会想要这样的生活
16557,UgzSHmgOar9sGnl7Wat4AaABAg,0,am your big fan. i like ur videos.,是你的忠实粉丝。我喜欢你的视频。
16602,UgzKBzZupZ1odKD4hKF4AaABAg,0,it amazes me how liziqi can do all these things.. a small girl like her and her skills and abilities are extraordinary..,Liziqi可以做所有这些事情，这让我感到惊讶。一个像她这样的小女孩，她的技能和能力是非凡的。
16638,UgwC5JuWJFOVIQDCAtB4AaABAg.98YP3M1hKpR99ECIrCfso4,0,@mswinds did you dislike?,@mswinds您不喜欢吗？
