,cid,votes,time,含like,含like中文翻译
15371,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss93PXkeXUCEo,42,3 years ago (edited),"lumine moon, oh.... even here in india, it's not rare. but the beautiful farms, woods and the great weather really makes the video like a fairytale.",Lumine Moon，哦。。。即使在印度，也不是罕见。但是美丽的农场，树林和伟大的天气确实使视频像童话一样。
30956,UgyO8280ftF4Qn5JOIt4AaABAg,41,3 years ago,"why this video have so many dislikes?? i mean, wtff",为什么这个视频有这么多的不喜欢？我的意思是，wtff
24900,UgxnmzxyolLKwv4xRT14AaABAg,41,3 years ago,"this beautiful girl lives my dream everyday of her life , what a peace providing video ! i felt like i was on a journey of my dreamland. thanks",这个美丽的女孩过着我一生中每天梦想的梦想，这是一个提供视频的和平！我觉得自己正在梦境。谢谢
19944,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91r-fVStewz,41,3 years ago,@ashoretoo i'm pretty sure it is jealous city women who disliked this. they're probably jealous that a hard working country girl can also look this pretty and maybe even prettier than themselves.,@ashoretoo我很确定是嫉妒的城市妇女不喜欢这个。他们可能嫉妒一个努力工作的乡村女孩也可以看起来很漂亮，甚至比自己更漂亮。
35393,Ugz9by9NpvZ95KE8F9F4AaABAg,40,3 years ago,0 view 61 like???,0查看61喜欢???
8351,UgyoUZl4Nz13bSh4mLR4AaABAg,40,2 years ago,"6:56 captioned ""careful when replicating this at home, we don't want fermented finger tips and nails"" 

she got humour folks! she's just as much of a human like the rest of us. ๐คฃ","6:56标题为“在家里复制此事时，我们不希望发酵的手指技巧和指甲”

她有幽默的人！她就像我们其他人一样的人。"
26333,UgyH1cVx3GC5Do489rR4AaABAg,38,3 years ago,like my dream home :) that is a lot of trees a lot of vegetables and can also make a garden be,就像我梦dream以求的家:)那是很多蔬菜，也可以使花园成为
27667,Ugw5SPAaBjoM3msS03V4AaABAg,36,3 years ago,this seem like i watched an hour and a half long movie! so tranquil i really enjoy,好像我看了一个半小时的电影！所以我真的很喜欢
31991,UgwLSEsKFfcvK-CocSh4AaABAg,36,3 years ago,"liziqi uploads a video.
me- opens, hits like right away","Liziqi上传视频。
我打开，像马上那样的命中"
7369,Ugzlr7VPmCeTez98pNV4AaABAg,35,2 years ago,i feel like if she met the primitive tech guy they would make great friends and have a lot to talk about,我觉得如果她遇到了原始技术人员，他们会结交好朋友，并有很多要谈论的
8878,UgxOBgD3fQC8I59-Qdl4AaABAg,35,2 years ago,"hello! ziyi, our family in hong kong loves you very much, watching the works of vietnamese hype your work. you have used so much effort to do it and be speculated exactly like you. you have to talk more on your show, so that they can hardly speculate on you, and you speak well! we also want to listen to you more! bleak",妳好！子柒，在香港我们一家很爱妳的节目，看倒有越南人炒作妳的作品，你们用了那么多心血去做而被人炒到一模一样，很替妳不值，有少少意见给妳，妳要多在妳的节目里说话，这样她们就难炒作妳，你说话也很好听呀！我们也很想听妳多说话呀！
20073,Ugz2jByJe7rvjC06cf14AaABAg,34,3 years ago,"if i were a man , i would truely married with a wife like this . unfortunately , i'm a girl",如果我是男人，我会真正与这样的妻子结婚。不幸的是，我是一个女孩
27583,UgynqNWO7BojQw7rABZ4AaABAg,34,3 years ago,just a minute into the video and i already envy her lifestyle. i wish i have a garden like that!,在视频中只有一分钟的时间，我已经羡慕她的生活方式。我希望我有这样的花园！
19941,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq91Xmied6iFl,33,3 years ago,"hi w. w., i saw a clip posted by (very likely) american white males denouncing chinese enterprises that presented food products as clean and healthy but actually filthy and dangerous to health. when some viewers see miss li's clips, they may over-generalize / stereotype and guess miss li is faking everything. many dislikes are definitely from rival camps, many of which are in china.",嗨W。 w。，我看到（很可能）美国白人男性发布了一个剪辑，谴责中国企业，这些企业将食品表现为清洁，健康但实际上对健康的危险。当一些观众看到李小姐的剪辑时，他们可能会过分刻板 /刻板印象，并且猜猜李小姐正在伪造一切。许多不喜欢的人肯定来自竞争对手营地，其中许多是在中国。
29445,UgzV5SRrEU2-VIvbK7h4AaABAg.8yWoRCHc-JA8yY0rLI7Jim,33,3 years ago,"nah, may be people just dislike because watching her video makes them as hungry as hell that they can bare hit like button correctly",不，可能是人们不喜欢的，因为观看她的视频使他们像地狱一样饿了
14893,UgxEWna8ZL1zTxibmY54AaABAg.93pAL1epb7l9400w7B6D-U,33,3 years ago (edited),they would live a long time. i had a health problem when i was 50 and had to change my diet to mainly friut&vegies. now i'm 65 and feel like 20 again and i can still sprint and ride bikes fast and jump on the trampoline and stuff. it's mainly my diet that does that. i feel younger now than when i was 50.,他们会忍受很长时间。我50岁时就遇到了健康问题，不得不将饮食改为friut＆Vegies。现在我今年65岁，又感觉像20岁了，我仍然可以冲刺，快速骑自行车，跳上蹦床和东西。主要是我的饮食。我现在比50岁那年年轻。
35132,Ugy9J7cajK0ZBjzXF-94AaABAg,32,3 years ago,"do you like her ?? 
yes = like 
no = comment","你喜欢她吗 ？？
是=喜欢
否=评论"
16778,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI92w1ZbbFbCE,31,3 years ago,"her life is boring, she should eat more gmo vegetables that's contaminated by pesticides, work harder 12hours daily in small office, and not forget she not eat any junk food at all so they decided to dislike it.",她的生活很无聊，她应该吃更多被农药污染的转基因蔬菜，每天在小型办公室里努力工作12小时，并且不要忘记她根本不吃任何垃圾食​​品，所以他们决定不喜欢它。
15930,UgygE8WIABCx8lI4oB94AaABAg,31,3 years ago,i'm here to see how many boy dreams a wife just like this girl!,我在这里看看有多少男孩像这个女孩一样梦见一个妻子！
10852,UgwNigOuGxhIfE9wyK54AaABAg,31,3 years ago,i wish we had bamboo forest like that in south florida to freely harvest.,我希望我们在佛罗里达州有这样的竹林以自由收获。
29163,Ugyjb8J7_EIB6XfPR5d4AaABAg,30,3 years ago,"i'm japanese, but i'm very impressed by those who live like this
i thought it was wonderful to see!
i support you forever","我是日本人，但是那些这样生活的人给我留下了深刻的印象
我认为看到真是太好了！
我永远支持你"
21903,Ugx6FWM-T9bAlv9WLVR4AaABAg,29,3 years ago,"i am from vietnam, i very like chinese culture",我来自越南，我非常喜欢中国文化
18599,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92WOHaUMQBH,29,3 years ago,"pedro c mao may be like the devil satan in the west, but people in china don't judge him that way. it feels ridiculous to say that mao will tear up chinese culture. i hope that if you have the chance, you can learn more about mao from the chinese population.",佩德罗·毛（Pedro C Mao）可能就像西方的魔鬼撒旦（Satan），但中国的人们不会那样判断他。说毛泽东会撕毁中国文化真是太荒谬了。我希望，如果您有机会，您可以从中国人口中了解更多有关毛泽东的信息。
8224,UgySfKS1n5shBSsKYgx4AaABAg,29,2 years ago,"high quality of living, i hope i can have live like this lady",高质量的生活，我希望我能像这个女士一样生活
32644,UgyAt-e9reVsP9Jq8QR4AaABAg,29,3 years ago,"i was healed today too!
i dreamed of living like lezuchie.
i want to fulfill it in about 3 years","我今天也得到了治愈！
我梦见像勒齐（Lezuchie）一样生活。
我想在大约3年内实现它"
26543,UgwkfA7rNMRp5yXMczF4AaABAg,29,3 years ago (edited),"d0 y0u iike liziqi ? 
yes -- like 
no -- comment","D0 Y0U IIKE LIZIQI？
是的 - 喜欢
没有意见"
4365,UgyFlsWsHOhC2C22Pe94AaABAg,29,2 years ago (edited),"this is my first time watching her video, i love how they made this kinda content seriously, with great editing. this is the content we need. imagine if local content like this were made from all over the world, how beautiful it gonna be.",这是我第一次观看她的视频，我喜欢他们如何通过精彩的编辑来认真对待这种内容。这是我们需要的内容。想象一下，如果这样的本地内容是由世界各地制成的，那将是多么美丽。
27336,Ugy98sOwqzBFNiI1K014AaABAg,28,3 years ago (edited),"hello i'm from indonesia, and l like your content because its very traditional and look so beautiful flores, your very creatif and smart women and then my hobby is cooking and eat hehe so i very like your cooking with fresh vegetable and fruit 
i wish i had vegetable and fruit plants in my house too","您好，我来自印度尼西亚，我喜欢您的内容，因为它非常传统，看起来很漂亮，您非常有创造力和聪明的女人，然后我的爱好是烹饪和吃饭，所以我非常喜欢您用新鲜的蔬菜和水果
我希望我家里也有蔬菜和水果植物"
16248,Ugx66QKBcck4mPV27BN4AaABAg,28,3 years ago (edited),9:16 is my favorite part. the part where the dog is running so joyfully like he's hopping lol,9:16是我最喜欢的部分。狗像他跳的那部分如此快乐地奔跑
22400,Ugxf0U_unXMMBm4_65F4AaABAg.9-44izPIuzi9-_-kCtbo4y,27,3 years ago (edited),@felixl1865 the way you put up your comments seems like you're jealous and you can't believe it coz you know to yourself that you are just a plain human being who knows nothing but to criticize those who can do almost everything.,@felixl1865您发表评论的方式似乎是嫉妒，而您不敢相信这就是您知道自己只是一个朴素的人，只知道那些几乎可以做所有事情的人。
27399,Ugxi6VIBRmb1l77dQRF4AaABAg,27,3 years ago,"i want to live a life like this
this is the life that i want.. 
im enjoyin watchin this channel","我想过这样的生活
这是我想要的生活。
我喜欢看这个频道"
