,cid,votes,time,含music ,含music 中文翻译
20391,UgzoEdrLMFWMoZG30dl4AaABAg,0,3 years ago,ambient music do not change always return to your world there you will load the battery you do not abandon it or change it my idea is that you put restaurants everyone where liziqi sees of course that life will eat life is going very fast bay beautiful blessings blessings,环境音乐不会改变总是回到您的世界，您将加载电池您不会放弃或更改它的电池，我的想法是，您将餐馆放在liziqi当然可以看到的所有人都会看到生活会吃掉生活的快速海湾美丽的祝福祝福
20592,Ugz7QNc_5A3E6rzNK554AaABAg,0,3 years ago,5:16 digimon music ๐’—,5:16 Digimon音乐
20687,UgyxUOTgaDChH1Qb3p14AaABAg,0,3 years ago,this music will lead me to depression i still subbed for your efforts and skill keep it up!,这种音乐将使我陷入抑郁症，我仍然为您的努力和技巧继续努力！
20729,Ugwmetn4bKi7F_Iqqpx4AaABAg,0,3 years ago,digimon music here... liked it!,Digimon Music在这里...喜欢它！
23854,UgwoXFewETKEKBPybdt4AaABAg,0,3 years ago,beautiful this video and music is suitable mmmmm,美丽的视频和音乐是合适的mmmmm
20853,UgzyunLLBEZ4J_Uw6dd4AaABAg,0,3 years ago,ever17 beautiful music with these scenes is suitable,ever17优美的音乐配上这些场景意外地合适
21056,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO9KQ4O-ZxwL7,0,2 years ago,"@padoumusic abe dhakkan show me a single villager / farmer with this much makeup on and such fancy dress .....farming needs hard work ..its common sense ..and i didnt use the word ""beautiful"" ..i said ""makeup"" and farmers /villagers have natural beauty ..u need to know the difference ..use some common sense bfr commenting",@padoumusic abe dhakkan向我展示了一个村民 /农民，妆容如此多，这是这样的花式礼服.....农业需要艰苦的工作..它的常识。化妆”和农民 /村民有自然的美丽.. u需要知道差异..使用一些常识BFR评论
21158,UgwqY8mAVOOSm89b6NF4AaABAg,0,3 years ago,this music was in digimon adventures :')โค๏ธ,这种音乐是在Digimon冒险中：'）❤️
21371,UgwtuLKobctZcub6d_x4AaABAg,0,3 years ago,"she personally annoys me, is it not clear either a girl, or a girl, her behavior and upstarts like a small child, prepares like many new and exciting, nonsense and kindergarten, also psychotropic music as a foreign planet, i will not be watch it more, fuuu, fuu, fuuu",她个人惹恼了我，是一个女孩还是一个女孩，她的行为和像小孩一样的新兴，像许多新颖而令人兴奋，胡说八道和幼儿园一样，也是精神上的音乐作为外国星球，我不会观看更重要的是，fuuu，fuu，fuuu
21406,Ugx-XFCmZqfGLg5Nqed4AaABAg,0,3 years ago,who know the soundtrack music in 6:00,谁知道6:00的配乐音乐
21559,UgwQQqFkXXGVu_4PwRp4AaABAg,0,3 years ago,please the name of music in the first,请第一个音乐名称
21818,UgzKZ7sZDSR8bFlv-aJ4AaABAg,0,3 years ago,"the music is so beautiful, the charm of nature is so great that i want to live with a person i love",音乐是如此的优美，大自然的魅力如此之大，以至于我想和一个我爱的人住在一起
22542,UgygwOhxoIK0WvV-apZ4AaABAg.92u6-M3hgI393FiWnqAhjI,0,3 years ago,but does anyone know the music starts from 5:17? i know it's from an anime but can't remember which one it is,但是有人知道音乐从5:17开始吗？我知道这是来自动漫，但不记得是哪一个
22552,UgzsI8ewwpvzw-2U7CN4AaABAg,0,3 years ago,want to ask the piano music with the background i want to know the bgm name plz,想问问背景的钢琴音乐 I want to know the bgm name plz
22757,UgyJAOP2II1YDx5RBLN4AaABAg,0,3 years ago (edited),the music reminds me of demon slayer,音乐使我想起了恶魔杀手
22758,UgylywGRTCpgJIXhgyZ4AaABAg,0,3 years ago,she is the perfectionist. she is graceful and life in that forest is heaven. lucky she..!!! the music is so catchy that though i'm a vegetarian i watch the entire video. i feel its a disney land. she has so much of patience...!,她是完美主义者。她是优雅的，在那个森林中的生活是天堂。幸运的她..！音乐很吸引人，尽管我是素食主义者，但我看整个视频。我觉得它是迪士尼的土地。她有很多耐心...！
23118,Ugzh07vnpA9YP8_j3Ih4AaABAg.92YXNc_NN1V92babHgvFMW,0,3 years ago (edited),"this is not a documentary. this is a poetic depiction of traditional chinese rural life. that is why humans need music. humans did not need music to survive during millions of years of evolution, but music makes human life experience more enjoyable.",这不是纪录片。这是对中国传统乡村生活的诗意描绘。这就是为什么人类需要音乐。人类不需要音乐在数百万年的发展中生存，但是音乐使人类的生活体验更加愉快。
23326,Ugx5HUDoc00MykLk83N4AaABAg,0,3 years ago,like if you heard digimon's music and you cried.,就像您听到了Digimon的音乐并哭泣一样。
52134,UgwcaXNv9SLmK6Gpyu54AaABAg,0,4 years ago,isn't the music from an old castelvania game on nds ?,NDS上的旧卡斯特尔瓦尼亚游戏中的音乐不是吗？
