,cid,votes,time,含calm,含calm中文翻译
2094,Ugw-Ue50cmSabJQfLqt4AaABAg,0,1 year ago,"do not from the sky. renewal (life of life, memory, time), objectized thinking (mirror opposite, ability to oppose, confrontation of mind, messenger and non -me), self -consciousness, is a trap. (no matter who sets the trap. no matter it is related to the second law of thermodynamics.) it is a robbery.
the diversity of life is complicated, so that ""the mirror is unchanged, and the phase variant is unchanged. so as a rosary."" i, i, i, ... "". is it inevitable? is it considered a progress or evolution, and there is no need for discussion. (even science is fans. fans from all walks of life can't offend)
with me, i lost my own (so -called me, my self -definition: i have it, there is no need to read me.)
freedom often, no need to find.
riding a donkey to find a donkey, looking for his head, anxiety, nervousness, and pain (to crazy). this should be a common sense and cannot be avoided. even if you do n’t go to the school to receive instilling (the ancient and modern chinese and foreign instills are paste, big witch and small witch, fifty steps and hundred steps, the same), and being named by the parents at the “niang gow”. essence
this may be the price that the so -called civilized progress (or the so -called prosperity development) must be paid.
the concept noun, according to ""a brief history of humanity"", is a powerful weapon for the wins of the homo sapiens.
it now appears that this is a double -edged sword.
human beings are about to (or have already) so crazy to destroy this world (this prison, this corner field, the fighter field)
anyway, each ownership (there are all kinds of promises. including nothingness, or even absurdity, each have their own fans.)
go to see marx, go to see the ancestors .......
the so -called conflict of civilization is not just the dispute between the conceptual dispute, the mixed geographical skin color and even the habit of dispute, etc.
there are unified thoughts, standardization, simplification, part -time, systematic, modern, and global blessings. these war machines cannot stop.
this may be a disaster that will usher in the evolution of life.
i got a hint from a great place many years ago. unexpectedly, it is so obvious now. (at least for me, it is obvious)
the effort to try to try with the mud has long failed, but now it has been verified that this is basically a car.
let's practice it. only practice.
xin zhai did not, the cliffs were scattered, and he fell into the darkness at all, admitting ignorance. (from a song from pu shu)
or can get new life. heaven and man are one, and the tao is not out of the foreigner. it is often sufficient. as a result, calmly, facing the ending of life and even the universe.
(but pay attention: unequal mind and easy to enter the magic.)

renewal: continuity. it was mainly inspired by the story of the knowledge of knowledge (good and evil differences) by the temptation of the snake.
some people say that adam's original sin originated from eve's lying. in fact, there is no snake, it is eve to seduce adam himself.
i wrote a short article to refute this absurd interpretation. (yi zhongtian believes that this snake is related to reproductive worship. it is more than this more than this.)
see ""adam's original sin (eve did not lie)"" 6park.com
""diamond sutra"": ""no one, no one, no one, no beings, no life.""
generally explained as equal treatment. not bad. but what is the ""life""?
some people say that it is a fake word of ""suffering"", and those who have no sufferings depends on the appearance of through the body. it is also easy to say, but it is not coherent with the context.
i think: the so -called life, regardless of longevity and shortevity, and those who have a life span. (not only beings, not life, but also life.)
the actual feiya is not moving, fang sheng fang died, fang dead fangsheng (zhuangzi) has a life span, which is the illusion or illusion that memory brings us (like visual retention) 6park.com
regarding memory phase and time, please see ""congenital first reason (background and source)"" 6park.com
regarding the trap of objectization thinking and self -consciousness, please see ""objective thinking (self -conscious trap)"" 6park.com
mirror opposite is a metaphor, which is more important. it can be said: everyone (even all perception sentient beings) is a bright mirror that is the same.
(the dimension is pushed. we are a two -dimensional plane in front of us. it is not three -dimensional. three -dimensional logic from our straight logic. what we see is illusion. we can't see the actual space. it's bent.)
including the body, it is just a mirror image.
where did this sensory mirror come from? no one knows.
at least i don't know, i can only guess. at present, my recommended conjecture is: energy conservation, energy first.
if you have energy, you must light up your consciousness, and even the so -called non -organism. it is definitely not self -conscious, or even if it is, it is extremely vague and extremely unstable. 6park.com
the metaphor of a rosary, like snakes, seduces selfish self -cultivation.
on one occasion, a netizen asked me: why did he feel that he had many previous lives and died in the same nanjing massacre.
i made an analogy. zhuangzi: fang sheng is dead, fang dead. for example, the mahjong card stacked together.
the difference is just stacked neatly. there is still the next life, and it still has to be empty and it is not worth pursuing. 6park.com
regarding the second law of thermodynamics, due to the lack of professional knowledge, it cannot be accurately judged. at present, it is considered that: uniform distribution is an orderly. the complexity and diverse life (each gene is different, including twins, including clones, there are somewhat places to copy wrong homework, and there is no mutation or evolution), which is disorderly.
therefore, there is no contradiction between the laws of thermodynamics and the evolution of species. it cannot be misleading because someone wrote this book or made a prophecy, thinking that the world should live like this, and it is better to destroy it. see the contradiction between the second law of thermodynamics and evolution? ""6park.com
if we face a disaster, we do not from heaven, the crazy from our own, and the cause is the self -loss that must be caused after self -awareness.
找不到真正的自己，必然要攀援（执着于镜中像，例如身体或金钱，笔杆子，刀把子，等等等等）或妄想（执着于对于镜的猜想，各种名词之争，以至于the so -called civilization conflict, at the expense of destroying this world, must also maintain your beliefs)
this may not be avoided. 6park.com
collective, it is mainly bad in the modernization of standardization industrialization.
the so -called civilization, the so -called cultural circle, has become a war machine that has become unified.
(western advocating personality is an illusion. actually, the family cannot standardize it into a screw, which is not conducive to industrialization. see ""another brick on the wall"")
this simple and orderly repeatting is a reactionaries that violate the heavens, not a variety of complicated life.
energy is conservative, life will not be cut off, and the big deal will change the form. the standardization of the systemic and the cold war machine will inevitably be destroyed.
i kept at the nuclear winter.
(genghis khan's war machine is also very ""modern"".
establish officers such as functions and so on. and the whole people can be equipped with a quota, without any troubles such as three crickets.
is the winner more advanced? ) 6park.com
(there is no determination to go to the end of the hundreds of millions of people, and there is no spirit of swallowing the ten directions in the lone peak, and talk about the real awakening.
even if it is a praying arm blocking the car, the wind is not shining anyway, try it again. .

personally, you can practice xinzhai's inaction and let the cliffs let it go.
dharma: foreign interest (let go of my persistence, like persistence), there is no breath in the heart (letting go of the law, the mirror persistence)
this is the mind, not in the external behavior, meditation or standing piles, running or sleeping, let alone practice unnecessary asceticism.
altar scriptures: there is no need for righteousness and evil. long extension lying on his feet.
one foot evil, that is, obsessed with foreign ministers, one foot is positive, that is, imagine the infinite perceptual body (it is too easy to enter the magic, because there is no difference between good and evil)
don't do the so -called good things, let alone do bad things (not chinese culture too much sauce cylinder, some people are dull by themselves)
the method of inaction is the principle of leverage, the alternative use of cathode and yang (see ""alternative application of leverage principles"")
be careful of all the so -called proofs, especially the sudden sensitivity, such as suffering from a sense of purity, sober, clear and clean ...
there is no need to do thousands of miles in life experience. this does not become a test, mainly depending on the inner and unequal (see ""equal equality and entering the magic"")","劫不从天外来。相续相（寿者相，记忆相，时间相）、对象化思维（镜像对立、能所对立、心物对立、我与非我的对立）、自我意识，是个陷阱。（无论是谁设的陷阱。无论与热力学第二定律有没有关系。）更是一个劫。
生命之多样复杂，以至于敏感到“像变镜不变，相变体不变。从而串起一条念珠。“我，我，我,.......”. 是不是演化的必然，算不算进步或进化，也没有讨论的必要。（连科学也是有粉丝的。各路粉丝都得罪不起）
有了个我，反而失去了本我（所谓本我，我的自我定义：本就有的，没必要念的我。）
自在常在，无须寻找。
骑驴找驴，迷头觅头，焦虑紧张烦恼痛苦（以至于疯狂），这应该是人之常情，也无法避免。即便不去学校接受灌输（古今中外灌输的都是浆糊，大巫小巫，五十步与百步，一样的），被父母指着“娘生褂”起个名字，就已经是迷失的开始了。
这也许是所谓文明进步（或所谓繁荣发展）必须付出的代价。
概念名词，据《人类简史》，是智人胜出的有力武器。
现在看来，这是柄双刃剑。
人类快要（或已经）疯到要不惜毁去这个世界（这个监狱，这个角斗场、斗兽场）
反正各有各的归属（各有各的应许之地。包括虚无，甚至荒诞，也各有各的粉丝。）
去见马克思，去见祖宗.......
所谓文明的冲突，不止于理念之争宗教之争，混杂了地域肤色甚至习惯之争等等等等
有统一思想、标准化、简单化、零件化、系统化、现代化、全球化的加持，这些战争机器是停不下来的。
这或许是生命演化出自我意识后，就必将迎来的一劫。
我很多年以前就从某位大能处得到暗示。没想到如今已如此明显。（至少对我来说已经很明显了）
试图和稀泥的努力早就失败，如今不过再次验证这基本上是螳臂当车。
还是实修吧。也只有实修了。
心斋无为，悬崖撒手，不惜坠入黑暗，承认无知。(出自朴树的一首歌）
或能获得新生。天人本一，道不外人，常在具足。从而自在从容，潇洒面对人生乃至宇宙的ending。
（但是要注意：心不平等易入魔。)

相续相：连续感。主要受夏娃被蛇诱惑吃了知识果（善恶分别果）的故事的启发。
有人说亚当的原罪源于夏娃的撒谎。其实没有蛇，是夏娃自己要诱惑亚当。
我曾写了篇短文反驳这种荒唐的解读。（易中天认为这蛇与生殖崇拜有关。也比这强了不止一点。）
参见《亚当的原罪（夏娃没有撒谎）》 6park.com
《金刚经》：“无我相，无人相，无众生相，无寿者相。”
一般解释为要平等对待。大抵不差。但何谓“寿者”？
有人说是“受”的通假字，无受者，就是说要看穿身体这个表相。也说得通，但与上下文不太连贯。
我认为：所谓寿者，不分长寿短寿，有寿命可计的都是寿者。（不仅是众生，非生命，也是寿者。）
而实际飞矢不动，方生方死，方死方生（庄子），有寿命可算，是记忆带给我们的错觉或幻象（好比视觉暂留） 6park.com
关于记忆相与时间相，请看《先天第一因（背景与源头）》 6park.com
关于对象化思维与自我意识陷阱，请看《对象化思维（自我意识陷阱）》 6park.com
镜像对立，是个比喻，比较重要。可以这么说：人人（乃至所有的知觉众生）都是一面同样圆满的明镜。
（维度是推想出来的。我们眼前是个二维的平面。不是立体的。三维来自我们笔直的逻辑。我们看到的是幻象。实际的空间我们看不到的。按物理学来说不是平直的是弯曲的。）
包括身体，都只是镜中像。
这个知觉镜到底从哪里来的，没人知道。
至少我不知道，只能猜。目前我比较推荐的猜想是：能量守恒，能量第一性。
有能量必然点亮知觉，连所谓的非生物也是一样。只是肯定没有自我意识，或即便有，也是极其模糊极其不稳定的。 6park.com
一串念珠这个比喻，和蛇一样，都是引诱人自私自利修来世的。
有一次，某位网友问我：为什么他觉得自己有很多前世，都是死于同一场南京大屠杀的。
我打了个比方。庄子：方生方死，方死方生。好比叠在一起的麻将牌。
区别只是叠得整齐不整齐。来世下面还有来世，还是要清空了重来，不值得追求。 6park.com
关于热力学第二定律，由于缺乏专业知识，无法准确判断。目前倾向于认为：均匀分布是一种有序。生命的复杂多样，（每个基因都不同，包括双胞胎，包括克隆，都多少有抄错作业的地方，没有变异就没有演化或进化），是一种无序。
因而，热力学定律与物种演化论并无矛盾。不能因为有人写了本书或做了个预言，就被误导，认为世人活该如此，毁灭了更好。参见《热力学第二定律与进化论矛盾吗？》 6park.com
如果我们面临一劫，不从天外来，来自我们自己的疯狂，究其因，就是自我意识产生后必然造成的自我迷失。
找不到真正的自己，必然要攀援（执着于镜中像，例如身体或金钱，笔杆子，刀把子，等等等等）或妄想（执着于对于镜的猜想，各种名词之争，以至于所谓文明的冲突，不惜毁了这个世界，也要维护自己的信念）
这未必不能避免。 6park.com
从集体来说，主要坏在标准化工业化现代化全球化，
所谓的文明，所谓的文化圈，已经各自成为统一了思想的战争机器。
（西方崇尚个性是个幻象，实际是家庭无法规范成一个个螺丝钉，不利于工业化。参见《墙上的另一块砖》）
这种简单有序的重复灌输才是违反天道的反动派，不是多样复杂的生命体。
能量守恒，生命不会断绝，大不了换个形态，标准化零件化体系化的热战或冷战机器必然覆灭。
自己不停就止于核冬天。
（成吉思汗的战争机器也很“现代化”，百夫长千夫长万夫长的连排制度，从各部落独立出人质建立近卫军，
以职能设立军官等等等等。而且全民皆兵，可以配给配额，没有三饷从哪里来之类的烦恼。
胜利者一定比较先进吗？） 6park.com
（没有虽亿万人吾往矣的决心，没有独居孤峰顶一口吞尽十方的气魄，奢谈真正的觉醒。
哪怕是螳臂挡车，反正风吹不动光，再试试吧。）

从个人来说，可以修习心斋无为，悬崖撒手。
达摩：外息诸缘（放开我执，像执），内心无喘（放下法执，镜执）
这是心法，不在于外在的行为，打坐还是站桩，跑步还是睡觉，更不要去修什么无谓的苦行。
坛经：正邪俱不用。长伸两脚卧。
一脚邪，即迷恋外相，一脚正，即想象无限大的觉性本体（过分了容易发狂入魔，因为本无大小善恶之分）
所谓好事都不要做，更不要说做坏事了（不是中国文化太酱缸，是有的人自己愚钝）
无为心法，是杠杆原理，阴极而阳的另类使用（参见《杠杆原理的另类应用》）
要小心一切所谓的证明，特别是突然过于敏感，例如突获清净感、清醒清晰干净......
人生历练不一定要行万里路。本不成为考验，主要看内心平等不平等（参见《心不平等易入魔》）"
2183,Ugxp7LRbYYothu-ahth4AaABAg,0,1 year ago,"a good sweet girl, i look at you and calm down a bit. and in ukraine, the war of russia attacked on 02.24.22 bombing cities, killing a civilian population, more than 100 children were killed only, we live in basements and bomb shelters. today, they barely got out of kharkov where hundreds of houses were destroyed by rockets. no water, light and food. but we pray for our people and our defenders that they do not let the nazis from russia to ukraine ... russians carry death!",一个好可爱的女孩，我看着你，冷静一点。在乌克兰，俄罗斯战争在02.24.22轰炸城市袭击，杀死了平民，只有100多名儿童被杀，我们住在地下室和炸弹庇护所。今天，他们几乎没有离开哈尔科夫，那里的数百座房屋被火箭摧毁。没有水，轻和食物。但是，我们为我们的人民和捍卫者祈祷，他们不会让纳粹从俄罗斯到乌克兰...俄罗斯人死亡！
3172,UgxKq81hcXp85hdZt3t4AaABAg,0,1 year ago,"great videos to calm down, stay away from a little mess.",很棒的视频可以冷静下来，远离一团糟。
3380,UgyAZdkUQktQMdfccUl4AaABAg,0,1 year ago,psychological comfort and a beautiful calm ...*,心理舒适和美丽的平静...*
3564,Ugx7dbagMKbTqNzSe7R4AaABAg,0,1 year ago,"i need this life, calmness, nature and sweet things with ❤️",我需要这种生活，平静，自然和甜蜜的事物❤️
3856,UgyPSQpLzjDRYtapf0p4AaABAg,0,1 year ago,the video really calms the ours of the salam.,该视频确实使我们的萨拉姆语平静了。
5148,Ugy6njVOotWnt_8xnYV4AaABAg.9PQjFaIfJ-u9QVIvGaLmml,0,1 year ago (edited),"@vannerriper8328 this is the validity of the delicacy of al -fidaoat, calm, and obedience, especially animals.",@vannerriper8328这是Al -fidaoat，镇定和服从，尤其是动物的美味的有效性。
5341,UgzEzpX9c9MFmAuB0hN4AaABAg,0,1 year ago,so calming,如此平静
6711,UgzcVydoKO4mk6LWJlN4AaABAg.9LNokyFv-9N9LOCpJQ1jzM,0,2 years ago,lmao that's unnecessary. this is the life of ordinary villagers in the beautiful sichuan area. ziqi and her team have the skill and aesthetics to present it in a calming way.,lmao是不必要的。这是美丽四川地区普通村民的生活。 Ziqi和她的团队具有以平静的方式呈现的技巧和美学。
6958,Ugwsyhkg9bts16AO7F94AaABAg,0,2 years ago,how calm to do things,做事多么平静
6984,UgwBUuT7csel8mKbS1x4AaABAg,0,2 years ago,so calming,如此平静
19816,Ugz8c7e-Ivcq8I6aH6J4AaABAg,0,3 years ago,"whenever i watch her videos,it always calms me",每当我观看她的视频时，它总是让我平静
20951,UgzifV3i5_ovGXuOoVh4AaABAg,0,3 years ago,i wish life was like this. peaceful calm but full of adventures in the country.,我希望生活就是这样。和平平静，但充满了冒险。
36057,Ugwrlgf7P-xDFDe6iAx4AaABAg,0,4 years ago,"how much i would give to live this old of life ๐๐ makes me so calm, the scenery is beautiful",我会付出多少生活，让我如此镇定，风景很美
33689,UgyDOWyz9wj73vv6ioB4AaABAg,0,4 years ago,"i love your vids, and these are just so calming and makes me fall asleep and the little animals are sooooo โ€awwwwwโ€ ๐๐๐๐โบ๏ธ๐",我爱你的视频，这些都是如此平静，让我入睡，而小动物很“ awwwww”
31460,UgzUJ-OKAIwGHrYjEpJ4AaABAg,0,4 years ago,"this is how life should be, calm and simple.",这就是生活应该如何平静而简单的方式。
31593,UgxHN1QGUpOjulabIVZ4AaABAg,0,4 years ago,video made me calm lmao,视频让我平静了lmao
31624,UgxcaLGUEX9oLHYTiMd4AaABAg,0,4 years ago,this reminds me of the studio ghibli movies simple and calming,这让我想起了吉卜力工作室的电影简单而平静
32069,Ugy2U0fgGZKTboGum_14AaABAg,0,4 years ago,iโ€m so speechless.shes so talented and calming and nice.i wish her the best and her grandma,我是如此无言以对。
32070,UgxUkqZ20gLOAzKzv9x4AaABAg,0,4 years ago,this videos calm my anxiety,这段视频使我的焦虑保持镇定
33006,UgzEIv5n5ggOpn9wZcd4AaABAg,0,4 years ago,"this, to me, is true wealth. these videos are so calming...",对我来说，这是真正的财富。这些视频太平静了...
33296,UgyosBstA_-lq_YXgYd4AaABAg,0,4 years ago,"want to have a mini, calm and peaceful, spices and vegetables in planting around the backyard and the roses are beautiful, i like it ,,",想要一个迷你，平静与和平，在后院种植的香料和蔬菜很漂亮，我喜欢它，
33368,UgwB7I1O8vLoso6nNFt4AaABAg,0,4 years ago (edited),omg what in the world...this is the most beautiful video i've watched...so peaceful n calming...what a life...i love it..made me smile,天哪，世界上什么...这是我看过的最美丽的视频...如此宁静的镇静...真是个生活...我爱它..我的微笑
33432,Ugy11aUE51S66879JXR4AaABAg,0,4 years ago,"at 6:00, look at the white puppy and the corner, it just vanished in thin air lol. but seriously, this is one calm video",在6:00时，看着白色的小狗和角落，它在稀薄的空气中消失了。但是说真的，这是一个平静的视频
34157,UgwwsJPvwbrWOMAkqUF4AaABAg.8v9qZycm_Xh8vT3W_f8zQP,0,4 years ago,"top you up. after watching her video, i was very calm. today's society is too impetuous.",顶你上去。看了她的视频，心情特别的平静。当今的社会太浮躁了。
21924,UgwoKZyJwDPuftfchEJ4AaABAg,0,3 years ago,how calming,多么平静
34201,Ugycmv-ZeR4qEofKQRZ4AaABAg,0,4 years ago,"all i see is love,peace, calm and the lovely village life.. love it.. oh and nice foodddds",我所看到的是爱，和平，平静和可爱的乡村生活..爱它..哦，不错的食物
34252,UgzBvhMlnB3lEO4nofV4AaABAg,0,4 years ago,i feel so calm watching this video,看这部影片我感到很镇定
34259,UgygBtS7uvP_YsX2ZDZ4AaABAg,0,4 years ago,"omg. i think i really want to live like this. like, if you want to eat you just go to the garden or smtn else and eat. it's a big effort but i like calm life. you know",我的天啊。我想我真的想这样生活。就像，如果您想吃饭，您只需去花园或SMTN吃饭。这是一项巨大的努力，但我喜欢平静的生活。你知道
34310,UgwvRs9npBY3rlqI9XZ4AaABAg,0,4 years ago,"wat a cool and calm video ,,,love it",一个凉爽而平静的视频，很喜欢它
34690,Ugxr4f9uB5tH9ahiJnZ4AaABAg,0,4 years ago (edited),"i would like to live like this with two puppies and a lamb,it looks so happy and calm. life goals",我想和两只幼犬和一只羊肉一样生活，看起来很快乐和镇定。生活目标
34938,UgzQPLUvrKuV5UDMhm14AaABAg.8unpoe81NFo8uxpXNcBlWv,0,4 years ago,"@zoefoxbonnie9066 yes! it is very calming, greetings ๐",@zoefoxbonnie9066是的！这很平静，问候
35508,Ugw8xcih4wjtobsKYTF4AaABAg,0,4 years ago,"she makes working so hard look easy and calming. love watching how beautiful her videos are. and the baby animals..uuugghhhh, so freaking cute!!",她使工作变得如此轻松而平静。喜欢看她的视频有多美丽。还有小动物.. uuugghhhh，太可爱了！
35643,Ugzpsr4gRiYVmbkAFX54AaABAg,0,4 years ago (edited),"biggest mangoes i've ever seen!!! its so funny how your fruit is on such a different schedule than american fruit. this is so cute and sweet and calming. those little animals love her so much, you can tell she's a kind person. i could watch her do random chores all day.",我见过的最大芒果！！！您的水果与美国水果的时间不同，真是太有趣了。这是如此可爱又甜美。那些小动物非常爱她，你可以告诉她她是一个善良的人。我可以看着她整天做家务。
35941,Ugyw4DsnAgTFk9wM5g54AaABAg,0,4 years ago,"her life must be very peaceful and quiet. she works hard for herself and her family. it must be tough living there but iโ€d also like to experience that. no noise, no claustrophobic buildings and last but not atleast no gadgets or wifi. although iโ€m not sure if thatโ€s entirely true since theyโ€re using a camera. even just for a day or a week, i hope i can experience a calm and peaceful time with her or just like her.",她的生活必须非常和平与安静。她为自己和家人努力工作。那里一定是艰难的生活，但我也想体验到这一点。没有噪音，没有幽闭恐怖的建筑物，最后但至少没有小工具或wifi。尽管我不确定这是否完全正确，因为它们正在使用相机。即使只是一天或一个星期，我也希望我能与她或像她一样经历平静而和平的时光。
31295,UgzOTqHSPTLF-tcLCUV4AaABAg,0,3 years ago,"im from philippines im so liking her video..so calming, even if im warching it again and again!!",我来自菲律宾，我很喜欢她的视频。
31292,Ugx6F58_bo_OxhXvdRh4AaABAg,0,3 years ago,why is this so calming,为什么这么平静
30790,UgzVRPl0eg6mfgNGKu14AaABAg,0,3 years ago,idk but watching you do your thang makes me calm and collected,idk，但看着你做你的thang让我冷静并收集
30704,Ugwnr_XC4PAIQxyC90t4AaABAg,0,3 years ago,i love living in this place its so relaxing and calm,我喜欢住在这个地方，它是如此放松和镇定
24644,Ugz4JBpF3CdSFC3m4hJ4AaABAg,0,3 years ago,why did this video feel so much faster?? i like it when it's calm and slow,为什么这个视频感觉如此之快？当它冷静而缓慢时，我喜欢它
25079,Ugwj6Seym7usuaYYM2F4AaABAg,0,3 years ago,"you are very sweet !!! you are super !!! i rest when i look at you! you are calm and peacefulness at once! you are prosperity! thank you, i only put thoughts with you in order !!!",你很可爱！你是超级！我看着你时我休息！你一次镇定和宁静！
25371,Ugx1zsicdvb1O_iD7Q94AaABAg,0,3 years ago,glory be to god for this nature and for this beauty and calm is not more beautiful than nature,荣耀归于上帝的本性，而这种美丽和镇定并不比自然更美丽
25447,UgzHwxhrqT378g5GeBF4AaABAg,0,3 years ago,your videos calm me ๐,你的视频平静我
25711,UgxJ2yof1N0E_CtYl2p4AaABAg.9-4Tcm-zPzx9-N1H5W1mov,0,3 years ago (edited),calm patience youโ€re clearly the ignorant one. gordon is one of the most down to earth people iโ€ve ever seen as a celebrity. heโ€s his famous rude self to those who claim to be professionals and on his level but consistently fail to achieve what they claim they are capable of. go watch videos of his mentor. 100x worse. stay butthurt if you want but heโ€s a world class chef as well. heโ€s got credentials to back up his attitude.,平静的耐心你显然是无知的人。戈登是我看过是名人的最脚踏实地的人之一。他是那些自称是专业人士并在他的水平上，但始终无法实现自己声称自己有能力的人的著名粗鲁自我。去看他的导师的视频。 100倍更糟。如果您愿意，请留下Butthurt，但他也是世界一流的厨师。他拥有支持他的态度的证书。
25954,UgyoIFtd3hqs0vNfvz94AaABAg,0,3 years ago,"hmmm, she made foods looks so yum, the music so calm and she is so beautiful.",嗯，她使食物看起来好像，音乐如此平静，她是如此美丽。
26544,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9C7Xhf2dCXZ,0,2 years ago,thats great stay calm and healthy...love your life,多数民众赞成在镇定和健康...爱你的生活
27314,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB92xN2Pay149,0,3 years ago,the videos are beautiful and so is she. i don't believe she does everything by herself but i don't really care if she does or not. i still love the videos. they are calming and inspirational.,视频很漂亮，她也是如此。我不相信她自己做所有事情，但我不在乎她是否做到了。我仍然喜欢这些视频。他们平静而鼓舞人心。
27741,Ugylkf844fMJfxqpyr14AaABAg,0,3 years ago,calming video better than watching davie playing bass,平静的视频比看戴维弹音更好
28339,Ugw9IvNCN51gQtZRcGB4AaABAg,0,3 years ago,ur life is so simple and calm i wish i ever had a chance live like u,您的生活是如此简单和镇定，我希望我有机会像你一样生活
28782,Ugzgzq-KzHXDMyB8fHd4AaABAg,0,3 years ago,if only life was calm. happiness like that,如果只有生活很平静。那样的幸福
28879,UgyteHlUgmi5RpAidqt4AaABAg,0,3 years ago,calm and peaceful.... i just love what she does,冷静与和平....我只是爱她所做的
29065,Ugx2jOrCB7xJqjP4dul4AaABAg,0,3 years ago,her videos are very calming and well made,她的视频非常平静且制作精良
29266,Ugzgbu78Oe3wkNMSiaN4AaABAg.8xvBNvcsoqE8y1yU91K8eD,0,3 years ago,"it was really loud when the flying burst! but my mother -in -law may be older and her ears are not good, but her mother -in -law is more calm. she was frightened by herself. i watched it repeatedly and laughed!",飞翔 那个爆的时候确实很大声！可是婆婆可能年纪大了、耳朵不好吧，反而婆婆淡定多了。倒是她自己吓到跳了起来，我反覆看了好几次，笑死了！
29390,UgxYHsIIKmSyaN4mYbZ4AaABAg,0,3 years ago,why i remind this as a harvest moon.. it really makes me calm.. ๐ฅบ,为什么我提醒这是收获月亮..这真的让我冷静..
29501,UgxTERFu4zrUhvpO3nZ4AaABAg.8xhoXsQGX8B8xnOoOceRQ1,0,3 years ago,@leianishimoto2285 it's a compliment geez calm down,@leianishimoto2285这是一个赞美geez镇定
29652,Ugzdc6owPqAgY_wy3SV4AaABAg,0,3 years ago,this video is so calming,这个视频是如此平静
29658,UgxYT3tKv1oBYOBw4Tp4AaABAg,0,3 years ago,"the are around her house and her home must be huge. i doubt she manages everything herself, it's too large an area. so beautifully kept. this part of china has very rich soil. she is so talented and works so hard but still gives off an aura of calm and beauty. she honours the traditions of her country but is also modern as she has internet and other commodities.",在她的房子周围，她的家一定很大。我怀疑她自己管理着一切，这太大了。如此美丽。中国的这一部分拥有非常丰富的土壤。她是如此有才华，努力工作，但仍然散发出一个平静和美丽的光环。她尊重自己国家的传统，但也是现代的，因为她拥有互联网和其他商品。
30042,UgzprMyp8AM3Prh50JR4AaABAg,0,3 years ago,i love these videos calms all the good brazil,我喜欢这些视频平静所有好巴西
52872,UgyPtSCSjH1mCfKP52x4AaABAg.8qlJlbWN48C8qlSzmk96IE,0,4 years ago,@yanicalmone6190 helo,@yanicalmone6190 Helo
