,cid,votes,time,含peaceful,含peaceful中文翻译
28768,UgzlZdEOP-vMgqbW7dp4AaABAg,0,3 years ago,life is peaceful,生活是和平的
13037,UgxEmvOdQ-Xk928miWJ4AaABAg,0,2 years ago,it is so peaceful to see her,见到她真是太平静了
13282,UgwfGs812EPtsJsG5O54AaABAg,0,2 years ago,i am sick and i watched your video...it was so calm and peaceful,我病了，看过你的视频...太镇定和宁静了
13284,UgyaznhFZKZxhVzJGHF4AaABAg,0,2 years ago,peaceful,平静的
27348,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB948sphBxrit,0,3 years ago,"i hope that she will pass away peacefully...
ยฐโ“ยฐ","我希望她能和平地去世...
°✓°"
28417,UgykIkDPNXLlLROk0q94AaABAg,0,3 years ago,"she never gives the puppies any attention -- that's the only thing i'd change. what a peaceful, beautiful location!",她从不给小狗提供任何关注 - 这是我唯一改变的事情。多么宁静，美丽的地方！
28335,UgzKeZkqfxR4YrOMjGl4AaABAg,0,3 years ago,peaceful life,和平的生活
28080,UgxhahqYdYfFhQujmmJ4AaABAg,0,3 years ago,don't you get tired doing all these things alone..thanking you very much for making our mind peaceful..,您不是一个人做所有这些事情。
27854,UgxkaE6iq4MTNV_WKzl4AaABAg,0,3 years ago,peacefull,和平
13369,UgwqljrhGSDjtWXjuTR4AaABAg,0,2 years ago,i like ur lifestyle it's a very peaceful life,我喜欢你的生活方式，这是一种非常和平的生活
27778,Ugyg7NDuX-eI551an2p4AaABAg,0,3 years ago,really very peaceful ๐๐,真的很和平
13610,Ugw8C4NH-MDxFIy8kHR4AaABAg,0,2 years ago,perfect life....peaceful,完美的生活....和平
24739,UgzoZuIlKEcgbp9p_0R4AaABAg,0,3 years ago,"i feel at peace with myself while watching ur all vg videos , feeling just awesome ,,great cool environment, so much peaceful weather, i just speechless , i love mountain area,",我在观看所有VG视频时与自己保持和平，感觉很棒，凉爽的环境，如此宁静的天气，我只是无语，我爱山区，
24655,UgzBfL2XVeK7AXs-cMx4AaABAg,0,3 years ago,really wishing such a house and garden. thanh dam is peaceful. love you so much,真的希望这样的房子和花园。 thanh大坝是和平的。那么爱你
24613,UgxNA20EPqCaX-P0U4V4AaABAg,0,3 years ago,"theres always something soothing about these videos. the sounds, the colors, and if we had smell television the smells. ๐ the music. i even enjoy the sound the wood makes when they chop it and the fire sizzling. and when they scoop stuff out of a container. its all so relaxing, peaceful and beautiful. lol i love it. i wish i was there. ๐",这些视频总会有些舒缓。声音，颜色，如果我们闻到电视的气味。
20750,Ugy9AWA74RK20ofP9bd4AaABAg,0,3 years ago,like life like this. peaceful . happy .,像这样的生活。平静的 。快乐的 。
18097,UgzucH9iCTK7Y3vxjBZ4AaABAg,0,3 years ago,what a peaceful life ...,多么宁静的生活...
18335,UgwkxzU9ENyJwYO1oth4AaABAg,0,3 years ago,the river is really peaceful!,这条河真的和平！
18430,UgwDjguKUTDLvJRvGEp4AaABAg,0,3 years ago,"so very peaceful and relaxing, ( she is cute",如此和平和放松，（她很可爱
20951,UgzifV3i5_ovGXuOoVh4AaABAg,0,3 years ago,i wish life was like this. peaceful calm but full of adventures in the country.,我希望生活就是这样。和平平静，但充满了冒险。
20892,Ugx9auuiL0YQpEVo_XV4AaABAg,0,3 years ago,ohhh... that is such a peaceful and happy life....our lives is but a product of this system of stressed and nothing more. she's living the dream.,哦...那是一种如此和平与幸福的生活。...我们的生活不过是这种压力系统的产物，仅此而已。她正在实现梦想。
20851,UgzX5KMiJYmI0If2DP54AaABAg,0,3 years ago,what a beautiful and peaceful life!!,多么美好而宁静的生活！
20830,Ugx5MogH9bvAQStdsyx4AaABAg,0,3 years ago,she makes hard work look peaceful,她让辛勤的工作看起来和平
20741,UgzdPeNIDSGDcG_lm4t4AaABAg,0,3 years ago,"this takes me to the old age, without technology the peaceful life, i wish that i should have been her cousin",这将我带到了老年，没有技术的和平​​生活，我希望我应该是她的堂兄
24518,UgxDS3lDa0dqApDQmAp4AaABAg,0,3 years ago,it's peaceful and happy ...,和平与快乐...
20372,Ugx4cKpwMCQ6J0BYmX94AaABAg,0,3 years ago,"shady, peaceful",阴暗，和平
20366,UgyYLOxRcDpUjCv7GQl4AaABAg,0,3 years ago,"this place is my fantasy world. every fruit, veggies and livestock is around her. more over it seems quite, peaceful, and amazingly beautiful. who ever married this woman and living with her in this place already claimed heaven. 
liz is one of a kind. much respect! blessings!","这个地方是我的幻想世界。她周围的每个水果，蔬菜和牲畜都在她身边。更加超越，看起来很宁静，令人惊讶。曾经与这个女人结婚并与她一起住在这个地方的人已经宣称天堂。
丽兹是一种。非常尊重！祝福！"
19953,Ugz2GBIjVFa-TZUppSN4AaABAg,0,3 years ago,peaceful but still....,和平但仍然...
19797,Ugy6DX0oIS-TO-hH54B4AaABAg,0,3 years ago,"i love her videos, they’re so peaceful and calm. the wholesome part of youtube.",我喜欢她的视频，他们是如此和平与平静。 YouTube有益健康的部分。
18463,Ugx3GtlvnNbhvTrHrXp4AaABAg,0,3 years ago,so peaceful. such happiness.,很平静。这样的幸福。
19310,UgxtxKoB2a_ceo4USZ14AaABAg,0,3 years ago,"this is the life i want when i grow up tneres food,its peaceful,and cute pets?",这是我长大的食物，宁静而可爱的宠物时想要的生活吗？
19248,UgzBslyEUuVQX7qquMB4AaABAg,0,3 years ago,so peaceful and beautiful videos,如此和平与美丽的视频
21162,Ugwu3lJV-ZOG6XFahEx4AaABAg,0,3 years ago,peaceful. life goal ๐๐,平静的。人生目标
17286,UgwrVbNDBREPG59by-Z4AaABAg,0,3 years ago,peaceful,平静的
17275,Ugxcw2sS2O-3FaenseN4AaABAg,0,3 years ago,her life is so peaceful and inspired,她的生活是如此和平和受到启发
21771,Ugzwx-4196hFJxN3ceJ4AaABAg.93LBik03GBN93LCXoErxnI,0,3 years ago,i can't believe it's in mianyang๏ผis my stay in china fake?my home is 100 kilometers from mianyang๏ผwhere is such a peaceful place?china's rural areas are definitely not like this! absolutely!,我不敢相信它在米安扬（Mianyang），我在中国的住宿是假的吗？我的家距离米扬（Mianyang）100公里，这是一个和平的地方？中国的农村地区绝对不是这样！绝对地！
24396,UgxMMxdAxWkaPDtcXTJ4AaABAg,0,3 years ago,just wishing to be with you and peaceful life v is enough,只是希望和你在一起，而和平的生活v就足够了
24320,Ugx2xWKGqHXRy7x9XAV4AaABAg,0,3 years ago,"feeling like lost in another world, peaceful, gentle ..
่ฐข่ฐขใ€","感觉像迷失在另一个世界中，和平，温柔..
谢谢。"
15096,UgyMPbonwvcfHozgypt4AaABAg,0,3 years ago,"ever since i was a young kid i've always wanted to live like this. in nature, alone with my own resources, peaceful. i'd only go back to get things i cant make or grow. but i'm only 15 so i still live in a place i dont like. my shyness plays a big role in my wanting to be alone, but living with nothing but nature has always been what i wanted",自从我还是个小孩以来，我一直想这样生活。本质上，独自拥有我自己的资源，和平。我只回去得到我无法做出或成长的东西。但是我只有15岁，所以我仍然住在一个我不喜欢的地方。我的害羞在我想要的一个人中起着很大的作用，但是除了自然之外，什么都不是我想要的
15360,UgwAonGjZgRjld4s58J4AaABAg,0,3 years ago,life is so peaceful ... like in a fairy tale..,生活是如此和平...就像在童话中一样..
15494,UgwHbsPluGHGClZXt4p4AaABAg,0,3 years ago,planting my own little garden and watching your video are the only ways to make me feel inner peace during the pandemic and riots. thank you for those great videos. every shot is so delicately and beautifully made yet you live such a peaceful and natural life.,种植我自己的小花园和观看视频是使我在大流行期间感到内心和平的唯一方法。谢谢您的精彩视频。每次镜头都是如此精美，精美，但您过着如此宁静而自然的生活。
15517,Ugw46QlBbBKl-jATELd4AaABAg,0,3 years ago,it's peaceful,这是和平的
23575,UgwtZdzfsYSEc5-SFpx4AaABAg,0,3 years ago,"i think of the rural spring festival when i was a kid, a beautiful and peaceful childhood",想起了小时候的农村春节，美好宁静的童年
15971,Ugzfh-zD_FNLhQkqKoJ4AaABAg,0,3 years ago,it is so peaceful to watch her doing her things,看着她做自己的事情真是太平了
16193,Ugy_h7yrCDCqgMiqX9R4AaABAg,0,3 years ago,life is peaceful,生活是和平的
16834,UgwOzs7NRN9Z2bZTU014AaABAg,0,3 years ago,"peaceful life, fresh food, nature, dogs....and sheep",和平的生活，新鲜的食物，自然，狗……和绵羊shaun？是​​你吗？
22563,UgxB2LaFeQbJSxkMltt4AaABAg,0,3 years ago,"enter the girl formula to live a peaceful life in the countryside, beautiful, firm, very cute. chinese rural media in the past perfectly from chinese novel fans",输入女孩公式，在乡村过着和平的生活，美丽，坚定，非常可爱。过去的中国农村媒体完美来自中国小说迷
22474,Ugzk2hZzSJPMNCq5HPR4AaABAg.92v_huHNonN9AmjgoAYbEp,0,2 years ago,@jordynisboredyn using a camera to record her peaceful life and a laptop to upload her videos on youtube is nowhere near the addiction most of us suffer from technology nowadays.,@jordynisboredyn使用摄像机记录她的宁静生活，并在YouTube上上传视频的笔记本电脑与当今我们大多数人都遭受技术的成瘾差不多。
17233,UgxBh02T2Ne0I2RmQjB4AaABAg,0,3 years ago (edited),"it is peaceful and simple, very important",这是和平与简单，非常重要的
22403,Ugz73vy6fg4Dhn6LWmJ4AaABAg,0,3 years ago (edited),"pls, does anybody stop me watching this till the end? this is so chilling, peaceful and แบฃghhhhhhhh!!!!! idk! this video is smt great that no word can explaint it! love it!",请，有人阻止我看这个直到最后吗？这是如此令人寒冷，和平和ảghhhhhhh！ idk！这个视频很棒，没有任何言语可以解释它！爱它！
17257,UgxMyYQnnPGjln7ebxZ4AaABAg,0,3 years ago,what is the 2nd bgm??? i wanna know that is so peaceful,什么是第二bgm ？？？我想知道那是如此和平
29143,UgxUylDO7AGuYhNDTSZ4AaABAg,0,3 years ago,original 1 garden of vegetables and fruits like that feel peaceful when watching this girl's clip,原始的1种蔬菜和水果花园看着这个女孩的剪辑时会感到宁静
29635,Ugye_YcEONv17M_r9_t4AaABAg,0,3 years ago,"i saw his life very peaceful, from indonesia like",我从印度尼西亚看到他的生活非常和平
35889,UgyM6RSiksjwN8f9rxp4AaABAg,0,4 years ago,"i want this peaceful, natural, beautiful life",我想要这种和平，自然，美丽的生活
34291,Ugzz-QCbvMYo6W6_Q-p4AaABAg,0,4 years ago,i am crying this is so peaceful to watch,我在哭，这真是太平了
34765,UgzYVSu1wwc95gPgXZp4AaABAg,0,4 years ago,this is what i want to become. living peacefully in the countryside and doing things from scratch. i want that level of satisfaction.,这就是我想要成为的。在农村和平生活，从头开始做事。我想要那种满意度。
34737,UgxPdF7kTGX4vyN0Csl4AaABAg,0,4 years ago,"peacefully, as v",和平，v
9441,UgzoyjvlhXGZ8CM6S3F4AaABAg,0,2 years ago,it's so peaceful to watch.,观看真是太平了。
34408,UgzYe5F7XiB8LAsJ0ZB4AaABAg,0,4 years ago,"my entire existence feels pointless when watching her, i literally do nothing all day :( but they r very peaceful",当看着她时，我的整个生存都毫无意义，我整天什么都不做:(但是他们很和平
34318,UgzUDyRMu9Pz5adH0ph4AaABAg,0,4 years ago (edited),peaceful life,和平的生活
34312,Ugwx87IyyjJQzpDosNZ4AaABAg,0,4 years ago (edited),"wow amazing. this lady definately can be future daughter in law . it can see that their so so peaceful and no strees. sorrounding by healthy way of life.
๐๐๐๐๐๐","哇，太棒了。这位女士绝对可以是未来的女儿。它可以看到他们如此和平，没有串。通过健康的生活方式痛苦。
"
34303,UgzqvMumQC0r89hr2hx4AaABAg,0,4 years ago,"this is what school should teach us. why are we living so hard? trying to best each other. trying so hard, but for what? recognition ? appreciation? preservation ? if we all just stopped, if we all just listened, if we all were to breathe from the depths of our hearts, if we were to live.... the world wouldnโ€t be so bad. because there would be nothing we would be living for. no ideals, no trying to one up, no competition, no bloody suck ups. if money was not a thing and if we arenโ€t so selfish then we could get by. taking only the amount we need. sharing and not discriminating, not hating, not killing. then the world we live in wouldnโ€t be sinking? living as one, living peacefully, just like the animals all around us. taking only what they need and nothing more. theyโ€ve survived longer then us yet the amount of time we have existed is a chip of what they have and what have we done? killed this earth. schools should have taught us how to harvest wool, how to clean wool, how to make clothing. schools should of taught us how to cook with the life around us. schools should of taught us not to be selfish, not to want, not to become greedy like the people before us. instead we learn about multiplying aโ€s,bโ€s and cโ€s, learning about history, singing do re mi. but for what? to get a job, to earn money, to eat too much, to become corrupt, to listen to leaders who donโ€t give a fuck. this is what it means to live. like her. yet we live a life of such unhappiness. trying to buy too much trying to earn too much. when all we need is just a little. keep it simple. what have we done.",这是学校应该教我们的。我们为什么这么努力？试图互相最好的。尝试这么努力，但是什么呢？认出 ？欣赏？保存？如果我们都停下来，如果我们都倾听的话，如果我们都要从我们的内心深处呼吸，如果我们要活下去。...世界不会那么糟糕。因为我们将没有什么可以为之而来的。没有理想，没有尝试一个人，没有竞争，没有流血的吮吸。如果钱不是一件事情，如果我们不是那么自私，那么我们就可以通过。只拿我们需要的金额。分享，不歧视，不讨厌，不杀人。那么我们生活的世界不会沉没吗？像我们周围的动物一样生活，和平地生活。只采取他们需要的东西，仅此而已。他们的生存比我们更长，但是我们已经存在的时间是他们拥有的东西以及我们做了什么的筹码？杀死了这个地球。学校应该教我们如何收获羊毛，如何清洁羊毛，如何制作衣服。学校应该教我们如何与周围的生活一起做饭。学校应该教会我们不要自私，不要想要，不要像我们之前的人们那样变得贪婪。取而代之的是，我们了解了乘以A，B和C的繁殖，了解历史，唱歌Do Mi。但是什么？找工作，赚钱，吃得太多，变得腐败，倾听那些不他妈的的领导者。这就是生活的含义。像她这样的。然而，我们过着如此不幸的生活。试图购买太多尝试赚到太多的东西。当我们只需要一点时。把事情简单化。我们做了什么。
9732,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9HpCtCTKG3d,0,2 years ago,monica murray yes.... amaizing and peacefull... in nature :),莫妮卡·默里
34826,UgwbJa7fHlYLWy4VhbJ4AaABAg,0,4 years ago,"i really like her. i have never seen a girl like her. i admire her very much, hoping that there is a place where she visits her, the vision is peaceful and beautiful.",我真的很喜欢她，我从来没有见过像她这样的女孩，我非常敬佩她，希望有一次访问她的地方，视野平和而美丽。
34138,UgwRe11TkDO3ncd3FyF4AaABAg,0,4 years ago,how can something be so fucking peacefull! my life sucks compared to this... a 7 to 17 job which only pays enough to survive and all the stress. i'm wasteing my life...,某事怎么会让他妈的和平！与此相比，我的生活很糟糕... 7至17个工作只能付出足以生存和所有压力。我正在浪费我的生活...
34000,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49Hlxy-uL8Tx,0,2 years ago,".. yup.. always working, but not a rat race..blend with and take only what you need from the nature...peaceful and content life..",..是的..始终在工作，但不工作。
33984,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd49F42fmAP7or,0,2 years ago,"yes!

imagine, with some time how peaceful!!","是的！

想象一下，有一段时间的和平！！"
33922,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd4982TDvGtYj1,0,3 years ago,"it's not though, not for everyone. i wish more people could live like this, if they wanted too. i would be nice if we could all live like this, but there literally isn't enough fertile land for everyone to live like that. with a big hunk of property in the country, where you could grow all you need. we need farms and farmers and some people have to do other work to keep the world running. late stage capitalism has definatly made life unnaturally hard for most of us, though. i'm with you though. it does seem peaceful, doesn't it? <3",不过，不是每个人。我希望有更多的人能这样生活，如果他们也愿意的话。如果我们都可以这样生活，我会很好，但是从字面上看，每个人都没有足够的肥沃土地。在该国有一大堆财产，您可以在这里种植所需的一切。我们需要农场和农民，有些人必须做其他工作以保持世界的运转。不过，对于我们大多数人来说，后期资本主义绝对使生活变得不自然。我和你在一起。看起来确实和平，不是吗？ <3
10168,Ugy0X3NiYjoh3Aq-dBB4AaABAg,0,2 years ago,i feel so peaceful watching u,我感到很宁静看着你
10224,UgyJrmcnfoQubwkmNDp4AaABAg,0,2 years ago,i find peaceful when i m watching you video,当我看你的视频时，我会很安静
33678,UgzzXV26ZNwpydmOV6N4AaABAg,0,4 years ago,this is a peaceful video and i want to eat now,这是一个和平的视频，我想现在吃饭
34803,Ugw6DrMFiIS2pbJh-Pl4AaABAg,0,4 years ago,heaven ๐ so peacefully,天堂
34988,UgyAK_6vW3JDRaQlt7l4AaABAg,0,4 years ago,"both beautiful and talented. life looks like a dream, strangely peaceful.",既美丽又有才华。生活看起来像是一个梦，奇怪地和平。
30012,UgzqXF8HRcr-byQ2TC94AaABAg,0,3 years ago,peaceful,平静的
35691,UgyZbshTNBgGoIs2gvl4AaABAg,0,4 years ago,so peacefull and mashaallah view is awsome,所以和平和玛莎拉的观点真是太棒了
7989,UgxMTPHBJY7gixDr36B4AaABAg,0,2 years ago,how beautiful and peaceful living style❤️,多么美丽与和平的生活风格❤️
35843,Ugxjd-MnTNKLCvfUQ_J4AaABAg,0,4 years ago,this is so peaceful. and sheโ€s so pretty ๐ญ,这是如此和平。她真漂亮
35821,Ugx1INp-ghT5sDAysHl4AaABAg,0,4 years ago,this is so amazing! she is so cool! love her and the peaceful environment in all these vids!! ๐’•๐’•๐’•,这真是太神奇了！她太酷了！在所有这些视频中爱她和和平的环境！！
8224,UgxgYmsPrh-NICAu4b14AaABAg,0,2 years ago,"it’s a peaceful way of life, by i don’t think i’d ever want it. i’m a lazy person by nature, and my father worked hard and swore to never let me live a life like this, he says it’s tiring work and would make my “smooth hands” calloused. i’ll honor his wishes and try to succeed in the urban landscape while appreciating such a life ^^",这是一种和平的生活方式，我认为我永远不会想要它。我天生就是一个懒惰的人，父亲努力工作，发誓永远不要让我过上这样的生活，他说这很累，会使我的“光滑双手”变得冷酷无情。我会兑现他的愿望，并试图在城市景观中取得成功，同时欣赏如此生命^^
35787,Ugxhc9VngabMnEw6ouV4AaABAg,0,4 years ago,everything is peaceful.great video!,一切都是和平的。
35781,Ugy29SrF9XDWLffRXGR4AaABAg,0,4 years ago,love to live there.. peaceful,喜欢住在那里..和平
18980,UgydxrtPww08yACab9F4AaABAg,0,3 years ago,this is so peaceful,这是如此和平
35674,UgzALFf8MWcL-XGo0vl4AaABAg,0,4 years ago,i'm going to base one of my characters off of you. this is so peaceful to watch.,我将把我的角色之一源自您。这真是太平了。
9233,UgydluaDF5IAnH-tbwt4AaABAg,0,2 years ago,that was the most peaceful 10 minutes of my life,那是我一生中最宁静的10分钟
35650,UgyTobC4uGDmJzo6s794AaABAg,0,4 years ago,your video is always peacefull,您的视频总是和平
35582,UgwdCsYI4TTRyRVwF_h4AaABAg,0,4 years ago,"i wish i would have the possibility to live in that kind of place. i would retreat to there whenever i could if i had the knowledge. in finland there are some people who live within nature in lapland but that place is really cold. and i'm not sure what parts of nature to use. also hunting is a big part in there. and moose & reindeer husbandry. look at me brambling on. 


your videos are beautiful and peaceful. kudos to you.","我希望我有可能住在那种地方。如果我有知识，我会尽可能地撤退到那里。在芬兰，有些人生活在拉普兰，但这个地方真的很冷。而且我不确定要使用的自然部分。狩猎也是其中的重要组成部分。和驼鹿和驯鹿饲养。看着我brambry。


您的视频美丽而宁静。对你的敬意。"
35476,UgwbaA4Ch8vY73bXC5d4AaABAg,0,4 years ago,you have a beautiful home. i wish that i could live in such a peaceful place.,你有一个美丽的家。我希望我能住在如此宁静的地方。
8889,UgxUC9P7EtrSAAU_rUB4AaABAg,0,2 years ago,a very peaceful and pleasant life,非常宁静和愉快的生活
8974,Ugx5K3X73RjUmcnwbmt4AaABAg,0,2 years ago,"her clip has invested very much, seeing peaceful and pleasant.",她的剪辑投资了很多，看到了和平与愉快。
35269,Ugzz9Jwrnr6WNzyBlIZ4AaABAg,0,4 years ago,peaceful and very interesting videos. food also,和平且非常有趣的视频。食物也是
35068,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8voLQpcA2PX,0,4 years ago,i feel the same way. this girl knows so many things. she's so smart and hardworking. she looks so happy. i honestly envy people who manage to live so beautifully and peacefully. that place is gorgeous.,我有同样的感觉。这个女孩知道很多事情。她是如此聪明和勤奋。她看起来很高兴。老实说，我羡慕那些设法如此美丽，和平地生活的人。那个地方很漂亮。
33671,UgzT0gqm3ubXqD7i_0l4AaABAg,0,4 years ago,i always get a peaceful vibe when watching these types of videos. looks like a good place to retire at,观看这些类型的视频时，我总是会得到和平的氛围。看起来像是退休的好地方
11114,UgwRSiHbw7R2VzINHjd4AaABAg,0,2 years ago,"peaceful music, peaceful life ๐๐’–๐’–๐’–๐’–",和平音乐，和平的生活
33495,UgycvCYuh0pt82pDmht4AaABAg,0,4 years ago (edited),"everything is so peaceful 
your videos have high quality","一切都如此和平
您的视频具有高质量"
31071,Ugz9ln6yJIrTobv8Xvx4AaABAg,0,3 years ago,peaceful life. wish you more and more supporters,和平的生活。祝您更多的支持者
31637,Ugy3aLHZTmtQDscOH2R4AaABAg,0,4 years ago,i was watching dianxi xiaoge channel and then suddenly i saw liziqi channel with many more million views. they have both peaceful life and healthy foods.,我正在看Dianxi Xiaoge频道，然后突然看见Liziqi频道，观看了更多的观看次数。他们既有和平的生活又有健康食品。
11774,UgyV8rE0p1Z_fKQmbh94AaABAg,0,2 years ago,"i love your video, so peaceful. i want to ask you if is possible to add some tittle of the thing that you do and the products you use( there are many things that we dont know what it is) thank you and blessing.",我爱你的视频，如此和平。我想问一下您是否可以添加您所做的事情和使用的产品（有很多我们不知道是什么的东西）谢谢和祝福。
11864,UgwbJe344NSv6vPxOUF4AaABAg,0,2 years ago,wish i could live this peaceful life too,希望我也能过上这种和平的生活
31316,Ugzgk_zweYahDehGjDl4AaABAg,0,3 years ago,"awww so peaceful and beautiful 
the little lamb is sooooo cute!!!","awww如此和平与美丽
小羔羊太可爱了！！！"
31112,Ugw3JY3k0ydzm9QpdXJ4AaABAg,0,3 years ago,"wow one life very beautiful
it is peaceful and gentle","哇，一生非常美丽
这是和平而温柔的"
31102,Ugwv-fK1yNpZfDccGP94AaABAg,0,3 years ago,"a girl, two puppies and a baby sheep, under the blue sky. how peaceful they are",一个女孩，两只小狗和一只绵羊，在蓝天下。他们有多和平
31099,UgyC6kjXeiF2YLC2RU94AaABAg,0,3 years ago,so peacefull life...love from india...,如此和平的生活...来自印度的爱...
12442,UgzvngKrRPygWDpppeB4AaABAg,0,2 years ago,chinese's snow white... so peaceful,中国白雪公主...如此宁静
33494,UgxFbiYwPb_wRq_jwEd4AaABAg,0,4 years ago,"we were supposed to live life like this, simple, peaceful and productive. now here we are, a fee years away from a dangerous pollutant air and global warming lol",我们应该过这样的生活，简单，和平与富有成效。现在我们在这里，距离危险的污染物和全球变暖大声笑了几年
12580,UgyGoZklSatTstTKavx4AaABAg,0,2 years ago,she makes live look so peaceful,她使现场看起来如此宁静
30756,Ugxmjr7POdzuxVjE0Yh4AaABAg,0,3 years ago,the peaceful countryside.,和平的乡村。
30680,UgyqZAqN5ABUtAC9pgx4AaABAg,0,3 years ago,tears are so peaceful and pretty.,眼泪是如此和平与美丽。
30565,UgxLplt-O1uT0ck1aRt4AaABAg,0,3 years ago,peaceful ๐,和平
12836,Ugy4FgVSKccCQyW1IqJ4AaABAg,0,2 years ago,it must be peaceful and very comfortable life ...,它必须是和平且非常舒适的生活...
12935,Ugw0b7TuX-MlZuP8ny54AaABAg,0,2 years ago,peaceful life,和平生活
30266,UgyWs975FvYAX8FxDrR4AaABAg,0,3 years ago,there is just something about these videos and the peaceful skill of this beautiful lady that speaks to my spirit. thank you ๐๐ผ,这些视频和这位美丽的女士的和平技巧只是对我的精神说话。谢谢
31728,UgzXaWFhSt9sZsjAWIN4AaABAg,0,4 years ago,it's so peaceful,如此和平
31745,UgzoLV-MFJjkfBHF4oJ4AaABAg,0,4 years ago (edited),how can dried dead animal flesh be peaceful .......why choose violence when you don't have to,干燥的死动物肉如何和平.......为什么不必选择暴力
11679,UgwYiRZVrMVIEu7-uOd4AaABAg,0,2 years ago,"peaceful n natural life.... fantastic ๐‘
#khanakhazanawithsnehal","和平n自然生活....很棒
#khanakhazanawithsnehal"
11557,Ugwl4_PRInVlfHk6PzF4AaABAg,0,2 years ago,so peacefull,如此和平
33412,UgwW89UWpHZoS3A26qJ4AaABAg.8vH4dW6_4wZ8vHQ3AsOmRM,0,4 years ago,she gave up her original job to take care of her grandma. she lead a happy and peaceful life every day.,她放弃了自己的最初工作，以照顾祖母。她每天过着幸福快乐的生活。
33368,UgwB7I1O8vLoso6nNFt4AaABAg,0,4 years ago (edited),omg what in the world...this is the most beautiful video i've watched...so peaceful n calming...what a life...i love it..made me smile,天哪，世界上什么...这是我看过的最美丽的视频...如此宁静的镇静...真是个生活...我爱它..我的微笑
33319,UgxWLguPzjmDw8sMhlV4AaABAg,0,4 years ago,itโ€s so peaceful.....,太平了.....
33296,UgyosBstA_-lq_YXgYd4AaABAg,0,4 years ago,"want to have a mini, calm and peaceful, spices and vegetables in planting around the backyard and the roses are beautiful, i like it ,,",想要一个迷你，平静与和平，在后院种植的香料和蔬菜很漂亮，我喜欢它，
33291,UgyOjZK9S6-aZDAo4r14AaABAg,0,4 years ago,soo peaceful and great,如此和平与伟大
33285,UgwNYGKfP67bCgdoqSZ4AaABAg,0,4 years ago,"really a peaceful life. my mouth was watery whole time and whomever you will marry he will be lucky. really enjoyed. popcorn cannon that was a new thing to watch. 
thumbs up(^_^)","真的是和平的生活。我的嘴一直很流水，无论你嫁给谁，他都会很幸运。真的很享受。爆米花大炮是新事物。
竖起大拇指{"
33257,UgxkFTj_godu7rGvTkZ4AaABAg,0,4 years ago,"all my stress is gone while watching this, in china village that i explored, really was so peaceful and breathtaking , rich with all organic foods and clean air, people are so decent and innocent too, reminiscing those good old times ๐๐๐",在观看这一点时，我探索的中国村庄都消失了，确实是如此的和平与宽松，充满了所有有机食物和清洁的空气，人们也是如此不错，也很无辜，回想起那些美好的时代
33253,UgwIPMcHUpwg15dM4Fd4AaABAg,0,4 years ago,i don't know why i enjoy watching her doing all the work! such a peaceful thing to watch!,我不知道为什么我喜欢看着她做所有的工作！如此宁静的事物！
33224,UgzARKUp4HGTJUns-oV4AaABAg,0,4 years ago,i want to live there peacefully.,我想和平地住在那里。
32975,UgzNt8cYA8vdLymj1RB4AaABAg,0,4 years ago,im living in a province but my life is not like this . im stressed out . i want a peaceful life like hers .,我住在一个省，但我的生活不是这样。我强调了。我想要像她一样和平的生活。
11419,Ugx6HmqRh_n6Fn_Vh694AaABAg,0,2 years ago,life is too peaceful.,生活太宁静了。
32837,Ugxor3b1qXWwG7ufZb54AaABAg,0,4 years ago,i feel peaceful from your video. โบ๏ธ,我从你的视频中感到和平。 ☺️
11550,Ugwxv5ilbgDPmYXrWKB4AaABAg,0,2 years ago,she looks soo peaceful,她看起来很宁静
32220,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx9GZJVk6p5qf,0,2 years ago,"she makes farmstead life seem so peaceful and, she does it with such grace.",她使Farmstead的生活看起来如此和平，并且以如此优雅的态度做到了。
32068,Ugw0pVTAqMMGk2w6xlZ4AaABAg,0,4 years ago,your video made me feel so peaceful ๐ฅฐ,你的视频使我感到很宁静
29283,UgwksunySbazAHxrG4V4AaABAg,0,3 years ago,this is the kind of peaceful hunger game life that i've always dreamed of as a kid,这是我小时候梦dream以求的和平的饥饿游戏生活
