,cid,votes,含bamboo,含bamboo中文翻译
20900,UgxXhulFTwL6iGZNTPN4AaABAg,0,looking at the hands of the fluttering bamboo shoot,看着颤抖的竹芽的手
21003,UgyactCKq0V790mzOc54AaABAg,0,her place is so beautiful...full with nature. make me feel better and my stress gone. i really like the scene of forest that full with bamboo. like a place who samurai is going to fight with his long rival. and that long bean...waaa...look delicious even not cook yet.,她的位置是如此美丽...充满了大自然。让我感觉好些，压力消失了。我真的很喜欢森林的场景，里面充满了竹子。就像武士要与他的长期竞争对手战斗的地方一样。还有那长的豆... waaa ...看起来很美味，甚至还没做饭。
22009,UgxHL-qjMeG230xfGhp4AaABAg,0,when my aunt visited us in the province and served her a dish made from bamboo shoots but she didn't want to eat it coz she didn't know what it is i felt sorry for her. it's so good.,当我的姨妈在该省拜访了我们，并为她提供了用竹芽制成的菜，但她不想吃它，因为她不知道这是什么，我为她感到难过。它是那么好。
21853,Ugyc6bK-HU1raM6VqG14AaABAg,0,bamboo fuck but so big,竹他妈的，但是很大
21827,Ugw-g8IF09PNaJSdAR94AaABAg,0,that bamboo shoots makes me mouth watering,那竹芽让我垂涎三尺
21722,UgxxGGZz1rkfwoZoQgV4AaABAg,0,wow bamboo shoots northeast food,哇竹芽东北食品
21584,UgxZgfkxCiwSfpge76t4AaABAg,0,"here in the philippines we also eat young bamboo shoots we call it ""labong"" we make a stew out of it. it makes the stew very thick and slimy. and it tastes good.",在菲律宾，我们还吃了年轻的竹芽，我们将其称为“ Labong”，我们用它炖了。它使炖肉非常浓密。而且味道很好。
21554,UgxAi6UMl7tf8VB4j5R4AaABAg,0,"very beautiful and hardworking, now there are few. i only have time to remove in the apartment during the day, and she should make a bed and cosmetics from a bamboo, another dress. well, she will definitely survive on the island. it would be great to see her.",非常美丽而勤奋，现在很少。我白天只有时间在公寓里搬到公寓里，她应该用竹子（另一件衣服）制作床和化妆品。好吧，她一定会在岛上生存。很高兴见到她。
21439,UgwOyjhEJMHd7qwujVp4AaABAg,0,bamboo shoot is my favourite n i am fr arnachal love it,竹拍是我最喜欢的，我是阿尔纳恰尔夫人喜欢它
21365,UgwBfKAmkTwoprtx2Hl4AaABAg,0,is that moso bamboo,那是莫索竹子
21293,UgzoLQ0uEupYYAVej9x4AaABAg,0,this is absolute yummy reciepi bamboo shoot this kinds of vegetable is healthy,这绝对是美味的reciepi竹芽，这种蔬菜很健康
21250,UgxJldJXqC5Rh0zxb4d4AaABAg,0,liziqi is my panda. we eat bamboo everyday.,利兹奇是我的熊猫。我们每天吃竹子。
21223,UgzXul9wXv-Fu0QXC3l4AaABAg,0,big bamboo terrible,大竹可怕
21215,UgwlL0PetGFJ8oUqzAZ4AaABAg,0,her sister took bamboo shoots using empty hands ... mantapppp,她的姐姐用空手拍了竹枪...曼塔普普
21134,Ugzz6dju4n4QUeetn2t4AaABAg,0,how come it's the same as in indonesia ... bamboo that is young for vegetables ... ear mushrooms are also on vegetable,它怎么样与印度尼西亚相同...年轻的蔬菜竹子也在蔬菜上
21107,UgwXloWSEjXsszcT7od4AaABAg,0,saute bamboo shoots. long bean sauce,炒竹芽。长豆酱
21099,UgyyTsm8dt0mgf2VRg14AaABAg,0,"i haven't had bamboo shoots for decades yet still remember that delicate fresh taste in my dreams, simply longing for it. i am drooling!",几十年来，我还没有竹拍，但仍然记得我梦中的那种精致的新鲜味道，只是渴望。我在流口水！
20071,UgwiQDybJ_E9SSpj3Rp4AaABAg,0,fresh bamboo shoots,新鲜的竹芽
20055,UgyerFSZ72rTcF9ENY94AaABAg,0,"wow! that bamboo shoots are too big, it's old!",哇！那笋子太大了吧，已经老了！
18365,UgzqresD1B4iKwyGi2t4AaABAg,0,i know that bamboo shot its available in our country too india its indeed tasty....,我知道竹子在我们国家也射击了印度，它确实很美味。
18900,UgwLNI3el26C3Kz9TGp4AaABAg,0,this bamboo shoot is so big,这竹笋好大
19166,Ugz0mjEDL50452ajKul4AaABAg,0,"in indonesia name is ""rebung bamboo""",印度尼西亚的名字是“ rebung bamboo”
19122,UgwNc9g0gTIhaRZ0KIp4AaABAg,0,"i like eating bamboo shoots so much...but never taken it direct from its growing place...so fresh! 


it's the first time i see the grandma relaxing herself by sitting on the swing...","我非常喜欢吃竹芽……但是从来没有直接从它的成长中拿走它……好新鲜！


这是我第一次看到祖母坐在秋千上放松自己..."
19069,UgyhSJHbnccPmF2NewB4AaABAg.928iIut82ru92g8KyUsyP_,0,"@alexinmy my hometown is guangxi. when i was a kid, my old man brought big people in my hometown. various sour bamboo shoots and pickles from snacks to large, so i never felt smelly. as for the abroad, do you have no super league there? we are sold in the super league here. it is not expensive.",@Alexinmy 我老家是广西的，我小时候是老家里老人带大的，各种酸笋腌菜从小吃到大，所以从来不觉得臭。至于国外吃不到，你们那儿没有中超吗，我们这里中超都有卖啊，3.5到4欧一包，倒也不算贵。
19066,UgyhSJHbnccPmF2NewB4AaABAg.928iIut82ru92e-USjXBoD,0,it's not smelly if freshly made. the smell comes from over fermented bamboo.,如果新鲜制作，它不会臭。气味来自发酵的竹子。
19060,UgyhSJHbnccPmF2NewB4AaABAg.928iIut82ru92RdUilZS_E,0,"@elenadeng257 you are teasing my brother, the odor comes from fermented sour bamboo shoots, which has a fart with the storage and transportation link. you are like saying that the smelly tofu in hunan is not smelly",@elenadeng257 你在逗我呢哥，臭味来自发酵的酸笋，跟储存运输环节有屁关系。你这就好比在说，湖南的臭豆腐不臭
19030,Ugx8blf92u6ShyzzlVZ4AaABAg,0,if in indonesia this is called bamboo shoots and ear mushrooms,如果在印度尼西亚，这称为竹芽和耳蘑菇
19029,UgwhZUwXc6ctGg0ookR4AaABAg.929_y5AdSaj92IdxbDXtgl,0,"@corazhu2600 no,it is baby bamboo",@corazhu2600不，这是婴儿竹子
18881,UgwxVjudZKBWhgUtEmd4AaABAg.92F5sPhdykG92F6MugAx53,0,shoot bamboo in my languange is rebung. in semarang city there is a food filled with that called lumpia. it is very tasty but have a strong smell.,在我的语言中拍摄竹子是重新的。在Semarang City，有一种装满了lumpia的食物。它非常好吃，但闻起来很浓。
19858,UgzA2giJ3GWVrrBTOIp4AaABAg,0,"too much, bamboo shoots and beans are together! can not watch anymore",太做作，笋和豆角一起的！看不下去了
18870,Ugwgo2ViwnoleM4_daB4AaABAg,0,"i love bamboo, it's my favourite.",我爱竹子，这是我的最爱。
18736,UgyMFuS82X31_dtESgF4AaABAg,0,"as a liuzhou native, i want to say that the authentic snail powder is not so messy with the random side dishes, peanuts, peanuts, sour bamboo shoots, green bamboo vegetables",作为柳州人我想说正宗的螺蛳粉没有那么多乱七八糟的配菜 花生 腐竹 酸笋 青菜就够了
18680,UgzKCrj6p6U9fk_po9B4AaABAg,0,"when i was a kid, my grandma often made sour beans and sour bamboo shoots. unfortunately, grandma has left for 20 years. mom has also left for 7 years. i can’t find a familiar taste anymore",小时候我奶奶也经常做酸豇豆，酸笋。可惜奶奶离开二十年了。妈妈也离开7年了。再也找不到熟悉的味道
18559,UgypYL7USqJYfE_Nbv94AaABAg,0,isn't it a bamboo shoot? why is lettuce?,不是竹笋吗？为啥是莴笋？
47,UgxVIGKoCGghPg1VvMR4AaABAg,0,"in my house there are many bamboo trees
bamboo children some take it, then sell it.","在我家里有很多竹树
竹子的孩子有些人接受它，然后出售。"
18427,UgwmRSwVdTw7_R-XMWF4AaABAg,0,"i want to ask people familiar with the matter. although i do n’t know how to cut bamboo shoots myself, but the bamboo shoots should not be cut like this. it should be a shovel? intersection intersection",我想问一下知情人士，我自己虽然不会砍笋，可是笋不应该这么砍吧，应该是连根铲起吧？？？
18408,UgzCB_PORgzg3qapZMp4AaABAg.92VfxrpYhlk92mr7fDLz1q,0,"guy core you are wrong, she lives in a normal small village, the local people are very simple, except for the wild bamboo shoots and fungi on the mountain, many things are villagers'homes",盖伊核心你错了，她住在一个普通的小村庄里，当地人很简单，除了山上的野竹芽和真菌，许多东西都是村民
19205,UgwU_hAuvbTxJrW0a6p4AaABAg,0,bamboo girl :),竹女孩:)
19276,Ugy91SG5l-BW3Hx762J4AaABAg,0,"for those who doesn't know luosifen actually smells pretty bad for a lot of people, basically because of the bamboo shoots. i like it tho, just bought a few from the chinese grocery store",对于那些不知道Luosifen的人实际上对很多人来说闻起来很难，基本上是因为竹芽。我喜欢它，刚从中国杂货店买了一些
19277,Ugw_GPWlgtRzy_ttCxJ4AaABAg,0,tutut kacang bamboo shoots,图特卡肯竹芽
19297,UgzYFSvblLBGQPUeBtx4AaABAg,0,i had no idea bamboo shoots were so big like that,我不知道竹芽是如此大
19830,Ugxi1nmnJ5yb68SHnWZ4AaABAg,0,i love that sweet bamboo♡♡♡,我爱那个甜竹子♡♡♡
19816,UgzCEkY0funS2x3TS914AaABAg.91LngWm-l4m92EgbVvBESN,0,"4. bamboo chair, table, summer bed. 
5. summer sheet of bamboo skin. 
6. bamboo rain hat.","4.竹椅，桌子，夏季床。
5.夏日竹皮。
6.竹雨帽。"
19786,Ugy_QDTYMePNHt4giHt4AaABAg,0,"i have many bamboo trees at my place
i","我的地方有很多竹树
我"
19744,UgzVS7T9L6ZvmNwHNOF4AaABAg.91Rcy-EpNJN91YJ912tf9-,0,the bamboo shoots snd shrooms are paid sctors.,竹芽SND棚子是付费的sctors。
19683,UgzO_WGl1UvOTQle80d4AaABAg,0,"zhi chi, a young woman who is kind, cooks, telling recipes and methods. for the general public good luck and happiness. today, stir -fried bamboo shoots, long beans, donated with the remaining grandmother to eat the next day or sell to earn money. the future is hoping to be rich, the little girl this is a genuine chinese, fruit plant. dry, pickled, pickled, branches, weeds, as fuel, raising animals for self -use, self -use, sell, sell, make it to see as well. do only do not talk people in and abroad like therefore have ten million fans to follow really awesome, the little and pathetic little girl her history is very attractive. right now, the little girl beside the bridge that she used to be famous is her life. history is in the clip that she spoke alone, answering with the fan club who was with two grandmother. near the bridge there are village headmen to help parents and grandfather at a young age. looks very difficult. wish you good health and good luck, both grandchildren, talented people 写给 泰国 看 看",智奇（Zhi Chi）是一个善良的年轻女子，烹饪，讲食谱和方法。对于公众祝你好运和幸福。今天，搅拌竹芽，长豆，与剩下的祖母捐赠第二天或卖钱。未来希望有钱，小女孩这是一个真正的中国水果植物。干燥，腌制，腌制，树枝，杂草作为燃料，饲养动物以自我使用，自我使用，出售，出售，也可以看到。只能不说话国外的人喜欢因此有一千万的粉丝要跟随真的很棒，小而可悲的小女孩她的历史非常吸引人。现在，她曾经出名的桥旁边的小女孩是她的生活。她独自讲话的历史是在剪辑中，与两个祖母的粉丝俱乐部回答。在桥附近有村长在很小的时候帮助父母和祖父。看起来很困难。祝您身体健康，祝您好运，两个孙子，才华横溢的人写写看看
19651,Ugz9iNhW9GApTBARCj54AaABAg,0,bamboo shoots + tilapia... yummmi,竹芽 +罗非鱼... Yummmi
19588,UgzU-fSlO4aR70t5s2x4AaABAg.91mZqCmm3Wv91pWB5NtBja,0,katherine melton bamboos,凯瑟琳·梅尔顿竹子
19562,UgxfkTS6B7vomz30LNB4AaABAg,0,"good work, good attentive, every one is talking nonsense now, now i want to eat bamboo shoots more than the middle of the night",好费工 用心 好啦 每部都是 我在讲废话 现在想吃笋 大半夜的
19517,UgwlVympb-1U_B9C-ON4AaABAg,0,bamboo shoot,笋
19482,UgwAPL9cJ51nanQF8MF4AaABAg.91t0qnCYeig92UYJjCvmMY,0,"eat less bamboo shoots, haha",少吃点笋，哈哈
19456,Ugym3MdoKH9fyTXQkL54AaABAg,0,"baby bamboo smells like cat's pee, but i love it. my mom always make a bamboo soup",小竹子闻起来像猫的小便，但我喜欢它。我妈妈总是做竹汤
19385,UgwNGXbugtY3DGMFlW54AaABAg,0,the beauty that is put into the filming of this is amazing. been vegan for 55 years everything is perfect but the animal that's not alive in here. but if somebody chose and had the land they could live this way without the animal added. there could be videos of how to make tofu or eat beans. she certainly has a large enough garden to create any version of this that anybody would love. this still has less dead animals in a burger king commercial. i'll focus on the garden in the bamboo forest and hope that all that waste gets composted.,拍摄中的美丽是惊人的。素食主义者已有55年了，一切都是完美的，但是这里没有活着的动物。但是，如果有人选择并拥有土地，他们可以这样生活，而没有添加动物。可能会有有关如何制作豆腐或吃豆类的视频。她当然有一个足够大的花园来创建任何人都会喜欢的任何版本。在汉堡王广告中，这仍然具有较少的死动物。我将专注于竹林的花园，并希望所有废物都堆肥。
19358,Ugyj_QUVSBGWpoVLyfN4AaABAg,0,many bamboo shoots in vietnam sell money,越南的许多竹芽出售钱
19352,Ugwzqna9ftXfXT7y-PF4AaABAg,0,kuy bamboo shoots.,kuy竹芽。
19332,Ugzp18WLu8o0f9X-gHN4AaABAg,0,"me: why are you throwing the peppers in the fire?
she: i want the fire to be hot. :d

btw., those ceramic pots she uses for the bamboo and the beans are the same we have for making sauerkraut.","我：你为什么要把胡椒扔在火上？
她：我希望火很热。 ：d

顺便说一句，她用于竹子的那些陶瓷锅和豆类制作的豆类相同。"
15556,UgxE3f9kDVPP-zXbSDN4AaABAg,0,i love bamboo shoot it's,我爱竹芽
15501,UgwzJL1eBRdnlMdZ7fl4AaABAg,0,i just had chicken soup laced with bamboo.,我只是把鸡肉用竹。
10240,UgwWiVBrwHpe2Opknmt4AaABAg,0,"bamboo shoots are really good, especially using coconut milk beuhhh",竹芽真的很好，尤其是使用椰奶beuhhh
11500,Ugynmg98h_dzn29MtuV4AaABAg,0,"the key to harmony between man and nature is that there are so many people. little girls and grandma live in their hometown and live enviable, but they are all rural areas. this bamboo shoot is not enough to eat.",人与自然和谐的关键是人别多，小姑娘和奶奶在老家自由自在生活让人羡慕，可是都会农村，这点竹笋就不够吃喽
11772,Ugzqc-JDSLNy3xnTbaB4AaABAg,0,the bamboo shoots if in depok the name,如果在depok中射出的名字
11753,UgyJI8l0H0h7wk9FIGR4AaABAg,0,when in indonesia the name is bamboo shoot,在印度尼西亚时，名字是竹拍
11700,Ugww-uUglszBV4g7OAV4AaABAg,0,bamboo shoots are,竹芽是
11699,UgzvugogRCP18bFPtUB4AaABAg,0,bamboo shoots are,竹芽是
11688,UgwC_S8d39tAIMRk5hR4AaABAg,0,thank you for sharing sister... i cook bamboo shoots too... please visit my kitchen too.,谢谢你分享姐姐...我也做竹脚的摄影...也请参观我的厨房。
11631,UgyTNpF_A3Cx5jMK6wh4AaABAg,0,wow bamboos in china are sooo big no wonder panda live there... it's gonna be so fun to make bamboo cannon there hahaha,中国的哇竹子很大，难怪熊猫住在那里...在那里制作竹大炮会很有趣哈哈哈
11541,Ugy7R5e4JNUIcgPGiYp4AaABAg,0,this kind of bamboo shoot is not as tender in zhejiang,这种笋没有我们浙江的嫩
11478,UgxfmQyWDOi3HurTZ0F4AaABAg,0,"malaysian call this as
0:30 bamboo shoots","马来西亚人称之为
0:30竹芽"
11794,UgyzVa8iCOZ7f_xcIQp4AaABAg,0,"i feel tired.
wait a moment, i'll go back.
nittid kowid 19 yu
pickled bamboo shoots. wait.","我累了。
等一下，我会回去。
Nittid Kowid 19 yu
腌竹芽。等等。"
11458,Ugxp5VOWDDL0mBkxbdJ4AaABAg.97Y903QSHAT97hbPhDftfj,0,"big bamboo shoots, small bamboo shoots, and small bamboo shoots. in my impression, big bamboo is usually dried or marinated and has been produced.",大竹子大笋啊，小竹子小笋啊，我印象中大竹子一般都是晒干或者腌制加工过好吃，小竹子吃新鲜的好吃
11443,UgyOglWdIpenSuFme9d4AaABAg,0,"in my country bamboo shoots called ""rebung"" the taste is good usually we cooked it with coconut oil and perfectly eat it with ""lontong"" (rice cake). it's really good ☺",在我的国家 /地区，称为“ rebung”的竹芽味是很好的，通常我们用椰子油将其煮熟，然后用“ lontong”（米饭）完美食用。真的很好☺
11441,Ugxp5VOWDDL0mBkxbdJ4AaABAg,0,i haven't seen such big bamboo shoots,重来没看过那么大的笋
11393,Ugybh4FM0q4Q2dOSoUl4AaABAg,0,any foods with bamboo shoots is tastyy,任何带有竹芽的食物都很好吃
11386,UgyX3vQJyd82g-ONp1h4AaABAg,0,"that's the young bamboo bamboo name in indonesia, if i'm not mistaken",如果我没记错的话，那是印度尼西亚的年轻竹子名称
11324,UgxzgcqW7sYpzRPbgch4AaABAg.97f9g7hAMLj97k8ik_QD2k,0,"you do realise that bamboo can actually be eaten and that it's possible to buy canned bamboo? same goes for snails, you can even have snails at restaurants coocked in garlic sauce and fungus are basically mushrooms... so yes they can be eaten as well (at least those that are not toxic).",您确实意识到竹子实际上可以吃掉，并且可以购买竹子罐头吗？蜗牛也是如此，您甚至可以在用大蒜酱和真菌的餐厅里蜗牛，这基本上是蘑菇...所以是的，它们也可以吃掉（至少那些没有毒性的蜗牛）。
11303,UgyfTtwDmPv3H4qGM354AaABAg.97gzBOfm9BY97kdTHC_Yad,0,this hair bamboo shoots are just right. bamboo varieties are different,这个毛竹春笋刚刚好。竹子品种不一样
11773,UgwimP69yKhGU7Xh5_54AaABAg,0,peel my bamboo kid on such a beautiful woman,把我的竹子剥在如此美丽的女人身上
11828,UgyWPqYr6asEMo4Er154AaABAg,0,how does bamboo grow even i don't think it has seeds,竹子如何生长，即使我认为它没有种子
15497,Ugw2zEUCIxaTb3yeb8h4AaABAg,0,"each ingredient in the video like snail bamboo shoot / fermented and the herbs as well is consumed in my state manipur and i believe in most parts of north east india as well , delicious !!",视频中的每种成分，例如蜗牛竹芽 /发酵和草药都在我的州曼尼普尔邦消耗，我相信印度东北部的大部分地区也很美味！
12341,UgyzWsRVh-_JyvRzGSF4AaABAg,0,"excellent ang thong hom, pickled vegetables, bamboo shoots through the cold battle, rawi fah, new day, green root, green ji, beautiful sun screening beautiful sky, dragons. good, good life, but the best of the best, beautiful, the smell of grass roots",优秀的Ang Thong Hom，腌蔬菜，竹芽通过寒冷的战斗，Rawi Fah，New Day，Green Root，Green JI，美丽的阳光放映美丽的天空，龙。美好，美好的生活，但最好的，美丽，草根的气味
12691,Ugxh9St_dYYQnuC5TxR4AaABAg,0,i wonder why her face changed after smelling the bamboo shoot at 6:50,我想知道为什么她的脸在6:50闻到竹芽后变了
12677,UgyuKsh6AZaScLcyezV4AaABAg,0,look at that bamboo shoot hahahaha,看那个竹hahaha
12635,UgwXt8TMzqfcyKJivrZ4AaABAg.96UiunEREh296nktTfI4_0,0,"@kasha1321 zhi qi talking about when you cut the fermented bamboo shoot and cow pea, paid attention!. seriously hon?",@kasha1321 Zhi Qi谈论您何时切割发酵的竹芽和牛豌豆，请注意！认真的荣誉？
12512,UgydaqRCPk-Y3a_yt0x4AaABAg,0,don't hit gluguese bamboo metina metirat imo ... don't bung,不要击中glguese竹子元元素imo ...不要爆炸
12428,UgwORxT0DB7Ao72hpZx4AaABAg,0,"here we call that bamboo shoot as ""rabong"" yymmy ilocano term",在这里，我们将竹芽称为“ Rabong”美味的Ilocano术语
12426,UgxcdWg7kiAkOKKFPuR4AaABAg,0,what is that jelly like flower thing? she grabbed some while she was cutting the bamboo ? it was dark brown/purple,那果冻喜欢花的东西？她在切竹的时候抓住了一些？是深棕色/紫色
12371,Ugz64Ww7ZbxUzWk9ygJ4AaABAg.96jz7hKFd2x96oebrhedcU,0,yup especially when holding bamboo shoots without itching,是的，尤其是拿着竹芽而不会发痒的
12305,Ugxsp_qJTlLRUh6A_5R4AaABAg,0,"bring bamboo look really like. both big and white, beautiful mountains. there is no need to say much but still bring attractive appeal. the simple beauty of the countryside looks like eyes. the main character is hard -working hard. all homegrown",带上竹子看起来真的很像。大与白色，美丽的山脉。无需说太多，但仍然带来吸引人的吸引力。乡村的简单美丽看起来像眼睛。主角很难工作。所有本土
11943,Ugy_3s231_-Zusc1dct4AaABAg,0,"by eating bamboo shoot, you are eating the whole brunch of bamboo. had you tried eating the grew up bamboo? btw, the lady was holding multiple bamboo tree on her back.",通过吃竹芽，您正在吃整个竹子。您是否尝试过吃长大的竹子？顺便说一句，那位女士在她的背上拿着多竹树。
12265,UgzpJ_5dTHgcJxVyufN4AaABAg,0,"if i were her i would end up hoarding all of the baby bamboo shoots, bug she know perfectly well that she must only take what she will use, and that if she takes all of the baby bamboo shoot there will be no newer trees and that it could be really bad. take that into consideration as how she is so in sync with her surroundings.",如果我是她，我最终会ho积了所有的婴儿竹芽，她非常清楚她必须只接受自己的用品，如果她拿起所有的婴儿竹芽，就不会有新的树木可能真的很糟糕。考虑到她与周围环境的同步。
12253,Ugw9BuZQ1FYIb7bPehp4AaABAg,0,peel off bamboo shoots,剥
12251,UgwQmfha9m0ng7HOCwt4AaABAg,0,it's a bamboo shoots,这是竹芽
12151,UgzgYmE9-VKRaNofkpV4AaABAg,0,only this sister can metik bamboo shoots,只有这个姐姐才能metik竹芽
12141,UgzbpxMV8NRpdkna73J4AaABAg,0,"i am from northeast india from assam snails,bamboo shoots are our main dishes...love watch your video...everything is so similar...",我来自印度东北部的阿萨姆蜗牛，竹芽是我们的主要菜肴...爱观看您的视频...一切都很相似...
12134,UgwKo6_YAhKPzHylEzt4AaABAg,0,what bamboo tastes like i wonder,我想知道什么竹子
12075,UgxSo-Akeh7okgpnA7l4AaABAg,0,"fresh bamboo shoots and four seasons are extravagant enough, bacon is exempted",鲜笋、四季豆就够奢侈了、腊肉就免了
11291,UgyHnuVkyiBcu8YXEQh4AaABAg,0,bamboo plantations.,竹种植园。
11289,UgyfTtwDmPv3H4qGM354AaABAg,0,i think ... is this bamboo shoot old. because my hometown goes to pull bamboo shoots and never pulls so big ...,我觉得……这笋子是不是老了。因为我老家去拔笋子从来不拔这么大的……
11263,Ugz4552Y2a_xHBU8Q894AaABAg,0,look at the bamboo shoots that love,看看爱的竹芽
10511,Ugy7CRj_TPlK7IarM8x4AaABAg,0,bamboo shoots are called,竹芽称为
10795,UgzDA6Wz5sa0tjojDSx4AaABAg,0,when i saw bamboo shoots i remembered kaguya hime,当我看到竹芽时，我想起了Kaguya Hime
10773,Ugyq9Tt8Nh1_LeabKH14AaABAg,0,only south sumatra people know the delicious eating young bamboo,只有南苏门答腊人知道吃的美味吃幼竹
10758,UgwrGByjAhwCZhKqKfV4AaABAg.98QuthBGf-Z98S1eVSQujw,0,"there is, even the family often cooks. btw is a bamboo shoot and his name is 'bong' if in my area",有，甚至家庭经常做饭。顺便说一句，如果我所在的地区
10728,UgwN79tg8IWJAe8YXA14AaABAg.98US_8bpUnP98ZRra16Gp8,0,yezz we also called bamboo shoots in malaysia,yezz我们还称马来西亚称竹芽
10715,Ugz363b3CLUTKs3uECl4AaABAg,0,"hi if you nt try this recipe this is my favourite food the one that you get in the bamboo if you have a peeler try to use that cook with water until soft take it out and with your both hand squeezed it take out the water and then other pot put oil garlic ,onion , shrimp or crab, then put 100 ml of water wen it boil put more coconut milk then put the one that you squeeze earlier . put salt, pepper and msg if you have if not its ok... i am from philippines",嗨，如果您不尝试此食谱，这是我最喜欢的食物，如果您有果皮，请尝试用水煮熟，直到将其变软，然后用两只手挤压它，然后将其取出水，然后其他锅放入油大蒜，洋葱，虾或蟹，然后将100毫升的水煮沸放更多的椰奶，然后将其放入您之前挤压的牛奶。如果您没有的话，请放盐，胡椒粉和味精...我来自菲律宾
10713,UgxqQrTtgdN7nNgIwCV4AaABAg,0,"omg that's young bamboo i used to, get that also.. beautiful lady",天哪，我曾经是年轻的竹子，也得到..美丽的女士
10636,Ugw9d8__C7aruIZGLGJ4AaABAg,0,"beautiful although i'd rather let that big bamboo grow up into ""good strong building materials"" - with which to build a very green and very ecologically conscientious - (3) story greenhouse/home.",尽管我宁愿让那大竹子成长为“良好的坚固建筑材料”，但它很漂亮，可以建立一个非常绿色且非常生态的认真认真的人 - （3）故事温室/家庭。
10464,UgzSTcctzGYuxFwqVTl4AaABAg,0,"in addition to having bamboo shoots like vietnam, there is a way to hear",除了像越南这样的竹芽外，还有一种听到的方式
11222,Ugy7fT6QlpUPLONk2n14AaABAg,0,"please give the recipe of chinese stir bamboo shoot, with detail... your dish looks fresh",请给出中国搅拌竹芽的食谱，细节...您的菜看起来很新鲜
10455,Ugy9CeXfLwCzRxpiYSl4AaABAg,0,1 of my favourite dishes sweet bamboo mix with coconut milk n little bit chillies..voalaa...,1我最喜欢的菜肴甜竹混合物与椰奶n小一点辣椒..voalaa ...
10445,UgwysSiU1o5d594oksp4AaABAg,0,"friends, that's bamboo shoot right",朋友，那是竹芽正确
10386,Ugw7EyNTNaUka44fSDd4AaABAg,0,mama lizigi bamboo shoots and mushrooms for ferocious acids when in indonesia,妈妈利兹吉（Lizigi
10384,UgytKRET8OvWwcrwi6h4AaABAg,0,hello. this bamboo shoots delicious bone a muoi,你好。这个竹子射出美味的骨头
10356,Ugz8NB62Z1D9OxFL6fB4AaABAg,0,"bamboo shoots (bamboo shoots) before showing your face from the soil, harvest it ~ it's too frustrating to eat",在从土壤中露出脸之前，竹芽（竹芽），收获〜吃东西太沮丧了
10289,UgxwJVbfL9uBDtAbZzJ4AaABAg,0,in my place bamboo shoots means omen .. i love this vids so much,竹芽意味着预兆..我非常喜欢这个vid
10273,UgynvyzgtBoVlQeVPVV4AaABAg,0,isn't the bamboo shoots boiled without a lot? ?,没有太多的竹芽沸腾了吗？ ？
10803,Ugxd_XOQ78dpn8tryTV4AaABAg,0,"bamboo shoots i think it's so hard that it's so hard, but it will be easier to eat depending on the cooking method ...",我认为竹芽非常困难，但是根据烹饪方法的不同，它会更容易。
10810,UgxbnKwpKY5qqr3huAJ4AaABAg,0,"in indonesia it calls ""bamboo shoots""",在印度尼西亚，它称为“竹芽”
10812,UgzP8brAHOoOrlzRb_p4AaABAg,0,"in indonesia the name is ""bamboo shoot""",在印度尼西亚，名字叫“竹芽”
10821,Ugx23pBxuaXZA3aZtht4AaABAg,0,love love love bamboo shoots,爱爱爱竹芽
11129,UgzAJGznX92gpq-UBIV4AaABAg.97yIbbaZMpk983QfLz83xX,0,those are wild bamboos. they grow on their own so it'll grow back eventually,那是野生的竹子。他们独自成长，因此它将后退最终
11123,UgzAJGznX92gpq-UBIV4AaABAg,0,the way she digs out the bamboo shoots is not professional. the root is just as delicious and should not be left to rot away in the mud.,她挖出竹芽的方式不是专业的。根一样美味，不应留在泥中腐烂。
11075,Ugy9zT9RypNTrGr2BK54AaABAg,0,new shoot bamboo..it is calling bamboo shoots in indonesia..disayur jd lodeh bamboo shoots and jd filling spring rolls. the bamboo shoot fermentation is not here,新的芽竹..它在印度尼西亚称竹芽。竹芽发酵不在这里
11003,UgyfdXXYvKIIaDqJCe14AaABAg,0,legendary bamboo shoots 1! intersection intersection intersection intersection intersection,传说中的 竹笋1！！！！！！
10985,UgyWwfF8oHXoUmbcRPR4AaABAg,0,"i can still remember the times when i used to cook the bamboo shoots with sauteed onions and garlic, then seasoned with soysauce and msg due to an abundance. 
great food btw.","我仍然可以记得那些曾经用炒洋葱和大蒜煮竹芽的时代，然后由于丰富而用soysauce和Msg调味。
美食顺便说一句。"
10981,UgzgLr1XX7_XMAlQHWt4AaABAg,0,"there are just bamboo shoots these days, but this year’s bamboo shoots are really small, don’t grow very much.",这几天刚好有笋子，不过今年的笋子真的好少，不怎么生长
10979,UgxGfhTZDc9lBiGxPSB4AaABAg,0,bamboo shoots are the least nutritious food for the human body!,笋对人体是最没有营养的食物！
10934,Ugwnt1L_dMvI8XJcFod4AaABAg,0,i like the bamboo recipe. i like the way you do. your video is encouraged.,我喜欢竹子食谱。我喜欢你的方式。鼓励您的视频。
10930,UgydQc2GaV5UoNBs5O14AaABAg,0,dam 0:05 the satisfying sound of the bamboo,大坝0:05竹子令人满意的声音
10922,Ugx0N4__sZ3IsSqRMfR4AaABAg,0,indonesian name is bamboo shoots: '),印尼名字是竹芽：'）
10918,Ugw90wE1r41cKIENJYh4AaABAg,0,rewatching this again... even though i have a strong dislike for bamboo shoots,再次重新观看此事...即使我对竹芽非常不喜欢
