,cid,votes,含china,含china中文翻译
5881,UgxoK72IhxvukE5nE1x4AaABAg,0,is youtube ban in china ??,YouTube在中国禁令吗？
20934,UgzKVi854f9Pe7flvYx4AaABAg,0,i like china.,我喜欢中国。
6794,UgwWRK8SVeR3K4xKI-R4AaABAg.9EDsnnzBJ8y9EYMnydLAIl,0,maybe you don't konw china's adnmable taobao yet: http://item.taobao.com/item.htm?id=610651923071 https://img.alicdn.com/i4/4084823779/o1cn01mpk1p51dmplrunsz0_!!4084823779-0-lubanu-s.jpg,也许您还没有中国的可贴taobao：http：//item.taobao.com/item.htm？你-s.jpg
20958,UgxAl5gVs6TX2CMJoLh4AaABAg,0,where are you from japan if china,如果中国，你在哪里
20959,UgwUJPH9Gkk_cevRgod4AaABAg,0,which part of china are you from? you are living my dream ! i will be doing this in a few years time !,您来自中国的哪一部分？你正在实现我的梦想！我将在几年后这样做！
5808,Ugz7ymgWeNhioJn3qY14AaABAg.9Fc5pfmNbNk9FetDTRS_vW,0,"@gleisenunes9567 she got extradition to china, and cannot back to vietnam, so she is a vietnamese",@gleisenunes9567她被引渡到中国，无法回到越南，所以她是越南人
21001,Ugxb7Nsxxi4X58YKCyh4AaABAg,0,"this must be southern china, by vietnam.",这必须是越南南部的中国。
21008,Ugyy68szkVUolypKINR4AaABAg,0,it turns out that in china is still traditional,事实证明，在中国仍然是传统的
5351,Ugxg_AgRj66lqRsoMqJ4AaABAg.9Gg87NtDx5g9HSCU-CyYFK,0,she lives in sichuan province of china. an interview with her: https://youtu.be/j9cfvcxoyh4,她住在中国四川省。对她的采访：https：//youtu.be/j9cfvcxoyh4
21020,Ugxb7Nsxxi4X58YKCyh4AaABAg.90KsEvEW5Iy90Pus58KWKi,0,"it's in si chuan province, southwest of china",它在中国西南部的西楚省
21021,UgwHn3prBALZlBKlpap4AaABAg.90KR-uh-1DY90UorQyFbRa,0,tiffany yeo wow. youtube is banned in china right? how can they upload her videos on yt?,蒂芙尼Yeo哇。 YouTube在中国被禁止吗？他们如何将她的视频上传到YT上？
6141,UgzAikkSA4XVEBWmuap4AaABAg,0,those ๐ ain't the ones she picked. obviously different sizes. why everything has to be fake in china?,那些不是她选的。显然大小不同。为什么一切都必须是假的？
20640,Ugz0HdTG-Kc9Bd9JOFZ4AaABAg.90frsqbFNBE913A-E7-oQa,0,jacky phantom thanks for the lecture. i do know that as my dad is from the northern china and my mom is from the south. my previous comment was just trying to say this channel opens a new image of china beyond the political news and i am glad about it. i hardly believe anyone will think this represents entire china anyways.,Jacky Phantom感谢您的演讲。我确实知道，因为我父亲来自北中国，而我妈妈来自南方。我以前的评论只是试图说这个频道在政治新闻之外打开了中国的新形象，我为此感到高兴。我几乎不相信任何人都会认为这代表整个中国。
6151,UgxEm0vj4R3Gb-QqqMl4AaABAg,0,"very capable, good women in china",很能干，中国的好女人
6164,Ugyzo-jS9Em2NkRztip4AaABAg,0,another of those china is great propaganda videos.lol,这些中国的另一个是伟大的宣传视频。
6773,UgzAmVl5vuvGq2IGefx4AaABAg,0,"very random fact
rainbows are very rare in china","非常随机的事实
彩虹在中国很少见"
6743,UgzGrshlFYzbZ0-CkYd4AaABAg.9EQJr0uea8D9ETvq6GYMmy,0,greetings from china!,来自中国的问候！
6668,Ugz3dGj_EnGJyxSqR_B4AaABAg,0,"china, very big bamboo shoots but do not know the taste is as delicious as thailand ๐ค—๐ค—",中国，非常大的竹芽但是不知道味道和泰国一样美味
6601,Ugy3xkTYxlTAID94IdJ4AaABAg.9EeYlTw0XI49EhX4oUdHMJ,0,everywhere in china,中国到处都是
6499,UgyCYJ1F47AXG4xBDyR4AaABAg,0,chili pepper arrived china late ming dynasty. i wonder what ppl eat before that?,辣椒胡椒到达中国明朝。我想知道在那之前吃什么ppl？
19994,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9QQoD8BH7MD,0,"@metalwaves4154 you are spot on, china haters n jealousy.",@Metalwaves4154您很嫉妒，嫉妒。
19997,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9RnEEIySrwh,0,"@thomas77 this white guy is famous for badmouthing china.
https://m.youtube.com/watch?v=xhisbgzhzcq","@thomas77这个白人以糟糕的中国而闻名。
https://m.youtube.com/watch?v=xhisbgzhzcq"
20012,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9cbgZ4-g__P,0,"@marciatseng5542 the western media are controlled by the us government, so all the good aspects about china will be vilified by the western media",@Marciatseng5542西方媒体由美国政府控制，因此有关中国的所有良好方面都将受到西方媒体
20014,Ugy64b8Tc-CR9fv_DdR4AaABAg.91FI0ImISkq9dxdBwek9YP,0,"there are people who hate china because it is the first world power already, i think it is more than the channel itself that is wonderful",有些人讨厌中国是因为它已经是第一个世界大国，我认为比频道本身更美好
6444,UgwTd93ZgKylZTuWy4J4AaABAg,0,this is why american men go to china and bring back their women! looks amazing,这就是为什么美国男人去中国带回女人的原因！看起来好赞
20170,UgxOjUIaIrhGH5wdg714AaABAg.9198YN3CB6i92CsSQBnlS0,0,"@wolfjr5219 it seems you reside in the western hemisphere. i think the 1 to 2 million students outside china in comparison to lao wais of 5.6 billion, these many chinese comments are over the average proportionate representation.",@wolfjr5219似乎您居住在西半球。我认为，与56亿的老挝人相比，中国以外的1至200万学生，这些中国的评论平均比例代表。
20177,Ugx5PXHhcnn7YVp-qVt4AaABAg,0,vietnam helo china,越南赫洛中国
6228,Ugw6nZRqSzItsl0WTmp4AaABAg.9EwEGh8mWYE9GE3Le6h3Zj,0,shaaron s is not because this is china.,Sharon S 不会，因为这里是中国。
20268,UgzOPAfA0H9okjLu4W54AaABAg,0,which part of china is this place,这个地方是中国的哪一部分
6216,UgwoAGT0RlsvJ-ZVOxl4AaABAg,0,china is also bamboo shoots,中国也是竹芽
20454,Ugw3Piw23-iGqKUjai14AaABAg,0,"she has to put up her own restaurant in china, i want to go there!!!!",她必须在中国设立自己的餐厅，我想去那里！
20511,Ugy6M7kQ560Pi4XnuFp4AaABAg,0,is this in rural china? dream,中国农村是这样？做梦吧
8436,UgzTeVbGkJ_E50PwCm94AaABAg,0,i don't know if this is in the place in china,不知道这是在中国那个位置
8720,UgxQTzwdd7BBe7kGciV4AaABAg,0,mc china bc madhrchod china,MC中国BC Madhrchod中国
17595,UgyCe6ouhf9RYhQAJrZ4AaABAg.92ifb9pcRNP92wAjUxNOn2,0,"there are many types of rural areas in china. they are modern, retro, poor, and natural.",中国有许多类型的农村地区。它们是现代，复古，贫穷和自然的。
18231,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92hhDK_7rPj,0,"lucy chan dimsum is guangdong or hk food, unlike the garbage food in the north china.",露西·陈·迪姆森（Lucy Chan Dimsum）是广东（Guangdong）或香港食品，与中国南部的垃圾食品不同。
18080,UgwwDmtKQtfftbm7M5Z4AaABAg,0,a person supports china on the tip of the tongue,一个人撑起了舌尖上的中国
18087,UgzIS78tc0vrWI8ezvd4AaABAg,0,"it turns out that the 2000w said in china is true .., i like she 's videos very much ~",原来国内说的2000w是真的..，I like she‘s videos very much~
10403,Ugx6RbWB06azLol6D954AaABAg,0,"still curious, is youtube channel available in china? i heard google company is restricted/ banned in china. how is she possible to upload the videos from china? i'm confuse",仍然很好奇，YouTube频道在中国可用吗？我听说Google公司在中国受到限制/禁止。她如何可以上传来自中国的视频？我很困惑
10341,UgzSRnA7_urjUQ_vzzp4AaABAg.98qQ9IjkkeR9AOrorKgDo6,0,"@fafa-rd4wx i feel sorry for people living in china, it is so censored and the ccp will do anything to rule their people.

you make a very good point about not being able to access youtube and the fact that liziqi does have access in the middle of the countryside!","@fafa-rd4wx我为居住在中国的人们感到遗憾，它是如此审查，CCP将做任何统治人民的事情。

您对无法访问YouTube的好处是一个很好的观点，以及Liziqi在乡村中确实可以使用的事实！"
18196,Ugy9VIsxceAyrpKnnE94AaABAg,0,"that is, the life of china is basically to work all day cooking",也就是说，中国的生活基本上是整日烹饪
18202,Ugxu60tajHiRXoTKGPx4AaABAg,0,"this is not chinese life and her real life, kind of drama play actually, people in china have different attitudes towards this channel because these are all ""fake"" drama play. the reality of chinese rural area is poor, out of electricity/fresh water and no health care. no one really does these cooking, she has a team to plan all these for her we hate her videos because it makes people from other countries thought chinese lives in rural are easy, simple and fun. but actually it is totally opposite!",这不是中国的生活和她的现实生活，实际上是戏剧，中国的人们对这个频道有不同的态度，因为这些都是“假”戏剧。中国农村地区的现实很差，出于电力/淡水而没有医疗保健。没有人真正做这些烹饪，她有一个团队来为她计划所有这些，我们讨厌她的视频，因为这使来自其他国家的人们认为中国人在农村生活很容易，简单和有趣。但是实际上是完全相反的！
10340,UgzSRnA7_urjUQ_vzzp4AaABAg.98qQ9IjkkeR9ANDZ5nRzTe,0,"@fafa-rd4wx that's an interesting point you make. the ccp are savages, i will give you that. china is a very bad (in my opinion) place to live.
i worked for huawei for a number of years here in the uk, and they used to send chinese nationals here to work and they were almost crying telling me stories. they were really afraid.","@fafa-rd4wx这是您提出的一个有趣的观点。 CCP是野蛮人，我会给你的。中国是一个非常糟糕的居住地。
我在华为工作了多年，在英国，他们曾经派遣中国国民来工作，他们几乎在哭泣，告诉我故事。他们真的很害怕。"
18229,UgzsHZsR0J2sPs3rcJV4AaABAg.92Z2Qf802hp92gPaBGzOd3,0,"@mingweiyan2033 mingwei yan i visited china twice. once via a tour, once as business trip. my colleagues take me for cusine there. i am not really a big fan of chinese food, except dimsum. it seems that guangzhou food is better than the north. just guess so",@mingweiyan2033 mingwei yan我两次访问了中国。一旦通过旅行，一次作为商务旅行。我的同事带我去那里。除了Dimsum，我并不是真正的中国菜的忠实拥护者。似乎广州的食物比北部更好。只是猜猜
10295,UgwuTxdry21xQGv-Cwd4AaABAg,0,"if i have to go to china to eat this, then i will..",如果我必须去中国吃这个，那我会..
18062,UgxBNOEbXvea0YqCmJl4AaABAg.92bpytRnG4Q92dl1NAC99R,0,"i came from rural life in china, so on and forth, let me tell you, liziqui was a dj .... don't say/presume the way she act aka ""not interact"" with her fans has anything to do with the government just like i said u hate ccp...",我来自中国的乡村生活，因此，让我告诉你，丽兹基是DJ ....不要说/假设她与粉丝们表演又称“不互动”的方式与政府就像我说你讨厌CCP ...
18256,UgwaCs51xn_3OWHLVpl4AaABAg,0,is this one that represents rural southern china ... i am interested in visiting the northeast countryside ...,这只代表中国南方农村好吗……有兴趣来东北农村看看.......莲花乡呲水沟子那种
18293,Ugz0HSm7t2DGvsE_jfR4AaABAg.92XiLDl10e_9lVn-x_q8Ay,0,@leon1779 is china or vietnam?,@leon1779是中国还是越南？
18294,Ugy16ZH4s7aNsTlNpmt4AaABAg.92Xe45m8gA092_JSmsgorc,0,that's rural china,那是中国农村
18319,Ugy5Z-VknaRaJUTq-gt4AaABAg.92X8miyIa8x92fJQ-soFof,0,chf gbp liuzhou lies in the south of china.,CHF GBP Liuzhou位于中国南部。
18328,Ugx53Zl9ycoHajVKjKN4AaABAg,0,i dont know why chinese hate her. they tell her show poor of china. its not true. i think it is the tradition value of life in asian.,我不知道为什么中国人讨厌她。他们告诉她表演中国穷人。这不是真的。我认为这是亚洲生活的传统价值。
10209,UgwJITC5Juwy0y_S6s94AaABAg,0,china has many beautiful scenes to go to china to travel once,中国有许多美丽的场景去中国旅行一次
18338,UgwKEHF7NUL8xPK2qNt4AaABAg,0,you make a false appearance that common people in china can visit youtube easily.that's wrong!! this behavior is illegal in daily life only if the chinese goverment deliberately put you out for a model.shame!,您的外观是错误的，中国普通人可以轻松访问YouTube。这是错误的！这种行为在日常生活中是非法的，只有中国政府故意将您带出模型。
18344,Ugyx6K5-MFt8_NXZsDx4AaABAg.92WmOfrdVfQ92ZXF7svOny,0,because you don’t know communism and communist. they try to control everything. you think chinese communist party will not control youtuber with over 7 millions subscribers even though youtube is not legal in china? i am sorry but you are so naive.,因为您不认识共产主义和共产主义者。他们试图控制一切。您认为，即使YouTube在中国不合法，中国共产党也不会控制超过700万订户的YouTuber？对不起，你很幼稚。
191,UgwUyZDViIPhFUe4LzV4AaABAg.9p7WtwVcOvN9q7L4EIQtCR,0,go to china to play,来中国玩啊
18060,UgxBNOEbXvea0YqCmJl4AaABAg.92bpytRnG4Q92cqYQOK1Vq,0,"let me tell you why it’s fake, and totally a lie: 1. the pictures here were never a real life of rural life in china before, neither today. it’s an acting. she is a good actress. 2. it’s true she made her meal from scratch. looks like all natural and organic. however through these videos she sells products all made by industrial line. none of those are organic. 3. she has official youtube channel itself shows somehow she is privileged to break chinese law to show so called “chinese value” to the world. i am not saying the law is good. i am just curious who backs her to do this. 4. her videos are generating 84,000,000 chinese yuan (12,000,000 usd) a year partnering with a privileged government backed family to show you a fairy tale, a quiet and soothing life far from business and industry. if this is not lie, what the hell would a lie be like? ! 5. i didn’t say i hate ccp, you said that. i didn’t even mention these three letters. if you hate ccp, may god bless you.....","让我告诉你为什么这是假的，完全是谎言：1。今天，这里的照片从来都不是中国的乡村生活，今天都不是。这是一个表演。她是一个好女演员。 2.确实，她从头开始吃饭。看起来所有天然和有机。但是，通过这些视频，她出售了由工业系列生产的产品。这些都不是有机的。 3.她的YouTube官方频道本身表明她有幸违反中国法律，向世界展示了所谓的“中国价值”。我并不是说法律是好的。我只是好奇谁支持她这样做。 4.她的视频每年产生84,000,000个中国人民币（12,000,000美元），与一个有特权的政府支持的家庭合作，向您展示一个童话故事，远离商业和行业的安静而舒缓的生活。如果这不是谎言，那谎言会是什么样？呢5.我不是说我讨厌CCP，你这么说。我什至没有提到这三个字母。如果您讨厌CCP，愿上帝保佑您....."
8766,UgxUUHX1w-OLq-jZFst4AaABAg.9AwvZa7ZUAo9B-i9Cltu2k,0,clearly youโ€ve never stepped ur feet in china ๐คฃ,显然，您从未在中国踩过脚步
17717,Ugyq20sSrsHj5YXUi2l4AaABAg.92huIBS1Mwn92vBh3tszhk,0,"she lives in sichuan - home of really spicy cuisine and beautiful scenery. it's also a place that experiences a lot of earthquakes resulting in significant death tolls. mother natures gives and taketh. this river snail dish she made is a bit stinky though, but is very popular in china right now.",她住在四川 - 真正辛辣美食和美丽风景的家。这也是一个经历大量地震的地方，导致重大死亡人数。母亲的天性给予和take。她制作的这条河蜗牛菜有点臭，但现在在中国很受欢迎。
17599,UgyPJr4NMca9cZQYsZ54AaABAg,0,"the pride of the people of mianyang, the pride of sichuan, the pride of china!",绵阳人的骄傲，四川的骄傲，中国的骄傲！
17600,UgxSjrFCad2xMk12DtJ4AaABAg,0,"""liuzhou ""luosifen"", the legendary cuisine that has been listed as one of the intangible cultural heritages of china""

no, it hasn't. liuzhou government have merely applied to have it listed. not the same!","传奇的美食“ liuzhou” Luosifen”已被列为中国无形的文化遗产之一”

不，没有。 Liuzhou政府仅申请将其列出。不一样！"
17657,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92ukFsvn07L,0,i watched the us network in china to watch the video published on the us website in the united states on the united states on the united states on the united states.,我在中国用美国的网络看你在美国用美国的网络评论中国人发布在美国网站上的视频
17688,UgxC0EF_6wnpzQ5G7YF4AaABAg.92hvjbl1UnK92kmy2TnYO8,0,its china,它的中国
10686,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU799lwhdDbi6-,0,she definitely has more than that followers in china,她绝对比中国的追随者更多
17697,UgwOBpzLGFEgV2EqQ9t4AaABAg,0,"welcome to china, welcome to sichuan, it’s full of yummy food and it’s such a peaceful and relaxing place. then you will know the real china.",欢迎来到中国，欢迎来到四川，里面充满了美味的食物，它是一个宁静而轻松的地方。然后，您将知道真正的中国。
17713,Ugyq20sSrsHj5YXUi2l4AaABAg.92huIBS1Mwn92qn5yH5mVn,0,"if u com to china, you may go to the countryside to experience such life.",如果您可以到中国，您可能会去乡村体验这种生活。
17716,Ugyq20sSrsHj5YXUi2l4AaABAg.92huIBS1Mwn92ukZiD5AOf,0,this is china's rural life,这是中国的乡村生活
10477,Ugzp6cuMVSsKVXjOXFt4AaABAg,0,"after i returned to china, i had another more thing, eating snail lion powder, but i don’t know when i can go back (･ ･;)",我回国后又多一件事，吃螺狮粉，不过还不知道啥时候能回去(･･;)
17933,Ugz_OPuT-kWYiGWKYL14AaABAg,0,where is there such a pure land in china? ask the big guy?,中国哪里还有这样的净土？求大佬指点？
17764,Ugx9Q2tr8-wCzJJinfZ4AaABAg.92gw10MKfvC92vzwgpW9dh,0,@zhenyucai8688 but she really show the ancient culture in china,@zhenyucai8688，但她确实在中国展示了古老的文化
17766,Ugx9Q2tr8-wCzJJinfZ4AaABAg.92gw10MKfvC92xIyJqOged,0,@zhenyucai8688 there is no doubt war and starve were existing in ancient china. but all these from liziqi video were really occurred in ancient cn culture,@Zhenyucai8688毫无疑问，战争和饥饿现有在古代中国。但是，所有这些来自利兹奇视频的看法确实发生在古代CN Cultureth中。
17773,UgyQFdxbI6o294D4fdF4AaABAg,0,"you should not be able to go to youtobe in china. how did you pass the video? (british: we can't to youtobe in china, how did you get the video up?)","国内应该上不了Youtobe呀，你怎么把视频传上去的？（英：We can't connect to Youtobe in China,How did you get the video up?）"
17776,UgzYkZpITm19mTZbhlF4AaABAg,0,"li ziyi does not need to care about the gossip of your domestic gossip in china, just do it yourself. cctv is standing for you",李子柒不用管现在国内那些关于你的闲言碎语，做好你自己就行。央视都在挺你呢
17790,UgzqYD1gwX6ldBmrxcN4AaABAg.92gSnkMXO-A92iePA2gve5,0,china yunnan china. yunnan,China YunNan 中国.云南
17820,Ugwe7ySLUeUiFUgf-eN4AaABAg,0,how beautiful is china without the communist party?,没有共产党的中国是多么的美好
17872,UgzjYNyyVJOY7bYK-754AaABAg,0,"this is not really life in rural china, don't take it seriously",这不是中国农村的生活，不要认真对待
17894,UgwgwEcBoV4K-sVAgVZ4AaABAg,0,where is this? is it southern china?,这是哪？是中国南方么
18345,Ugyx6K5-MFt8_NXZsDx4AaABAg.92WmOfrdVfQ92_ALUIc9ff,0,valenciabbk how long have you been living in china and talked with chinese in a daily basics a bout everyday life there?,Valenciabbk您在中国生活了多久，并与中国人在日常生活中与中国人交谈？
18346,Ugyx6K5-MFt8_NXZsDx4AaABAg.92WmOfrdVfQ92_KLLEU1eT,0,"@valenciabbk u r naivly thinking all banned websites in china are banned. well, then this vedio will not even exist if do so and all ch. comments are located overseas?. get to know, learn and experience before judge somebody or make any conclusion which you dont even know.",@valenciabbk u r naivly认为中国的所有被禁止的网站均被禁止。好吧，如果这样做，那么这个vedio甚至都不存在。评论在海外？在判断某人之前了解，学习和体验，或者做出任何您甚至不知道的结论。
18348,Ugyx6K5-MFt8_NXZsDx4AaABAg.92WmOfrdVfQ92_X9wN5Jvx,0,"​ @valenciabbk lets talk facts and civilized: 
1. i am and will be a chinese whatever in looking or paper. and dissappointly not in any party . i am physically and psychologically intact not blind in anyway. i dont like the word 'blind' u used, which is very offensive and disgrace.
2. hongkong is a beautiful modern and democracy city as many other citys in china and hopefully will be so soon again. all chinese (included inland chinese) had/has the right to go to the street to speak out their different thoughts/demands. you never heard? pls do research or learn history from the books even youtube instead of the official westen medien. 
3. violence was/is/will not be tolerent in any country in this world. 
4. independence of taiwan? oh, big question and frankly i dont really care it happens or not because i have no idea what and how will everything change based on my poor knowledge about politics and financial aspects. you should better ask the people who live there. i hope oneday i could visit my taiwan-friends, only the reason of food is enough. 


suggestions for u to learn more about china and more if u are interested:
https://www.youtube.com/channel/ucaslyjhr4wc7qhyuaivxb6g
https://www.youtube.com/channel/ucvvik8oq2vnzsci4vr9o4dg
https://www.youtube.com/channel/ucgrhgv7atbftqk8dxwidktg


god bless more peace and happiness for this insane world. this talk is ended from my side. bye...","@valenciabbk让我们谈论事实并文明：
1.无论外观或纸张，我都是中国人。并且在任何政党中都不感到失望。无论如何，我在身体和心理上都不是盲目的。我不喜欢您使用的“盲人”一词，这非常令人反感和耻辱。
2.香港是一座美丽的现代和民主城市，就像中国的许多其他城市一样，希望再次如此。所有中国人（包括内陆中国人）都有/有权上街说出他们不同的想法/需求。你从未听说过吗？请在YouTube而不是官方Westen Medien中从书籍中进行研究或学习历史。
3.暴力是/is/is/ins/is in in in in in in in in ins in in is in is in is in is ins in is/is is in is in in th这个国家的任何国家都不会容忍。
4.台湾独立？哦，大问题，坦率地说，我真的不在乎它是否会发生，还是因为我不知道一切都会根据我对政治和财务方面的知识而发生什么变化。您应该最好问住在那里的人。我希望我可以拜访我的台湾朋友，只有食物的原因就足够了。


建议您了解有关中国的更多信息，如果您有兴趣，更多有关中国的信息：
https://www.youtube.com/channel/ucaslyjhr4wc7qhyuaivxb6g
https://www.youtube.com/channel/ucvvik8oq2vnzsci4vr9o4dg
https://www.youtube.com/channel/ucgrhgv7atbftqk8dxwidktg


上帝保佑这个疯狂的世界更多的和平与幸福。这场演讲是从我身边结束的。再见..."
9274,UgwEP7RdPcnqcIi10lh4AaABAg.9AIFk-3PcmY9AIIuEAzxe4,0,"similarly, we call it โ€wood earโ€ in china.",同样，我们将其称为中国的“木耳”。
9631,Ugw87WF7dIUWk66L5L14AaABAg.99nMipTlaSv99s1a1_aXoz,0,sichuan province in china,中国四川省
18666,Ugz-HZvf8Ji8D4NUK8N4AaABAg.92PQwmvpLKf92QGlCrPhcA,0,@peacerespect98 thanks for liking them! she has done a fantastic job that china's government could not do yet. i also hope that more people could get chinese culture better through her videos. by the way i come from china :),@pecerespect98感谢您喜欢它们！她做得非常出色，中国政府还无法做到。我也希望更多的人能够通过她的视频来更好地获得中国文化。顺便说一句，我来自中国:)
9519,Ugz3g7bqRt3Us-xx7mN4AaABAg.99zv4hIeBrk9B33AoI7Del,0,you really have what you see in china.,国内生活真有你看到的这么的，都是假像而已
18706,UgyOYAgAfXHVyNMuTol4AaABAg,0,"because google and youtube will block good news about china, there are so many 'dislike' in every video of liziqi. same situation as nathan rich's video and so on. hoping there are more and more people around the world come to china and seeking truth from fact, instead of believing western media without and doubt, world peace!",由于Google和YouTube将阻止有关中国的好消息，因此在Liziqi的每个视频中都有很多“不喜欢”。与内森·里奇（Nathan Rich）的视频相同的情况。希望世界上越来越多的人来中国，从事实中寻求真理，而不是毫无疑问地相信西方媒体，而是世界和平！
18708,UgzVPYr7LHkR796awaV4AaABAg,0,it can be comparable to china on the tip of the tongue,完全可以媲美舌尖上的中国
9406,UgwaftKYwxGGFbVZdl94AaABAg,0,"it used to be like this in our land too, before the communist part of china stole it from us. destroyed whole mountains as well as marine life.",它曾经在我们的土地上也是如此，在中国的共产党部分从我们那里偷走了它。破坏了整个山脉以及海洋生物。
18730,UgzeT__GQ5jUxHQpccx4AaABAg,0,why is it that the world is exactly that hong kong people and taiwanese hate mainland china most? the mainland of the mainland is the best for hong kong and taiwanese. the people who see that they praise them are hong kong and taiwanese.,全世界为什么恰恰是香港人和台湾人最恨中国大陆内地人？偏偏内地大陆对香港和台湾人是最好的，看见点倒赞的都是香港人和台湾人。
9365,UgyXINFFtQb_wIUno-t4AaABAg.9AE0SQlMR7S9BFQyv_xHEF,0,"what she showed was just a way of life.in rural china, many people don't need to buy a big house, they don't have the pressure to make a lot of money, they just enjoy life and family",她展示的只是一种生活方式。在中国农村，许多人不需要买大房子，他们没有赚很多钱的压力，他们只是享受生活和家庭
9214,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9Bn1FLd6P-H,0,welcome to visit china!,欢迎参观中国！
18349,Ugyx6K5-MFt8_NXZsDx4AaABAg.92WmOfrdVfQ92bqf14Sgnx,0,"because communist makes china prosperous, peace and grow.",因为共产党使中国繁荣，和平与发展。
9205,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9Bcj1_iGS7X,0,@yonglu5864 and you donโ€t think that i have been affected in china. i have been in malaysia all year round.,@yonglu5864 还有你不要以为我一直在国内受到了什么影响我常年在马来西亚
9196,Ugztg3AWD6dCH_KutUp4AaABAg.9AMNSj7YvIf9BZEGGnm-sw,0,@yonglu5864 people like you can only make some money from the communist party of china to make some money in the united states and not find something to eat in the united states!,@yonglu5864 像你这样的人也只能靠唱衰中共反共抹里中国赚点钱在美国混饭吃搞别的找不到吃的！
18840,Ugws-cr34RVZokUlHr14AaABAg.92H4R5iQDP792l2VoXAOqL,0,"this actually shows the complexity with this huge country. i’m sure most of those who gave thumbs down are chinese. unfortunately, fewer chinese people can tell the difference between nation, people , government and the party. some group of them defy anything that goes in or with china unless it is against this country. they hate ccp, and so they hate everything of china.",这实际上表明了这个庞大的国家的复杂性。我敢肯定，大多数给予大拇指的人都是中国人。不幸的是，较少的中国人能说出国家，人民，政府和党之间的区别。他们中的一些人反对在中国或与中国发生的任何事物无视。他们讨厌CCP，因此他们讨厌中国的一切。
18971,UgxdEc2UBqWwM2FDK054AaABAg.92CFxZwfenV92ZPH0xBUYa,0,in china that is only a few comments,在中国只有几条评论
18975,UgxdEc2UBqWwM2FDK054AaABAg.92CFxZwfenV94ANraLDAxl,0,"@shanpengli6595 do you mean improving spoken english? if you live in north america as i do, you improve by living an everyday life. if you are in china or where english is not the daily medium, you need tools and material and diligence.",@shanpengli6595您是说要改善英语吗？如果您像我一样生活在北美，您会通过日常生活来改善。如果您在中国或英语不是每日媒介的地方，则需要工具，物质和勤奋。
18978,UgxdEc2UBqWwM2FDK054AaABAg.92CFxZwfenV94EbH2yB7Ak,0,@ashoretoo thanks! i leave in china. i just want to improve english so that i can communicate better with my singapore colleages.,@ashoretoo谢谢！我离开中国。我只想提高英语，以便我可以与新加坡的秘密沟通更好。
8841,Ugz155ulCsI6rTV9VWJ4AaABAg.9AmOhyDP_E69BK5Tt-kcyG,0,"she may be cooking without electricity in her videos, but how do you think the cameras work and how does she edit and upload them to youtube which is blocked in china? not quite the romantic lifestyle you see to imagine.",她可能在视频中没有电力做饭，但是您如何看待相机工作，以及她如何编辑和上传它们到中国被阻止的YouTube？您可以想象到的浪漫生活方式。
18993,UgxF9y6_CAK172vsmaN4AaABAg,0,"i'm from mainland of china.i used to suspected her video was just a show till i lived like her for a month(last december) and knew her story.the feeling from deep inside remind me where i from,a small peaceful countryside.unfortunately,i can't lived this way totally in present era.i hope it will come true when i retired",我来自中国大陆。我曾经怀疑她的视频只是一个节目，直到我像她一样住了一个月（去年12月），并知道她的故事。从内心深处的感觉使我想起了我从哪里，一个小的和平的乡村不幸的是，我不能在当今时代完全生活。我希望我退休时会成真
18635,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92pOFbHiPyB,0,"pedro c u know nothing abt china, so please be quiet.",佩德罗（Pedro C）你一无所知，所以请保持安静。
18630,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92j9hzw92KA,0,@alexandernorrie you really know china？i have to say i use vpn everyday，even in my company can directly use google and youtube for business，stupid and idiot,@alexandernorrie你真的知道中国？我必须说我每天都使用VPN，即使在我的公司中，我可以直接使用Google和YouTube进行商业，愚蠢和白痴
18627,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92inBDg9Kn-,0,@alexandernorrie lmao i've stayed in china for 25 years and find ppl there were not so stupid like u,@alexandernorrie lmao我在中国呆了25年，发现ppl并没有那么愚蠢
18619,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92gQROcDYRy,0,"@alexandernorrie keep hating, but thanks to mao, you guys have no way to stop china from growing and steal china from chinese people.",@alexandernorrie一直讨厌，但是感谢毛泽东，你们无法阻止中国从中国人民身上偷走中国。
10196,UgwfsLy8gqdCLfKuUlN4AaABAg,0,where is this in china... i love the richness of their culture...,这在中国在哪里...我喜欢他们文化的丰富性...
