,cid,votes,time,含china,含china中文翻译
24353,UgyQAMmANW_77J2u1xt4AaABAg.91AgDmPxghl92eIotlF55M,0,3 years ago,"this garden is in southwest china๏ผthere lives liziqi, bamboo and giant panda, welcome๐",这个花园在中国西南部，在那里生活，竹子和巨大的熊猫，欢迎
23882,Ugz91hr4irU3SxccKOR4AaABAg,0,3 years ago,"man y has no one wifed her up?omg she is drop dead gorgeous and could easily be a model, not to mention she can cook and do jus about anything around the house, yโ€all men in china is tripping hard bruh๐คท๐ฝโ€โ๏ธ",男人y没有人给她wif起来吗？天哪，她跌倒了华丽，很容易成为模特，更不用说她可以做饭，对房子周围的任何事情做任何事情，你们中国的所有男人都在绊倒硬bruh
23893,UgydgObcKQLxZhUoDIt4AaABAg.91xdGE03vId91xgcKksigE,0,3 years ago,"sichuan mianyang from china. li ziyi is from mianyang, sichuan, china.",sichuan mianyang from china。李子柒是中国四川绵阳的。
23899,UgzN36PZzuOygNMv-AN4AaABAg.91xcAWTLk7V92ILv_I4TZ_,0,3 years ago (edited),"this is a village in china, its name
sichuan mianyang","这是中国的一个村庄，其名称
四川山"
23918,UgzkquJ28jenlfPrFhh4AaABAg,0,3 years ago,mango? in northern china?,芒果？在中国北部？
23920,Ugzz44APn5oAmgfyGTN4AaABAg.91wD5fEht_m92-snyOMq58,0,3 years ago,"bby yu chinese people also speak in english, but i rarely leave a message, just see china in china.",bby Yu 中国人也用英语说了，不过我个人很少留言，中国在国内看就行了
23924,UgzkquJ28jenlfPrFhh4AaABAg.91tVkghVOkj91uitYbqPSe,0,3 years ago,southwestern china,中国西南部
24005,UgxJeHRkZd9eFMJbCoN4AaABAg,0,3 years ago,li ziqi shows us what the ideal chinese countryside life but we have to be aware that this is not what small villages in china looks like.,李齐（Li Ziqi）向我们展示了理想的中国乡村生活，但我们必须意识到这不是中国小村庄的样子。
24011,UgxiubXBgLcu4hkCzkJ4AaABAg.91jdVTQUZ0A91jwy4mBRZd,0,3 years ago,milk powder. coco powder also can put into. this is called ้ช่ฑ้…ฅ in china and may be can translate to snowflake crisp? very delicious and easy to do. you can have a try! https://www.youtube.com/watch?v=e1dv5lvh-us,牛奶粉。可可粉也可以放入。这在中国被称为雪花酥，可能会转化为雪花脆脆吗？非常美味，易于做。您可以尝试一下！ https://www.youtube.com/watch?v=e1dv5lvh-us
15874,UgzmnMvBqAkvUOLL54p4AaABAg.999QopWunIT99BGkyBuYzJ,0,3 years ago,vivo vvy93 im pretty sure its china,Vivo vvy93我很确定它的中国
24043,Ugy5ykra2m29OALZOn14AaABAg,0,3 years ago,i haven't eaten so delicious in china,我在中国都没有吃过这么好吃的
15811,UgwgOcWN8agPdd7diAJ4AaABAg.99CwfMsceLH99NcCzngET_,0,3 years ago,"in china many people live like this in the village, just like my grandparents. they work very very hard and do all the things without help. the life is beautiful but it's tiring too.",在中国，许多人像我的祖父母一样在村庄里生活。他们非常努力地工作，并在没有帮助的情况下做所有事情。生活很美，但也很累。
24078,UgwoFrNjcktY8YcTzX54AaABAg,0,3 years ago,i donโ€t like china as they are destroying the world ......and bullying neighbours and taking over the innocent buy feeding the money to authority..... please watch this....the real face of china https://youtu.be/t1urpjzi0xu,我不喜欢中国，因为他们正在摧毁世界……欺负邻居，并接管了无辜的购买，将钱喂给当局.....请注意这一点。... ：//youtu.be/t1urpjzi0xu
15807,UgwunGNXUy3YqX5DGb14AaABAg.99DatFqcEMT99DkrJhc2x7,0,3 years ago,"hello, continue to work hard, china welcomes you",你好，继续努力，中国欢迎你
15591,Ugz6Crq1rQZ_uHYCX094AaABAg.99RvttOnJ2p9AXutlupnKp,0,2 years ago,"lindsey rubenstein apparently, you have no knowledge about the popcorn thing in rural area in china. i’m older than ziqi but i’m scared of that popcorn “machine” since i was a child. and it has become a kinda culture that children and adults gather together to wait for that bam although they are all scared of it. this culture has been carried on from generation by generation. she has two assistants to help her shooting videos, but doesn’t mean her life is fake. sadly, some people like you grown up in cities tend to assume an ideal life fake since you can’t appreciate such pure beauty generated from nature.",Lindsey Rubenstein显然，您对中国农村地区的爆米花事物一无所知。我比Ziqi大，但我从小就害怕那个爆米花的“机器”。这已经成为一种有点文化，尽管他们都害怕这种BAM，但儿童和成年人聚集在一起等待该BAM。这种文化是通过代代相传的。她有两名助手来帮助她拍摄视频，但并不意味着她的生活是假的。可悲的是，像您在城市长大的人这样的人往往会假定一个理想的生活，因为您无法欣赏自然界产生的纯粹美。
24135,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92QFIwdUC7P,0,3 years ago,@hasdhajohn8267 is that most of the domestic keyboard heroes are best at most good in china.,@hasdhajohn8267 因为撕b引战是国内大多键盘侠最擅长的
15511,Ugyfhk09MgcHjIZyywB4AaABAg.99VlAKWP0k399WiVHSDEqe,0,3 years ago,"in china, the meaning of melon seed is not necessarily the seed of melon crops, and sunflower seed is also part of the meaning of melon seed.",在中国，瓜子的含义不一定是瓜作物的种子，葵花籽也是瓜子含义的一部分。
15510,UgwlGXStU11Fjv138O54AaABAg.99VlvscqZA199Wj7SmL8XC,0,3 years ago,柚子 citrus maxima (burm) merr. the country of origin is in southwest china and some countries in southeast asia.,柚子柑橘千西马（Burm）Merr。原籍国位于中国西南部和东南亚的一些国家。
15486,Ugxacz_hVEnZ7hIAlld4AaABAg.99WjGMbS_t299aStk_bHAA,0,3 years ago,china has good infrastructure,中国有良好的基础设施
24194,UgyVdfH48ILDrlSooHV4AaABAg,0,3 years ago,china oil ๐คฃ๐…,中国石油
15364,UgzWkCl2rUa82jjV6bR4AaABAg,0,3 years ago,"my ancestral house is up the mountains in china, i wonder would it be as beautiful as like this :d
(from singapore)","我的祖先房屋在中国的山上，我想知道它会像这样美丽：D
（来自新加坡）"
24227,Ugyfp-OANSszCqro3EB4AaABAg.91Mhp1jxeGF92lMxJoVY4j,0,3 years ago,this is the how people live in china,这就是人们生活在中国的方式
24228,Ugyfp-OANSszCqro3EB4AaABAg.91Mhp1jxeGF92lNoih7DWJ,0,3 years ago,@ggez4522 lies. people work 12 hour days in china,@ggez4522谎言。人们在中国工作12小时
24233,Ugxw7fo6cmbve3uvcu14AaABAg,0,3 years ago,where does lizique lives in china?exact location.,丽齐克住在哪里？确切地点。
24291,UgyLtDwzmglu7qjt6tl4AaABAg.91GTLGkoEtb92bEdcDDr63,0,3 years ago,"@user-eo1xi7mw8w emm, many places in china really eat dog meat, and even eat dog meat in some places. essence",@user-eo1xi7mw8w emm，中国的不少地方真有吃狗肉的，而且甚至在一些地方吃狗肉还是传统呢。。
24333,Ugz9--DIA8_L1gHV-PJ4AaABAg,0,3 years ago (edited),"in today's china, it's really rare to see people making theses snacks at home. industries are more efficient but less fun. i miss these joys while i'm in a modern metropolis.",在当今的中国，很少见到人们在家里做这些小吃。行业效率更高，但乐趣较小。当我在一个现代大都市时，我想念这些欢乐。
22965,UgypYVCyE2jpufBmpCx4AaABAg,0,3 years ago,"she is an actress only. i had lived in china for 43 years, i donโ€t buy it.",她只是一名女演员。我在中国生活了43年，我不买。
22927,Ugy1tUyfe5o2IunUgDl4AaABAg,0,3 years ago,china dev so much,中国开发
25258,Ugz9tlvlknegTGGK90B4AaABAg,0,3 years ago,she look like china version of twice mina,她看起来像中国版的两次Mina
20453,UgzryJLM2kFBP5YPCpp4AaABAg,0,3 years ago,hey are you from china soo what do you mine by corona virice,嘿，你是来自中国的，你是关于Corona Virice的矿山吗
19909,UgxF9AQT_SzXJRCbMW54AaABAg,0,3 years ago,"li zi is amazing, little girl, big article!

one, amazing
1. promote promotion of traditional chinese national culture
2. interpretation of truth, goodness, and beauty
3. stimulate positive social energy

second, big article
1. strike social bias
2. interpret why china is developing rapidly
3. prove why china is strong and will not invade others

third, wait and see.","李子柒了不起，小姑娘，大文章！

一、了不起
1.促进弘扬中华传统民族文化
2.演绎真、善、美
3.激发社会正能量

二、大文章
1.冲击社会偏见
2.诠释中国为什么发展神速
3.证明中国为什么强大也不会侵略别人

三、来日方长 拭目以待。"
19919,UgxKWo9y-gDSqQnDPct4AaABAg.959ZD71q3TK95J7VAxpuYV,0,3 years ago,welcome to china!,中国欢迎你啊！
19938,UgxeEzJqaTGBQLowxVF4AaABAg,0,3 years ago,in china?..i hope they are fine ..corona virus...,在中国吗？
20050,UgzFHs09DcegP-b_21R4AaABAg,0,3 years ago,"are you live in china??? 
which state you live?? 
i like your videos so much....","你住在中国吗？？？
你生活哪个状态？
我非常喜欢你的视频。"
17985,Ugwjrwhi2KsphBRkmjB4AaABAg,0,3 years ago,this china does all wn !!,这个中国都做了所有的！
20121,Ugzt7mABMejIbEs8kB14AaABAg,0,3 years ago,china should be thanks to her. beauty culture,中国应该感谢她。美容文化
20187,UgxRGJGOC-h0ixL_5xR4AaABAg,0,3 years ago,"china who has the flu, but subtract me, 7 ๐",患有流感但减去我的中国，7
20254,UgzV4DNCTtBWjzkqTCB4AaABAg.94nOZTTSF069jr7R-WVkj6,0,5 months ago,china is a country that worships and kills 15 million nations. โค๏ธ free taiwan ๐น๐ผ โค๏ธ ๐”ฅ๐”ฅout chinazi๐”ฅ๐”ฅ the ccp,中国是崇拜杀害1500万本国国民的毛泽东的国家。 ❤️ free taiwan
20284,Ugx71aX4yWfH-9H06wx4AaABAg,0,3 years ago,is this china?,这是中国吗？
20386,Ugy13hBuzYbnm3TaqVN4AaABAg,0,3 years ago,someone please take me china ๐,有人请带我中国
20399,Ugwh_i83sDVBEBBgK214AaABAg,0,3 years ago,"poor puppies, surely china ate them ๐คฃ๐คฃ",可怜的小狗，肯定中国吃了
17966,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv9jr7OBv91ZB,0,5 months ago,china is a country that worships and kills 15 million nations. ❤️ free taiwan,中国是崇拜杀害1500万本国国民的毛泽东的国家。 ❤️ free taiwan
20504,Ugzb397EShWrGsuchGl4AaABAg,0,3 years ago,"if i go to china one day, i call this woman find me",如果我有一天去中国，我称这个女人会找到我
18048,UgyizYMLqT02jCCDVCt4AaABAg,0,3 years ago,i married in this life and in those that there is with the beautiful china that,我在这一生结婚，而在美丽的中国有
17896,UgxNf1wqZt0nxBltQpZ4AaABAg.97SdawSDceR97Tl0x7_IZh,0,3 years ago,china,中国
20517,Ugw2qrFeVZc69JTI45N4AaABAg,0,3 years ago,what a fake set up ..its damn good though ...i hope ppl dont think that this is real life in china ...,真是个假装..它该死的好...我希望PPL不要认为这是中国的现实生活...
17890,UgwJKpKGIz-P7S8PS1d4AaABAg,0,3 years ago,ma’am if i fly to china will you give me some cooking lessons,夫人，如果我飞往中国，你会给我一些烹饪课
20552,UgxcNAOXpqJywBQERTV4AaABAg,0,3 years ago,liziqi how i can do with the dry lily flower?i saw in the supermarket.this dry lily flower is made in china.,Liziqi我该如何处理干百合花？我在超市中看到了这家干百合花是在中国制造的。
20702,UgwC5F92eD0rTn7xYDF4AaABAg,0,3 years ago,sister in wuhan china,中国武汉的姐姐
17721,UgycJdYhYZR6Ap6-AFt4AaABAg,0,3 years ago,"this is art, this is china",这才是艺术，这才是中国
20848,UgxBx_5cxoMoTDWWt2F4AaABAg,0,3 years ago,"is she really live in china? the r forbidden youtube and google, ofcourse with vpn u can used, but anyway she is cool at everything plus making good video for us, how its possible to do all this stuff alone?",她真的住在中国吗？ R禁止YouTube和Google，当然可以使用VPN，但无论如何她都很酷，而且为我们制作了很好的视频，如何独自完成所有这些事情？
17671,UgwvVkZSR5H57g63tAR4AaABAg,0,3 years ago (edited),simply is the best. that's utopia. i will return to my homeland china after 60. we chinese must treasure our traditions. never never make the same mistake like hongkongers.,简单是最好的。那是乌托邦。 60岁以后，我将回到我的家园中国。我们中国必须珍惜我们的传统。永远不要像香港人那样犯同样的错误。
20919,UgyQ9HyDJ71IfWkyA4N4AaABAg,0,3 years ago,wow i am egyptian and i love see you and your chinal sorry i am not good at english,哇，我是埃及人，我喜欢见你，对不起，我不擅长英语
17636,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh98diLjiNR5t,0,3 years ago,"@y7714 friends, don't talk to such people bb, they just look at china with colored glasses.",@y7714 朋友 别跟这种人bb 他们就是带有色眼镜看中国的 不用理会他们
20989,Ugz6mSsblYm7nKHWINl4AaABAg,0,3 years ago,"i hope no corporate buggers come and get a copyright right of her hard work ....
and they end up paying less...she's deserves all of the 100 percent ..i wanna know who d camera man is....live long china queen....","我希望没有公司的虫子来获得她辛勤工作的版权。
他们最终要少付的钱...她应该得到100％的全部..我想知道谁是摄像机的人。。。。。。。。"
17615,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh982bZmvTnnH,0,3 years ago,"@y7714 how do you come to tell me what to do and what not? i just expressed my opinion. however, they personally take it as if it is not lied and deceived in china. you don't want to tell me that all chinese are just honest and good people? :) if you are so ""well educated"" as a ""german phd candidate"" then use your head. then you should understand that there are good and bad people everywhere. and, as you say in germany, ""not everything is gold that shines"". that is said about this channel.",@y7714您如何来告诉我该怎么做，什么不做？我只是表达了我的意见。但是，他们个人认为它在中国没有撒谎和欺骗。您不想告诉我所有中国人都是诚实和好人吗？ :)如果您作为“德国博士学位候选人”是如此“受过良好的教育”，请使用您的头。然后，您应该了解到处都有好人和坏人。而且，正如您在德国所说的那样，“并非一切都是黄金闪耀的”。关于这个渠道的话。
19778,UgzmQ-ENkjs0c6wmtyh4AaABAg.95Jnp0OjZJ095x4GDR66OK,0,3 years ago,welcome to china,欢迎来到中国
18065,Ugw2iJFhvTmtJ-lCyw14AaABAg.97MfFon2pe598-MGeWlRp3,0,3 years ago,"if you go to china, it's a traditional confection sold on various streets.",如果您去中国，那是在各种街道上出售的传统甜点。
17118,UgxIm2cLMq9lziWb_wZ4AaABAg.98A-wj-6PIQ98NAKv0nyM8,0,3 years ago,"this was originally a show
she is more popular abroad than china","这最初是一场演出
她比中国更受欢迎"
18762,UgxC3reLdyEtjS49dI54AaABAg.96VffSwJqm_96W5Br1FOwW,0,3 years ago,china sichuan,china sichuan
18429,Ugz52NCPpr9Ivm6_ppt4AaABAg,0,3 years ago,pata nahi kyu liziqi mujhe ab thora doubtfull lagati .. china government is with her,Pata Nahi Kyu Liziqi Mujhe Ab Thora dounalfull Lagati ..中国政府与她同在
18476,UgwwtM_u0rOWaboqUQ14AaABAg,0,3 years ago,china virus,中国病毒
18482,UgzLrcMAfw-vjQWG9EB4AaABAg,0,3 years ago,china wuhaan virus go back,中国武恩病毒回去
18522,UgxRuVq4P0FLZr-ehBh4AaABAg,0,3 years ago,i hope she will prepare that dog for dinner. origin of virus is china they china virus china virus(corona) eating dog meat and making show-off in the videos,我希望她能为晚餐准备那只狗。病毒的起源是中国，它们中国病毒中国病毒（Corona）吃狗肉并在视频中进行炫耀
18365,Ugy_lBRulO8aqQzhfFR4AaABAg,0,3 years ago,"there are only few city in china eat dogs. and whole china has many power trying to stop this eating habit. for other chinese, it is really hard to tolerate that habit too. basically, dogs is fed for accompany and guard. so not every chinese eat dog, some comments are too racism.",中国只有很少的城市吃狗。整个中国都有许多力量试图阻止这种饮食习惯。对于其他中国人来说，也很难容忍这种习惯。基本上，狗被喂食陪伴和守卫。因此，不是每只中国吃狗，有些评论太过种族主义了。
18328,UgzRKs4d9NmwMOL5lQx4AaABAg.97427EejB2G97OmAdIWyFl,0,3 years ago,"haha, popcorn makers used to be popular in china, they can still be found in many villages.",哈哈，爆米花制造商曾经在中国很受欢迎，在许多村庄仍然可以找到它们。
18327,UgzRKs4d9NmwMOL5lQx4AaABAg.97427EejB2G97Om6eRccY0,0,3 years ago,"haha, popcorn makers used to be popular in china, they can still be found in many villages.",哈哈，爆米花制造商曾经在中国很受欢迎，在许多村庄仍然可以找到它们。
18624,UgzH2nBcG6GDSHj-9Ud4AaABAg.96fRh24S7QI96hs_XIU2mH,0,3 years ago,@user-tz6px4rn6n let's prevent people with rich or different cultures from eating wild animals. we are not responsible for all of china. all humanity is in danger. innocent people are dying.,@user-tz6px4rn6n让我们防止拥有丰富或不同文化的人吃野生动物。我们不对整个中国负责。所有人类都处于危险之中。无辜的人快死了。
18648,UgxGvLR_AC5sfKQfB6V4AaABAg.96edMCYDeRf96exuM-XWaG,0,3 years ago,"asda obydi maybe is not dislike her, that's dislike china",阿斯达·奥比迪（Asda Obydi）也许不是不喜欢她，那是不喜欢的中国
18662,Ugx4bE2TAS0VcKd151B4AaABAg,0,3 years ago,in video u show tht there r lots of veg food available in china thn y u chinese go fr nonveg food,在视频中，您可以在中国有很多蔬菜食品
18286,UgyaWISSQiTj25gsKxd4AaABAg,0,3 years ago,china's corona virus virus,中国的电晕病毒
18716,UgxR9MD6_7ArpLqlVXt4AaABAg.96ZoPjCSyaw96hQIsHdEhc,0,3 years ago,it's the only thing about china that isn't pandemic related,这是中国唯一与大流行无关的事情
18285,UgxJgEpQ4kUBJHcafJt4AaABAg,0,3 years ago,china's corona virus virus,中国的电晕病毒
18132,Ugxwq-ojx7_qWzYAwzF4AaABAg,0,3 years ago,"rural life in china is really rich, all pork",中国农村生活真富裕，全是猪肉
18852,Ugx29xzwOluFn9NhlH54AaABAg.96U9KaY9WN8978Dfa8Urb-,0,3 years ago,made in china,中国制造
18909,Ugw7Rl5ymaZ6CIt_bAR4AaABAg,0,3 years ago,i miss china so muchhh after seeing your video. it makes me miss all the good food my grandma would cook for me,看到您的视频后，我非常想念中国。这让我想念祖母为我做饭的所有美味佳肴
18269,Ugxpa9lMDWPfR-U_nxV4AaABAg,0,3 years ago,dear which part of china you live. its beautiful,亲爱的您居住的中国哪一部分。很美丽
19174,UgxW0SMGNb2z2hzANAt4AaABAg,0,3 years ago,"with corona virus in china,taiwan,hong kong...wherever,i hope she's safe given her diet is mostly green...love love her",在中国的电晕病毒，台湾，香港...无论哪里，我都希望她安全，因为她的饮食大部分是绿色的...爱她
18193,UgxWaV3eL62JAOcXlCx4AaABAg,0,3 years ago,that popcorn thingy used to be my favourite when i was little and still in china. that thing was always outside my elementary school and i love that one pop it’s super loud but so much fun!,那个爆米花的东西曾经是我小而仍然在中国的最爱。那件事总是在我的小学外面，我喜欢那个流行音乐，它非常响亮，但很有趣！
19360,UgxEYr6gMiIIULbpjzJ4AaABAg,0,3 years ago,"i feel bad for china for causing “corona virus”
we pray for those who afflicted, may they restored to health soon
mary help all christians, pray for us
st rock, pray for us
st elizabeth, pray for us
st joseph, pray for us
altogether we say, in the name of the father,
and of the son, and of the holy spirit, amen.","我为中国引起“电晕病毒”感到难过
我们为那些受苦的人祈祷，愿他们尽快恢复健康
玛丽帮助所有基督徒，为我们祈祷
St Rock，为我们祈祷
圣伊丽莎白，为我们祈祷
圣约瑟夫，为我们祈祷
我们总之说，以父的名义
以及儿子和圣灵的阿们。"
18184,UgzvBvF8VcMrh_pVDn54AaABAg,0,3 years ago,covic-19 china,Covic-19中国
19551,UgyBTQujnVF3-4Fx9U14AaABAg,0,3 years ago,"i'm so glad she uses tongs to search through those leaves, because i'm not sure if it's the same in china, but here in the us, snakes often hide in under brush and 
piles of fallen leaves. fun fact for you all.","我很高兴她用钳子搜索那些叶子，因为我不确定在中国是否相同，但是在美国，蛇经常躲在刷子下，
一堆掉落的叶子。对大家的有趣事实。"
19616,UgwJme96Iqk_eqZwYd54AaABAg.95Y0PIXr67k95glmSx2l3n,0,3 years ago,chinese specialty sunflower species https://item.rakuten.co.jp/china-panda2018/d100114-11/,中国特色向日葵物种https://item.rakuten.co.jp/china-panda2018/d100114-11/
19630,UgwwLUNz879EOhJOWkR4AaABAg,0,3 years ago,hi liziqi. i really love all you videos and i fall in love china because of what saw in your videos..i hope you will continue prosper. i really love to see u in real and visit your place but i dont know if that is possible. i wish you all the best and may the almighty god keep you safe and ur grandma always.. xxx,嗨，liziqi。我真的很喜欢你所有的视频，而且我爱上了中国，因为你的视频中看到了什么。我希望你能继续繁荣。我真的很喜欢见到你并参观您的住所，但我不知道这是否可能。祝你一切顺利，愿全能的上帝永远保持安全和祖母。
19694,Ugz5FtyUzxgROiICpv94AaABAg,0,3 years ago,u frm china?,你是中国吗？
19695,UgyJgvzGIBuD4EsrofV4AaABAg,0,3 years ago,china will not play in the illuminati game this ten year,中国将不会参加这十年的光明游戏
21080,Ugw4O62oOoWVzBkkEch4AaABAg,0,3 years ago,"you can do it. essence essence

however, there should be some boys sharing part of the work. because, since ancient times, china has believed that women are hard to be virtues. most men are not diligent.

it is a woman who is too capable of working hard. essence

hope, you can meet men who take the initiative to share your work and have a sense of responsibility. this is also my expectations for women in china.","你很能干。。。

只是，应该有些个男生分担部分工作。因为，自古以来，中国都认为女人艰苦是美德。男人大都四肢不勤。

是我们太能干的女人早就了懒惰的男人。。

希望，你能遇到主动为你分担工作，有责任感的男人。这也是我对全中国女人的期望。"
21184,Ugyg1USHW4pZOO14yPZ4AaABAg,0,3 years ago,"this is a team with a background of the chinese government to create a series of rural pastoral life. i am a rural life. there is no poetic and painting as the girl performed by this girl. hardness, this video is to promote stability and maintain stability. it does not understand the true survival of chinese farmers, lives, and other strata in china. foreign friends show the colorful idyllic life of chinese farmers. there are many many yang gailan families.",这是一个有着中国政府背景的团队打造一系列的农村田园生活，我就是一个农村生活的人，没有像这个女孩表演的那样的诗情画意，丰富多彩，完全是掩盖中国农民悲惨的命运，以及生活的艰辛，这个视频就是宣传维稳，给不了解中国农民真实生存，生活的，中国其他阶层，外国友人展示中国农民丰富多彩的田园生活，我们那里还有很多很多杨改兰家庭。
21238,UgxYJZsGDNyGGBKVWNt4AaABAg.93tQW-tM5tl93to3WpfVer,0,3 years ago,she is from china,她来自中国
17287,UgzUsBEvwMJqyGKYbT54AaABAg,0,3 years ago,what a beautiful life，the best rural life in china.,多么美好的生活，中国最好的乡村生活。
21956,Ugy_dSiRT2EpknxyqSp4AaABAg,0,3 years ago,in communist china corn pop you,在共产主义中国玉米弹出你
17408,UgywzhvScxYGpeyYVxV4AaABAg.97wpskGlIEv981-9vyHQPA,0,3 years ago,"adam f is the most common dog in china, as he said, a chinese pastoral dog.",Adam F 额 就是最普通的狗吧在中国，就像他说的，中华田园犬。
17357,UgwIE5EtfFSL7eGLAlF4AaABAg,0,3 years ago,corona communist china,电晕共产党中国
22072,Ugxlko-aCv8bm3F_QJp4AaABAg.935khYmvJJB938PoMRn4jX,0,3 years ago,"to be honest! thumbs up. it is false who said that li ziyi's video is fake. those who act in acting are either who did not fully understand or watched her complete video, or it is certain fecal chinese and foreign chinese and foreign chinese and china.",说地都是大实话！顶一个。说李子柒的视频是假的，是演戏的那些人要么就是没有完全了解或看过她的完整视频的人，要么就是极端仇视中国凡中必反的中外某些粪子。
17347,UgwS10nlCzbym5SOUax4AaABAg.97zfot7iRq6985CTbmNnXe,0,3 years ago,"born in 1990,at pingwu county,mianyang city,sichuan province of china.video before 2018 taken by herself and cousin and after she becoming famous she had money to hire camera man.",1990年出生于中国四川省米扬市的平武县。2018年之前和堂兄在2018年之前，在她成名之后，她有钱可以雇用相机人。
22145,UgwAF86DFqCyjaaE4_Z4AaABAg.933vdtTbrag93B_W3myG_C,0,3 years ago,"deng kai doesn't wash it. i also like to watch li's videos, which can bring me tranquility and peace of mind. i also know very well that there is no such poetic lifestyle in rural china. come and talk about how you have such poetry and painting",邓凯 别洗了，我也很喜欢看李的视频，能给我带来宁静和安心感，我也很清楚知道中国农村没有这样的诗情画意的生活方式。来你说说你的那里如何有这般的诗情画意
17339,UgxtMpuXdEN630TlFKd4AaABAg,0,3 years ago,i like china,我喜欢中国
17322,Ugzr8BcITcLeypqxYeZ4AaABAg.98-KbeXYiV7981Wtjo_byl,0,3 years ago,"michaelluwang. in china, most sunflower seeds are fried and eaten, which will make them more fragrant",Michaelluwang。在中国，大多数葵花籽都被油炸和食用，这会使它们更加香气
17319,UgxJu_DGW5J0uF_-vqZ4AaABAg.98-gM-8ph0598-xYiSt1jL,0,3 years ago,chengdu.a city of china. sichuan province,成都一个中国市。四川
22312,UgwQoAFHx2bp9O3tCpV4AaABAg,0,3 years ago,china and one of the places but beautiful in my opinion,中国和其中一个地方，但我认为美丽
22342,Ugx4UVsoV2TtaU3itcp4AaABAg.92y7bo-t6TA9319miGt9fx,0,3 years ago,sde niadaha sichuan province china,SDE NIADAHA四川省
22421,UgxX1FLgq1xGJowTfAh4AaABAg,0,3 years ago,"this is not the case in china, these videos are deliberately faked.๏ผ",在中国并非如此，这些视频是故意伪造的。
22514,UgxH0bPNfsTNK0AlDvp4AaABAg,0,3 years ago,"i don't know who in the communist party thought up this series of daily life in the chinese countryside, but it was brilliant. they are a great amalgam of fantasy and idyll. i daresay less than 10 people in china have this kind of lifestyle. i am looking forward to more fantastic scenery and i hope we can one day see the young lady participate in the harvesting of organs from live political prisoners, possibly underneath a magnificent mango tree and accompanied by the chanting of tibetan monks, live streamed from india.",我不知道在共产党中谁想到了中国乡村的这一系列日常生活，但这真是太好了。它们是幻想和田园诗的巨大汞合金。我敢说在中国不到10人的生活方式。我期待着更美好的风景，希望我们有一天能看到这位年轻女士参与现场政治犯的器官收获，这可能是在宏伟的芒果树下，并伴随着藏族僧侣的高呼，并从印度播放。
17527,Ugz3UGBBIV9WF5NZMAh4AaABAg,0,3 years ago,ccp propaganda? yt not accessible in china to ordinary people. suspicious.,CCP宣传？在中国无法获得普通百姓。可疑的。
22545,UgwbyETWEYEdnUTb78J4AaABAg.92tYUpAg-1t92teNmBZwqb,0,3 years ago,china,中国
22547,UgzTCsIHXfEiQNQOHWR4AaABAg,0,3 years ago,"so great!
i heared li is the girl from sichuan province of china, i'm also from here.
and i saw the scene in the video and hearing the voice of sichuan dialect , i feels peace.","很好！
我听到李是来自中国四川省的女孩，我也是这里的。
我在视频中看到了场景，并听到了四川方言的声音，我感到和平。"
22594,UgyfSjltL63MoX--kdx4AaABAg.92sJsuTyqEC92uH7yUJ8d7,0,3 years ago,u can enjoy 4g everywhere in china๏ผand almost of house have install broadband with wifiใ€,您可以在中国各地享受4克
22748,Ugy8ZeG67nBFZY-1c0d4AaABAg.92lgYxvaxJe92nAzjVj5OX,0,3 years ago,oli dutta chestnut๏ผmaybe only china has,Oli Dutta栗子，也许只有中国有
22818,Ugz_bvaWhWU14EwA0ih4AaABAg.92h_cOsI4pk92l7Ychg_nS,0,3 years ago,will you marry me and move to china together?,您会嫁给我并一起搬到中国吗？
