,cid,votes,含best,含best中文翻译
5981,UgxvAuJTFlMG5TuJm3F4AaABAg,0,"if you are new here, here is absolutely everything you need to know about liziqi ( li ziyi ): 

in 1990, li ziyi fell to the ground in mianyang, sichuan. her parents divorced when she was very young. later, her father died, and li ziyi became an orphan. his stepmother didnโ€t treat her well. li zizhen mentioned on weibo that he had had a half-dead experience when his stepmother dragged her hair into the gutter and was beaten. 

grandpa and grandma distressed granddaughter, and finally decided to take li ziyu home and live. when li ziyi was in fifth grade, his grandfather died again, and it was difficult for his grandma to raise her to continue school. at the age of 14, li ziyi had to drop out of school and go to the city alone to work hard, and began an 8-year wandering life. her first life was very hard. she slept in a park chair and scratched her head for two months. 

li ziyi has also worked as a waiter in a hotel, with a monthly salary of 300 yuan. in order to earn more income, she went to learn to play discs and sang in the bar. later, when talking about the matter, li zizhen frankly said: โ€i didnโ€t say that i liked music at that time, just to live, i felt that it was well paid.โ€ 

in 2012, because grandma was ill once, li ziyi was worried that she would regret it later, throwing away all work and returning to grandma. โ€being closer, i feel more at ease.โ€ 

after returning, li ziyi opened a taobao shop, but the business has been up and running, and he barely eats. in 2015, under the influence of his younger brother, li ziyi was exposed to the short video platform meipai. until 2016, seeing that his younger brother had some fans on meipai, and holding more fans can improve the mentality of taobao business, li ziyi re-entered meipai to prepare for his own video program. 

the reason why she chose to shoot videos in this style is closely related to her childhood environment. 

in an interview with the living room of sina club, li ziyi mentioned, โ€all these things that are self-sufficient in the countryside, for me, they are jealous. in the short video, she chose to start from the most familiar places. 

in the beginning, li ziyi gave himself a topic called โ€four seasons change, eat while you eatโ€. after the suggestion of meipai editor, it became โ€ancient foodโ€ and it is still used today. 

in september 2016, a new opportunity came quietly, which also became an important promoter for li ziyu to get more attention in the future. sina weibo began to openly search for more outstanding short video creators for resource support. 

as mentioned at the beginning of the article, liu tongming brought her weibo resources support. 

one day in september 2016, li feng, an ancient short video blogger, accidentally received a private weibo message from โ€mr. lโ€. mr. l expressed his love for li ziyuโ€s video content, felt that he had fulfilled his taoyuan dream, and hoped to meet her. 

for a long time after that, li ziyi received mr. lโ€s private letter. โ€it would be a shame for such a good video to let this person see it. this is uschinaโ€s proud traditional culture should be seen by people in china and around the world. โ€mr. l said in a private message. 

at first, after seeing these private messages, li ziyi didnโ€t care too much, even worrying about encountering a liar. until one day, mr. l came to the city where li zizhen was, and wanted to ask her to have a meal and talk. mr. lโ€s politeness and clear logical thinking made li slowly drop his initial alert. 

this accidental meeting has completely changed the life trajectory of li zizhen. not long after the meal was over, with the help of mr. l, li zizheng was supported by a large wave of resources on sina weibo, accelerating her popularity and allowing li zizhen to rush into the queue of the net influencer on the head. 

this experience is partly recorded in a diary of li zizheng that year. some insiders close to the senior executives of weinian technology confirmed to tencentโ€s โ€shenwangโ€ that the โ€mr. lโ€ is actually liu tongming, and his pseudonym was publicly reported. daxiong liu, the founder of wei nian technology, an mcn company to which li zizhen now belongs. 

on december 8th, the reading volume of a weibo topic labeled โ€is li ziyi a cultural outputโ€ climbed to 800 million. li zizheng was once again on the hot search list. 

the video created by li ziyi and her has become a phenomenon worthy of study now. 

extensive overseas communication is an important reason for li zihuanโ€s renewed attention. some people say that she has filmed a desirable rural life and spread the charm of traditional chinese culture and cuisine. others think that her video is not completely true to reflect chinaโ€s rural life. 

even the queries that have been popular since the explosion have been brought up again, such as being a dj, being a rich second generation, whether the video is from my own hands, is there a strong push behind it, and the video is true for rural life itโ€s still just a fiction for character setting. 

an insider of weinian technology told tencentโ€s โ€deep webโ€ that li ziyi was of ordinary origin, and the relevant video content was produced by li ziyi himself. the popularity was not the initiative of the company and himself. in fact, both li zihuan and the micro-reading team behind him were quite low-key, and they were very enthusiastic and declined all the current interview needs. 

until august 17, 2018, li ziyiโ€s eponymous tmall store officially opened. six days after going online, the store with only five products at that time had sales of over 150,000 and sales of over 10 million. a year later, the total sales of 21 products displayed in the li zizhen flagship store exceeded 1.3 million, with total sales reaching 71 million. 
the value behind li ziyiโ€s ip is being quickly tapped. 

li ziyi started from scratch and gained the first fans with his own strength. but now the popularity and gains of fame and fortune are obviously no longer just her achievements. 
according to tianyan search, โ€deep webโ€ shows that mcn hangzhou weinian technology co., ltd., which li ziyi belongs to, was established on february 28, 2013, with a registered capital of rmb 5.208 million. according to the introduction, wei nian is an entertainment entertainment company that incubates kol into ip through short videos and extends to consumer brands. 

the information of qixinbao shows that there are more than 100 pieces of intellectual property information of the trademark โ€li zihuanโ€. the applicant companies are hangzhou weinian technology co., ltd. the product categories include food, clothing, shoes and hats, dyes and fats, beer and beverages, financial property management, catering and accommodation. 

not only that, wei nian also has inextricable links with li ziyuโ€s companies. 

according to the eye inspection, li jiajia (should be the original name of li ziyu) established sichuan ziyu culture communication co., ltd. on july 20, 2017, and wei nian is its shareholder, holding 51% of the shares. supervisor, li jiajia holds 49% of the shares. 

according to other data, there are as many as 50 beneficiary companies behind hangzhou weinian technology co., ltd., including greenland holdings, zte, xinhua media, vanke, light media, etc. . 
among the shareholders of weinian technology, sina weibo is particularly eye-catching. 

from wei nian technology to sina weibo, li ziyi gradually has the best cards that internet celebrities are looking forward to. 
in her own words, she changed from โ€a little transparent to a person who is so useless to societyโ€. after entering the public view and being noticed by more people, li ziyiโ€s sense of responsibility has also become heavier. 
โ€i want to do what i can to do more things that are good for society, such as the spread of traditional culture, non-heritage cultural craftsmen, and i want to show these old things to everyone so that more people know. li ziyi said. 

source: https://www.ww01.net/en/archives/33757","如果您在这里是新手，那么这绝对是您需要了解的有关Liziqi（Li Ziyi）的一切：

1990年，李齐伊（Li Ziyi）跌倒在四川米扬（Mianyang）。她的父母很小的时候就离婚了。后来，她的父亲去世了，李齐伊成为孤儿。他的继母对她不好。李·齐兴（Li Zizhen）在微博上提到，当他的继母将头发拖入排水沟并被殴打时，他有半死的经历。

爷爷和奶奶使孙女感到沮丧，最后决定带李Ziyu回家。当李齐伊（Li Ziyi）五年级时，他的祖父再次去世，他的祖母很难抚养她继续上学。李齐（Li Ziyi）在14岁时不得不辍学，独自去城市努力工作，并开始了八年的流浪生活。她的第一人生非常艰难。她睡在公园椅上，挠头两个月。

Li Ziyi还曾在酒店担任服务生，每月薪水为300元。为了赚取更多的收入，她去学习演奏唱片并在酒吧里唱歌。后来，在谈论此事时，李·齐兴（Li Zizhen）坦率地说：“我不是说当时我喜欢音乐，只是为了生活，我觉得这是付出的。”

2012年，由于奶奶曾经生病，李齐伊（Li Ziyi）担心她后来会后悔，扔掉所有工作并返回奶奶。 “靠近，我感到更加放松。”

返回后，李Ziyi开了一家淘宝商店，但业务一直在运行，他几乎没有吃饭。 2015年，在他的弟弟的影响下，李齐伊（Li Ziyi）接触了短视频平台Meipai。直到2016年，看到他的弟弟在Meipai上有一些粉丝，并且拥有更多的粉丝可以改善淘宝业务的心态，Li Ziyi重新进入Meipai，为自己的视频节目做准备。

她之所以选择以这种风格拍摄视频与她的童年环境密切相关的原因。

李·齐（Li Ziyi）在接受西那俱乐部（Nina Club）的客厅采访时说：“所有这些在农村自给自足的事情，对我来说，它们嫉妒。在简短的视频中，她选择从最熟悉的地方开始。

一开始，李齐伊（Li Ziyi）称自己为“四个季节变化，吃饭时吃饭”。在Meipai编辑的建议之后，它变成了“古老的食物”，并且今天仍然使用。

2016年9月，一个新的机会悄悄地出现了，这也成为李Zyu将来更加关注的重要推动者。 Sina Weibo开始公开寻找更多出色的简短视频创建者以获得资源支持。

正如文章开头所述，刘·汤明（Liu Tongming）为她带来了微博的资源支持。

2016年9月的一天，古老的简短视频博客作者Li Feng意外收到了“先生先生的私人微博消息”。 L”。 L先生表达了对李Ziyu的视频内容的热爱，觉得他已经实现了他的作陶王的梦，并希望与她见面。

此后很长一段时间，Li Ziyi收到了L先生的私人信。 “这样一个好视频让这个人看到它是可惜的。这是中国和世界各地的人们应该看到USCHINA骄傲的传统文化。 “先生。我在一条私人消息中说。

起初，在看到这些私人消息后，李Ziyi并不在乎太多，甚至不必担心遇到骗子。直到一天，L先生来到了李·齐兴（Li Zizhen）所在的城市，并想请她吃饭和聊天。 L先生的礼貌和清晰的逻辑思维使李慢慢地放弃了最初的警报。

这次偶然的会议彻底改变了李·齐兴（Li Zizhen）的生活轨迹。用餐结束后不久，在L先生的帮助下，李·Zizheng（Li Zizheng）得到了Sina Weibo的大量资源的支持，加快了她的知名度，并允许Li Zizhen赶到头部网络影响者的排队。

这种经历部分记录在那年的李Zizheng日记中。一些与温尼安技术高级管理人员接近的内部人士证实了腾讯的“申旺”，即“先生先生L”实际上是刘·汤明（Liu Tongming），他的化名是公开报道的。 Wei Nian Technology的创始人Daxiong Liu是Li Zizhen现在属于的MCN公司。

12月8日，一个标有“是文化产出”的微博主题的阅读量攀升至8亿。李Zizheng再次在热门搜索列表中。

Li Ziyi和她创建的视频现在已成为一个值得研究的现象。

广泛的海外沟通是李齐伊安（Li Zihuan）重新关注的重要原因。有人说她已经拍摄了理想的乡村生活，并传播了中国传统文化和美食的魅力。其他人则认为她的视频并非完全正确地反映中国的乡村生活。

自从爆炸再次提出以来一直很受欢迎的疑问，例如成为DJ，成为富人的第二代，无论是我自己的视频，是否有强烈的推动力，视频是真的对于农村生活，这仍然是角色环境的小说。

Weinian Technology的一位内部人士告诉Tencent的“ Deep Web”，Li Ziyi是普通的，相关的视频内容是由Li Ziyi本人制作的。受欢迎程度不是公司和他本人的倡议。实际上，他背后的李·齐伊安（Li Zihuan）和微读团队都非常低调，他们非常热情，拒绝了当前的所有采访需求。

直到2018年8月17日，Li Ziyi的同名TMALL商店正式开业。上网六天后，当时只有五种产品的商店的销售额超过150,000，销售额超过1000万。一年后，李Zizhen旗舰店展示的21种产品的总销售额超过130万，总销售额达到7100万。
Li Ziyi的IP背后的价值正在迅速挖掘。

Li Ziyi从头开始，并以自己的力量获得了第一批粉丝。但是现在，声名和财富的受欢迎程度和收益显然不再只是她的成就。
根据Tianyan Search的说法，“ Deep Web”表明，Li Ziyi属于的McN Hangzhou Weinian Technology Co.，Ltd。于2013年2月28日成立，其注册资本为5.208亿元。根据引言，Wei Nian是一家娱乐娱乐公司，通过简短的视频将KOL孵化为IP，并扩展到消费者品牌。

Qixinbao的信息表明，商标“ Li Zihuan”有100多种知识产权信息。申请人公司是Hangzhou Weinian Technology Co.，Ltd。产品类别包括食品，服装，鞋子和帽子，染料和脂肪，染料和脂肪，啤酒和饮料，金融物业管理，餐饮和住宿。

不仅如此，Wei Nian还与Li Ziyu的公司建立了不可忽视的联系。

根据眼睛检查，李亚吉亚（应该是李祖的原始名称）于2017年7月20日成立了四川Ziyu文化传播公司有限公司。主管Li Jiajia持有49％的股份。

根据其他数据，Hangzhou Weinian Technology Co.，Ltd。的背后有多达50家受益公司，包括Greenland Holdings，ZTE，新华社媒体，Vanke，Light Media等。
在Weinian技术的股东中，Sina Weibo特别引人注目。

从Wei Nian Technology到Sina Weibo，Li Ziyi逐渐拥有互联网名人期待的最佳卡片。
用她自己的话说，她从“有点透明变成了一个对社会无用的人”。在进入公众观点并被更多人注意到之后，李齐的责任感也变得更加重。
“我想尽我所能，做更多对社会有益的事情，例如传统文化，非遗产文化工匠的传播，我想向所有人展示这些旧事物，以便更多的人知道。李Ziyi说。

资料来源：https：//www.ww01.net/en/archives/33757"
5500,UgxAR4UQpUF8czw20S94AaABAg,0,the best life ever.,有史以来最好的生活。
6178,Ugzk1AQtAnvumdGDTNR4AaABAg,0,"the next best thing i have with me right now is some ramen. okay, i will go make some. i think i have some canned mushroom, too.... ๐คช",我现在和我在一起的下一个最好的事情是拉面。好吧，我会去做一些。我想我也有一些蘑菇罐头。
6225,UgySJiwpeR3AFjPxRNB4AaABAg,0,the best,最好的
6344,UgzrOgipSKHwc8hEvCV4AaABAg.9EsO86ldc5x9Ftw-E9uQWW,0,best wishes to you,祝你祝福
6348,UgzrOgipSKHwc8hEvCV4AaABAg.9EsO86ldc5x9GX0PgWEP6B,0,"wishing you the best, kid (*ยฐโ€ยฐ)=3",祝您最好的孩子（*°∀°）= 3
6372,UgwD2urIYTo8Q4By_o94AaABAg,0,"best breakfast recipe by chef mahi 555
spicy potato sandwich 

https://youtu.be/xgtq7y6ah_e","厨师Mahi 555的最佳早餐食谱
辛辣的土豆三明治

https://youtu.be/xgtq7y6ah_e"
6418,Ugz5pqif9bfNC2QArn14AaABAg,0,the best for ramen,最适合拉面
6687,UgyPuLp0IBSDJaBEW-t4AaABAg,0,"li, i'm very impressed with your life, thank you for inspiring me. li, what about your private life, do you have a partner? best friends? what do you do in your free time? thank you, i love you!",李，我的生活给我留下了深刻的印象，谢谢您激励我。李，你的私人生活呢，你有伴侣吗？最好的朋友？你在空闲时间做什么？谢谢你，我爱你！
6731,UgwKlEDglY6guEWdQJ94AaABAg,0,how does this girl know so much i can imagine that she has the best teacher at her side her grandmother,这个女孩怎么知道这么多我能想象她的祖母最好的老师
6842,UgxflY-051DMvZXCilx4AaABAg,0,every tging is amazing outstandingggg u areeee love uuuu. alll the best kppp going,每个ting都很出色，u uuu uuuu。最好的kppp
9155,UgzZ7nfnLKDGnF0sXzt4AaABAg,0,you are the best girl,你是最棒的女孩
6919,UgzhLfv10DLOfN-W8Xl4AaABAg.9DrBV-z1UcC9ExXsIg06mb,0,@milkknife avengers: final is the best movie in human history,@milkknife复仇者：最终是人类历史上最好的电影
6946,UgwsFyITxEZkePDE9y14AaABAg,0,best youtube channel...beauty everywhere,最好的YouTube频道...到处都是美丽
7006,UgxGNzhMbxl4x79WWRZ4AaABAg,0,lovely life journey and best idea๐’๐‘๐’๐‘๐‘๐‘,可爱的人生旅程和最好的主意
7303,UgzLQLxM9vqjhYentDZ4AaABAg,0,situ mo from put ur head on my shoulders would her bestfriend ๐,从我的肩膀上放头的坐姿会让她最好的朋友
7823,UgzzjjVzQ__o7z_URJJ4AaABAg,0,with all the hardwork she has put in in all of her videos i really do wish her best in life. she deserves it.,她在所有视频中都付出了所有的努力，我确实希望她在生活中表现最好。她应得的。
5211,Ugz8aBLB1hTfTw6AjI14AaABAg,0,hello my love good morning little beautiful my oriental princess you are very hardworking and you deserve the best,你好，我的爱早安小美丽我的东方公主你很努力，你应该得到最好的
8298,UgwsmKqfk8oU_UhPvaZ4AaABAg,0,you are the best,你是最棒的
8335,Ugz31mvW1seaJVWNSah4AaABAg,0,i think this natural food all the time best for health....so glad to you,我认为这种天然食物一直最适合健康。
8435,UgxjJ5qD9kXjuHy9uYJ4AaABAg,0,is the best,是最好的
5129,UgyfMgBBr5vfj1FzjjZ4AaABAg,0,"11 benefits of bamboo shoots which turned out to have an extraordinary impact on health

bamboo shoots, in latin, are called dendrocalamus asper, are one of the food ingredients that we often encounter in indonesian cuisine. besides being made vegetables, bamboo shoots are also often made stuffing spring rolls.
hard bamboo shoots on the outside and soft, rather sweet and crisp inside. for centuries the asian people have processed it into various preparations.
according to research, bamboo shoots contain antioxidants, vitamins, minerals, fiber, protein, and low fat content.
fresh bamboo shoots have a large amount of vitamins a, b6, c, and e and calcium, potassium, niacin, iron, folate, copper, zinc, selenium, manganese, magnesium, phosphorus, and thiamine.
bamboo shoots also contain phytochemicals such as lignans and phenolic acids which have anti-cancer, anti-bacterial and anti-inflammatory effects.
bamboo shoots can be added to soup, dumplings, stir -fry, stews, and salads. bamboo shoots can be boiled and used in various dishes, can be served as a vegetable ingredient. we can also consume delicious pickles made from bamboo shoots.

this plant was not only delicious but also rich in benefits as summarized from the health line and digest;

1. low sugar
the amount of sugar found in bamboo shoots is about 2.5 grams per 100 grams. the amount is lower than the sugar content found in fruits and vegetables. thus bamboo shoots are good for diabetics.

2. source of protein
a thousand grams of bamboo shoots have about 2 to 2.5 grams of protein. the protein found in bamboo shoots consists of seventeen essential amino acids and two semi-essential amino acids.
protein is good for repairing cells and building, as well as maintaining body tissues. the amount of protein absorbed by the body for maintenance, depends on health conditions.
for example, people are undergoing recovery after surgery and accidents, requires higher protein intake than ordinary people. in addition, greater amounts of protein are also needed when sick, as well as for pregnant and breastfeeding women.

3. rich in vitamins and minerals
who would have thought if bamboo shoots turned out to be rich in vitamins and minerals you know. bamboo shoots contain vitamins such as vitamin a, vitamin b6, vitamin e, thiamine, riboflavin, niacin, folic acid and pantothenic acid.
then the minerals found in bamboo shoots include calcium, magnesium, phosphorus, potassium, sodium, zinc, copper, manganese, selenium and iron.

4. high fiber
bamboo shoots are also rich in fiber. the amount of food fiber contained in bamboo shoots is around 6-8 grams per 100 grams.
eating bamboo shoots can help improve the quality of intestinal movements that are healthier, so that we keep us protected from intestinal problems.

5. stimulates food lust
cellulose high bamboo shoots that can stimulate appetite. the taste and texture of bamboo shoots also makes it can be an appetizer.

6. control cholesterol
research conducted by washington state university shows that bamboo shoots have a beneficial effect on cholesterol, lipids and intestinal function.

7. strengthening the immune system
vitamins and minerals found in bamboo shoots can help improve the immune system.

8. regulates high blood pressure
because of its high level of potassium, bamboo shoots can help reduce blood pressure levels.
the study also found that potassium in bamboo shoots can strengthen our heartbeat, thereby improving heart health. a portion of bamboo shoots can give us one fifth of the recommended daily amount of potassium.
bamboo shoots contain lots of potassium. potassium can act as an electrolyte, and is also very good for lowering and maintaining blood pressure.

9. contains anticancer properties
this plant contains pitosterol which has effective anti-cancer properties that are effective against gastric cancer, lung cancer, breast cancer, and ovarian cancer.
flavones, chlorophyll, and amylase found in bamboo shoots are called phytosterols. in addition, bamboo shoots can also reduce the risk of colon or colorectal cancer.
this is according to a research paper published by vivek sharma and nirmala chongtham.
bamboo shoots also have antioxidant phenolic compounds that are preventive of cancer.

10. helps treat menstrual / menstrual problems
regular bamboo shoots can help various reproductive health problems in women.
this can help treat irregular menstrual cycles, infertility problems, and reduce labor pain and prevent too much blood loss after childbirth.

11. prevent respiratory problems
to use it in cases of respiratory disorders, we need to make bamboo shoots by boiling it twice.
the first stew for 5 minutes is followed by a second boil for about 10 minutes. for the best results, drink this water with honey.","11竹芽的好处，结果对健康产生了极大的影响

拉丁语中的竹芽被称为树突状阿斯伯，是我们在印尼美食中经常遇到的食品成分之一。除了制作蔬菜外，还经常制作梳子。
外面的硬竹芽，内部柔软，柔软，甜美而脆。几个世纪以来，亚洲人民将其处理为各种准备。
根据研究，竹芽含有抗氧化剂，维生素，矿物质，纤维，蛋白质和低脂肪含量。
新鲜的竹芽具有大量的维生素A，B6，C和E和钙，钾，烟酸，铁，叶酸，铜，锌，硒，硒，锰，镁，磷，磷和硫胺素。
竹芽还含有具有抗癌，抗细菌和抗炎作用的木糖和酚酸等植物化学物质。
可以将竹芽添加到汤，饺子，搅拌，炖菜和沙拉中。可以将竹芽煮沸并在各种菜肴中使用，可以用作蔬菜成分。我们还可以食用用竹芽制成的美味泡菜。

正如从健康线和消化中总结的那样，这种植物不仅很美味，而且还富裕。

1.低糖
竹芽中发现的糖量约为每100克2.5克。该量低于水果和蔬菜中发现的糖含量。因此，竹芽对糖尿病患者有益。

2.蛋白质来源
一千克的竹芽有大约2至2.5克蛋白质。竹芽中发现的蛋白质由十七个必需氨基酸和两个半必需氨基酸组成。
蛋白质非常适合修复细胞和建筑物以及维持身体组织。人体吸收的蛋白质量取决于健康状况。
例如，在手术和事故发生后，人们正在接受康复，需要比普通百姓更高的蛋白质摄入量。此外，生病以及孕妇和母乳喂养的妇女还需要更多的蛋白质。

3.富含维生素和矿物质
谁会想到竹芽是否富含您知道的维生素和矿物质。竹芽含有维生素A，例如维生素A，维生素B6，维生素E，硫胺素，核黄素，烟酸，叶酸和泛酸。
然后在竹芽中发现的矿物质包括钙，镁，磷，钾，钠，锌，铜，锰，硒和铁。

4.高纤维
竹芽也富含纤维。竹芽中含有的食物纤维量约为每100克6-8克。
吃竹芽可以帮助提高更健康的肠道运动的质量，从而使我们免受肠道问题的保护。

5.刺激食物欲望
纤维素高竹芽可以刺激食欲。竹芽的味道和质地也使它成为开胃菜。

6.控制胆固醇
华盛顿州立大学进行的研究表明，竹芽对胆固醇，脂质和肠功能具有有益的作用。

7.增强免疫系统
在竹芽中发现的维生素和矿物质可以帮助改善免疫系统。

8.调节高血压
由于其高水平的钾芽可以帮助降低血压水平。
该研究还发现，竹芽中的钾可以增强我们的心跳，从而改善心脏健康。一部分竹芽可以为我们提供建议的每日钾含量的五分之一。
竹芽中含有大量钾。钾可以充当电解质，也非常适合降低和维持血压。

9.包含抗癌特性
该植物中含有硫醇，具有有效的抗癌特性，可有效抗胃癌，肺癌，乳腺癌和卵巢癌。
在竹芽中发现的黄酮，叶绿素和淀粉酶称为植物固醇。此外，竹芽还可以降低结肠癌或结肠直肠癌的风险。
根据Vivek Sharma和Nirmala Chongtham发表的研究论文。
竹芽还具有预防癌症的抗氧化剂酚类化合物。

10.有助于治疗月经 /月经问题
定期的竹芽可以帮助女性的各种生殖健康问题。
这可以帮助治疗不规则的月经周期，不育问题，减轻劳动疼痛，并防止分娩后过多失血。

11.预防呼吸系统问题
要在呼吸系统疾病的情况下使用它，我们需要通过将其煮沸两次来进行竹芽。
第一次炖煮5分钟，然后再煮沸约10分钟。为了获得最佳效果，请与蜂蜜一起喝这种水。"
8636,UgzY4FGNgjEjTpESYqF4AaABAg,0,good cook u a best of the best food,最好的厨师最好的食物
8864,UgxKq7dSL9GUX5xoJwN4AaABAg,0,"great girl๐‘๐ท
whatever we compliment would only be less
keep it up๐‘๐‘๐‘
can you arrange for english subtitles
also the editing is too much we cannot track what you are doing
wish more young people follow your footsteps
best wishes","伟大的女孩
我们称赞的一切只会少
保持上升
你能安排英文字幕吗
另外，编辑太多了，我们无法跟踪您在做什么
希望更多的年轻人跟随你的脚步
最好的祝愿"
13542,UgxHY0x9a04E7LkV5Wh4AaABAg,0,grandma's laugh is the best,奶奶的笑是最好的
13679,Ugyc3WJFhzl_9su8iQJ4AaABAg,0,this is the best that is on this resource,这是此资源上最好的
13750,UgzIRg68xLcfExv_jp14AaABAg,0,the video is the best,视频是最好的
18739,UgxENFQ6yDqOwaLi4tR4AaABAg,0,the best thing is that her mother is living like the queen,最好的事情是她的母亲像女王一样生活
16712,UgzGVM1UgRUuWYqDMdV4AaABAg.92s4BfTdcy192tEsrRhnZL,0,@sihanwang5059 the taste of burning fire is the best smell,@sihanwang5059 烧火的味道最好闻啦
368,UgwS2Mtr46MDnUqPiW94AaABAg,0,you are the best,你是最棒的
3496,Ugx7hkAQA_puNVHXsqp4AaABAg,0,you are the best,你是最好的
17267,UgylrWlOVWyLd0CrvyJ4AaABAg,0,this is probably the best way to live life,这可能是生活的最佳方式
17374,UgwvTVto4_Dme4K_VgB4AaABAg,0,"this is literally the best chef i have ever seen. i am so blown away, regardless of production value, i can't even fathom having all this available to me. i'd be a fucking king!",这实际上是我见过的最好的厨师。无论生产价值如何，我都被吹走了，我什至无法理解所有这些可用的东西。我会成为一个他妈的国王！
17386,UgzpONnO8ysIUopexzB4AaABAg.92knIKq5sJf92rI0Eyzm2C,0,"ta le i cannot put the chinese government as the best, but it is the only government i trust. i love my country and i respect the government.",我不能将中国政府作为最好的，但这是我信任的唯一政府。我爱我的国家，我尊重政府。
17432,UgzJtfvzauofylDVk814AaABAg,0,it's best to wear a glove,最好戴个手套
17815,UgxJdhYtjLDjuvNp4Np4AaABAg,0,damn good! i’m wondering if she can always live the life like this even she is super rich now. hope she’s safe. best regards,特别好！我想知道她是否总是能像这样的生活，即使她现在很富有。希望她安全。此致
3449,Ugy2b9i3JyU9TCE5TzN4AaABAg,0,"you were looking for a comment in spanish?, aki do you have bestiec",您正在寻找西班牙语的评论吗？aki，你有bestiec
18415,UgwbdsE2_2KWTeRXJud4AaABAg.92Vd4vWuz7392Zqc0JaGTV,0,"@ryan-wm3cl mustard and kimchi are not the same thing. it is very kimchi to make kimchi. you probably haven't made it. if you don’t pay attention to the adjustment of the ingredients, you will grow up. eat kimchi. of course, everyone can afford it if you want to buy it, but the kimchi at home is the best.",@Ryan-wm3cl 榨菜跟泡菜不是一个东西啊伙计，做泡菜很花功夫的，你大概没有做过吧，不知道泡菜如果不注意调整配料，就会长霉，要通过小心照料才能在家做出好吃的泡菜。要买的话当然谁都能买得起，但是家里的泡菜是最好吃的，哪里都比不了
3237,Ugw_ghAFpcTVaV9M4Vx4AaABAg,0,"i consider kyoto's japanese food ""obanzai"" to be the world's best healthy food. japanese food, such as recent sushi, tends to eat unbalanced and can cause disease such as beriberi, hypertension, and diabetes.
this chinese video series shows the essence of japanese cuisine. i think it's in the mountains of sichuan province, but i was impressed to see such a wonderful food culture in china.","我认为京都的日本食物“ Obanzai”是世界上最好的健康食品。日本食品（例如最近的寿司）倾向于吃不平衡，并可能引起贝里伯利，高血压和糖尿病等疾病。
这个中国视频系列展示了日本美食的本质。我认为这是四川省的山，但在中国看到如此美妙的饮食文化印象深刻。"
18730,UgzeT__GQ5jUxHQpccx4AaABAg,0,why is it that the world is exactly that hong kong people and taiwanese hate mainland china most? the mainland of the mainland is the best for hong kong and taiwanese. the people who see that they praise them are hong kong and taiwanese.,全世界为什么恰恰是香港人和台湾人最恨中国大陆内地人？偏偏内地大陆对香港和台湾人是最好的，看见点倒赞的都是香港人和台湾人。
2728,UgzQCaotEOtqT9r6Vvh4AaABAg,0,i am from bangladesh. i like your all video.i wish if i will be like you.all the best for your nice journey.,我来自孟加拉国。我喜欢您的全部视频。我希望我能像您一样。一切都最好的旅程。
16432,UgxGeJGV8tHVV_OlvT14AaABAg,0,"ziqi your the best, love this video",ziqi你最好，喜欢这个视频
18977,UgxdEc2UBqWwM2FDK054AaABAg.92CFxZwfenV94AOtR8eRWU,0,@yvan4010 ...my comment interrupt you. can be improved like this ....my comment bothers you. i have been using spoken and written english for 52+ years and my family is in north america. the best way to sharpen english skills is to live in an english speaking environment. i left asia at age 37.,@yvan4010 ...我的评论中断了你。可以这样改善。...我的评论困扰着你。我已经使用口语和书写了52年以上，我的家人在北美。提高英语技能的最佳方法是生活在英语环境中。我37岁就离开了亚洲。
18979,UgxdEc2UBqWwM2FDK054AaABAg.92CFxZwfenV94FYXac35z1,0,"@yvan4010 spelling: i live in ch... not i 'leave' in ch...anyone who would like to improve is a good person. english and foreign languages are a habit. i tell my students to listen to and record (possibly in a digital voice recorder) short clips so that repeated listening is possible. know the meaning of what you are listening to. open your mouth and imitate/speak. see the printed text corresponding to the sounds (see and hear at the same time). depending on your age; the younger the easier to pick up a language. i studied languages at university back in the 1970s. u can hear me talk if u find 'information for viewers interested in canada' on youtube. best wishes to you, folks and colleagues.",@yvan4010拼写：我住在ch ...不是我在ch上离开...任何想改善的人都是一个好人。英语和外语是一种习惯。我告诉我的学生聆听和录制（可能是在数字语音录音机中）的简短剪辑，以便重复聆听。知道您正在听什么的含义。张开嘴，模仿/说话。请参阅与声音相对应的印刷文本（同时参见并听到）。取决于您的年龄；年轻的语言更容易。我在1970年代在大学学习语言。如果您在YouTube上找到“对加拿大感兴趣的观众的信息”，您会听到我的话。祝您，伙计和同事们最良好的祝愿。
19164,UgyonF_gcnOKUuP6ZXB4AaABAg,0,the best,最好的
19169,Ugymc0vs_086451xTyF4AaABAg,0,"flowers? in the garden. chilli? in the garden. fish? also in the garden. she probably got the best garden in the world, like, whatever she needs, it’s right there outside",花朵？在花园里。辣椒？在花园里。鱼？也在花园里。她可能拥有世界上最好的花园，就像她需要的那样，它就在外面
19280,Ugxrnj0-Up4EtsNoc3h4AaABAg,0,you are very creative mam. i am from bangladesh. wish you all the best,你是非常有创造力的妈妈。我来自孟加拉国。祝你一切顺利
19479,UgwYK8CzXKtV-rLj7JF4AaABAg,0,best future wife,最好的未来妻子
2501,UgxfIoo5fLCxKud13Zt4AaABAg,0,the best forever my frend .... that's called bamboo shoots when in indonesia .... great ....,永远最好的我的兄弟。..
2498,UgwnkoYJxIN_TYQw7W94AaABAg,0,are you doing ok ? you are the best person i've ever seen,你没事吗？你是我见过的最好的人
