,cid,votes,time,含chinese,含chinese中文翻译
3955,Ugw_VFCnEAP9oUL_quV4AaABAg.9LbFUxa6z2b9LpqzXA-0zS,0,2 years ago,"lmao, you have a chinese name and talking shit without even knowing anything. korea wasn't a thing until 2,000 years later china came along, japan, korea, singapore, malaysia, and many other countries are influenced by china. don't ditch your own country",lmao，您有一个中文的名字，甚至不知道任何东西。直到200，000年后，中国，日本，韩国，新加坡，马来西亚和许多其他国家都受到中国的影响，韩国并不是一件事情。不要抛弃你自己的国家
3957,Ugw_VFCnEAP9oUL_quV4AaABAg.9LbFUxa6z2b9Lq6p1bHdnt,0,2 years ago,"@coconutboy8198 people with chinese name but anti-china are schizophrenia, they were usually come from the well-frog-island of china, or member of fxxklungong.",@coconutboy8198具有中文但反中国的人是精神分裂症，他们通常来自中国的福罗岛或fxxklungong的成员。
3971,UgzddFErU7M5OM42IZ94AaABAg.9Lavf9Moto19O1bSiz_tGZ,0,2 years ago,@janus9148 i'm asian and i hate chinese,@janus9148我是亚洲人，我讨厌中文
3976,UgzddFErU7M5OM42IZ94AaABAg.9Lavf9Moto19P-2wMKPuJ1,0,1 year ago,@roh-moo-hyeon your asian just not chinese,@roh-moo-hyeon你的亚洲不是中国人
3984,UgzddFErU7M5OM42IZ94AaABAg.9Lavf9Moto19Q9XfStKNTD,0,1 year ago,"@roh-moo-hyeon bruh wth just because someone or something started the virus doesn't mean every single soul that lives in china is bad. i'm half chinese, and i have no shame in what happened in 2020 because i know i've got nothing to do with it. your sick dude.",@roh-moo-hyeon bruh wth仅仅是因为某人或某事开始病毒并不意味着每个生活在中国的灵魂都是不好的。我是中国人的一半，在2020年发生的事情中我没有羞耻，因为我知道我与它无关。你生病的家伙。
4032,Ugw3lPr4ca-ek-0Fmwt4AaABAg.9LNZfg91zko9LZgr0dJ81Y,0,2 years ago,chinese ppl are jealous,中国人嫉妒
4035,Ugw3lPr4ca-ek-0Fmwt4AaABAg.9LNZfg91zko9LwqAJ__SD9,0,2 years ago,@amlesh8638 nope， i think it's korean people who dislike this video instead of chinese,@amlesh8638 nope，我认为是韩国人不喜欢这个视频，而不是中文
4112,UgwsYMchjOqpzL2xtTR4AaABAg,0,2 years ago,"the great wall of china, confucius, and chi pao are historial korean cultures. confucius was born in gyeongju, korea, and had parents of korean descent, and the ge ge reat wall was built by koreans to protect the korean peninsula from enemies. chipao is also a modeld dress from hanbok. koreans wore hanbok when they wanted to be formal, and chifao when theyl we not formal. earing a chifao, which is to borrow korean culture a long time ago and maintain it to the present.
i live in new york city in the u.s. and work for the asia cultural foundation. new yorkers know all of the above, and our asian cultural foundation judges the. roots of chinese history as korea.
you can learn more about this story if you visit korea and new york. :)
thank you.

wanli great wall, confucius, and cheongsam are all korean culture in history. confucius was born in qingzhou, south korea. he has the parents of korean bloodlines. the great wall of wanli was built by koreans to protect the korean peninsula from being attacked by enemies. cheongsam is also a deformed clothes in hanbok. when the koreans want to dress up, they wear hanbok, and they wear cheongsam when they sleep. now you can see that chinese ethnic minorities wear cheongsam, which has been maintained to this day with korean culture a long time ago.
i now live in new york city in the united states and work in asian cultural consortia. citizens in new york know the above. the people of our asian cultural consortium judge that the root cause of chinese history is south korea.
if you visit south korea and new york, you can learn more about this story in detail. :)
thank you.

i am using a translator.


오는 치파, 오는 역사 과공자 적 한국 한국 의 입니다 문화 문화 공자는 한국 의 의 '라는 에서 태어나 혈통의 부모 를 를 를 두었고 를 를 두었고 두었고 입니다 입니다 옷 한국인들 한국인들. 하는 하는 유지 것 입니다 입니다.
미국 미국 지금 뉴욕시 에서 에서 살고 아시아 아시아 문화 에서 일 일 합니다.
한국 한국 는 전국 과 과 에 방문 하면 더 자세히 알 알. :)","The Great Wall of China, Confucius, and Chi Pao are historically Korean cultures. Confucius was born in Gyeongju, Korea, and had parents of Korean descent, and the Great Wall was built by Koreans to protect the Korean Peninsula from enemies. Chipao is also a modified dress from Hanbok. Koreans wore hanbok when they wanted to be formal, and chifao when they slept or were not formal. Currently, we can see minorities in China wearing a chifao, which is to borrow Korean culture a long time ago and maintain it to the present.
I live in New York City in the U.S. and work for the Asia Cultural Foundation. New Yorkers know all of the above, and our Asian Cultural Foundation judges the roots of Chinese history as Korea.
You can learn more about this story if you visit Korea and New York. :)
thank you.

万里长城、孔子、旗袍在历史上都是韩国的文化。 孔子出生在韩国的庆州，有韩国血统的父母，万里长城是韩国人为保护韩半岛免遭敌人袭击而建造的。 旗袍也是韩服中变形的衣服。 韩国人想打扮的时候穿韩服，睡觉的时候没有格调的场合穿旗袍。 现在可以看到中国的少数民族穿旗袍，那是借着很久之前的韩国文化维持至今的。
我现在在美国纽约市生活，在亚洲文化财团工作。 纽约市民都知道以上内容，我们亚洲文化财团的人判断中国历史的根源是韩国。
如果访问韩国全国和纽约，就能更详细地了解这个故事。 :)
thank you.

我在使用翻译器。


만리장성과 공자, 치파오는 역사적으로 한국의 문화입니다. 공자는 한국의 '경주'라는 곳에서 태어나 한국 혈통의 부모를 두었고, 만리장성은 한국인들이 적으로부터 한반도를 보호하기 위해 지은 것입니다. 치파오 역시 한복에서 변형된 옷입니다. 한국인들은 격식을 차리고 싶을 때는 한복을 입고, 잠을 잘때나 격식없는 자리에서는 치파오를 입었습니다. 현재 중국의 소수민족이 치파오를 입는 것을 볼 수 있는데, 그것은 아주 오래전 한국의 문화를 빌려 현재까지 유지하는 것입니다. 
저는 지금 미국 뉴욕시에서 살고 있고 아시아 문화재단에서 일합니다. 뉴욕 시민들은 위 내용들을 모두 알고 있으며, 우리 아시아 문화재단 사람들은 중국 역사의 뿌리를 한국으로 판단하고 있습니다. 
이 이야기는 한국 전국과 뉴욕에 방문하면 더 자세히 알 수 있습니다. :)"
4641,UgyqlJVXVRBt5hYfviJ4AaABAg.9JC7ArXt6XW9JKzcDNCERV,0,2 years ago,@cindyfu7692 president's punishment means that democracy has developed well. chinese mao zedong is famous for killing how many people and chinese people have poor human nature.,@cindyfu7692 总统受罚意味着民主主义得到了很好的发展。 中国的毛泽东因杀了多少人以及中国人的人性不好而闻名。
4118,UgwsYMchjOqpzL2xtTR4AaABAg.9Kmejve8dOx9LllJx1qrR7,0,2 years ago,yes，south korea created everything，but chinese created korea,是的，韩国创造了一切，但中国人创造了韩国
4294,UgyeVS_RTs7Cw5jb8eR4AaABAg,0,2 years ago,"i like her videos and i am from china, okah,i am a chinese boy and i am 24 years old ,i want to make friends with foreigners.
as you can see , many chinese persons are so friendly and welcome to china.
actually i still study english and i like this language very much. and i want to make some foreigner friends , if you don't mind my bad english
welcome to contact to me .","我喜欢她的视频，我来自中国，俄亥俄州，我是一个中国男孩，我今年24岁，我想和外国人交朋友。
如您所见，许多中国人是如此友好，欢迎来到中国。
实际上，我仍然学习英语，我非常喜欢这种语言。如果您不介意我的英语不好，我想结交一些外国人朋友。您可以回复我，我的电子邮件地址是2890185952@qq.com
欢迎与我联系。"
4354,UgwycwWFSAT38b9Ebit4AaABAg,0,2 years ago,love chinese girls,爱中国女孩
4505,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9P8DSkEbRoV,0,1 year ago,"haha...i thought koreans only did that to chinese and japanese, i had no ideas they did that to indonesian, too.",哈哈...我认为韩国人只对中国和日本人做到了，我对印尼人也没有任何想法。
4514,Ugzj2Yk28J8Y2fosqYR4AaABAg.9JVbXgTfIBn9RnG0X4T6lH,0,1 year ago,@o o there was one time when liziqi made a chinese version of spicy fermented cabbage and some koreans said she was appropriating kim chi. i don't she called it kim chi.,@o o有一次利兹奇制作了中文版的辣卷心菜，一些韩国人说她正在拨出金奇。我不是她称它为金奇。
4522,UgwaayCu5qx4RLgilsN4AaABAg,0,2 years ago,"chinese people rarely see the oil pipes, and there is almost no comments",中国人很少能看到油管，评论几乎没有
4529,UgyGF1cV6jQuzi4sxPd4AaABAg,0,2 years ago,"chinese eat thieves, bats, snakes, scorpions and empty caves. your mother's mother -in -law.",中国吃小偷，蝙蝠，蛇，蝎子和空洞。你母亲的岳母。
4535,UgyAFWflnd4Mm0CuwgN4AaABAg.9JTQ0RwqglL9Mq1RxG-kHi,0,2 years ago,"""diring powder"" is sold at a chinese product store.",“ Diring Powder”在中国产品商店出售。
4562,UgzsYjL8Vp2YVP-cX894AaABAg.9JPhOccwZqs9Jvs13z2WrL,0,2 years ago,"you are translated into chinese with translation software, right?",你是用翻译软件翻译成中文的吧
4583,UgwpoXGzCb58FP7HC_94AaABAg,0,2 years ago,chinese food looks very likely,中国菜看起来很可能
4612,Ugwy1EqVzQt7VkZ60Kl4AaABAg,0,2 years ago,chinese culture is so fabulous. rissima.,中国文化真是太棒了。 rissima。
12642,UgyjbJMBpQd2UfOOpuZ4AaABAg,0,3 years ago,her home is a movie set paid by chinese government,她的家是一部由中国政府支付的电影
12753,UgxJFqxpMYT5M5jG1uV4AaABAg,0,3 years ago,chinese state propaganda and soft power projection - but it sure is a nice watch.,中国国家的宣传和软权力投射 - 但这肯定是一款不错的手表。
19915,Ugx3zuXyOf11s3dxiwp4AaABAg.91GSbollkUx92E97OqG3pT,0,3 years ago,"david hutchins there are still many people living similar lifestyle like she does in china. one point i really like about ziqi is that she has a dedication and passion of sharing chinese culture to the world. it’s something that many people would like to do but somehow lack of ability or determination. we should all believe her because as audiences, we feel it. we should offer more encouragement and appreciation. what’s most important that she really delivers peace and calmness to audiences and we all receive positive influences or energy from her videos. and i reallyyyy like her temperament.",大卫·哈钦斯（David Hutchins）仍然有许多人过着与中国相似的生活方式。我真的很喜欢Ziqi的一点是，她对与世界分享中国文化的奉献精神和热情。这是许多人想做的事情，但某种程度上缺乏能力或决心。我们都应该相信她，因为作为观众，我们感受到了。我们应该提供更多的鼓励和赞赏。最重要的是，她真正为观众提供和平与平静，我们都从她的视频中获得了积极的影响或精力。我真的很喜欢她的气质。
17727,UgyQ5cgt1MEnLA48Mod4AaABAg,0,3 years ago,the sautéed bamboo shoot w. chinese bacon seems so yummy!,炒竹芽。中国培根看起来很美味！
17740,Ugyp_5UiLLMxlE0lfBZ4AaABAg.92hKw7DH4wq92jbE6Dyoan,0,3 years ago,"ummmm, one thing for sure that chinese doesn't eat is cat meat",嗯，可以肯定的是中国人不吃的是猫肉
17744,UgwaScSWKjjOP_SBNDR4AaABAg,0,3 years ago,the foreign announcement of the chinese mouthpiece party media has subtly spread to spread the thoughts of evil communities,中国喉舌党媒的外宣，潜移默化散布邪共思想
17750,UgxleieXkneTgm304mJ4AaABAg,0,3 years ago,this is the first time i have commented on youtube. i was very surprised to see the shadow of the chinese. dedicate the first comment! come on,这是我在YouTube第一次评论，非常惊讶的看到中国人的影子，子柒我挺你！将第一次评论献给你！加油
17775,UgyTABoEpCzZNOULKaJ4AaABAg,0,3 years ago,i like chinese dishes,我喜欢中国菜
17778,Ugz8YUyEExRBl1U5QDF4AaABAg,0,3 years ago,may i know the music you used for this video? it's really mesmerizing and made my soul wanted to indulge more into the chinese culture that runs in my blood (that i just knew).,我可以知道您用于此视频的音乐吗？这确实令人着迷，使我的灵魂想更多地沉迷于我的血液中的中国文化（我刚刚知道）。
17791,Ugw8DqyaXTKvuAt64n54AaABAg,0,3 years ago,do you have no chinese people to see? intersection intersection intersection,没有中国
17799,UgwdeRtW91Iok4lIjZZ4AaABAg,0,3 years ago,"as chinese, it is so funny to read comments in #liziqi channel.",作为中文，阅读#liziqi频道中的评论真是太有趣了。
17811,UgyRROJtFbEXrLujpVd4AaABAg.92g4yT1W1r492lOvy2n8g6,0,3 years ago,"no one has never been forced to see it. you just read the news. li ziyi's channel was only opened in 2017. now more than 7 million subscriptions, 80 % are not chinese.",从来没人强迫你看，你不过是看了新闻跑过来的，李子柒的频道2017年油管才开通，现在700多万订阅数，百分之八十都不是华人
17824,Ugxgx_lMi0oYlrIKEqZ4AaABAg,0,3 years ago,greetings from the chinese,来自国人的问候
17835,UgyGRafbscw26QOjFKB4AaABAg.92fl-udgELU92iBqTLJZHU,0,3 years ago,"chinese so smelly, lah",中国人臭，拉
17837,UgyGRafbscw26QOjFKB4AaABAg.92fl-udgELU92irsJLe66p,0,3 years ago,hesh lol cause chinese people don't need deodorant,赫什大声笑，因为中国人不需要除臭剂
17883,UgyN2zPy9Un8LHVRzit4AaABAg,0,3 years ago,how did the chinese channel upload to youtube?,中国国内的频道怎么上传到YouTube的？
17891,Ugx0I0aBDiU-FPsWBER4AaABAg,0,3 years ago,thanks for the english subtitle. its been hard watching chinese video without english subtitle for none chinese viewer lol,感谢您的英文字幕。很难看中文视频，没有英文字幕，没有中文观众大声笑
17897,Ugxn4PqjunIkYimxRdl4AaABAg,0,3 years ago,"at first i watched li ziyi's dynamics and videos on weibo. later, in douyin, people were abroad, and you used youtube every day. in cctv comments, li ziyi was so popular in youtube. as the pride of chinese people, foreigners explain that foreigners also accept our food and culture more and more",最开始在微博看李子柒的动态和视频，后来在抖音，人在国外，天天用YouTube，居然是在央视评论中知道李子柒在YouTube也这么受欢迎，作为中国人骄傲，说明外国人也越来越接受我们的美食和文化了
17926,UgwIi-8OSvJn2-GxGDV4AaABAg,0,3 years ago,i am chinese i like live in 农村,我是中国人，我喜欢住在农村
17968,Ugz4rwbTubYi-MQ1kjJ4AaABAg,0,3 years ago,why do chinese foods so greasy and so spicy! very heavy taste ~ will the kidneys be broken like this?,中国人的食物 怎么都这么油腻 又这么辣! 非常重口味 ~这样肾脏不会坏掉吗?
17989,Ugy9Dzd0HKEAe92QJqh4AaABAg.92dXHQeZgvs92oF_AvUW2A,0,3 years ago,"the head of state, do you speak chinese?",元首，说中文行么
17993,Ugy9Dzd0HKEAe92QJqh4AaABAg.92dXHQeZgvs92qx7W-0gnM,0,3 years ago,"the ""michelin restaurant"" who left chinese food is the obscenity of the west feels good",离开了中华美食的“米其林餐厅”就是西方自我感觉良好的的意淫
17995,UgziSIJgp6HT6DBI_ZN4AaABAg,0,3 years ago,"it is tao yuanming's pastoral life in my heart. this is the traditional romantic it is the rural life of tao yuanming that i yearn for in my heart, which times to the track of chinese peand.","是我心中向往的陶渊明式的田园生活阿，这是属于中国人的传统浪漫It is the rural life of tao yuanming that I yearn for in my heart, which belongs to the traditional romance of Chinese people"
18004,UgyDqiBN4TjtwadRPWN4AaABAg,0,3 years ago,"i saw eggs and mustard in the video. it seems that this li ziyi is not a chinese at all, at least not the mainland people hammer",我在视频里看到了鸡蛋和榨菜。看来这个李子柒根本不是中国人，起码不是内地人实锤
18016,Ugz7EFvJXqp9NCPKmYN4AaABAg,0,3 years ago,"although they are all acting, it is also a traditional chinese culture",虽然都是演的，但好歹也是中国传统文化
18026,UgxJuwGo4sEqRkTPfoV4AaABAg,0,3 years ago,finally it was the turn of chinese culture to let others know the aesthetic taste of the chinese. this is fully in line with chinese classical rural culture,终于轮到中国文化输出了，让别人知道中国人的审美情趣。这完全符合中国古典田园文化
18040,UgxBNOEbXvea0YqCmJl4AaABAg,0,3 years ago,"it’s understandable why ms. li ziqi doesn’t interact with her fans here. it’s illegal for mainland chinese to “climb over” the chinese internet firewall to access utube channel. now, do you still want a life of hers? for a bowl of noodle???? without government’s organized operations and special permission, how can a little girl access here and post a video? the country side kitchen may be close to what she presented, however it’s still a big lie fooling around the world......that chinese is a wonderful place to have a decent life.",李齐（Li Ziqi）女士在这里不与粉丝互动的原因是可以理解的。大陆中国人“攀登”中国互联网防火墙以访问UTUBE频道是非法的。现在，您还想要她的生活吗？一碗面条？？？如果没有政府的有组织的行动和特别的许可，一个小女孩如何在这里访问并发布视频？乡村方面的厨房可能接近她所展示的东西，但是在世界范围内，这仍然是一个大谎言……中国人是一个过着不错的生活的好地方。
18041,UgxUr5Nle90p-tFLHIl4AaABAg,0,3 years ago,"she and i are from the same place, and our hometown is not what she has shown. all rural chinese are not at all her poetic life, everything is a hoax. she is the tool chosen and packaged by the chinese communist party for the export of foreign culture",她和我来自同一个地方，我们的家乡并不是她所展示的。所有农村中国人都不是她的诗意生活，一切都是骗局。她是中国共产党为外国文化出口而选择和包装的工具
18043,UgwAfGwroV8Ugeu4P654AaABAg,0,3 years ago,it's 2:50 am in chinese time and after watching this video i take out my phone and order takeout.i think i'm hungry.,现在是凌晨2:50，观看了这段视频后，我拿出手机并订购外卖。我想我饿了。
17729,Ugyp_5UiLLMxlE0lfBZ4AaABAg,0,3 years ago,"...not trying to be stereotypical but what ""food"" doesn't the chinese people eat?",...不是想成为刻板印象，但是中国人不吃什么“食物”？
17722,UgzWToUbfT3drqkoxHJ4AaABAg,0,3 years ago,this is what i imagine an ancient chinese daughter in law would do all day...,这就是我想象的一整天的中国女儿会做的...
12785,UgxaFEXrv8GPthA5R614AaABAg,0,3 years ago,"hello...
which province is this? ...
i am a vietnamese, i really like chinese bamboo ..
is this bamboo easy to grow? bleak","你好...
这是哪个省？..
我是越南人，我真的很喜欢中国竹..
这竹子容易长出来吗？"
17701,UgwBekgLeJuqbABc22t4AaABAg,0,3 years ago,chinese super lady.,中国超级女士。
17126,UgxXgcGGqB2ZHJO0pLB4AaABAg,0,3 years ago,im going to eat chinese noodle for lunch!!,我要吃午餐的中国面条！！
17152,UgxNuJ4xdgUvUJMy-Ml4AaABAg,0,3 years ago,"obviously it is fake video, it is not real life of chinese farmer. it only shows the gains without pains.",显然是假录像带，不是中国农民的现实生活。它只显示出无痛苦的收益。
17190,UgwAHl4oz0emvAB7Tjd4AaABAg,0,3 years ago,"such a fresh look at one of the world's oldest cultures. this young lady could easily be one of the thousands of fair maidens gracing chinese silk screen paintings. this lady could easily don long flowing white silk robes, her black hair piles on high into a bun, silk slippers caressing her feet. women !!!",如此崭新的观察世界上最古老的文化之一。这位年轻女士很容易成为成千上万的公平少女之一。这位女士可以轻松地穿着长长的白色丝绸长袍，她的黑色头发高高地堆成面包，丝绸拖鞋爱抚她的脚。女性 ！！！
17229,Ugybwi4j6cGsx_h1-qF4AaABAg.92mfzu8y8Sn92miQsX-zx4,0,3 years ago,is there any problem she's chinese？,她是中国人的问题吗？
17239,UgwkTGcvQGlqPylRATx4AaABAg,0,3 years ago,"mhm am i supposed to believe these videos are independently made videos without the backing of the chinese government? like, while youtube is officially blocked in china, ms li is able to upload her videos on youtube and and actually earned the people's choice award from the chinese state controlled media the people's daily?",MHM我应该相信这些视频是独立制作的视频，而没有中国政府的支持？就像，虽然YouTube在中国正式被封锁时，Li女士能够将她的视频上传到YouTube上，并实际上从中国国家控制媒体《人民日报》获得了人民选择奖？
17273,Ugws4Vk0Ci3qg1b-D6J4AaABAg,0,3 years ago,"she is so rich,she has such a large land,i am a chinese ,but i dont",她是如此富有，她拥有如此大的土地，我是中国人，但我没有
17312,UgxE8p8NsiWLn12i2ht4AaABAg,0,3 years ago,no wonder why chinese people have a high age!,难怪为什么中国人的年龄很高！
17338,UgxJE9Wc_XlHK-MIacd4AaABAg,0,3 years ago (edited),"i’m sure most of those who gave thumbs down are chinese, which shows the complexity with this huge country. unfortunately, fewer chinese people can tell the difference between nation, people , government and the party. some group of them defy anything that goes in or with china unless it is against this country. they hate ccp, and so they hate everything of china.",我敢肯定，大多数给予大拇指的人都是中国人，这表明了这个庞大的国家的复杂性。不幸的是，较少的中国人能说出国家，人民，政府和党之间的区别。他们中的一些人反对在中国或与中国发生的任何事物无视。他们讨厌CCP，因此他们讨厌中国的一切。
17346,UgxFJjCXk_uCv4Wzn3F4AaABAg,0,3 years ago,"chinese cuisine is a bridge between heaven and humans, and the world is alone.",中国美食，是上天与人类沟通的桥梁，独步天下。
17359,Ugz_7s6SA3hDL7Can_t4AaABAg.92l8B0Itr-992uk3Ul3W2V,0,3 years ago,chinese food in the states is trash. what you see here is real original home brew food at it's finest. i so miss home dishes. i want to go but the darn flight are so expensive and long,美国的中国食品是垃圾。您在这里看到的是最好的原始家用啤酒食品。我非常想念家里的菜肴。我想去，但该死的飞行是如此昂贵且漫长
17386,UgzpONnO8ysIUopexzB4AaABAg.92knIKq5sJf92rI0Eyzm2C,0,3 years ago,"ta le i cannot put the chinese government as the best, but it is the only government i trust. i love my country and i respect the government.",我不能将中国政府作为最好的，但这是我信任的唯一政府。我爱我的国家，我尊重政府。
17430,UgwV-uzw6206Qx2IoKZ4AaABAg.92kaKG0I8dO93-IlEBwKp4,0,3 years ago,please speak chinese,请说中文
17447,UgxwP5sr-dm5KOjqpDd4AaABAg,0,3 years ago,"i always like white women,but she change my view,chinese in sichuan also white and beautiful",我一直喜欢白人女人，但她改变了我的看法，四川中文也是白人和美丽
17452,Ugw4Y6TdDjlU9zRkSHR4AaABAg.92kMx1rS9LO92th6SQRHEA,0,3 years ago,holy shit i thought i was the only one lol i thought i was watching an old chinese tv series,天哪，我以为我是唯一一个我以为我正在看古老的中国电视连续剧的大声笑
17479,UgyfjdYFc48YPdO2Jvp4AaABAg,0,3 years ago,"beautiful, traditional chinese food culture.来 we also bring food to africa",好好吃，中国传统美食文化。
17497,Ugwreh38Jm8uuwNdbo94AaABAg,0,3 years ago,"i thought our tripurasa tribe was the only person who ate bamboo, but today i see that chinese people eat the same food like us.",我以为我们tripurasa部落的人是唯一一个吃竹子的人，但今天我看到中国人也像我们一样吃相同的食物，我们几乎只有我们吃山姆的语言相同
17502,UgyLQc2IAj-fZxyw4JN4AaABAg,0,3 years ago,"chinese peasants are modern serfs without an inch of land. and farming completely lose money, not only the obligation of farming to support the government, and additional to go out to work to earn money to support the family! ! it can be said that chinese farmers are the most abject human history, no human rights to speak of. this documentary is nothing like the real life of a chinese farmer.",中国农民是没有一英寸土地的现代农奴。耕种完全损失了钱，不仅是耕种的义务支持政府，还有外出工作以赚钱以养家糊口！呢可以说，中国农民是最卑鄙的人类历史，没有人权。这部纪录片与中国农民的现实生活一样。
17519,UgzB7n11n0RaK0DujjN4AaABAg.92jafgxMBzk92yBEcwN94o,0,3 years ago,"@shawnmz maybe she used to like the positon of dj in night club, nowadays, she have been conveyed the authentic chinese traditional cultures to publicity.",@shawnmz，也许她曾经喜欢夜总会中DJ的正面，如今，她被传达了地道的中国传统文化进行宣传。
17557,UgxHLiuKmbBUw_VYVJ14AaABAg,0,3 years ago,"my chinese is not very good, but i love you",我的中国语不很好但是我爱你
17562,UgwUHeulyDUIu8PMsq54AaABAg,0,3 years ago,"li ziyi is really virtuous and beautiful, with a clever heart, very good chinese girl!",李子柒真的贤惠漂亮，心灵手巧，很赞的中国姑娘！
17642,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92rTb0G9o-9,0,3 years ago,i use the german network to watch a message from a person who watched the chinese online video on a video of the chinese website on the us network.,我用德国的网络看一个用美国网络看中国人发布在国外网站的视频的人的留言
17649,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92sd4lDSWmf,0,3 years ago,i use the japanese network to watch a video posted on the u.s. website with a chinese network,我用日本的网络看一个中国人发在美国网站上的视频
17653,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92tOpuMRj1A,0,3 years ago,"i watched chinese videos with foreign networks → _ →, if i can, i can also post videos to youtube, i do n’t know how the computer uploads.",我用国外网络看中国人视频→_→，如果会我也可以发视频到Youtube上，就是不知道电脑怎么上传额。
17665,UgzqeaWWiN0bztBSpo94AaABAg,0,3 years ago,"dear compatriots, li ziyi's content in terms of traditional culture, farming+confucianism, but these two have been contradictory since ancient times. it is really inappropriate to say that she represents chinese traditional culture. in fact, it is more biased, chinese myth.",各位同胞，李子柒的内容从传统文化来说，农耕+孔儒，然而这两者自古是矛盾的。说她代表中华传统文化真的不合适。实际上更偏向，中国神话。
17699,UgwDKcB0FP0X1zVVb2V4AaABAg,0,3 years ago,"as a chinese, i am envious of her",作为中国人来说，我很羡慕她
18053,UgwzaIGEDtMMSqS9h5J4AaABAg,0,3 years ago,i’m chinese. it reminds me of my childhood!,我是中国人。这让我想起了我的童年！
18058,UgzKh7oPhMg0GaPGBdJ4AaABAg,0,3 years ago,"i am chinese, i like her video although i know that chinese of most dont life as her video.",我是中国人，我喜欢她的视频，尽管我知道大多数人都不像她的视频那样生活。
18060,UgxBNOEbXvea0YqCmJl4AaABAg.92bpytRnG4Q92cqYQOK1Vq,0,3 years ago,"let me tell you why it’s fake, and totally a lie: 1. the pictures here were never a real life of rural life in china before, neither today. it’s an acting. she is a good actress. 2. it’s true she made her meal from scratch. looks like all natural and organic. however through these videos she sells products all made by industrial line. none of those are organic. 3. she has official youtube channel itself shows somehow she is privileged to break chinese law to show so called “chinese value” to the world. i am not saying the law is good. i am just curious who backs her to do this. 4. her videos are generating 84,000,000 chinese yuan (12,000,000 usd) a year partnering with a privileged government backed family to show you a fairy tale, a quiet and soothing life far from business and industry. if this is not lie, what the hell would a lie be like? ! 5. i didn’t say i hate ccp, you said that. i didn’t even mention these three letters. if you hate ccp, may god bless you.....","让我告诉你为什么这是假的，完全是谎言：1。今天，这里的照片从来都不是中国的乡村生活，今天都不是。这是一个表演。她是一个好女演员。 2.确实，她从头开始吃饭。看起来所有天然和有机。但是，通过这些视频，她出售了由工业系列生产的产品。这些都不是有机的。 3.她的YouTube官方频道本身表明她有幸违反中国法律，向世界展示了所谓的“中国价值”。我并不是说法律是好的。我只是好奇谁支持她这样做。 4.她的视频每年产生84,000,000个中国人民币（12,000,000美元），与一个有特权的政府支持的家庭合作，向您展示一个童话故事，远离商业和行业的安静而舒缓的生活。如果这不是谎言，那谎言会是什么样？呢5.我不是说我讨厌CCP，你这么说。我什至没有提到这三个字母。如果您讨厌CCP，愿上帝保佑您....."
18123,UgxbWBioxf9OmPQvssF4AaABAg,0,3 years ago,"i’m surprised that no one has commented about the giant wok she’s been using in all her videos? it is a typical fixed appliance for rural chinese households from the very south of hainan province to the north point at inner magnolia, i have seen giant woks like the one she is using.",令我惊讶的是，没有人对她在所有视频中使用的巨型锅发表评论？这是一种典型的固定设备，适用于从海南省南部到木兰的北点的中国家庭，我已经看到像她正在使用的巨型锅一样。
18664,UgzDXRxKIxcAL_rDG8R4AaABAg.92PmbB_LOwl9331J4_cdJ8,0,3 years ago,"@mkit606 yes, i am chinese and now working in germany?",@mkit606 yes，I am Chinese and now working in GERMANY你也是嘛？
18665,Ugz-HZvf8Ji8D4NUK8N4AaABAg.92PQwmvpLKf92QDCRmEQnF,0,3 years ago,"120 million views.
she certainly does chinese culture and food. wonderfully.","1.2亿次观看。
她当然从事中国文化和食物。奇妙的"
18666,Ugz-HZvf8Ji8D4NUK8N4AaABAg.92PQwmvpLKf92QGlCrPhcA,0,3 years ago,@peacerespect98 thanks for liking them! she has done a fantastic job that china's government could not do yet. i also hope that more people could get chinese culture better through her videos. by the way i come from china :),@pecerespect98感谢您喜欢它们！她做得非常出色，中国政府还无法做到。我也希望更多的人能够通过她的视频来更好地获得中国文化。顺便说一句，我来自中国:)
18667,Ugy-AHuU1UvLfpyoKWl4AaABAg,0,3 years ago,"i once cared about her history, or rumors of plastic surgery. but now i see amazing attention, and i am happy to spread and love chinese food culture. isn't this the most important? i know her disgraceful history as well as her face nose. but what ’s more important that our culture spread all over the world?",我曾经也在意过她的坐台历史，亦或整容传闻。可如今我看到惊人的关注量，我高兴中国饮食文化得到传播及喜爱，这难道不是最重要的吗？I know her disgraceful history as well as her fake nose. But what’s more important that our culture spread all over the world ?
18679,UgwfkMiRedmfhdJKHk94AaABAg,0,3 years ago,li ziqi weibo：https://weibo.com/mianyangdanshen?is_hot=1#1576027398613 here's her chinese message posted on chinese social media,Li Ziqi微博：https：//weibo.com/mianyangdanshen？is_hot = 1＃1576027398613这是她的中文消息发布在中国社交媒体上
18689,UgySH-KJUzmieL_m5c54AaABAg.92OSktSJ7um92RYD2YuSSd,0,3 years ago,"to be honest, northern chinese don't know how to cook.",老实说，北方中国人不知道该怎么做。
