,cid,votes,含chinese,含chinese中文翻译
35273,Ugxt4qsqj0KQLb9pJVF4AaABAg,0,what does chinese chest nut test like,中国胸坚果测试是什么样的
35233,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-9N1v9BPcIAm,0,@therewasnochill8997 sorry you misunderstood chinese education system ๐คฃ,@thewasnochill8997对不起，您误解了中国教育系统
35224,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-9JmecjuCVk2,0,"@therewasnochill8997 nonsense, chinese women's higher education enrollment rate is very high, china is not india, haha",@therewasnochill8997 胡说八道，中国女性高等教育入学率是非常高的，中国不是印度，哈哈
35200,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-98HBPzp4jV2,0,"@therewasnochill8997 the fact is contrary to what you know, i am from china, and the status of chinese women is higher than that of men",@thenwasnochill8997事实与您所知道的，我来自中国，中国女性的地位高于男性
35197,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-97wV-yubAJw,0,"@therewasnochill8997 how could you not love this life?? chinese has suicide nets at foxconn apple phone manufacturing company... 
this woman is potentially the luckiest person in the world.","@thenwasnochill8997你怎么不喜欢这一生？中国人在富士康苹果电话制造公司拥有自杀网。
这个女人可能是世界上最幸运的人。"
35173,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-95HVQ9_6Lqo,0,i'm also cooking chinese food๏ผwelcome to watch,我也在烹饪中国菜，欢迎观看
35169,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-94FsYZb8U7W,0,i've been told this is just a cooking show funded by the chinese government. it's all a setup and not real. there are plenty of these shows on youtube and chinese tv.,有人告诉我这只是中国政府资助的烹饪节目。这都是一个设置，而不是真实的。 YouTube和中文电视上有很多这样的节目。
29099,UgyTS_1hnCz4ii-r-Tl4AaABAg,0,no commentary beauty enhanced chinese tongue on the tongue of china,无解说美女加强版舌尖上的中国
29016,Ugw07UPELPf1zMfSNUZ4AaABAg.8y8hKY3kN918yOFPGlcYvS,0,i think she made those food to celebrate chinese new year.,我认为她做了这些食物来庆祝农历新年。
29014,UgwDxZ98kDvD6Ugyij54AaABAg.8y8tXafhvpX8yDMic9WPB0,0,for chinese new year,农历新年
22912,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192tZHP9AiQM,0,"@priscillayang499 why you so care about the other's mind, so scared of the attacker? you couldn't get any respect if don't have strong self-confidence. i never eat dogs, but i admit that eating dogs is also part of our chinese traditional culture, especially very popular in the yulin city of guangxi province, i respect their culture. if others don't respect our culture and attack us with this culture, of course, i will defend my honor.",@priscillayang499为什么您如此关心对方的想法，如此害怕攻击者？如果没有强大的自信心，您将无法得到任何尊重。我从来没有吃过狗，但我承认吃狗也是我们中国传统文化的一部分，尤其是在尤林市广西省非常受欢迎，我尊重他们的文化。当然，如果其他人不尊重我们的文化并用这种文化攻击我们，我将捍卫自己的荣誉。
23315,UgzQjPF08eImU5qutyZ4AaABAg.92R0Qvpj9gR92XCL3W2v4I,0,@user-io8ky9pf9p has chinese restaurants in the united states,@user-io8ky9pf9p 美国有中餐厅的啊
23314,UgzQjPF08eImU5qutyZ4AaABAg.92R0Qvpj9gR92WmUI430k5,0,chinese food culture has a long history. we have eight major cuisines and countless delicacies. welcome to learn more about china and chinese food.,中国饮食文化历史悠久。我们有八种主要美食和无数的美食。欢迎了解有关中国和中国菜的更多信息。
23226,UgynvQ_4Iapdjw7-dQF4AaABAg.92UBY8jjPmz92ovZ_4EPvl,0,anti chinese rather,反中国人
23222,Ugyb_c46LLoJbHurqjd4AaABAg.92UHbPvF91292_uLOOZD6D,0,why divide? isn't it good to preach chinese culture together,为什么要分？一起宣扬中华文化不好吗
23221,UgzFvxptKRucnF0Q3M54AaABAg.92UKkcUiAmf92X2o8QlRDJ,0,"because most western countries smear china, their media spread bad words all over the world! if you want to know the real china, the chinese, you should go to china to travel. china is not as bad as the media described it",因为大多数西方国家涂抹中国，他们的媒体在世界各地传播了坏话！如果您想了解中国的真正中国，那么应该去中国旅行。中国不如媒体描述的那么糟糕
23201,UgwEObI1rSD-SjRr3N14AaABAg,0,this is the ultimate pursuit of ancient chinese literati-the paradise-style lifestyle,这便人中国古代文人终极追求的 ----- 世外桃源式的生活方式
23195,Ugwa01sShlW7NeRK7v94AaABAg,0,this beautiful lady originally had these videos made to promote her online store. but it reminds me why many ancient chinese scholars and politicians chose to live in the outside world to get away from politics and reality.,这位美丽的女士最初制作了这些视频来宣传她的在线商店。但这让我想起了为什么许多古代中国学者和政客选择生活在外界，以摆脱政治和现实。
23173,UgxH7ZK6_vOLnOq9r8Z4AaABAg,0,chinese spring festival is coming๏ผ๏ผ๏ผ,中国春节即将到来。
23171,UgyuOLDP6e3Lm47KzCJ4AaABAg,0,"wow,amazing! she is an excellent chinese girl",哇，太神奇了！她是一个出色的中国女孩
23153,UgztKD3QY8jtcl9-GwN4AaABAg.92XJ4z3Ll2B92cwt8C3H1B,0,"@detan593 to be honest, advanced technology and technology are still more foreign, at present. but traditional culture is unique. foreigners are actually not much interested in chinese high -tech.",@detan593 说实话，先进科技技术还是外国厉害一些，目前来说。但是传统文化是绝无仅有的。外国人对中国高科技其实没有太大兴趣，传统文化她们更加有兴趣，也更加喜欢
23150,UgztKD3QY8jtcl9-GwN4AaABAg.92XJ4z3Ll2B92ZXmNIhIim,0,"those people think that the traditional chinese things are equal to backward, not good. they have always wanted to show the so -called beautiful things and output the so -called advanced and modern life. they themselves have no confidence.",那些人认为中国传统的东西就等于落后的，不好的，他们一直想要展现所谓美好的东西，输出所谓的先进、现代生活。他们自己都觉得没有自信。
23118,Ugzh07vnpA9YP8_j3Ih4AaABAg.92YXNc_NN1V92babHgvFMW,0,"this is not a documentary. this is a poetic depiction of traditional chinese rural life. that is why humans need music. humans did not need music to survive during millions of years of evolution, but music makes human life experience more enjoyable.",这不是纪录片。这是对中国传统乡村生活的诗意描绘。这就是为什么人类需要音乐。人类不需要音乐在数百万年的发展中生存，但是音乐使人类的生活体验更加愉快。
23117,UgyHYnl3F4ASNqLmOZd4AaABAg.92Yl4flBkOd92awNLrY_Mf,0,@bluewater3216 the chinese gov just bans things that are biased and harmful to china. but legal business activities are protected by law. mostly china bans some social communication platforms due to protect its own ppl who did not get enough education. you know these platforms already become the tool of political and terrorism.,@bluewater3216中国政府只是禁止对中国有偏见和有害的事情。但是法律业务活动受法律的保护。大多数人由于保护自己的PPL而禁止一些社会传播平台，而这些平台没有得到足够的教育。您知道这些平台已经成为政治和恐怖主义的工具。
23114,UgyHYnl3F4ASNqLmOZd4AaABAg.92Yl4flBkOd92au3CGb3Ln,0,bluewater i am chinese but i can use vpn to comment on you,蓝水我是中国人，但我可以使用VPN对您发表评论
23093,UgyEGffCSCapYWhPlt14AaABAg.92ZOfZospFJ92qeAl60I32,0,ๆๆ you know what? chinese ไธญ่ฏๆ€ๆณ is why so disgusting. you must to learn right history from democracy country.,李果你知道吗？中文是为什么如此恶心的原因。您必须从民主国家学习正确的历史。
23067,Ugzh07vnpA9YP8_j3Ih4AaABAg,0,a strange video teaching abnormal values. too elegant to be realistic. this is a staged 'life'. as a chinese i don't like it.,一个奇怪的视频教学异常值。太优雅了，无法现实。这是一个舞台的“生活”。作为中国人，我不喜欢它。
23038,Ugz0-2_4HkEzW-ONbnV4AaABAg,0,"all very nice while doing things with vegetables. but seeing that cook meat, and that it has dogs, and that the chinese eat dog meat ... i began to worry :(",在用蔬菜做事的同时，一切都很好。但是看到那煮肉，有狗，中国人吃狗肉...我开始担心:(
22972,Ugxf-r6kRAdTxD3BWX54AaABAg.92cdmOeTdI492vIsaJy8SH,0,@xinpeng3598 i didn't understand what you chinese thought?,@xinpeng3598 原来 搞不懂你们中国人怎么想的阿？
22970,UgzuoaFKXdxONHHFkO54AaABAg.92cvJ3vqWPc92drSrxkilG,0,for chinese new year. at that time neighbors and relations will visit each other. you should prepare something in advance. or for sale at internet,农历新年。那时，邻居和关系将互相拜访。您应该提前准备一些东西。或在互联网上出售
23363,Ugy1mdXxOOINexCPZUx4AaABAg,0,"looking at the wall, sister zi ran is really great! after seeing a lot of traditional chinese culture, i read the ancient books, and i just learned what was called taohuayuan today.",翻墙来看，子染姐姐真的太棒了！看到了好多中国传统文化，读了古书，今天才了解啥叫了桃花源。
23379,Ugy6zlqS-P8idwZce-x4AaABAg,0,"if i hadn't watched the push of the communist youth league public account, i donโ€t know if there is such a chinese up in the oil pipe haha โ€โ€= =",要不是看了共青团公众号的推送 我还不知道油管有这么一个中国up哈哈= =
23421,Ugw1cqXRJ62QNCoB5st4AaABAg,0,"if anyone who can't understand what the video is saying ,u can ask me . and i'll try my best to help u deal with that.( at least i can do this.) btw i'm chinese",如果有人不了解视频在说什么，您可以问我。我会尽力帮助您解决这个问题。（至少我可以做到。）顺便说一句，我是中国人
23615,UgxjxVjzKUEdlMiEhu94AaABAg.92G0pI78he292MO6GO1Fqa,0,you don't know chinese culture,你不了解中国文化
23676,UgyjieguoxUFGm8Jkfp4AaABAg.92FLn-kq4ft92b0D-jF4z4,0,"many chinese people play english again, export chinese culture to foreigners, hhhh. tell them to learn more about china's food culture",好多中国人再打英文，对着老外输出中国文化，hhhh。 告诉他们多了解一下中国的饮食文化
23675,UgyjieguoxUFGm8Jkfp4AaABAg.92FLn-kq4ft92YIYeS07lt,0,"@jacksmith9419 is actually a lot, otherwise anyone who comes with those chinese brainless blacks hahaha hahaha",@jacksmith9419 其实也不少，不然谁来跟那些中国无脑黑对喷哈哈哈
23667,UgybP1ClGGXJrZWLSdp4AaABAg.92FSUwnqezS92xbGLq41Gs,0,"@1122334455stc i don't understand what you are saying, can we talk in english? i am from california and i love china. in fact, i have a chinese name, ""ๅคงไน…ไฟ็”ฐ"" which i got from a japanese neighbor.",@11222334455STC我不明白您在说什么，我们可以用英语说话吗？我来自加利福尼亚，我爱中国。实际上，我有一个中文名称“大久大久”，我从一个日本邻居那里得到。
23661,UgybP1ClGGXJrZWLSdp4AaABAg.92FSUwnqezS92sL1jK7mto,0,"@wyattjia3202 if we can eat pig ,goat,cow and so on,why cant eat dogs,different culture,different mind,if you dont like it ,try to accept it ,btw,not all chinese eat dogs,only in some places in south china.and some vietnamese and korean also eat dogs",@wyattjia3202如果我们可以吃猪，山羊，牛等中国南部。一些越南和韩国人也吃狗
23657,UgybP1ClGGXJrZWLSdp4AaABAg.92FSUwnqezS92r7AzkFf2z,0,"@wyattjia3202 chinese people in some areas do really like dog meat, let alone it is quite fragrant",@wyattjia3202 有些地区的中国人确实喜欢吃狗肉，别说还挺香
23651,UgybP1ClGGXJrZWLSdp4AaABAg.92FSUwnqezS92qn29pqsmN,0,@canadianvoicevoixcanadienn6049 but chinese people like eat them.,@canadianvoicevoixcanadienn6049，但中国人喜欢吃它们。
23648,UgybP1ClGGXJrZWLSdp4AaABAg.92FSUwnqezS92qM_yeXHoR,0,"โ€ @jianma1849 i am not kidding, could you explain why chinese people eat dogs.",@jianma1849我不是在开玩笑，你能解释中国人为什么吃狗吗？
23630,UgyDXXVpO8nWN9Nfi7x4AaABAg,0,"to the new : her name is li zi qi, she is from china, sichuan province. image china map is a chicken, she stays at the heart of the chicken in the mountains. well, sichuan is a basin and very humid, thatโ€s the reason our people eat a lot of chilies & peppers(the pepper is different from the western black pepper, it is a local product create tingly numbness in month) to release the humid in body. sichuan cuisine is the most widely served cuisine in china(like kongpao chicken)... 
in chinese culture, the intension of return to cropland, is to achieve soul's return and spirit's salvation, many modern chinese admire such idyllic life but not enough courage to give up city life & return rural like i do.... we only can console ourselves through the video like this","新的：她的名字叫李齐·齐（Li Zi Qi），她来自中国，四川省。图像中国地图是鸡肉，她留在山上的鸡肉中心。好吧，四川是一个盆地，非常潮湿，这就是我们人民吃很多辣椒和辣椒的原因（胡椒与西部黑胡椒不同，这是一种本地产品在月份造成麻木的原因） 。四川美食是中国最广泛的美食（例如Kongpao鸡肉）...
在中国文化中，重返农田的直觉是为了实现灵魂的回归和精神的救赎，许多现代中国人欣赏这种田园诗般的生活，但没有足够的勇气来放弃城市生活和像我一样的乡村。通过这样的视频我们自己"
23610,UgwoawYuZAWgMZqf0yt4AaABAg.92GnstOh6bj92H_6bb42Iy,0,"sun sodo, do you say where i hacked her? instead, because i said that i was different, i said that i would resist my personality and mentality? i feel unreal? as a chinese, you must applaud the videos of chinese people? no matter how good a movie is shot, someone feels very boring. even if you have won the international award, let alone go to n places in rural areas to feel the despair of farmers' survival and the many levels of farmers in the future. it is not true, but does not deny the shooting technology and the heroine's efforts, do you have the ability to understand the question?",Sun Sodo 你倒是说说我哪里黑她了？反而是你因为我说了异见所以说抵毁我的人格和心态了？我就觉得不真实不可以吗？身为中国人，一定要把中国人拍的影片说声叫好？一部电影拍得再好都有人觉得很无聊哪怕已经得到国际奖项，更何况去过农村n 个地方感受过农民对生存的绝望和农后代在前途上的重重关卡和障碍的我就是觉的影片中不真实，但没有否认拍摄技术和女主角的努力，你有没有审题理解能力？
23429,Ugxg-ZxSmKZnIeTzBLl4AaABAg.92MVgqRc5RP92R_l1A79xF,0,"if not? there are so many people in the world, you can't always be chinese, right?",不然呢？世界人口这么多，总不能全是中国人吧
23609,UgwoawYuZAWgMZqf0yt4AaABAg.92GnstOh6bj92HZJNSNlIY,0,@moralityisdying3603 who stipulates that rural china should be like? can't li ziyi choose his own lifestyle? did she say that she represents all chinese farmers?,@moralityisdying3603 谁规定中国农村就该是一个样子？难道李子柒不能选择自己的生活方式？她有说自己代表所有中国农民？
23608,UgwoawYuZAWgMZqf0yt4AaABAg.92GnstOh6bj92HZ4ODe1De,0,"the key to cheng sir is not that i have never eaten it. it โ€s not that the environment is not so good. spring is blooming. there is a land and land. what is it joking? i have been to rural jiangxi, hunan. they are all simple dishes. in some days, they do nโ€t grow chickens and do nโ€t raise cattle. i would rather buy it, because it โ€s really hard work, let alone the home of the rural friends in anhui i know. relax, except that the north wind and a large piece of corn are the blue sky. how can it be calculated as the rural life reflected in the film? do you deny that the beauty of the countryside is to play games every day and drink milk tea? it is okay to see this as a relaxed mood, but it is too much reflecting the real situation. how did chinese farmers suffer in the past 30 years? keep your heart in mind.",程sir 关键不是没吃过，是环境没这样好过，春暖花开，有田有地，要啥有啥不是开玩笑吧，我去过湖南江西农村，还好，不富但说不上穷到无地自容，种的都是简单的菜，有些日子好点不种鸡更不养牛，宁愿去买，因为真的是苦活，更加不要说我认识的安徽农村朋友的家，阜阳的，连屋子的砖都是原整齐的，除了北风和一大块玉米地就是蓝天，跟影片所反映的农村生活差天共地，又怎么算呢？否定农村的美好说是天天打游戏喝奶茶了吗？这个当作放松心情来看是可以的，但反映真实情况就太过了，中国农民这三十年是怎么苦我这个不喝奶茶不打游戏同时又对社会没贡献的垃圾还是抱着感恩的心去铭记于心的。
23607,UgwoawYuZAWgMZqf0yt4AaABAg.92GnstOh6bj92HYJWuI5YS,0,"takuuu liu is this. it is possible to mild emotions, but it is not good to make foreigners feel that chinese farmers live like this. after all, most of the rural china are working hard to live a bland life. painting the peer number.",takuuu Liu 这个倒是，当作缓和情绪是可以的，但让外国人觉得中国农民是这样生活的倒是不太好，毕竟中国农村大部分都是很辛苦过着平淡的日子，跟影片里的写意难画上对等号。
23605,UgwoawYuZAWgMZqf0yt4AaABAg.92GnstOh6bj92HXim1GAYB,0,"a small number of chinese people entangled whether li ziyi's videos really reflected in china's rural life, and even a little bit of fire. it is unnecessary to be proud of ""counterfeiting"". you can treat it as a landscape, documentary, even a movie or a series, so that you get the enjoyment, and the relaxation after a day of tiredness. this is why so many foreigners like li ziyi's video. let go of their obsession, and they have to suddenly.",一小部分国人纠结于李子柒的视频是否真的反应了中国的农村生活，甚至有些走火入魔的程度，以“打假”为荣，其实大可不必。你可以把它当作风光片、纪录片、甚至电影或连续剧，这样你得到的就是享受，是劳累了一天之后的放松。这也是这么多外国人喜欢李子柒视频的原因，放下执念，方得豁然。
23499,UgzkwQZ-6fH6p8uKivB4AaABAg.92LVt9jZcXd92Lmw8TSj0Z,0,chinese tvt,中国TVT
23486,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92yysva5fTj,0,"@feifan9967 fools are available everywhere, don't move at home and abroad. it feels that only the chinese have no brains. video of watching foreign languages. except for li ziyi, foreigners in other places are also a bunch of buns. the ignorance of the brainwashing is also a pile of ignorance.",@feifan9967 傻子哪儿都有，不要动不动国内国外的，感觉只有中国人没脑子一样，看外语的视频，除了李子柒的，其他地方老外也是杠精傻子喷子一堆，而且满脑子政治正确那种被洗脑的无知评论也一堆，不要一棒子打死，觉得是中国人劣根性
23485,UgwJt5W2j5q1D2nLUbd4AaABAg.92Ld0RvqjFc92pU-4yN7Rw,0,ugly chinese,丑陋的中国人
23435,UgzJ-LxGcvo82rmElip4AaABAg,0,thank you for liiziqi to teach me how to make chinese snacks. โค,谢谢您的liiziqi教我如何制作中国小吃。 ❤
22919,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192zxydZY1oK,0,"@wyattjia3202 not all chinese eat dogs,and more chinese pepple love dogs and try to protect dogs.i know there have a small number of people eat dogs,and these acts have been condemned all the time.......",@wyattjia3202并非所有中国吃狗，还有更多的中国胡椒狗，试图保护狗。我知道有少数人吃狗，而且这些行为一直被谴责
22906,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192q6EgSN-Ry,0,chinese eat dogs.,中国吃狗。
23766,UgwQUMVNzOlksDxF5Eh4AaABAg,0,"li ziyi is a wired name in chinese, easy confused with li ziran","李子柒is a wired name in Chinese, easy confused with 李子染"
22851,Ugxi1YjLbrDC3WSLgvh4AaABAg.92gVd5WUAGC92lOaflkoMv,0,"there are no walls made of chinese fbis, japan, taiwan, europe and other countries. they have been planned and split, and can they come out? look at iraq in ukraine, the nearest hong kong.",没有墙中国造被美国的FBI，日本，台湾，欧洲等国家各种手段策划分裂了，还能出来李子柒？看看乌克兰伊拉克，最近的香港。
21627,UgxarPX3wesNn8dE0Hl4AaABAg,0,china great pass! do you dare to let the real chinese village look like? world tumor! like north korea! just show the world to show you what they want to give you!,中国大外宣！敢放真实的中国乡村样子吗？世界毒瘤！跟北朝鲜一样！只给世人看他们想给你看的！
21615,Ugxl04psn6EJIlonuWN4AaABAg.93Turk74VEU93Ve6Q5QGnw,0,"@sofiamidkiff7644 www.ncbi.nlm.nih.gov/pmc/articles/pmc4808959 then search popcorn on that article. it says as traditional popcorn machines in china are made from lead alloy and high temperatures cab release lead vapors, the lead levels in chinese traditionally made popcorn can be elevated. meant no disrespect as i have eaten it too until i got a closer look at the machine and learned more",@sofiamidkiff7644 www.ncbi.nlm.nih.gov/pmc/articles/pmc4808959，然后在该文章中搜索爆米花。它说，由于中国的传统爆米花机是由铅合金制成的，驾驶室释放铅蒸气，因此中国传统上制造的爆米花的铅含量可以提升。在我仔细观察机器并学到更多之前，我也没有尊重它，因为我也吃了它
21611,UgyqNQ2Zf2lNEgBxmxR4AaABAg.93V8OKBgzoo93dYmT-m0fL,0,"@ghostlike7947 i admire liziqi for all her skills and efforts and for looking after grandmother so very well๐‘๐‘ i know this is part of chinese culture but she let's the world into family life in the countryside, which is no doubt a hard life, but it has its rewards amongst the beautiful setting of the mountains,",@ghostlike7947我钦佩liziqi的所有技能和努力，并为祖母照顾祖母非常好。它在美丽的山区环境中具有奖励，
21566,Ugzr0EcFg6i8ZQmlGXN4AaABAg.93XaknuHJRw93a2a2alP5X,0,"oh? could it be that the handsome european packaging is gentle and handsome? japanese women are all av actresses? didn't these two countries do? isn't it packaged? what, look at the people and things of other peoples and things, and think that the girls in the mainland will use the heart to record the chinese culture and say that they are deceiving.",哦？莫非韩国包装过得帅气欧巴（哥哥）个个都是温柔体贴帅气的？日本就个个女人都是AV女优？这两个国家做的不也是骗人？不也是包装出来的？怎么，看着别国人与事很美好就觉得应该的，内地的姑娘用心去把中华文化记录下来就说人家骗人。
21557,UgyihU0D6FBBSTwgEEl4AaABAg,0,well chinese communist party only allow these type of chinese youtube channel because there's no political content.. so i love it,中国共产党只允许这种类型的中国YouTube频道，因为没有政治内容。
21402,UgwHKzswF66GmzquMMh4AaABAg,0,chinese chestnut in mizo thingsimim,中国栗子在Mizo Thingsimim
21365,UgwYN8owYGT2_ISDb_14AaABAg,0,thatโ€s cheating foreigners.you canโ€t have all chinese food growing in your house,那是在作弊。外国人。
21335,Ugygm3SwnWMWdUrENrZ4AaABAg,0,"you can also know the atmosphere of the chinese countryside .. something is quiet, nice and nice ^^",您还可以知道中国乡村的气氛。
21315,Ugw8is6bYRxVvpte8Z94AaABAg,0,so that's the happy life in the chinese countryside ? why are both parents leaving children and farm for a year and work far in the cities ?,那就是中国乡村的幸福生活吗？为什么父母都离开孩子和农场一年，在城市工作很远？
21275,UgxDHr4_TO2dUfeREKd4AaABAg,0,chinese blog is very interesting. please subscribe and support us about russian blogs and pranks.,中国博客非常有趣。请订阅并支持我们关于俄罗斯博客和恶作剧的频道。
21201,Ugyg1USHW4pZOO14yPZ4AaABAg.93vDXHWAZ2F93wD5hFu-Fn,0,"why do you say that she is built by the chinese government's beijing team? do you understand her birth and her childhood background, and her experience of growing up? do you come out in the countryside, is your hometown still what you lived before? furthermore, children from the countryside deserve to be hard, and can't be poetic and colorful. can't life be rich and colorful? the chinese government has been in poverty alleviation in the world in the past 40 years. the current rural life has greatly improved, and the people's living standards have become increasingly improved. did you not see it?",你凭什么说她是中国政府北京团队打造？你了解她的出生及其孩童时期的背景，以及她成长的经历吗？你是农村出来，现在你的家乡还是你以前生活的样子吗？再者农村出来的孩子就活该苦逼，就不能诗情画意，生活就不能丰富多彩了吗？中国政府在过去40年脱贫率世界第一，现在的农村生活大大改善，人民生活水平日渐提高你没看见吗？
21200,Ugyg1USHW4pZOO14yPZ4AaABAg.93vDXHWAZ2F93vG101cNbQ,0,"do you understand art? isn't it a work that describes suffering? chinese traditional art has always discovered beauty and creation in a difficult life. do you think the pastoral beauty described in ancient poems is realistic? and don't think that the government will participate in this kind of private creation with such a little trouble. government staff's work standards have always been ""not wrong"", not to ""see"", so popular popular works on the internet are privately created, including li ziyi's works.",你懂艺术吗？不是描写苦难的作品，就不能发表吗？中国的传统艺术，从来都是在艰难的生活中发现美、创造美。古诗中描写的田园美景，你以为就是写实的吗？而且别以为政府会参和这种小打小闹的私人创作。政府工作人员的工作准则从来都是“不出错”，而不是让群众“喜闻乐见”，所以网上受欢迎的流行作品，都是私人创作的，包括李子柒的作品。
21184,Ugyg1USHW4pZOO14yPZ4AaABAg,0,"this is a team with a background of the chinese government to create a series of rural pastoral life. i am a rural life. there is no poetic and painting as the girl performed by this girl. hardness, this video is to promote stability and maintain stability. it does not understand the true survival of chinese farmers, lives, and other strata in china. foreign friends show the colorful idyllic life of chinese farmers. there are many many yang gailan families.",这是一个有着中国政府背景的团队打造一系列的农村田园生活，我就是一个农村生活的人，没有像这个女孩表演的那样的诗情画意，丰富多彩，完全是掩盖中国农民悲惨的命运，以及生活的艰辛，这个视频就是宣传维稳，给不了解中国农民真实生存，生活的，中国其他阶层，外国友人展示中国农民丰富多彩的田园生活，我们那里还有很多很多杨改兰家庭。
21151,UgyVSxYrVaUVQmIxo694AaABAg,0,the thought has passed my mind that these films are chinese govt propoganda. similar in concept to mao's cultural revolution. made by a big production team.,我想到这些电影是中国政府的宣传。概念与毛泽东的文化大革命相似。由大型生产团队制造。
21038,Ugz5P4xPsdR6Z9czEyd4AaABAg.941vCdSLPgO94aZv_33mUb,0,"nolan beatrolyn jeez, sheโ€s chinese. donโ€t get them mixed up",Nolan Beatrolyn Jeez，她是中国人。不要把它们混在一起
20975,UgxNy21W9LDvFNB5WBZ4AaABAg,0,can't compare 700 years of american culture with the chinese who is like more than 3000 years...,无法将700年的美国文化与超过3000年的中国人进行比较。
20863,UgzcEiwzyl20jFK2EmF4AaABAg,0,this chinese girl stole my heart,这个中国女孩偷了我的心
20797,UgxDegkfZN6Y30zyLgR4AaABAg,0,popcorn with a chinese martial art's movie explotion is life,爆米花与中国武术的电影爆炸是生命
20617,UgxNOMPmwdLdScdXiXN4AaABAg,0,"why other chinese not same you 
don't eat strange things!!!","为什么其他中国人不一样
不要吃奇怪的东西！！！"
21909,Ugz_0xsYngt7nON70Cl4AaABAg,0,"remember, she's chinese. in china, youtube and other things are banned. either she is on a good side of china where there is no dictatorship or she is just living her best life. both are good outcomes so don't get angry at me this is not a hate comment. this is simply a good comment from a horrible english speaker.",记住，她是中国人。在中国，YouTube和其他事物被禁止。她要么在没有独裁统治的中国良好的一面，要么只是过着最好的生活。两者都是不错的结果，所以不要对我生气，这不是仇恨评论。这只是一个可怕的英语说话者的好评论。
21985,UgyDEXKw7zPBbS7cn4d4AaABAg,0,almazan kitchen meets hot chinese lady sign me up! this is just like an rpg fairytale n i love it,Almazan厨房遇到热中国女士签约我！这就像rpg童话一样，我喜欢它
21996,UgzDnqRajTpTETRhoMh4AaABAg.937zIckeQ1493EGvT1Bkrz,0,amt dwt she has an online store on taobao. hereโ€s the link(everything is in chinese though): https://liziqi.m.tmall.com/?ajson=1&parentcatid=0&spm=a21wu.11154615-us.0.1&user_id=3965833216&item_id=598614273525,Amt DWT她在淘宝上有一家在线商店。这是链接（虽然所有内容都是中文）：https：//liziqi.m.tmall.com/?ajson=1&parentCatid = 0&spm = a21wu.11154615-us.0.1＆user_id = 396583216＆item_idem_id = 598614272525
22406,Ugzwy-pcpQb8hDdL8w54AaABAg,0,"a plastic-surgery-ed version of chinese rural places, just like our streets are full of plastic-surgery-ed faces.",中国农村地区的塑料手术版本，就像我们的街道上充满了塑料手术的面孔一样。
22833,Ugxi1YjLbrDC3WSLgvh4AaABAg,0,"why are there less chinese reviews? how many english comments? ~ the reason is that wall! intersection if it wasn't for the wall, ziyi's attention would definitely be hundreds of millions, and the comments would be hundreds of millions! from this point of view, i hate you, wall! intersection intersection intersection .............................................................................ipet is a fewer chinese comments here than english one? ndreds millions, and the comments would be more than hundreds miss ... in this regard, i will like to say, i have ""you""- the wall !!!!","为什么中文评论少？英文评论多？~原因是那堵墙！！如果不是有墙，子柒的关注度肯定上亿，评论也得以亿计！由此看来，我恨你，墙！！！！………why there is a fewer Chinese comments here than English ones? the reason is the ""WALL""-firewall!! if there were not that wall, Ziqi's fans could have more than hundreds millions, and the comments would be more than hundreds millions....in this regard, i would like to say, i hate ""you""-- the WALL!!!!"
22792,UgxXfJnlkqYMHxmKayt4AaABAg,0,0:40 are the dogs for chinese new year dinner ??๐,0:40是在农历新年晚餐的狗吗？
22633,UgyNtoEik4MxwMKEOl54AaABAg,0,"it reminds me so many memories while i am still a child living in a small chinese village. those scenes, fruits, traditional food and equipment could be seen in that time. people carries them walk through villages to earn little money for a simple living, send their children to school with the money, they sell sugar, popcorn to kids play on the open ground, feel like spring festival.......but now, we are surrounded by enormous commodities, yet we never feel that kind of happiness when we put a small sugar into our mouth",当我还是一个住在一个中国小村庄的孩子时，它使我想起了很多回忆。在那个时候，可以看到这些场景，水果，传统食品和设备。人们带着他们走过村庄，赚了很少的钱来以简单的生活，将孩子们送去上学，他们出售糖，爆米花给孩子们在开放的地面上玩，感觉就像春节........但现在，我们被巨大的商品所包围，但是当我们将小糖放入嘴里时，我们永远不会感到幸福
22563,UgxB2LaFeQbJSxkMltt4AaABAg,0,"enter the girl formula to live a peaceful life in the countryside, beautiful, firm, very cute. chinese rural media in the past perfectly from chinese novel fans",输入女孩公式，在乡村过着和平的生活，美丽，坚定，非常可爱。过去的中国农村媒体完美来自中国小说迷
22555,Ugx8sVNHw93D_N3IulN4AaABAg,0,is chinese directly gone?,中文直接没了吗
