,cid,votes,含watch,含watch中文翻译
15343,UgxavkRG8eJ9yJEUG1Z4AaABAg,0,"love you so much, do u need a translator, i can use the airtime project, i like your younger sister very much, shouldn't i be the only chinese who watch your video in the outer network?","love you so much ,do u need a translator ,I can use airtime pro to make subtitles,非常喜欢你小姐姐，我应该不是跑到外网的唯一一个看你视频的中国人吧？"
15082,UgwI6Y7ikUBll2aUN8N4AaABAg,0,i don't know why i love to watch this,我不知道为什么我喜欢看这个
11117,UgxEi0NPm71TytU5X6p4AaABAg,0,i love watching you.,我喜欢看你。
15133,Ugzdcq4xzb_xdcrexid4AaABAg,0,"dont know how i found this channel but now i'm binge watching. these people eat like gods,lol",不知道我是怎么找到这个频道的，但是现在我狂热地看着。这些人像神一样吃东西，大声笑
11051,UgyeDh6FuL1p_Iv0At94AaABAg.98458JxWhWi9845_qv8Y3C,0,"watching you prepare food and take care of the home is good for my heart ... it instills a sense of peace and tranquility!
yummy!!!","看着您准备食物并照顾家对我的心脏有好处...它灌输了一种和平与安宁的感觉！
好吃！！！"
15172,UgyS9WB7o0chZ__g8f14AaABAg,0,i am watching from türkiye very fondly,我非常亲切地从türkiye看
15195,Ugy3XWMQHhg1qHH0Sax4AaABAg,0,"hi which china you come from? china cctv shows a totally different rural china here 
https://www.youtube.com/watch?v=qrhsradoygo

and this rural chinese village is very different as well
https://www.youtube.com/watch?v=dcvbrv14_hq","嗨，你来自哪个中国？中国闭路电视在这里显示了完全不同的农村中国
https://www.youtube.com/watch?v=qrhsradoygo

这个乡村中国村庄也大不相同
https://www.youtube.com/watch?v=dcvbrv14_hq"
15198,UgyyujWv7FjpHBejdYF4AaABAg,0,"very nice liziqi,watching yours and dioaxi videos almost every day while having dinner or whenever i'm in low mood to have peaceful mind... keep it up..


your videos made me to do my own videos in healthy and different way... thank you so much
https://www.youtube.com/watch?v=6o8-b6_sj18","非常不错的利兹奇，几乎每天都在吃晚饭时几乎每天观看您的和dioaxi的视频


您的视频使我以健康和不同的方式进行自己的视频...非常感谢
https://www.youtube.com/watch?v=6O8-b6_sj18"
15239,UgzH83--jo1IB6McU1V4AaABAg,0,so addicting to watch,如此上瘾的观看
15262,UgyK-IqlwoPvF3mksid4AaABAg,0,wow i'm the only mexican watching these amazing videos,哇，我是唯一看这些令人惊叹的视频的墨西哥人
11050,UgyXF2jKwDEXEEIObO94AaABAg,0,it's so calming to watch her work,看着她的工作真是太平静了
15291,UgzF2It001VppOKzTqx4AaABAg,0,li ziyi is so beautiful i like to watch you video,李子柒 好漂亮 我喜欢看你了视频
15306,UgzFDLgAhR10Rp355l54AaABAg.93JtQ1y5qs_93NrdTK0FiP,0,"@baraclude you know what, i never even noticed her tools! i watched some other videos after and noticed that she certainly is very wealthy. thank you for clarifying! i was so intrigued, but also so curious and confused!",@baraclude您知道了什么，我什至从未注意到她的工具！之后，我看了其他一些视频，并注意到她当然很富有。谢谢您的澄清！我很感兴趣，但也很好奇和困惑！
15336,UgyxFJqS046oLyuOQ0J4AaABAg,0,"i can't stop watching her videos
i am so overwhelmed

thank you ms. liziqi","我不能停止观看她的视频
我好不知所措

谢谢Liziqi女士"
15353,UgxPltIr7Y4EURYWRJ14AaABAg,0,watching liziqi's videos like watching films about the life of ancient chinese people who have wealth in cultural and culinary. it feels cool in the heart.,观看Liziqi的视频，例如观看有关文化和烹饪丰富的古代中国人生活的电影。内心感觉很酷。
15535,UgzxQ7xU6Un0w8H-iWB4AaABAg,0,"none of what i just watched looked appetizing at all...... like, nothing, literally. but was calming 2 watch, that’s for sure. looks can be deceiving though, that i know. i’d try it, just wouldn’t want 2 watch it be prepared! lol",我刚刚看过的一切都没有看起来像是开胃的……就像，一无所有。但是正在平静2手表，这是肯定的。我知道，看起来可能是欺骗的。我会尝试的，只是不想2观看它做好准备！哈哈
15364,UgxB3t1w8JL5Yg8YbTp4AaABAg,0,"after watching the new year, i wanted to go to the chinese supermarket to buy a bag to eat snails. i haven't eaten it before, but i want to try it abroad. essence do you have any authentic brand recommendations? coordinate san francisco, usa.",大新年的看完就想冲去华人超市买包即食螺蛳粉，之前在国内没吃过，出国反而想尝试一下。。 万能的网友们，有啥地道品牌推荐么？ 坐标美国旧金山。
11038,UgzRUDhEXlO_wDeY2pp4AaABAg,0,why do i feel so at peace when im watching this..? l find it so hard to concentrate on everything she is doing because of her magnetic persona ? such a beautiful human being ...,当我看着这个时，为什么我会感到和平？ l认为由于磁性角色而很难专注于她所做的一切？如此美丽的人...
11004,UgyQ8LOK-5FGgoILN1R4AaABAg,0,i watched all your videos and here i am waiting for more,我看了你所有的视频，在这里我正在等待更多
15430,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9AkLL9t5YpP,0,"@bozhoujin5925 , it is quite obvious you are a subversive agent of the chinese communist party . your name has been reported . you will be watched .",@bozhoujin5925，很明显您是中国共产党的颠覆性代理人。您的名字已报告。您将被观看。
15446,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9I6d332xAqB,0,"@straitarrow5784 lol. have you watched chinese government propaganda lately? it's not as slick as this. 
if li ziqi is just a paid ""actress"" as you claimed her to be, at least she's got actual consummate cooking skills. also, she's actually farming & chopping stuff. good luck seeing fan bingbing ""acting"" like this. 
don't be that petty betch jealous of whoever's playing her fake grandma cashing in those government cheques lawl.","@straitarrow5784大声笑。您最近看过中国政府的宣传吗？它并不像这样光滑。
如果李齐（Li Ziqi）只是您声称自己的付费“女演员”，至少她拥有真正的烹饪技巧。另外，她实际上是在耕种和切碎的东西。祝您好运，看到粉丝bingbing这样的“表演”。
不要那个小的贝奇嫉妒谁在那些政府支票劳尔（Lawl）弹伪装的人。"
15454,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9NwR7mFN64P,0,https://www.youtube.com/watch?v=2ohlnmnhj80&t=111s,https://www.youtube.com/watch?v=2Ohlnmnhj80&t=111s
15455,UgxM6M0zpu3k7SD32RR4AaABAg.93FjALA-hss9Nxdww8UxsW,0,https://www.youtube.com/watch?v=obqsnyb22dq,https://www.youtube.com/watch?v=Obqsnyb22dq
15483,UgwNd4JsOdtlYKltpYd4AaABAg.93F45rsb-Cr93OKytd2O7h,0,i watched the video well. why are so many people in china scolding her?,我看视频做得不错啊，为啥国内那么多人骂她？
15494,UgwTJUlMp3QDh8jN1tF4AaABAg,0,old fashion way of life is always good so relaxing to watch,旧的时尚生活方式总是很好，所以放松
10997,UgzcnRBZj4cb_UzcqIZ4AaABAg,0,"yeah, really cool ... not tired of watching na ... the pengen makes this hard like there is no one shooting ... who wants to see my content ... get to my channel",是的，真的很酷...不厌倦看着Na ... Pengen很难像没有人拍摄...谁想看到我的内容...进入我的频道
10987,UgyLgFmQw2GhgK03ys54AaABAg,0,everyone also watched the channel for me vs home,每个人也都看过我的频道
10964,Ugz3ycij7dFjB2o2VQV4AaABAg,0,"who has translated into vietnamese ???
watch it very well ....","谁转化为越南人？？？
看得很好。"
15526,UgxAefH2O5Vj9c8a2o54AaABAg.93CxIJq9r1F94AS5obQOsr,0,"hi nan wang..., a number of skillful translators who understand chinese have been posting comments which are actually the english equivalent, so foreigners can get the meanings there, besides, many lao wais just love watching and do not need the details, some videos have captions weeks later.",嗨，Nan Wang ...，许多理解中文的熟练翻译人员一直在发表评论，这些评论实际上是同等的，因此外国人可以在那里获得含义视频几周后有字幕。
16321,Ugy3_NC5BHdvi--yTEB4AaABAg.92wSGEE7rcY92wZzQ3MaDL,0,"this is absolutely not traditional farmer's life in china, nobody said it is. why not focus on the food, the lifestyle, the sense of aesthetic in it? that's all this video about. if you expect to see poor people and miserable life in china, you are at wrong place.
btw, she gets rich by hardworking as a video content maker. watch more, and you'll see why","没人说，这绝对不是传统农民的生活。为什么不专注于食物，生活方式，美学感？这就是所有有关的视频。如果您期望在中国看到穷人和悲惨的生活，那您就在错误的地方。
顺便说一句，她作为视频内容制造商的努力工作变得富有。观看更多，你会明白为什么"
10622,UgzBY839W4O-Uh1DoYh4AaABAg,0,who is the indo people watching this?,印第安人看着这个人是谁？
17849,UgwQAiCGz9NQ-7wi9o54AaABAg,0,"after watching ziyi's video, i am even more confused. what kind of life is what i want?",看了子柒的视频，我更加迷惑，什么样的生活才是我想要的？
16440,UgzU2Z8vWPrDzQagW4x4AaABAg,0,just watching makes me feel so peaceful... it soothes my mind from daily stresssssss,只是看着我感到如此和平...这让我从日常的压力中舒缓了我的想法
17261,UgwmPkAZarKIjiKWsNV4AaABAg.92lrC3-PunF92zybuDGKPa,0,"they are watching you, no privacy",他们在看着你，没有隐私
17370,UgxnxtrVO307ru2a8LZ4AaABAg,0,"those lucky *&*& who are eating this food , 
i feel relaxed just watching this","那些幸运的 *＆ *＆谁在吃这种食物，
我只是看着这个"
17394,Ugz8T1nA488W1HpASBR4AaABAg,0,i feel healthy just by watching this..,我只是通过看这个就感到健康。
10277,Ugxl-XqsW6fKwAU9iMh4AaABAg,0,"how does she do it .
she can cook so much food .
everything she find in the woods she can cook .and it look so delicious to .i enjoy it so much watching her cooking all those things and making all those hand craft to .she the best .and she knows a lot about herbs and others stuff.its amazing","她怎么做。
她可以做很多食物。
她在树林里发现的一切都可以做饭。看起来很美味。我非常喜欢她，看着她烹饪所有这些东西，并使所有这些手工制作到最好的。她对草药和其他东西都了解很多。它很棒"
17444,UgxlhpAQvJaHV3nSC-d4AaABAg,0,"not sure how i ended up here, but i have subscribed after just a couple of minutes. this is so incredibly well filmed and so peaceful to watch. simply beautiful and fascinating.",不确定我是怎么回到这里的，但是仅几分钟后我就订阅了。这是如此令人难以置信的拍摄，非常宁静。简单美丽而有趣。
17445,UgwTr6vgRNRs7EMXXfZ4AaABAg,0,"i really like watching your video, happy! come on",很喜欢看你的视频，开心！加油
17452,Ugw4Y6TdDjlU9zRkSHR4AaABAg.92kMx1rS9LO92th6SQRHEA,0,holy shit i thought i was the only one lol i thought i was watching an old chinese tv series,天哪，我以为我是唯一一个我以为我正在看古老的中国电视连续剧的大声笑
17555,UgyfivlJs8BQ_wkS1RR4AaABAg,0,um looking for her new video...all most all done to watch.everyday um searching her here and watching same video again n again.lisa loves u liziqi ♪♥♪,嗯，寻找她的新视频...所有的全部都在观看。每天都在这里搜索她并再次观看同一视频。
17601,Ugxe8ZZuxf2dbTRdgRh4AaABAg,0,"i have to admit that i have no resistance to nizi with red shirts. after watching the video, the quiet bgm, the familiar child screamed, the ritual feels life. thanks! it is a moment of peace brought by the author",不得不承认我对红色衣衫的妮子没有抵抗力。看了视频视频，安静BGM，熟悉的子了叫，仪式感的是生活。谢谢！是作者带来的片刻安宁
10171,UgxpLUOVADKoy2ImPml4AaABAg,0,well she is living life to its full meanwhile we lay on couches all day and watch yt,好吧，她整日躺在沙发上并观看yt
17624,Ugy8_drWdVCcrpXhotR4AaABAg.92iOjyLRCpT92pFk0BG9FA,0,"watching so many plum videos, i really heard li zi talking for the first time",看那么多李子的视频，我还真的第一次听到李子说话
17627,Ugy8_drWdVCcrpXhotR4AaABAg.92iOjyLRCpT92rTvfio6hd,0,"which dialect is this, the first time i watched her video",这是哪的方言，第一次看她的视频
10160,UgwucH9Z8vj4mKwmYUJ4AaABAg,0,"dunno why, but watching her video makes me do housework haha",不知道为什么，但是看着她的视频让我做家务哈哈
10136,Ugync-3IyhgZ3vOJOLh4AaABAg,0,hi liziqi all right with you i really like watching your videos return something to me,嗨，liziqi，我真的很喜欢看你的视频给我返回一些东西
10113,UgxvZjYWdl0X4qOJTkB4AaABAg,0,i like to watch.,我喜欢看。
17642,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92rTb0G9o-9,0,i use the german network to watch a message from a person who watched the chinese online video on a video of the chinese website on the us network.,我用德国的网络看一个用美国网络看中国人发布在国外网站的视频的人的留言
10077,Ugz-PTDWUeOTYscxpHt4AaABAg,0,watch miss yeah good channel,看小姐是好频道
17649,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92sd4lDSWmf,0,i use the japanese network to watch a video posted on the u.s. website with a chinese network,我用日本的网络看一个中国人发在美国网站上的视频
10055,UgwV7GWiwagqLOwidDR4AaABAg,0,"idk why, but this is the most calming thing to watch",idk为什么，但这是观看的最平静的事情
17653,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92tOpuMRj1A,0,"i watched chinese videos with foreign networks → _ →, if i can, i can also post videos to youtube, i do n’t know how the computer uploads.",我用国外网络看中国人视频→_→，如果会我也可以发视频到Youtube上，就是不知道电脑怎么上传额。
17657,UgxW81R99cPbf3bu0s54AaABAg.92iL8s-QtKf92ukFsvn07L,0,i watched the us network in china to watch the video published on the us website in the united states on the united states on the united states on the united states.,我在中国用美国的网络看你在美国用美国的网络评论中国人发布在美国网站上的视频
10034,UgysTSQhFcH23_3w0mN4AaABAg,0,https://www.youtube.com/watch?v=zzt11hubykc&t=148s,https://www.youtube.com/watch?v=zzt11hubykc&t=148s
17673,UgyYbLa0ma4sh6II76R4AaABAg,0,watch her video like watch a movie! i think she got have a professional/hollywood-level crew supporting her. but the food look great though.,观看她的视频，就像看电影一样！我认为她有一个专业/好莱坞水平的工作人员在支持她。但是食物看起来很棒。
17677,UgzfDslfx7qfK-WtSrN4AaABAg,0,"damn, why do i want to watch this late at night, so hungry, it looks delicious, this taste looks super authentic",我靠，为啥我要深夜看这个，好饿啊，看上去都好好吃啊，这味道看上去就超正宗
9980,Ugz__--WYO6a2U4MZRV4AaABAg,0,aj's bamboo shoot video that watched wants 40 million views ...,观看的AJ的竹拍录录像带想要4000万次观看...
17719,Ugy63eGQzXQE_DqqzWt4AaABAg,0,"sure enough, many foreigners watched, although she said that her videos were distinctive, but it is undeniable that the shooting was very good.",果然很多老外看，虽然说她的视频有失真实，但是不可否认拍的很好
17774,Ugy2sTBo4avqikJjOsN4AaABAg,0,i watched this video in the countryside.,田园生活 看这视频很羡慕 真要是去待一个星期 又有多少人会觉得无聊
17789,Ugz8YUyEExRBl1U5QDF4AaABAg.92gUgMnnxiG92mYs-w-FVk,0,the first one is that the wind stops https://www.youtube.com/watch?v=d2q8zswxkmo&list=rdd2q8zswxkmo&start_radio=1,the first one is 那风停下 https://www.youtube.com/watch?v=D2Q8ZswxKmo&list=RDD2Q8ZswxKmo&start_radio=1
9964,UgwsM0VOK8Fmo4RGUD94AaABAg,0,"is she liziqi's boyfriend ?
https://www.youtube.com/watch?v=poesr_2nrxm","她是利兹奇的男朋友吗？
https://www.youtube.com/watch?v=poesr_2nrxm"
17206,UgyyFimUPnsW-dijU-14AaABAg,0,after watching this video i had a strong urge to throw out my laptop and run to the mountains to live off the land...,观看了这段视频后，我强烈渴望扔掉我的笔记本电脑，跑到山上居住在土地上...
17171,Ugy3DbnZ4ZQj61XKAKB4AaABAg,0,"i found from douyin, i have been paying attention to weibo, then watch the update at station b, and then watch the video of the oil pipe to watch the video",从抖音发现，到微博一直关注，再到B站看更新，再来油管看视频
17160,UgzxuJB24Zdt1LxBJKl4AaABAg,0,"i prefer china on the tip of the tongue, is this watching mime?",我更喜欢舌尖上的中国 这是在看哑剧 吗
16752,Ugyvxbt-trccShpJTr94AaABAg,0,"she is my dream wife just plain and simple woman no drama just only about family. i feel so at peace watching these videos
my god i wish i lived their","她是我梦dream以求的妻子，只是简单而简单的女人，没有关于家庭的戏剧。我感到和平观看这些视频
我的上帝，我希望我活着"
16447,UgyObnJZqoeVGCuckoR4AaABAg,0,multi -suggestions for foreigners to watch with english subtitles,外国人看的多建议配个英语字幕
16454,UgwRFiQT7swO8Ccn4TJ4AaABAg,0,i watched it. essence,看的我都馋了。。
16491,Ugx-OXCLifn3zZRVMBp4AaABAg,0,"i would like to be there, everything is natural, even while watching i felt myself there",我想在那里，一切都是自然的，即使看着我在那儿感到自己在那里
16508,UgzjFyYL1C8_mF45RId4AaABAg,0,i feel so hungry watching the noodle dish being cooked.,我觉得很饿，看着面条菜。
16534,Ugy-_-GOYfeNRq0APCV4AaABAg,0,"the hustle and bustle of the city, watching such a video made me very quiet. i was worn out by the steel flood too much patience. the impression of the countryside is very small. i miss the tranquility of my childhood.",城市的喧嚣，看这样的视频让我很宁静，被钢铁洪流磨掉太多耐心，对乡村的印象微乎其微，怀念小时候的宁静
16538,Ugx6StlIHPgNOdXVEPB4AaABAg,0,i really can't stand it anymore. i watched this kind of video in the middle of the night and wanted to rush out to eat,我真的受不了了，大半夜看这种视频，想冲出去吃东西
16560,UgwVPbdvh3vWg9dq4KR4AaABAg,0,this is my childhood memory. i watched it in tears. thank you for staying in the pure inheritance.,这都是我童年的记忆，我是含泪看的。谢谢你留下的至真至纯传承。
16561,Ugw22j_3O4kCl61OIZ94AaABAg,0,vietnam who is watching yourself 1 like. hehe,越南看着自己1。呵呵
16569,UgziQ2kNFRYbVweROW14AaABAg,0,i love watching these videos so much i find peace in my mind i love to be in such an environment.,我非常喜欢看这些视频，我在脑海中发现和平，我喜欢在这样的环境中。
16573,UgwNGOuRANb6qpm0GNh4AaABAg,0,"i really can't stand it. a bunch of chinese people in the comment area said there that they were so tender and not as acting as farming. i just want to ask, even if the performance is, watching this video is definitely a professionals. there is such a professional team that people who have such a heart can sink their hearts in this deep mountain lao lin silently record life to spread our culture. can you do this like this, people offend you or what happened, you just work hard. when others make achievements, you continue to bumper. some people may not be as good as others. really fucking waste, i fuck your mother, a group of waste, continue to force, and lose our chinese face!",我真就受不了了，评论区一堆中国人在那儿杠说人家手这么嫩不像干农活还说就是表演。我就想问，即使是表演怎么了，看这个视频运镜绝对是专业人士，有这样一个专业团队，有这样有心的人们能把心沉下来在这深山老林默默记录生活来传播我们的文化，你能做到人家这样么，人家是得罪你还是怎么了，你们就使劲杠吧，当别人做出成就之时，你们继续杠，可能有些人都不如人家子柒，还在这酸，杠，真他妈废物，我操你们妈的，一帮废物，继续逼逼，丢咱中国人的脸！
10522,Ugy2evfB1S4Zqrg2xiN4AaABAg,0,"i found that her channel is about two weeks. i seemed that she had just watched her video at the beginning. she couldn't believe it. a beautiful and young girl would be amazed. one night, the video was very tired (not smooth) and slowly felt a bit unreal when watching too much. it was just like an actor who needed to experience life for a certain shot. before she shooting practice it yourself, and then make a video, otherwise it will not be explained! there is definitely a team behind it. a young girl must learn so many skills in such a short time and it is impossible to be self -sufficient. it is impossible to learn so many skills by living at the age of 60, although i have i have any with such an analysis and conclusion, even if she is an actor, she is a diligent, clever and capable actor.",我发现她的频道也就二星期左右，实事求是说刚开始看了几期她的视频真的不敢相信，一个貌美、年轻女孩子会那么多各种“技艺”惊叹不已，断断续续看了几个晚上，视频看得很累（不顺畅）看多了也慢慢感觉有点不太真实，是乎是一个演员为了某一镜头需要去体验生活一样，在她拍摄前可以请人帮教，再经过自己练习，然后再拍成视频，否则无法解释！背后绝对有团队在操作，一个如此年轻的女孩子在这么短时间内要自学那么多技能又要自给自足根本不可能，按一般常理就算活到60岁也不可能自学那么多技能，尽管我有有这样的分析与结论，就算她是个演员也是个勤奋、聪明、能干的优秀的演员。
16642,UgymTiyEVjaVTEGvGYd4AaABAg,0,love watching you create.,喜欢看着你创造。
16653,UgzKE83GpLamqTQg5BB4AaABAg,0,picking the tears that i watched in the field of tianluo is full of eyes ...,拣拾田螺那段看的热泪盈眶⋯
16820,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI939Gboitk49,0,my 9 year old disliked one of her videos because i was watching it instead of playing with him....,我9岁的孩子不喜欢她的一个视频，因为我在看着它而不是和他一起玩。
10345,UgyapfTjgcjUagX8WWR4AaABAg,0,wow you are incredible to watch,哇，你很难以观看
16821,UgxjySQyWB6VBun_lLt4AaABAg.92qrT3Z16hI939I-zIHADG,0,"@tehkettybear lol, you would love to see the fact and truth, why don't you watch news, you will see street gun fighting in american, that is the most beautiful scene in america.",@TehkettyBear大声笑，您希望看到事实和真理，为什么不看新闻，您会看到美国最美丽的场景中的街头枪支战斗。
16845,Ugx3sZzGMr5Acl0V6Vx4AaABAg,0,"i can’t stop watching this lady’s videos now...! ladies, all over the world, take notes!",我现在不能停止观看这位女士的视频...！女士们，全世界，记笔记！
16894,UgzW8s0g_F1klq_ULwt4AaABAg,0,"after watching the news weekly magazine, i forgot to see it, but now i actually brushed it.",看了新闻周刊想过来看看的结果忘了，现在居然让我刷到了。
16897,Ugwz97v14PEOjG2IHAZ4AaABAg,0,so peaceful to watch.,如此安静地观看。
16898,UgxwuwTdCfvMNrY1O7V4AaABAg,0,i use the new zealand internet to watch the video published on the new zealand website,我用新西兰的网络看中国人发布在新西兰网站上的视频
16956,UgypcTMSERhsesivfvt4AaABAg,0,"when i watch her videos, it makes me feel so relaxed. they take me to another place where my problems aren't of importance. i love her videos",当我观看她的视频时，这让我感到非常放松。他们带我去了我的问题并不重要的另一个地方。我爱她的视频
16997,UgyWuDY5MnLIMa1QLO54AaABAg,0,"i would never cook these things yet it's i m watching ,it's beautiful!!",我永远不会做这些东西，但我看着，它很漂亮！
17045,UgzntZFBrSieW1osNt94AaABAg.92oN3Ucr8Zh92vj2cfZAdt,0,"not only you are sick, made can watch it casually without turning over the wall. now when you come out, you should not run away.",有病的不只你一个，玛德不翻墙就能随便看，现在出来居然看这个，难道我不应该是奔着P站去的么
17079,Ugzzp6gjWvHqEYVmoWx4AaABAg,0,incredible! i didn't know this channel and now i'm 2 hours ago watching several videos. it is hypnotic. hahahaha,极好的！我不知道这个频道，现在我两个小时前观看了几个视频。它是催眠的。哈哈哈哈
10479,UgyprXZ8va7AKyp89ZV4AaABAg,0,"just found this channel and i ended up watching all her videos. please adopt me, i want to live with you and your grandma",刚刚找到了这个频道，我最终观看了她的所有视频。请收养我，我想和你和你的奶奶一起生活
17095,UgwSuv1ncXtExNMui0l4AaABAg,0,why are foreigners watching it? do foreigners like this kind of cooking style?,怎么都是外国人在看啊？外国人喜欢这种做饭风格吗？
17104,UgzZ0rmyErfa_oLN1_t4AaABAg,0,i actually watched the stir -fried video on youtube?,我居然翻墙在youtube上看炒菜视频？
17119,UgwzHCTRKCYe1JsCBCl4AaABAg,0,"watch this with my mom
me:
mom: find a girl like her
well mom she is literally my type","和我妈妈一起看这个
我：
妈妈：找到一个像她这样的女孩
好吧，妈妈，她实际上是我的类型"
11143,Ugxddbd7XSgQk-eDeP54AaABAg,0,https://www.youtube.com/watch?v=xxm1w8wwq24,https://www.youtube.com/watch?v=xxm1w8wwq24
15024,UgxnzH3H46eh9-pPOQx4AaABAg,0,me watching her videos: i wanna to marry her,我看着她的视频：我想嫁给她
11204,UgzMTERMq4uK3ztT3NR4AaABAg,0,"its amazing everyone from every country watches this great job
work hard","每个国家的每个人都很棒，看着这项出色的工作
努力工作"
14871,UgwKKtnQubrwD0XF6rZ4AaABAg.93rFsZfE4f493u1WS3FvPx,0,no she don't need to buy sugar she can make it herself https://www.youtube.com/watch?v=rc6arq8szai,不，她不需要购买糖，她可以自己做https://www.youtube.com/watch?v=rc6arq8szai
12700,Ugzv9dsJi-UwzCbN_m14AaABAg,0,"why haven't you seen a new video for a long time? how are you? today i see a new vlog of your avatar. i clicked on the registration but another girl made a video, i thought that girl had taken your image to make youtube pulled viewers to them. i am a vietnamese like to watch you cook.",您为什么很长一段时间都看不到新视频？你好吗？今天，我看到了您的头像的新视频博客。我点击了注册，但另一个女孩制作了视频，我以为女孩拿了您的形象，使YouTube吸引了观众。我是一个喜欢看你做饭的越南人。
11608,UgzHaN24_nEdgWKdJph4AaABAg,0,indonesia watching like,印度尼西亚看着
12753,UgxJFqxpMYT5M5jG1uV4AaABAg,0,chinese state propaganda and soft power projection - but it sure is a nice watch.,中国国家的宣传和软权力投射 - 但这肯定是一款不错的手表。
12770,UgxZd9oav6OazTJ5QU54AaABAg,0,"my mind feels cool n refreshing ,,by watching liziqi,,",我的头脑让我感到很凉爽，看着Liziqi，
12772,UgypTsXaHBerpIc7vo14AaABAg,0,"watching this video is now eating instant noodles, poor",看这个视频的现在在吃泡面，可怜
12792,UgxO-CAZiSf23HCVpit4AaABAg,0,when watching these videos i get the feeling that i don't even really know how to human...,观看这些视频时，我会感觉到我什至不知道该如何成为人类...
12857,UgyILzwMrxdu6kn9CB94AaABAg,0,watching in 2020 and this is my second videio of her channel.and just look at her life its just like a dream world,在2020年观看，这是我的第二个视频。
12860,UgwQXJINHTi32tXE5UN4AaABAg,0,"fresh and stunning food i love it 
my mouth was watery watching her cook all that","我喜欢新鲜而令人惊叹的食物
我的嘴很水，看着她煮所有的"
12870,UgziVK1mg5v2NwdNiex4AaABAg,0,"good life. this is a person's death. i think about china and ethnic minorities, but people live in china. i'm watching well.",美好生活。这是一个人的死亡。我想到中国和少数民族，但人们生活在中国。我看着很好。
12871,UgwQXJINHTi32tXE5UN4AaABAg.96E80v_4WRw96ppejbFA39,0,"well,,,a different part of my body watered while i was watching her , jesus am i sick ?",好吧，当我看着她时，我的身体的另一部分浇水了，耶稣我生病了吗？
12909,Ugyd3OSn-O_PbQZhYXh4AaABAg,0,i can't watch liziqi videos without getting hungry! now i watch them while eating breakfast. it is a very relaxing way to start the day :),我无法观看liziqi视频而又不会饿！现在我在吃早餐时看着他们。这是开始一天的非常轻松的方式:)
11595,UgySX2Wy0DCp2e-fLMN4AaABAg,0,you are too good i am watch your all video i like your video.,您太好了，我正在观看您喜欢您的视频的所有视频。
12939,UgytWROnurt7fOcPZJp4AaABAg.968AXRHyf1Z96u8grHViZ3,0,"@aaaaaaaa5916 yes this is what they have been telling us all those years! we were all born to this lie. check my comment and links above, please watch the videos. i was like you most of my life. i hope you can see the truth.",@aaaaaaaa5916是的，这就是他们这些年来一直在告诉我们的！我们都出生于这个谎言。检查我的评论和上面的链接，请观看视频。我一生都像你。我希望你能看到真相。
12942,UgytWROnurt7fOcPZJp4AaABAg.968AXRHyf1Z97AKdF5MiHD,0,"@mariaceleste7580 i don't think you want to be killed neither the animals you put on your plate.
the fact is yes people been eating meat for long time and also killing other people for long time, it doesn't mean we must to it as well right? please read &watch link i posted above and learn the truth.","@Mariaceleste7580我不想被杀死您放在盘子上的动物。
事实是，人们长期以来一直在吃肉，还杀死了他人长时间，这并不意味着我们还必须吧？请阅读和观看我上面发布的链接并了解真相。"
11576,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw9Cn1uPCi1R3,0,https://www.youtube.com/watch?v=coeyukh_ma4,https://www.youtube.com/watch?v=coeyukh_ma4
12969,UgxsSqirGwL6WyZ49e94AaABAg,0,i like to watch you very much.,我喜欢看你。
13076,UgwsZDggund_8uJQA0Z4AaABAg,0,i really like this girl's channel! watch all the time boring! i wish to live here ??,我真的很喜欢这个女孩的频道！一直看无聊！我想住在这里吗？
11566,UgwOKaIWeB3nIXK7cUJ4AaABAg.97SYDnx5UUw98R838bBT0F,0,@mrrit i like this interview a lot more xd https://www.youtube.com/watch?v=yvggquw0g7w,@mrrit我喜欢这次采访更多XD https://www.youtube.com/watch?v=yvgggquw0g7w
