,cid,votes,time,含skill,含skill中文翻译
22201,UgwI6L7EUPwilX6f7_V4AaABAg,0,3 years ago,"the cinematography and storyline are amazing to watch. sheโ€s such amazing skill and hardworking to me. i once visited a village area and barely survived. ๐คญ๐คญ so much work to prepare for the food i ate such as plucked the chicken feather before cooking, or chopped the cassava tree to make stem cassava. 

i truly admire her and her work","摄影和故事情节令人惊叹。她对我来说是如此出色的技巧和勤奋。我曾经参观过一个村庄，几乎没有幸存。 

我真的很佩服她和她的工作"
23027,UgztXElowmV98Sh40Id4AaABAg.92a20StX2dg92cL-m-1Uyl,0,3 years ago,"if you call a channel with full of skills and high quality sponsored by ccp, i can only say that ccp is so dumb that they donโ€t let other channels in china with same quality enter youtube. liziqi is just one of many popular channels in china, so funny that just a channel that we get used to has made some foreigner so afraid hahaha. you better send your comments hundreds times everyday,otherwise it will be flooded and disappear in the comments of her 6 millionen fans",如果您打电话给CCP充满技能和高质量赞助的频道，我只能说CCP是如此愚蠢，以至于他们不允许中国其他频道具有相同的质量进入YouTube。 Liziqi只是中国许多受欢迎的频道之一，如此有趣，以至于我们习惯的渠道使一些外国人如此害怕哈哈哈。您最好每天发送数百次评论，否则将在她的600万粉丝的评论中被淹没并消失
23904,Ugy3SDVbRoQ6kPrcbO94AaABAg,0,3 years ago,"for all those people complaining in the comments that theyโ€ll never live a life like hers-whatโ€s stopping you? donโ€t say money, because she didnโ€t exactly start out with much, or any close family members to help out apart from her grandma, who canโ€t really do much of the heavy labour. donโ€t say location either-even if you only own a small flat or town house you can always find room for a small chilli pot plant or herb garden. donโ€t say you lack the skills-ziqi missed out on a large proportion of school to help out with family-it is never too late to start learning, and none of the things she does are unachievable (after all, plenty other chinese farmers, and farmers across the globe probably work in very similar fashion, perhaps just less aesthetically pleasing as ziqi makes it seem bless). if you want a life like hers, stop complaining that youโ€ll never be like her when the ability to do so is freely available to you. laziness is not an excuse on this world which we can only stay on for a temporary amount of time. talking never got anyone anywhere-itโ€s actually following through on what you say that matters.",对于所有这些人在评论中抱怨自己永远不会像她那样过的生活的人 - 什么阻止了您？不要说钱，因为她并没有完全从事太多或任何亲密的家庭成员来帮助她的祖母，他们实际上无法做很多沉重的劳动。不要说位置，即使您只有一个小型公寓或联排别墅，也总是可以为小辣椒锅或草药花园找到空间。不要说您缺乏Ziqi的技能 - 在很大一部分的学校里都缺席来帮助家庭 - 它永远不会太晚开始学习，而她所做的事情都不是无法实现的（毕竟，其他很多中国农民，全球的农民可能以非常相似的方式工作，也许就像Ziqi所说的那样，在美学上令人愉悦。如果您想要像她这样的生活，请停止抱怨，当您可以自由使用时，您将永远不会像她一样。懒惰不是这个世界上的借口，我们只能暂时待一段时间。说话从来没有让任何人在任何地方都可以遵循您所说的重要内容。
24006,Ugww-zSX_n9yW0SnviZ4AaABAg,0,3 years ago,i can't get enough of these videos the lambs the puppies her exquisite skillthese these are the most serene in god filledl videos i love them,我无法获得这些视频，羔羊幼犬她精致的技巧，这是我爱他们的上帝填充视频中最安静的
25131,UgzlMUx7Ug8lCR-1bOZ4AaABAg,0,3 years ago,"this beautiful girl works a lot ... has a lot of skills, but seems to be explored. i have this impression.",这个美丽的女孩工作很多...有很多技能，但似乎正在探索。我有这种印象。
25964,UgwxwBC9ckkGBzF-IPZ4AaABAg,0,3 years ago,"first of all she is naturally beautiful. she has a lot of skills. she is strong too lol she can carry heavy loads of fruits. she has two assistants yes but she directs most of her videos. i just love how she can just cook anything or do anything like make her dye her dress, embroided clothing or pillowcases. and how she handles things with care. people in her town said she is a very hardworking person. intelligent and has talent. she is just amazing. makes me wanna plant and make a beautiful garden. she inspires millions of people around the world. she is a real life amazing princess.",首先，她天生美丽。她有很多技能。她太坚强了，大声笑她可以携带大量的水果。她有两个助手是，但她指导了大多数视频。我只是喜欢她如何做任何东西或做任何事情，例如使她的衣服，绣花衣或枕套染色。以及她如何小心处理事情。她镇上的人说她是一个非常勤奋的人。聪明并且有才华。她真是太神奇了。让我想种植一个美丽的花园。她激发了世界各地数百万的人。她是一个现实生活中令人惊叹的公主。
28602,UgwvlmBEZVybrDm7ujx4AaABAg,0,3 years ago,"this woman knows how to do just anything and everything. she knows how to forage, cook and preserve food, she knows how to make beautiful furnitures from bamboos, she knows embroidery, she knows how to sew and dye a dress, she knows how to make strings from her sheep's wool and i've only watched like 3 of her videos??? most of us go to universities to learn only one of those skills??? what????",这个女人知道如何做任何事情。她知道如何觅食，做饭和保存食物，她知道如何用竹子制作美丽的家具，她知道刺绣，她知道如何缝制和染色，她知道如何用绵羊的羊毛制作弦看着她的3个视频？？？我们大多数人都去大学学习其中一种技能？？？什么？？？？
25999,Ugx9dJ_Gy-4LDYHYneZ4AaABAg.8zrykg_VVxf9-N2aN2wuyD,0,3 years ago,damien asendorf it does romanticize it a bit. but itโ€s cool to know she can cook like this and is very skilled at it.,达米安·阿斯多夫（Damien Asendorf）确实将其浪漫化了一点。但是很高兴知道她可以这样做饭，并且非常熟练。
26948,UgyGDhnD8GOD5cpwPyF4AaABAg,0,3 years ago (edited),woow her skills are amazing.,她的技能很棒。
27009,UgytoADga1YV3fmneu94AaABAg,0,3 years ago,"for a woman who did so much of tough works, her fingers are surprisingly soft and pretty. 
i am not saying the video itโ€s total fake, but it is definitely scripted, very well written each steps, and the camera shooting were above professional, i am not surprised if thereโ€s a professional team behind this video, and a much older experienced person to teach her how to do. and she probably had some experiences of her own and she learnt quick, she was pretty skillful in the video you can see. but the quality of the filming, the flow make it hard to believe that thereโ€s no golden production team behind its making","对于一个做很多艰苦工作的女人来说，她的手指令人惊讶地柔软而漂亮。
我并不是说视频是完全假的，但是它肯定是脚本的，每个步骤都写得很好，而且相机拍摄均高于专业，如果此视频背后有专业团队，我并不感到惊讶，还有一个老年经验丰富的人来教她怎么做。她可能有自己的经历，她学得很快，她在您可以看到的视频中非常熟练。但是拍摄的质量，流程使很难相信其制作背后没有黄金制作团队"
27334,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB93khr5o6L6M,0,3 years ago (edited),i'm amazed with her skills.,我对她的技能感到惊讶。
28094,UgzijUf9gElv6KyDSuF4AaABAg,0,3 years ago,"i am amazed by her skills, but the setting is too good to be true.. everything around her looks like its set up in perfect order a bit too perfect. every door and window, even how hand made stuff has a cinematic feel to it..good job by tourism development and culture promotion department of china.. we may not believe but all this rich and vibrant culture was considered old and was burnt away by communists.. hope people there are happier now in modern times..love the theme..and girl is really talented.. good camera work..",我对她的技能感到惊讶，但是设置太好了，无法实现。.她周围的一切看起来都完美地设置了一些完美的设置。每个门和窗户，即使是手工制作的东西也有电影的感觉。.通过中国旅游业发展和文化促进部的好工作。我们可能不相信，但是所有这些富裕而充满活力共产主义者..希望人们现在在现代更快乐。
28504,Ugx1U3FVMqqEizM9cc54AaABAg.8yULX7QVGYw8yW7u_tbDP2,0,3 years ago,"awesome space yes. she has a team. but i believe that her skills, house, plants and her love to her grandma are true. we can feel the natural life without phone, internet and crowd cities.",很棒的空间是的。她有一个团队。但是我相信她的技能，房屋，植物和对奶奶的爱是真实的。没有电话，互联网和人群城市，我们可以感觉到自然的生活。
28517,UgwrC7FHfvUuB2XAb_94AaABAg,0,3 years ago,"liziki you are the brightest star on this earth ...hope you will shine for ever with your skills and talent forever.๐ค—๐ค—๐ค—
love you from india","利兹基（Liziki）你是地球上最聪明的明星...希望您永远以自己的技能和才华永远发光。
来自印度的爱你"
52494,UgxsGi6NlJgpXOu0gP14AaABAg,0,4 years ago,when will it be as skillful as a lice,什么时候会像虱子一样熟练
