,cid,votes,time,含nature,含nature中文翻译
12191,Ugx3G2tiLuZLK6VkQi14AaABAg,0,3 years ago,i love the combined of nature & the scenes that happened in the video. good job liziqi.,我喜欢自然的结合以及视频中发生的场景。好工作liziqi。
8189,UgyHMPlJfrzX5BnBh2J4AaABAg,0,2 years ago,all available in nature .... happy to see it ...,所有人都在自然界...很高兴看到它...
8038,UgyDr8gQ0cKhiW5cmoR4AaABAg,0,2 years ago,nature is really beautiful. women are beautiful.,大自然真的很漂亮。女人很漂亮。
7901,Ugz8M7KKvqKRDLhvHhp4AaABAg,0,2 years ago,"i hope that the sound comes from nature without music, so we can feel that we are in the forest and live in this place",我希望声音来自大自然而没有音乐，因此我们可以感觉到自己在森林中，并在这个地方过着氛围
7900,UgxJRoxUC2u28nG_RN94AaABAg,0,2 years ago,"i hope that the sound comes from nature without music, so we can feel that we are in the forest and live in this place",我希望声音来自大自然而没有音乐，因此我们可以感觉到自己在森林中，并在这个地方过着氛围
7899,UgxbdjRSDRo8xDf3m_p4AaABAg,0,2 years ago,"i hope that the sound comes from nature without music, so we can feel that we are in the forest and live in this place",我希望声音来自大自然而没有音乐，因此我们可以感觉到自己在森林中，并在这个地方过着氛围
7819,UgwWaCgYPIZ8IOD2NjF4AaABAg,0,2 years ago,it's all about nature...so please don't destroy our mother.....nice video...,一切都是关于自然的...所以请不要摧毁我们的母亲.....不错的视频...
7778,UgxPZR_UIuUhuJ10LXF4AaABAg,0,2 years ago (edited),"flat to company and back perpetual again and again , flavoured processed food and years passing like weeks. car horns for bird sounds ,gutters for streams ,buildings for trees ,chemical filled rains ,smoke filled air,everyday routines mechanical like carefully arranged gears in an engine ,money as the fuel and soon will be like machine, without soul away from nature and surrounded by only artificial things.",一次又一次地对公司和永久性，调味的食物和几年过世。汽车喇叭，用于鸟类的声音，溪流的排水沟，树木的建筑物，化学雨水，烟雾充满烟气，日常日常工作，例如发动机中的精心布置的齿轮，燃油和燃料，很快就会像机器一样，没有灵魂远离大自然和仅被人造事物包围。
7418,UgysE4DbzcwH32eRD914AaABAg,0,2 years ago,"i love nature, hope once i visit this beautiful place",我爱大自然，希望一旦我参观这个美丽的地方
7349,UgzGNLuJdaGbO-TCdyx4AaABAg,0,2 years ago,i don't know and don't understand language.. don't know what's she cooking and eating .. but only reason i came to this channel for the green ness and the beauty of nature . i aslo love her lifestyle โค๏ธโค๏ธ,我不知道和不了解语言。.不知道她在做饭和吃什么。但是，我来到这个频道的绿色和自然之美的唯一原因。我爱她的生活方式❤️❤️
7210,Ugzo-azAhJEcN4Msh5h4AaABAg,0,2 years ago,superb relaxing beautiful nature loving video ๐ from pakistan dye heart fan of you,优秀的轻松美丽的自然爱情视频
6834,UgxEb_J8dljQkEdyQqp4AaABAg,0,2 years ago,dish bakbas hai but nature is so much lovely,菜bakbas hai，但大自然太可爱了
6729,UgwLYGa6gfD_E8sA6_d4AaABAg,0,2 years ago,nature class.,自然班。
6662,UgzhaydvA_Mcfwq00HZ4AaABAg,0,2 years ago,adorable nature,可爱的本性
6371,Ugzt25Jvd4kL3HqXfll4AaABAg,0,2 years ago,nature is real heaven โค๏ธ,大自然是真正的天堂❤️
6294,UgwdQf-FuTL0b4ybV0J4AaABAg,0,2 years ago,"how nice to lead a life like this, with a lot of peace and tranquility among nature. very beautiful videos.",过着这样的生活，在自然界中充满了和平与安宁，真是太好了。非常漂亮的视频。
6203,UgzhJnvZJdsWVdDOv1t4AaABAg,0,2 years ago,"this is a beautiful nature in this world, how is the paradise of god almighty.
cooking with pottery is wonderful, it is older than metals. wonderful vegetables.
maher, cooking.
may god save us from the problems of wahhabism and the rulers of the arabs, who have the luck of the king of the world under them, without them, except for sabotage, burning, and killing.
they wish to destroy these countries, alamoud, who rejoice in their zionist masters, britain, america, and behind america, virus karuna destroyed their people and the peoples of the world.
what did america receive from their viruses, they wanted to reduce the percentage of elderly and unemployed retirees and use their killer treatments to kill peoples.","这是这个世界上美丽的天性，全能上帝的天堂如何。
用陶器烹饪很棒，它比金属还老。很棒的蔬菜。
马赫，烹饪。
愿上帝拯救我们摆脱瓦哈比主义的问题和阿拉伯人的统治者，他们在他们下面拥有世界之王的运气，没有他们，除了破坏，燃烧和杀害。
他们希望摧毁这些国家，阿拉莫德（Alamoud），他们在犹太复国主义大师，英国，美国和美国之后感到高兴，病毒karuna摧毁了他们的人民和世界人民。
美国从病毒中获得了什么，他们想减少老年人和失业者的百分比，并利用杀手治疗来杀死人们。"
6123,UgzHHroDozG-C7F3qMF4AaABAg.9F-etG6-Osu9I0hUznq_2G,0,2 years ago,"encourage me for more nature videos like, share, subscribe to my channel friends .. natural bird sounds https://youtu.be/ezfmbkjcevy",鼓励我制作更多自然视频，例如，分享，订阅我的频道朋友。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
6105,UgxsoGIivf5QyxdC6LB4AaABAg,0,2 years ago,u impress me...we have a terrace garden and close to mother nature and gives joy,你给我留下了深刻的印象...我们有一个露台花园，靠近大自然，并给予欢乐
6090,Ugz1yQjl1hqnEq1YJ914AaABAg,0,2 years ago,"i wish this lady hosts people to hospitalize, learn healthy eating and enjoy nature by organizing tourism trips",我希望这位女士通过组织旅游旅行来接待人们住院，学习健康的饮食和享受大自然
8239,UgxyRg0qoor2h6ZN2t14AaABAg,0,2 years ago,super cooking and very healthy everything takes itself in nature would be so good to live like that tray,超级烹饪和非常健康的一切在大自然中都将是如此出色，就像那个托盘一样
8390,UgzPQb1DFfTe1HmDz894AaABAg,0,2 years ago,love the nature โค๏ธ,爱大自然❤️
8434,UgzS1jxsTgp2BZ1rnOl4AaABAg,0,2 years ago,nature has enough for our need but not for our greed.,大自然足以满足我们的需求，但不能满足我们的贪婪。
10694,UgxqSpb3Gk81b3ZvGH54AaABAg.98VupjufjU79CQ3jmwK5cA,0,2 years ago,why can't everyone be close to the nature ? why can't we at least ?,为什么每个人都不能接近大自然？为什么我们至少不能？
12001,Ugz_M7u0UOcXqEToEhh4AaABAg,0,3 years ago (edited),i want to go to your village. i like nature. i like cooking for life that has never been seen.,我想去你的村庄。我喜欢大自然。我喜欢从未见过的一生做饭。
11892,Ugy_DOJ-Z1xYfDzGY1F4AaABAg,0,3 years ago,"#1 survive corona
#2 live happy with nature
#3 ummmm #3????
oops,
note: u live in a city that when this pandemic is over u will be seeing pollution and many different human activities. 
#1 survive
#2 live far far away
#3 live happy.","＃1生存在电晕
＃2与大自然幸福
＃3嗯＃3 ????
哎呀，
注意：您住在一个城市，当大流行结束后，您将看到污染和许多不同的人类活动。
＃1生存
＃2住很远
＃3生活快乐。"
11855,UgyZ7y5Ohnu61RgcYJd4AaABAg,0,3 years ago,"those actually look really tasty and it’s all from nature, no artificial stuff",这些实际上看起来真的很美味，这全都来自大自然，没有人造东西
11585,UgyjepqooynnjBexnhx4AaABAg,0,3 years ago,"at first i wonder if she have refrigerator, untill i realized that nature is the refrigerator.",起初，我想知道她是否有冰箱，直到我意识到大自然是冰箱。
11500,Ugynmg98h_dzn29MtuV4AaABAg,0,3 years ago,"the key to harmony between man and nature is that there are so many people. little girls and grandma live in their hometown and live enviable, but they are all rural areas. this bamboo shoot is not enough to eat.",人与自然和谐的关键是人别多，小姑娘和奶奶在老家自由自在生活让人羡慕，可是都会农村，这点竹笋就不够吃喽
11452,Ugxbi8qthWoHXiaVzNx4AaABAg,0,3 years ago,nature provide everything. lucky you.,自然提供一切。幸运的你。
11056,UgxId9g1L5p1yxJDkbJ4AaABAg.983uw-XMhZF989PHolKfHb,0,3 years ago,welcome to china!chinese food is based on nature!,欢迎来到中国！中国菜是基于大自然的！
10908,UgyOunSdEVLr3mr6Xzt4AaABAg,0,3 years ago,"this is the best place for quarantine..
lots of fresh foods and ingredients are abundant in this place...mother nature...","这是隔离的最佳场所。
许多新鲜食物和成分在这个地方很丰富...大自然..."
10452,UgwoDoElgiN0EIob_U14AaABAg,0,3 years ago,such awesome connect with nature.,与自然的联系如此出色。
8654,Ugyle8CSAkE7GTsEttd4AaABAg,0,2 years ago,"i love your videos. they are pure life. dignifying work, union with mother nature. beautiful shots, photography, musicalization ... art in its splendor. i admire what you do and admire this woman !!! god bless you! every time i see them ... they give me life lessons!",我爱你的视频。他们是纯粹的生活。有尊严的工作，与大自然的结合。美丽的镜头，摄影，音乐化...艺术辉煌。我欣赏你所做的事情，欣赏这个女人！！！上帝祝福你！每次我看到他们...他们给我生活课！
9967,UgwLcIUQk4VZvM2TWrh4AaABAg,0,3 years ago,immersed in nature. really like.,沉浸在自然界中。很喜欢。
9640,UgwsFV9cxgvP5uRBXmZ4AaABAg.99mkur8G6R69AiU_bPwzr0,0,2 years ago,sichuan is a basin so its full of life and abundat in nature's produce. ๐,四川是一个盆地，因此在大自然的农产品中充满了生命和丰富的生命。
9540,UgzipHOWZpv8FKVhWL94AaABAg,0,3 years ago,indeed the favors of the wores of god live in nature,确实，上帝崇拜的恩惠生活在自然中
9409,UgzkpoLOobqW1uEaPbR4AaABAg,0,2 years ago,delicious healthy directly metik in nature,美味的健康直接在大自然中
9152,UgzoK5ZdD9BGEKWLX-V4AaABAg,0,2 years ago,"the harmonious beauty of people beauty, jingmei, man and nature!",人美、景美、人与自然的和谐美!
9082,Ugxs36aSWO27HFvWFqN4AaABAg,0,2 years ago,"nature-super, the girl is so hardworking",大自然，这个女孩是如此努力
8707,Ugw57qJAE8eiX3vul9R4AaABAg,0,2 years ago,in indonesia it called rebung... and she always gives me insight how life should run... give thank to nature..,在印度尼西亚，它叫Rebung ...她总是给我洞察生活应该如何运转...感谢大自然。
8685,UgytbBlG8PDh6ax_RX94AaABAg,0,2 years ago,"wow!!!! what a more natural lifestyle .... impossible .... taking advantage of everything you have, wisely usufructing nature ... and the work and care that is seen in each of its movements ..... truly wonderful !!! they raise the category of goddess ... and by the way its beauty is the most beautiful thing one can imagine, i was speechless to describe it .... simply presents ...
ja, and here, we, among cheef masters and high -tech kitchens and books and recipe books .... among the voragines of light and overabundance, between the reflectors of the cameras and the flashes of fame ..... we do not self -prove to the category of cheef hight, because we cook some potatoes and some green in a soy sauce or some morondanga mejunje ...
that absolutely far we are from simplicity, humility and wisdom ....","哇！！！！多么自然的生活方式....不可能。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。他们提高了女神的类别……而且它的美丽是人们可以想象的最美丽的东西，我无语地描述了它。
JA，在这里，我们在Cheef Masters和高科技厨房，书籍和食谱书中。。。不是自我居住在cheef hight的类别中，因为我们在酱油或一些莫伦达加·梅朱杰（Morondanga Mejunje）中煮一些土豆和一些绿色...
我们与简单，谦卑和智慧绝对远。"
6005,UgyQtGQIxJJ53txetZ94AaABAg,0,2 years ago (edited),"nature, healthy food, serenity and beauty. ๐๐๐ค—",大自然，健康食品，宁静和美丽。
5992,UgydA7zSxbUwaEtSiGV4AaABAg,0,2 years ago,it is not only say how cook meals but also shows the calmness and beuty of the nature i am very much happy about looking the surroundings it gives me mental relaxationโคโค,这不仅说烹饪饭，而且还表现出了自然的平静和善良，我很高兴看到周围的环境使我心理放松
5867,UgzlhAyktodWiOeVsKF4AaABAg,0,2 years ago,i also like to be like this because the green garden is soo good nature to survive,我也喜欢这样，因为绿色花园是如此的天性，可以生存
1690,Ugx-cacp3bWgdoB8OK94AaABAg,0,1 year ago,cook from nature,从大自然中做饭
2800,UgyjokKB5kT-vLggUk54AaABAg.9RPpxXlXsf_9UpjKWbP5bp,0,1 year ago,"@cassiahlly yeah the view and the fact you can get close to the nature, those are nice as when you go there for a vacation. live a life there, get away from the convenience of current technology. it's difficult, it's not ugly, might be deep inside u think it's ugly, so u assume what i think it is ugly.",@cassiahlly是的，景色和事实您可以接近大自然，就像去那里度假时一样。在那里过上生活，摆脱当前技术的便利。这很难，这并不丑陋，可能在内部深处，您认为这很丑陋，所以您假设我认为这很丑陋。
2249,Ugw3AUbrqk_ho0U5K_N4AaABAg,0,1 year ago,"it shows the propaganda video that communism pushes in nature, but it shows a leisurely.
kimchi also said that it would be china ...
do you know the taste of kimchi?
as if i took a video by myself ....
i get tired anyway","它显示了共产主义在自然界推动的宣传视频，但它显示出悠闲的视频。
泡菜还说是中国...
你知道泡菜的味道吗？
好像我自己拍了一个视频...
我还是累了"
2172,Ugwg4c-yoHFQSxqwunJ4AaABAg,0,1 year ago,"every dish looks delicious. is it a spicy seasoning? ‥ above all, bamboo grove and nature are like a scene where nature appears in the movie.",每道菜看起来都很好吃。是辛辣的调味料吗？ ‥最重要的是，竹林和自然就像是电影中出现的场景。
2110,Ugyw93mMYKlj8gzIwNx4AaABAg,0,1 year ago,a nice nature of nature,自然的良好本质
2095,UgwoL7CduijfE33cdM14AaABAg,0,1 year ago,"never posting your videos are beautiful, i love nature.",永远不要发布您的视频很漂亮，我喜欢大自然。
2047,UgwTthPmPfp0bgpqMJJ4AaABAg,0,1 year ago,"1
while the word nature in the soul transmits the impression of stability and non -change, man appears in general, and the contemporary person in particular, a historical and variable being, his changes are accelerated in our time. is it possible to say that a person is unique to the rest of the neighborhoods that he has no nature, or that every perception of human nature is a historical perception, which condemns his time more than what is supposed to be our mountain or our fixed formation? and when we look around us, we see that our partners in life, including animals and plants, seem programmers on the same deeds and interactions throughout their lives, unlike us. singer does not have a date, it does the same things every year in a cycle ... normal. senjab has a nature, although we do not know what is going on in the head of the squirrel, and what does the neighborhood mean that the neighborhood is a bond. man has a history in return, and it seems that we have a history because we have no nature.

but it seems that a person has no clear nature. we are distributed over two sexes, and we multiply with reproduction, and the young people are breastfed by mothers milk, and we need us in general and more so that we can walk, we walk on legs like birds but we do not fly like them, and if you did not sleep in an accident or kill each other for each other, we die a ""natural"" death of old age, it is rare for one or one of us to live a century. but we speak after two or three years, alone about other animals in the language. despite the multiplicity of our languages, it is not among us who are without a language, and the speaker of any language can multiply by intermarriage from the speaker of any other language, which means that we are similar biological, that is, we have one ""nature"". this is important against the ""racists"" of human beings. they deny the natural unity of humans, that is, the unity of the human element, but rather decide the large number of human elements and their salary as fixed, or natural data. in fact, the concept of nature that can be based on refuting racist claims can also be reassured to defend them.

moreover, a person is a product of a development of a life on the planet of about four billion years old, which means that the potential distinction of his nature is one of the possibilities of this life, through the process of ""natural election"" in which the best and the most able to inherit its preferences win, and it comes out of the weakest race. with these images, what seems to be out of nature is the same as natural data.

2
it seems that our current formation is fixed for hundreds of thousands of years and more, and that we have passed millions of years ago with stages during which our stature erected and our skulls expanded, and we took a symbol and made tools.

for thousands of years our history seems to be the history of what we do and create, not a natural development history, such as our development in the times of the foot. is this a short separation, which leads us to something after it? after thousands or tens of thousands of years, is it possible that our capabilities are being seen today, based on language and thought, as natural evolutionary features, which led to widespread destruction of the planet, and perhaps to delete the being who possessed these features and restore the planet and life on them? we will have a possibility of nature, destroying himself according to what might be called the natural principle of cunning. this does not seem completely excluded. it may not happen by the action of the nuclear bomb, but rather the genetic bomb, interference in the human genetic record, that is, in the ""nature"" of man in a way that produces different natures or ""elements"", the difference between us is close to us and chimpanzees, for example, and mating and reproduction may refrain from arrival to this threshold. in other words, the true racism in front of us, whether by manufacturing human beings, may not be rebellious or protected, slaves in their nature, as if they are useful pets, which are beneficial to them that they speak and reason; or through the production of superheroes who use us, we are ordinary, as slaves to them, and they see them crowding out for them on the planet and there is nothing wrong with killing hundreds of millions or billions of us, and perhaps in this they are armed with force and capabilities that we do not kiss to confront them.

3
this brings us back to the question about the human nature: what is the nature of the living being who seems able to change its nature? does the concept of nature remain good when it seems that it does not refrain from changing it, who are supposed to change it? to make new natures for themselves or others? when the organism has natures instead of one nature? or when it is possible that it is distinguished for organisms, each of which is its nature? the change of man to the ""mind"" of the language of the language (speaking with others, and the soul, from the world), and as a social evolutionary production. this ability has evolved historically, and just a few centuries ago, it presented itself the possibility of ""sovereignty"" on the nature and ""ownership"". ""sovereign"" progress has been achieved at specific levels, but its price was exorbitant as it was presented: the extinction of many neighborhood partners for us, the heating of the planet, and the threat of life on it, as well as the severe forms of discrimination between the human beings themselves, including extension of the indigenous population in two continents by the european controlles. and among them is an intercontinental commercial slavery, which blacks suffered more than others. this is at a time when perceptions such as man, his rights and humanity were heard more than ever.

is it possible that we are wondering today about the nature of man because we are touching something unnatural in ourselves, threatening the nature from which we descend?

what is this abnormal thing? perhaps a special ability for our brain and nervous system, is evolutionary (expanding the skull and the erection of the list) and socially (through language and a broader groups) on the rationality and obstruction of other beings, and ""arrest"" - they, including some people or many of them or more, are what we call the mind . man is a ""speaking animal"" in the sense of sane. perhaps the social person invented or developed cultures and religions as a matter of ""mind"" himself in particular, and from them in particular his developing nervous system anxious. the social person has produced these beliefs and rules, or ""culture"", in order to be an external mind that controls his inner, extremely internal mind, giving him customs and traditions, repetitive paths that help him have a continent's nature, or compensate him for the loss of his animal. a form of a ""detainee"" of this abnormal, natural object.","1
尽管灵魂中的大自然一词传递了稳定和不变的印象，但人类总体而言，尤其是当代人，一个历史和变量，他的变化在我们时代加速了。是否可以说，一个人是其余社区独有的，他没有天性，或者对人性的每一种看法都是一种历史感，这谴责了他的时间，而不是应该是我们的山上或我们的固定的时间编队？当我们环顾四周时，我们会看到生活中的伴侣，包括动物和植物，看上去像我们一生都在相同的行为和互动上的程序员，与我们不同。歌手没有约会，它每年在周期中做同样的事情……正常。 Senjab具有性质，尽管我们不知道松鼠的负责人正在发生什么，而该社区意味着该社区是一种纽带。人有回报的历史，而且似乎我们有历史，因为我们没有天性。

但是看来一个人没有明确的本性。我们分布在两个性别上，我们会随繁殖而繁殖，年轻人被母亲牛奶母乳喂养，我们通常需要我们，以便我们可以走路，我们可以像鸟一样走路，但我们不会像它们那样飞翔，如果您不在事故中睡觉或彼此杀死，我们将死于老年人的“自然”死亡，我们中的一个或一个世纪很少生活。但是我们在两三年之后讲话，独自一人谈论其他语言的动物。尽管我们的语言有多种多样，但我们中没有任何语言，任何语言的说话者都可以通过任何其他语言的说话者过婚，这意味着我们是相似的生物学，也就是说，我们有一种“自然”。这对人类的“种族主义者”很重要。他们否认人类的自然统一，即人的元素的统一，而是将大量人类因素及其工资确定为固定或自然数据。实际上，也可以放心可以基于反驳种族主义主张的自然概念来捍卫它们。

此外，一个人是大约40亿年历史的地球上生命发展的产物，这意味着他的本性的潜在区别是通过“自然选举”的过程之一最好和最能够继承其偏好的能力，这是最弱的种族。有了这些图像，似乎出于自然的图像与自然数据相同。

2
似乎我们目前的形成固定了数十万年以上，并且我们已经通过了数百万年前的阶段，在此期间，我们的身材竖立了，我们的头骨扩大了，我们采用了符号并制造了工具。

数千年来，我们的历史似乎是我们所做和创造的历史，而不是自然发展历史，例如我们脚时代的发展。这是一个短暂的分离，这使我们陷入了困境吗？经过数千年或数十千年的历史，今天，我们的能力可能是基于语言和思想，作为自然进化特征，这导致了地球的广泛破坏，也许是删除拥有这些特征的存在的人并恢复地球和生命吗？我们将有大自然的可能性，根据所谓的狡猾的自然原则摧毁自己。这似乎并没有完全排除。它可能不是通过核弹的作用而发生的，而是遗传炸弹的干预，即人类遗传记录，即人的“自然”，以产生不同的本质或“元素”，这之间的差异例如，我们与我们接近，黑猩猩，交配和繁殖可能避免到达这个门槛。换句话说，我们面前的真正种族主义，无论是通过制造人类而不是叛逆或受到保护的奴隶，就好像它们是有用的宠物一样，对他们说话和理性有益的宠物；或通过使用我们的超级英雄的生产，我们是普通的，是他们的奴隶，他们看到他们在地球上为他们拥挤，杀死我们数亿或数十亿或数十亿美元，也许在这方面没有错武装的力量和能力我们不会亲吻与他们面对。

3
这使我们回到了关于人本性的问题：似乎能够改变其性质的生物的本质是什么？自然的概念似乎不避免改变它，谁应该改变它？为自己或他人创造新的本性？当有机体具有天性而不是一种性质时？或者，当它有可能以生物为特色时，每种都是它的本质？人的语言（与他人，灵魂，来自世界）的语言的“思想”和社会进化论的变化。这种能力从历史上发展了，就在几个世纪前，它表明了对性质和“所有权”的“主权”的可能性。 “主权”在特定层面取得了进步，但其价格却高昂：许多邻里合作伙伴的灭绝，地球的供暖以及生命的威胁以及严重的形式人类本身之间的歧视，包括欧洲控制局在两个大陆上扩大土著人口。其中是洲际商业奴隶制，黑人比其他人遭受的苦难更大。在这个时候，诸如人类，他的权利和人性之类的观念比以往任何时候都更加听到。

今天，我们有可能想知道人的本性，因为我们在自己触摸了自己的不自然事物，威胁到我们下降的本性？

这是什么异常的事情？对于我们的大脑和神经系统来说，也许是一种特殊的能力，它是进化（扩大头骨和清单的架设）以及在社会上（通过语言和更广泛的群体）在其他生物的理性和妨碍方面（通过语言和更广泛的群体），以及“逮捕”包括某些人或许多人或更多人或更多人是我们所说的思想。从理智的意义上讲，人是一种“说话的动物”。也许社会人士特别是“思想”本人，特别是从他们发明或发展的文化和宗教，尤其是从他们发展的神经系统焦虑中。社会人士制定了这些信念和规则或“文化”，以成为一个外部思想，可以控制他内在的，极其内在的思想，给他习俗和传统，重复的道路，可以帮助他拥有大陆的本性或补偿他因为失去了动物。这种异常自然物体的“拘留者”形式。"
1934,UgygH51zXOBwk2hQ5PV4AaABAg,0,1 year ago,"no matter how close a person is to the soil and nature,
he returns to his essence and is happy ..
the rest is disappointing ..","不管一个人与土壤和自然有多近，
他回到了本质，很高兴。
其余的令人失望。"
1918,UgzlWss18s6KRRAmJ394AaABAg,0,1 year ago,"live in the village by fulfilling the needs, with what is in nature is fun",通过满足需求，生活在村庄里，自然界很有趣
1591,UgyklwgH2-nUo7RmkDp4AaABAg,0,1 year ago (edited),"can add some words, there will be a lot of color, many people speak many people to listen, the human nature (grandma happiness) granddaughter will pass by",能加点言语，会多很多色彩，美女讲话很多人爱听，人之本性(奶奶幸福)孙女一个就过
3046,Ugxno69rnyctBkUNEIR4AaABAg,0,1 year ago,nature is her vegetable market,大自然就是她的菜市场
1380,UgzA9fUxWhSph1rigjx4AaABAg,0,1 year ago,lovely nature...,可爱的大自然...
1323,UgxjmLrz33SUaV6B6gl4AaABAg,0,1 year ago,ye zindagi bhi kitna pyara hai nai i love nature,ye zindagi bhi kitna pyara hai nai我爱自然
1212,UgwFskIK1u5OsVJ3vtV4AaABAg,0,1 year ago,nature alwalys gives your best,大自然alwalys尽力而为
1157,Ugxr73mLXNusGpH4w_B4AaABAg,0,1 year ago,"eat shit as well with snail. among these many blessings of nature, that little living being also could not escape from u shit eaters.",蜗牛也吃屎。在这些大自然的众多祝福中，几乎没有生命也无法逃离狗屎。
886,UgzlSsYiQWKhkxQjHfp4AaABAg,0,11 months ago,nature here is peaceful and fresh,这里的大自然是和平与新鲜的
843,UgxXr7nltBS78iLKJGl4AaABAg,0,11 months ago (edited),back to nature and cook with feel will maked everythings nice. god bless you dear,回到大自然，用感觉烹饪会使所有人都很好。上帝保佑你亲爱的
820,UgxM1V0Lo741-z2l4fx4AaABAg,0,10 months ago,"everything in nature invites us constantly to be what we are. 

gretel ehrlich","自然界中的一切都会邀请我们成为我们的本身。

Gretel Ehrlich"
672,UgywSjCLedIouMyzTR94AaABAg,0,9 months ago,"steady, cool atmosphere and beautiful sounds of nature

","稳定，凉爽的气氛和美丽的自然声音

"
2951,Ugy_X1QklCwOEjc5tLZ4AaABAg,0,1 year ago,... all health ..... very beautiful nature ...,...所有的健康.....非常美丽的大自然...
3213,UgxNIVDuxhdjjFCsOQd4AaABAg,0,1 year ago,i watch from thailand i want to have a house like you i like nature,我从泰国看我想拥有像你一样的房子，我喜欢大自然
5459,UgzMDr7nYlpsI652cIp4AaABAg,0,2 years ago,"as a city girl, now i pay attention to nature and rural lifestyle by watching your youtube. thanks and send love to you and your grandmother. bleak
being city girl, now i value nature and village โ€s life style by watching your you tube.","作为城市女孩，现在我通过观看您的Youtube来重视自然和乡村生活方式。感谢并向您和您的祖母发送爱意。 
Being city girl, now I value nature and village’s life style by watching your You Tube. Thanks and sending love to you and your grandma."
4777,UgyaXgF76E2Ga3WvYzZ4AaABAg,0,2 years ago,god = nature = good life and living longer,上帝=自然=美好的生活和更长的生活
5298,UgznyXN_TJglRMqndWB4AaABAg,0,2 years ago,cute girl with lovey nature when i see like that feel so fresh,当我看到那样新鲜的可爱女孩，​​有爱的天性
