,cid,votes,time,含super,含super中文翻译
1089,Ugzl4rYjPHgbBj8vkcp4AaABAg,0,1 year ago,"faced with this person's heart more and more corrupted. the world where natural disasters and people are constantly, people have more and more conflicts, and more and more illegal things are. it is mentioned: you will hear the sound of fighting and fighting, don't panic. these things must be available, but the last period has not yet arrived. the people want to attack the people, the country must attack the country; there must be earthquakes and famines in many places. this is the beginning of disaster ...

in the distant past, the world of noah's life was like such corruption today. at that time, god regretted making people (all people thought at that time were all evil), so god wiped out with the floods (only stayed in staying (only stayed in staying because of his ""fear of god""), human ancestor adam, adam, chose to accept the temptation and did not follow god. from then on, he entered the world. today, our world, enjoy the convenience brought by technology, the emergence of the internet , make the world a global village, but people's relationships have become more complicated, violent porn information, etc., constantly seduce the world to sin, we live in a world of deceit happy, no longer respect others. this lifestyle makes us more and more farther away from god. it is also unpleasant to god. many people do not know the god who creates the universe or does not want to know god, does not want to know the gospel. it is superstitious, but the bible tells us that god was the versatile god that was in the past and eternal in the past, and god hated ""sin"". no longer the same, we have lost eternal life, life is limited, and god has set a day to judge the world according to the people (jesus) set up by his (jesus). god loves the world. the only sons jesus became a flesh, nailed to ten, and the life of our sinful life with his innocent life was resurrected three days after his death. sitting on the right of god jehovah, so that we could pardon through jesus, repentance and was baptized. the holy spirit believes that jesus becomes a savior, so that we have a new style, and then live according to the inspiration of the bible. jesus said: you have a lot of love for people, and you have more forgiveness. ; what amount do you use to give you, and what amount to use will be used to give you .. similar teaching bibles are inspired. if we are willing to obey, we will have the opportunity to save.

we live in the scientific era, and people no longer believe in god, but we can't see that it does not mean nothing. the busy life makes us have no time to think. what will we face after death? since the outbreak of the new crown virus, we are becoming more and more feeling the impermanence and fragility of life, jesus told us in lujia gospel: a sinner repent, and he must also happy for him in the sky, and he is more happy than ninety -nine righteous people who do not have to repent. god loves us to be close to him. we are all created in the style of god. we must never be punished because of sin, so the last days have been extended for a long time. they are looking for those who belong to him.
the gospel of john mentioned: jesus said, ""i am the road, truth, and life, and no one can get to the father if she doesn't use me.
dear friend, jesus christ is the grace of god. god's mercy on the world allows us to receive this grace in vain without paying any cost. the choice, please study the bible (with app) to understand god's grace and jesus' teaching of sin, or go to the church to understand the gospel, (there is a fake blessing to confuse the world, we need to distinguish it) family, i wish you peace.","面对这个人心愈来愈败坏ˋ天灾人祸不断的世界,人们冲突愈来愈多,不法的事情也愈来愈多,许多人的爱心渐渐冷淡,这些世界的景况,耶稣在马太福音里就有提到:你们将听见打仗和打仗的风声，不要惊慌。这些事是必须有的，只是末期还没有到。民要攻打民，国要攻打国；多处必有地震、饥荒。这都是灾难的起头..

在遥远的过去,挪亚生活的年代世界就犹如今天这样的败坏,当时神后悔造人(那时的人所思所想尽都是恶),于是神就用大洪水灭绝所有人(只有留下挪亚因为他""敬畏神""),人类祖先亚当ˋ夏娃选择接受诱惑而不顺从上帝,从此罪就入了世界,时至今日我们的世界,享受科技带来的便利性,网路的出现,让世界成为一个地球村,但是人们的关系也变的复杂,暴力ˋ色情资讯等等,不断的在诱惑世人犯罪,我们就生活一个诡诈ˋ谎言ˋ贪婪ˋ欲望无止境的世界里,人们追求自我快乐,不再尊重其他人,这样的生活方式让我们离上帝愈来愈遥远,也是上帝不喜悦的,很多人不清楚创造宇宙的上帝或者不想了解上帝,不想知道福音,认为时代那么进步这都是迷信,但是圣经告诉我们上帝是昔在ˋ今在ˋ以后永在的全能神,并且上帝恨恶""罪"",在亚当ˋ夏娃选择不顺从神的结果,让我们因为罪和圣洁的神属性不再一样,我们也失去永生,生命受到限制,而神已经定了日子，要借着祂所设立的人(耶稣)按公义审判天下,神爱世人.上帝在二千年前差了祂的独生子耶稣道成肉身,钉上十架,以祂无罪的生命代替我们有罪的生命赎罪,死后三天复活,坐在上帝耶和华神的右边,让我们可以借着耶稣罪得赦免,悔改ˋ受洗ˋ领受圣灵ˋ相信耶稣成为救主,让我们有新生的样式,之后按照圣经的启示来生活,耶稣说:您对人付出的爱多,您的赦免就多,你们怎样论断人，也必怎样被论断；你们用什么量器量给人，也必用什么量器量给你们..类似的教导圣经都有启示,如果我们愿意顺服,都有机会得救.

我们活在科学时代,人不再相信有神,,不过看不到不代表没有,忙碌的生活让我们没有时间思考,人死后接下要面对什么?自从新冠病毒爆发以来,我们愈来愈感到生命的无常以及脆弱,耶稣在路加福音告诉我们:一个罪人悔改，在天上也要这样为他欢喜，较比为九十九个不用悔改的义人欢喜更大。神是喜爱我们亲近祂的,我们都是按着神的样式造的,绝对不要我们因为罪而受罚,所以末后的日子延长了很久,(耶稣离开2千年了)神要世人悔改归向祂,天天都在寻找归向祂的人.
约翰福音提到:耶稣说“我就是道路、真理、生命若不借着我，没有人能到父那里。
亲爱的朋友,耶稣基督就是神的恩典,神怜悯世人让我们不用付出什么代价就可以白白的领受这个恩典,末世的征兆愈来愈显明,在有限的生命里尽快的接受福音绝对是您最好的选择,恳请您研读圣经(有app)来了解神的恩典以及耶稣对罪的教导,或是到教会了解福音,(有假福音在迷惑世人,需要明辨)让我们一同进入神国的大家庭,祝平安ˋ喜乐."
960,UgwRfN4K_QIn-Z3W_wl4AaABAg,0,1 year ago,super ☺️❤️,超级☺️❤️
568,UgzCunxihSqiEjqg9Rp4AaABAg,0,7 months ago,super such as,超级
405,UgyLJFDgIsX_AvULxwp4AaABAg,0,5 months ago,hi you are super like u love you,嗨，你像你爱你一样超级
321,UgyziHwH1ua7c0wV2i54AaABAg,0,3 months ago,"your episode is really beautiful, lizique, i am a super fan from your philippines. i really like cooking ..",你的插曲真的很美，Lizique，我是你来自菲律宾的超级粉丝。我真的很喜欢做饭，..
2838,UgzPQMgrfg4P3N2ODe54AaABAg.9RHiRgt1C7v9V9AggE9cc1,0,1 year ago,"@fairruz2767 don't learn this, she puts lime or other things to wash and disinfect. if you want to eat this dish, you can go to the supermarket or order online. it is unsafe to do it by yourself.",@fairruz2767 别去学这个，这个她是放了生石灰或者别的东西洗干净消毒的。你如果想吃这道菜可以去超市或者在网上订购。自己做很不安全。
3025,Ugxt1Z-hha71k4fEYpl4AaABAg,0,1 year ago,wow really great video and superb sharing my friend,哇，真的很棒的视频，很棒分享我的朋友
3075,UgxoxMl9Jwdw0M1t_RV4AaABAg,0,1 year ago,she has to have a production or camera team behind her or at least someone else helping her with the filming cuz all that work plus moving the camera around is super hard,她必须在她的身后或至少有人帮助她拍摄的所有工作，而将相机移动到周围非常困难
3243,UgzfOK91y6MNCIzCmrd4AaABAg,0,1 year ago,super internet celebrities supported by relevant departments,有关部门扶持出来的超级网红
3351,UgyRfCBMkF0RIjtHx4h4AaABAg,0,1 year ago,i am indian all videos super nice,我是印第安人所有视频超级好
3451,UgyEGPr5dVSWH6j5jXx4AaABAg,0,2 years ago,thank you! bravo! super!,谢谢你！勇敢！极好的！
3627,UgxsOHiCi6Jubco2c7d4AaABAg,0,2 years ago,snail will be super chewy. overcooked,蜗牛会超级耐嚼。过度煮熟
3852,Ugw3qaJivThbrJO9edt4AaABAg,0,2 years ago,"why, buying the same products in china is much more expensive than foreign countries?
the biggest reason is here. please take a look. compared with the chinese government ruled by the communist party, how much tax rate does it receive?
take a look at the following links, click [list], there is the national flag, and see the mahoga communist party's zhao family. the [corporate income tax] ""only"" ""only"" you can collect 68%tax.
it is right, that is, the goods you bought, before you see it, the communist party has already harvested you 68%of the cost. after seeing the product, plus about 13%of consumption tax. the personal income made by the chives hard, and they simply gave them the zhao family of the communist party. really, to call the communist party's zhao family's first place in the world. the item of ""corporate income tax"" of lights in big countries really has no country.
no wonder in the pseudo -mawei communist party ruled the western korean wall, chinese prices can be seen everywhere [super british catching the united states]. leeks are cut and cut at any time.

https://zh.m.wikipedia.org/wiki/%e4%b8%96%e7%95%9c%e5%9c%b0%e7%a8%8e7%8e%87

(welcome to transfer and share)","为什么,在中国买相同商品，都比国外买贵上许多？
最大原因在此。请看一下，对比了解一下共产党统治的中国政府，收企业的税，到底收了多少税率？
看一下以下连结，点一下【列表】，有国旗那一项，看看马劣共产党赵家人是收割西朝鲜墙国内所有公司的【企业所得税】""只""收你68%税金。
没看错，也就是你买的商品，还没看到之前，共产党已经先把你收割了百分之68%的费用。见到商品后，再加上13%左右的消费税。韭菜们辛苦挣来的个人所得，干脆全都给它们那帮共产党赵家人好了。真的，要叫共产党赵家人割韭菜世界第一名。光对比各国”企业所得税”那一项，还真无别国出其右。
难怪在伪大的马劣共产党统治西朝鲜墙国内，中国物价随处可见【超英赶美】，韭菜随时被一割再割，随时随地可割可弃。

https://zh.m.wikipedia.org/wiki/%E4%B8%96%E7%95%8C%E5%90%84%E5%9C%B0%E7%A8%8E%E7%8E%87 

（欢迎转传分享）"
3857,Ugz4ocmVRN-a5Ld3J5d4AaABAg,0,2 years ago,"maybe people here don't know, but luoshifen is super smelly because of fermented bamboo shoots used for the noodles. but when you eat, the smell goes away. put it 1 feet of you and stop eating might cause you to gag you're not used to the smell. but otherwise it's good. the soup stock is usually made from snails, so it's seafoody.",也许这里的人不知道，但是由于面条的发酵竹芽，Luoshifen是超级臭。但是当您吃饭时，气味就会消失。把它放在你的1英尺上，停止进食可能会导致您插科打nou，您不习惯这种气味。但是否则很好。汤汤通常是用蜗牛制成的，因此是海鲜。
3941,UgyxSWeByWka_cBiHEF4AaABAg,0,2 years ago,"superb, your recipe very amazing... & your mind is natural mind.",很棒，您的食谱非常令人惊奇……而且您的思想是自然的头脑。
4000,UgwR8TejxZR_nWehjnN4AaABAg,0,2 years ago,super women liziqi,Super women Liziqi
4799,Ugx-UX4FII_DegAkbS14AaABAg,0,2 years ago,vedio editing is super,Vedio编辑是超级
4899,UgwqTlRbiALSshnBxLF4AaABAg,0,2 years ago,super,超级
5151,UgyHMhEaEBRTxrbboFF4AaABAg,0,2 years ago,super ๐๐๐๐,超级
5164,UgxAZIIXlLM-CL3cF0Z4AaABAg,0,2 years ago,wow it amazing superb... love tripura ๐’–๐’–๐’–๐’–๐’–๐’–๐’–,哇，太棒了...爱tripura
5176,UgwLUnBZFEUqSpH3Sm54AaABAg,0,2 years ago,super nam-nam!,超级nam-nam！
5177,UgyI90QCRg0mOeyKF7N4AaABAg,0,2 years ago,kitaysi super. ay lev yu kitay.,Kitaysi超级。 Ay Lev Yu Kitay。
9539,Ugy9F6vpawYCpkG_K114AaABAg,0,3 years ago,super relaxing went i waching her my god,超级放松，我把她的上帝骗了
9762,Ugx2HsVUjyGBPyrDalJ4AaABAg,0,3 years ago,super,极好的
22297,UgyBVHTgujmyW8gh-I94AaABAg,0,3 years ago,"li ziyi is super beautiful. by the way, a good news is that in order to maintain social stability, the people on the street will not be suppressed by violence, and there are eleven small gifts to take",李子柒超级美
17677,UgzfDslfx7qfK-WtSrN4AaABAg,0,3 years ago,"damn, why do i want to watch this late at night, so hungry, it looks delicious, this taste looks super authentic",我靠，为啥我要深夜看这个，好饿啊，看上去都好好吃啊，这味道看上去就超正宗
19069,UgyhSJHbnccPmF2NewB4AaABAg.928iIut82ru92g8KyUsyP_,0,3 years ago,"@alexinmy my hometown is guangxi. when i was a kid, my old man brought big people in my hometown. various sour bamboo shoots and pickles from snacks to large, so i never felt smelly. as for the abroad, do you have no super league there? we are sold in the super league here. it is not expensive.",@Alexinmy 我老家是广西的，我小时候是老家里老人带大的，各种酸笋腌菜从小吃到大，所以从来不觉得臭。至于国外吃不到，你们那儿没有中超吗，我们这里中超都有卖啊，3.5到4欧一包，倒也不算贵。
18564,Ugz0izBOFxVzvRbN_TZ4AaABAg.92S0UXPQkIG92YzOPUvvj5,0,3 years ago,super lemon essence,超级柠檬精而已
18553,Ugy34GE1llTVHT9XDO94AaABAg,0,3 years ago,she is superwoman.,她是超级女性。
17815,UgxJdhYtjLDjuvNp4Np4AaABAg,0,3 years ago,damn good! i’m wondering if she can always live the life like this even she is super rich now. hope she’s safe. best regards,特别好！我想知道她是否总是能像这样的生活，即使她现在很富有。希望她安全。此致
17701,UgwBekgLeJuqbABc22t4AaABAg,0,3 years ago,chinese super lady.,中国超级女士。
17694,Ugz0axZTaSxv6Q3HxVR4AaABAg,0,3 years ago (edited),"it is purely an advertisement to sell liuzhou snail powder. but this is much better than the uncle who caught the fish, but the purpose is the same, all to make a click rate to make money for yourself. this liuzhou snail powder has been bought in the supermarket, and the wife is unpalatable. because it is bundled sales, you must buy four packages at a time, eat half, and throw half.",纯粹就是卖柳州螺蛳粉 的广告。但是这个比那位抓鱼的大叔高明多了，但是目的都是一样的，都是为了点击率，为了给自己赚钱。这个柳州螺蛳粉 在超市里买过，太太太难吃了。因为是捆绑销售，一次必须买四包，吃一半，扔一半。
17576,UgzwuTUdEswZvx0gUcp4AaABAg,0,3 years ago,"this video conveys a positive attitude towards us, super happy","这个视屏向我们传达了一种积极的生活态度,超赞"
15935,UgwiIGK_15X_CF8x9-J4AaABAg,0,3 years ago,"watch it at station b and watch the oil pipe again, come on my baby girl! watch your video super decompress!",在b站看了再来油管看一遍，加油my baby girl!看你的视频超级解压！
17271,Ugy-Z5WEXYnGhy7rEVN4AaABAg,0,3 years ago,i bet granny is super proud,我敢打赌，奶奶非常自豪
17088,Ugx5g8Kc0zgviPvOWq94AaABAg,0,3 years ago,super cool. please continue,超酷。请继续
16269,Ugy8bhJLMAZvh_8pUH14AaABAg,0,3 years ago,100k kitchen thousands worth of high quality french pots plus superior german knives... hehehe thx for sharing it looks so delicious & amazing area,100k厨房价值数千种高质量的法国锅以及优质的德国刀...呵呵分享它看起来如此美味和惊人的区域
16241,UgxeNCxUyj34BnW1k8x4AaABAg.92xrxfxRbak93BVzs56E1S,0,3 years ago,"christine naysh suarez luosifen smells very strong. some guys can't hold it. i am glad that you like it. you can buy some convenient luosifens in chinese supermarkets in your city or you can order some online, like aliexpress.",Christine Naysh Suarez Luosifen闻起来很浓烈。有些人不能握住它。我很高兴您喜欢它。您可以在城市中的中国超市购买一些方便的Luosifens，也可以在线订购一些，例如Aliexpress。
16200,Ugy7vQdEGSenhb5ryS54AaABAg,0,3 years ago,the snail powder is really super delicious ~ ❤,螺蛳粉真的超级好吃的~❤
16023,UgzHLLGR056-IoT6YMJ4AaABAg,0,3 years ago,super,极好的
19070,UgyhSJHbnccPmF2NewB4AaABAg.928iIut82ru92hzlw1Hol9,0,3 years ago,@user-jo8wc7ub5x supermarkets are cooked and cooked without delicious food outside,@user-jo8wc7ub5x 超市买的煮的没有外面做的好吃
19522,Ugwu5_TXR3LT0J_-Qyl4AaABAg,0,3 years ago,"i fell in love with her !! it's beautiful, there's a girlish way! and still know how to cook super well !! i would marry her!!",我爱上了她！它很美，有一种少女的方式！而且仍然知道如何做得很好！我会嫁给她！
19793,Ugxuz3-WLeHJE5OortV4AaABAg,0,3 years ago,superb i like this types of life,我喜欢这种生活
20302,Ugz_H-oDObYWXhwRYnF4AaABAg,0,3 years ago,super madom,超级狂欢
20379,Ugw0kqENktmj1bKa3sF4AaABAg,0,3 years ago,superwomen,超级妇女
20493,UgxG-XegQ6U8cYar7ex4AaABAg,0,3 years ago,super such as,超级
20716,Ugwq2KyC2TKsQjm0INh4AaABAg,0,3 years ago,it turns out that the chinese also eat pickled beans. i used to love to buy cans in the supermarket in europe.,原来中国人也吃腌渍豆子 我以前在欧洲很爱在超市买腌渍系列的罐头
20741,UgwJMome97hkK0VM0YV4AaABAg,0,3 years ago,super,极好的
20807,Ugxf4a165hrgusYgiDx4AaABAg,0,3 years ago,"the cooking skills are so superb, this bowl of powder eats a bite of saixian soup",厨艺这么高超，这碗粉吃上一口赛仙汤
20849,UgxLZS1wB3hKt1HuyVl4AaABAg,0,3 years ago,she changed my perspective that even living in the province you can earn money. super amazing. im inspired coz i came also in the province and thriving to get a job in the city but then i saw her videos. lots of love from the philippines. ❤❤❤,她改变了我的观点，即即使住在该省也可以赚钱。超级惊人。我启发了我，因为我也来了该省，蓬勃发展，在这座城市找到一份工作，但后来我看到了她的视频。菲律宾有很多爱。 ❤❤❤
20861,UgwyOkZcclRYAM6P5c14AaABAg,0,3 years ago,super,极好的
21394,UgzW__LqcqnjsBETxdJ4AaABAg,0,3 years ago,"the girl is super !!! as in that fairy tale:- ""and the reaper, and the priest, and on the duda player !!!"" ... i need her in the household, i have the same mother in age, and i do not suffer with workgo breath. but i so want to return home from the shift of the worker, stumble up for the expression:- oh, you are on time, sit down to have dinner !!! and not on:- oh, but you bought bread, and milk!? russian women have lost the significance of russian women ... now, these are hairy, assholes - marmoseli, not capable of anything, not accustomed to anything, except sucking ...",这个女孩超级！！！就像那个童话中一样：“还有收割者，牧师，以及在杜达（Duda）的玩家！！” ...我需要她的家庭，我有同一年龄的母亲，而且我不遭受Workgo呼吸。但是我想从工人的转移中回家，偶然发现表达方式： - 哦，您准时，坐下来吃晚饭！！！而不是： - 哦，但是你买了面包和牛奶！？俄罗斯妇女失去了俄罗斯妇女的意义...现在，这些都是毛茸茸的，混蛋 - 毛莫斯利，没有任何能力，不习惯任何东西，除了吮吸...
21398,UgzxjLDLomuQ9Qxt48N4AaABAg,0,3 years ago,i like this lady super cook,我喜欢这个女士超级厨师
21647,UgzoPXlO8XeassqFseR4AaABAg,0,3 years ago,super.u r multitalented. god bless u!,Super.u r多元化。上帝保佑你！
21720,UgybD_KUwZC2Xnx1bOl4AaABAg,0,3 years ago,her garden is supermarket,她的花园是超市
22136,UgwZLogxAOxBzLeN0DZ4AaABAg,0,3 years ago,super girl it's not just easy,超级女孩不仅容易
22164,UgxgDU1DRIDmfLle7MV4AaABAg,0,3 years ago,super,极好的
16021,UgyggUDPXBGlL5x70tN4AaABAg,0,3 years ago,my goodness! where is this place??? everything so lush and green and so super gorgeous!,我的天啊！这个地方在哪里？？？一切都如此郁郁葱葱，绿色，如此超级华丽！
15837,UgyBpGysiM-ijJ_UErd4AaABAg,0,3 years ago,super,超级
9783,Ugy0HRx1BSijOJLhAt14AaABAg,0,3 years ago,wow your video is superb .... me from kerala๐,哇，你的视频很棒。...我来自喀拉拉邦
11622,Ugw7m96BcDBIRbAR7wB4AaABAg,0,3 years ago,super,极好的
12619,UgyQsrLSFe7cOQidwQp4AaABAg,0,3 years ago,super. food,极好的。食物
12556,Ugydp6Ud9tPQDFs-U314AaABAg,0,3 years ago,"do you have any more of these i can buy at the supermarket? no, not the beans, i mean the girl!",您还有我可以在超市购买的其他产品吗？不，不是豆子，我的意思是女孩！
12239,Ugzr219gxcoESApRC-V4AaABAg,0,3 years ago,super i want talk with u,超级我想和你谈谈
11848,UgzwmDdEf-DFETLt7rl4AaABAg,0,3 years ago,super,超级
11845,UgxkMdpA0TlyUg46-5d4AaABAg,0,3 years ago,its members cook super chef,它的成员厨师超级厨师
11829,UgzDkpRDViOWGh5kBIh4AaABAg,0,3 years ago,class is super #=orn,班级是超级＃= ORN
11444,UgyKmklanpIeau8sP5p4AaABAg,0,3 years ago,"super love, life cannot be without snail powder",超爱，人生不能没有螺蛳粉
15364,UgxB3t1w8JL5Yg8YbTp4AaABAg,0,3 years ago,"after watching the new year, i wanted to go to the chinese supermarket to buy a bag to eat snails. i haven't eaten it before, but i want to try it abroad. essence do you have any authentic brand recommendations? coordinate san francisco, usa.",大新年的看完就想冲去华人超市买包即食螺蛳粉，之前在国内没吃过，出国反而想尝试一下。。 万能的网友们，有啥地道品牌推荐么？ 坐标美国旧金山。
11121,UgxD-YarxG4DOxixQ4x4AaABAg,0,3 years ago,super. is it prepared for the whole village? the whole life of the stove is stove),极好的。它为整个村庄做好了准备吗？炉子的整个生命都是炉子）
11120,UgxmhngNl88AnT23JBd4AaABAg,0,3 years ago,the images are superb and the editing perfect! thanks,图像很棒，编辑完美！谢谢
10348,Ugzabt3k5iGtfipUh2F4AaABAg,0,3 years ago,i have bought it in our local chinese supermarket. bleak,我已经在我们本地的华人超市买到了。
9842,Ugz6X03qtePrrKca3Q94AaABAg,0,3 years ago,super ๐‘๐น๐๏ธ๐ท๐พ๐–๏ธโฅ๏ธ๐‘ธ๐’๐•บ,超级
9837,Ugz3Tac3-HxMAxqcSIB4AaABAg,0,3 years ago,you are a real superwomen,你是一个真正的超人
9821,UgwJ18pNTGd-gXzuN7R4AaABAg,0,3 years ago,"super extraordinary, natural nuances, the content is clearly in my opinion the youtuber must be like this",超级非凡的自然细微差别，我认为YouTuber一定是这样的内容
12791,UgykCAFBiQ4-B4sG1nZ4AaABAg,0,3 years ago,superb life,极好的生活
12793,UgzgkF-G_pxs9bgSsVx4AaABAg,0,3 years ago,her grand mother was look like supervisor,她的大母亲看起来像主管
12868,UgzIKlOKhriJGXVhq7d4AaABAg,0,3 years ago,superb,极好的
13258,Ugzyu8zL16fir3pt0Vp4AaABAg,0,3 years ago,go to my marry super.,去我结婚超级。
13539,Ugz-0Jc0rGBrfaApicV4AaABAg,0,3 years ago,this is a super complete live in a village,这是一个超级完整的现场直播
13736,UgzQyXy2wFHxHJoqbmF4AaABAg,0,3 years ago,she is so cute. super good video recording,她太可爱了。超级好视频录制
14013,Ugzs-1EL7zZcGcWLE4Z4AaABAg,0,3 years ago,"you are just super ♥
(i know that there are no russians, but ... suppose |","你只是超级♥
（我知道没有俄罗斯人，但是...假设|"
14092,Ugzek31QsfR99RpRLGx4AaABAg,0,3 years ago,she is superwoman!,她是女超人！
14137,UgziYUAxpp7GCLGeKTV4AaABAg,0,3 years ago,"the bamboo shoots are delicious and the screw powder is delicious.
not long ago, i still returned to taiwan with screw powder on the mainland, but super spicy! it's super spicy, it's so spicy while running nose!","笋子好吃，螺丝粉好吃。
前不久我还在大陆带螺丝粉回来台湾，可是超辣的！超辣，一边好辣一边好吃一边流鼻涕！"
14139,UgypekjEqvv0PiXtBP94AaABAg,0,3 years ago,super,极好的
14556,Ugx21gGFD91H5iuGiGt4AaABAg,0,3 years ago,this girl is super love,这个女孩是超级爱
14602,Ugw2TGWzowfXdhe6NRp4AaABAg,0,3 years ago,"ok lady, are you superhuman? can i live with you? i'm not sure if i'm more jealous of your life and skills or the granny that gets to enjoy all the things you do but i certainly feel like a very useless human being right now t_t",好吧，女士，你是超人吗？我可以和你住吗？我不确定我是否更嫉妒您的生活和技能，还是享受您所做的所有事情的奶奶，但我当然觉得自己现在是一个非常无用的人
14643,UgwsGWk-zL_SuleYBdl4AaABAg,0,3 years ago,the revenue of the film is down ... super horror,影片营收下来⋯⋯超级恐怖
14713,UgzHzGKWX2kZbfetq714AaABAg,0,3 years ago,superb,高超
14758,UgwgrdTzVnY_Q88zset4AaABAg,0,3 years ago,the environment is so relaxing and calm plus the food looks really healthy and super delicious,环境是如此放松和镇定，而且食物看起来非常健康，超级美味。
14943,UgxfgGp5UvERnxNNV894AaABAg,0,3 years ago,there is a goalkeeper of goza to goals this morning harvest is super,有一个戈萨的守门员今天早上收获是超级
15132,UgyDd785tYvpzokfbIt4AaABAg,0,3 years ago,"8.16 million subscribers. i wonder how much she makes from youtube alone each month. she probable could hire a team of more than a dozen farmers to help. based on the amount of veggies growing in her garden/farm, she would need more than ten farmers. add to that other labor intensive work (based on the other videos), such as raising lamb for wool, harvesting the wool and cleaning/dyeing/spinning the wool which she used to knit a huge winter coat. i know i won't be able to do all those without help. while i enjoyed the videos and admire her capabilities, i enjoy my simple life without having to toil like her. another note: unless she is selling them, why does she cook so much food? harvest so much veggies put into jars to ferment - that would last her ten years of fermented veggies, etc., etc. overall, one needs more than the knowledge of ten phd's to do all what she is doing in these videos. congratulations to her, super woman/girl. for city girls, don't dream of living like her, just not practical or possible. enjoy your city life.",816万用户。我想知道她每个月独自从YouTube中赚多少钱。她可能会雇用一个由十几个农民组成的团队来提供帮助。根据在她的花园/农场种植的蔬菜数量，她需要十多名农民。再加上其他劳动密集型工作（基于其他视频），例如抬起羊毛的羔羊，收获羊毛，清洁/染色/旋转羊毛，她用来编织一件巨大的冬衣。我知道我将无需帮助。当我喜欢这些视频并欣赏她的能力时，我享受了简单的生活，而不必像她一样辛苦工作。另一个注意：除非她要出售它们，否则她为什么要煮这么多食物？收获太多的蔬菜将罐子放入发酵中 - 这将持续她十年的发酵蔬菜等。总的来说，一个人比十个博士学位的知识更需要做她在这些视频中所做的一切。恭喜她，超级女人/女孩。对于城市女孩来说，不要梦想像她一样生活，只是不切实际或可能。享受你的城市生活。
19727,Ugyit92PLd1_rudO7Lx4AaABAg,0,3 years ago,"hk youngsters should perhaps learn how to sustain from scratch, learn not to take things for granted, to respect the elders and appreciate what mother nature had to offer than just playing too much games, wasting and complaining of no freedom when they had plenty. they may think they are superior than a mainlander but they are more uncivilized",香港香港青少年也许应该学习如何从头开始维持，学会不要把事情视为理所当然，尊重长者和欣赏大自然所提供的东西，而不是玩太多游戏，浪费和抱怨他们有很多自由。他们可能认为他们比大陆优越，但他们更不文明
