,cid,votes,time,含channel,含channel中文翻译
19659,UgyxUCG_td9W8AojASx4AaABAg,0,3 years ago,i love to see the videos of this channel !!!!!,我喜欢看这个频道的视频！
19682,UgynnwxSwSLG4O-GWKJ4AaABAg,0,3 years ago,"if you are vietnamese who like liziqi, go to the channel to support me.",如果您是喜欢Liziqi的越南人，请前往频道支持我。
19882,UgwbAfTsd-7kV4HiswV4AaABAg,0,3 years ago,the best thing about her videos is that no one says..... hey guuuyys...please like and subscribe my channel,关于她的视频的最好的事情是，没人说.....嘿，卢伊伊斯...请喜欢并订阅我的频道
20070,UgwpxS9_fMOf7yltcol4AaABAg,0,3 years ago,amoooooo .... your channel. it inspires me to want to win a land to live just like you. simply simple ๐๐๐๐,Amoooooo ....您的频道。它激发了我想赢得像您一样生活的土地。简单的
20880,Ugz2VkOHQ2WoYbyQzNd4AaABAg,0,3 years ago,how does one person know how to do all of this and also how do i know nothing about so much of this food? amazing channel and lifestyle. beautiful living.,一个人如何知道如何做所有这一切，以及我如何对这些食物一无所知？惊人的渠道和生活方式。美丽的生活。
20076,UgzgNxNcygnYpcfDo1J4AaABAg.94wxqphzQRh96KE4A7YckT,0,3 years ago,"please i need your help and support please subscribe to my channel and enjoy thank you : 
https://www.youtube.com/channel/uc3htyawtiwxfu0eobnbffmq?view_as=subscriber","请我需要您的帮助和支持，请订阅我的频道并享受谢谢：
https://www.youtube.com/channel/uc3htyawtiwxfu0eobnbffmq?view_as=subscriber"
20137,UgyRT-RrA4mnX7_k2454AaABAg,0,3 years ago,"addicted to this channel, now i am liziqi junkie.",沉迷于这个频道，现在我是Liziqi Junkie。
20170,UgxtzAM5mxhrmFCvsvt4AaABAg,0,3 years ago,https://www.youtube.com/channel/ucipdrakhndlfmpee-wcbabg,https://www.youtube.com/channel/ucipdrakhndlfmpee-wcbabg
20232,UgzV4DNCTtBWjzkqTCB4AaABAg.94nOZTTSF069MRBO0C_w2a,0,2 years ago,im waiting for you on my you tube channel.i will meet you with beautiful videos. from tรผrkiye esselamรผn aleykรผm.,我在我的管道频道上等着你。我会遇到美丽的视频。来自TürkiyeEsselamünAleyküm。
20502,Ugwhfu0oIY3-fBtmjaN4AaABAg,0,3 years ago,"i'm also cooking chinese food๏ผwelcome to watch

1.sister snow cut mulberry branches to eat? it's delicious! lijingxiu channel
https://youtu.be/6ug8gagnjg8

2.a bowl of potato fork in the winter kiln is delicious and warm! li jingxiu channel
https://youtu.be/yr3degfbrwu","我也在烹饪中国菜，欢迎观看

1.雪山雪切桑树枝要吃吗？这很美味！ lijingxiu频道
https://youtu.be/6ug8gagnjg8

2.冬季窑中的一碗土豆叉既美味又温暖！ Li Jingxiu频道
https://youtu.be/yr3degfbrwu"
20613,UgyVu9S4NWKPYPQFd7R4AaABAg,0,3 years ago,done subsscribe and watching ๐hope supporting my channel ๐๐๐https://www.youtube.com/channel/ucou-khrilt4vez3i3pipqng,完成并观看支持我的频道
20689,UgzSp3xhgF3eCl9pCdZ4AaABAg,0,3 years ago,"such a pure soul.. no english... no bad words...such a wonderful channel...
2020...","如此纯净的灵魂..没有英语...没有坏话...如此美妙的频道...
2020 ..."
20723,UgxTio2VLQ-Fdk6eeWF4AaABAg,0,3 years ago,"a life which was given by god to aden and eve and which we lost because of technology, and now everyone is looking back to live happily with nature like this...i too ....i believe anyone day will try to live like this princess...if you try u can....i believe.... anyone day those who see these videos let all their dreams come true which is also god's wish.....
by feel the joy of peace 
channel","上帝赐给亚丁和夏娃的生活，我们因技术而迷失了，现在每个人都回想起像这样的大自然的幸福生活...我也……我相信任何人都会尝试像这位公主...如果您尝试您可以。...我相信....任何看到这些视频的人都会让他们所有的梦想成真，这也是上帝的愿望.....
通过感受和平的喜悦
渠道"
20804,UgyaX8yB220ViBf9PXp4AaABAg,0,3 years ago,lol her channel gives me less anxiety,大声笑她的频道给我减少了焦虑
20852,UgymQvkavMYj-4ZpBcd4AaABAg,0,3 years ago,what a great channel ... where is the girl from?,多么伟大的频道...女孩来自哪里？
20862,UgyCtYMlnrhbgAVYs914AaABAg,0,3 years ago,"i know that you, the owner of the channel, will not read my comment and you will not understand it, but i wanted to say you are wonderful",我知道您是频道的所有者，不会阅读我的评论，您将不理解，但我想说您很棒
25059,Ugz2Ke56ZR4BIBQHCjx4AaABAg,0,3 years ago (edited),"she is chinese, chinese channels always ... why does the clip have the word vietsub and vietnamese title, who tells me? i have to admit that she's so pretty! the clip is very beautiful",她是中国人，总是中国的频道...为什么剪辑告诉我，剪辑词越南语和越南标题一词？我必须承认她太漂亮了！剪辑很漂亮
25096,Ugwj6Seym7usuaYYM2F4AaABAg.9-q-TLK8m0j9-q00O0lQyH,0,3 years ago,i'm generally about her channel! well done !!!!,我通常是关于她的频道！做得好！！！
12173,UgzYeU9g1KPMeDwfHvp4AaABAg.9Da3lz1Pu1E9DrrDCh-JIM,0,2 years ago,support my youtube channel,支持我的YouTube频道
25211,Ugx_iv20bsQ0iWG-_SV4AaABAg,0,3 years ago,from indonesia does anyone have a channel recommendation whose content is very semacem but the indo version? :)),来自印度尼西亚的人是否有一个频道推荐，其内容是非常半精神，而是印度版本？ :)）
27342,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9483U6EZjx0,0,3 years ago,"@am a huv me lam
greetings!

thank you so very much for sharing the story of her life journey. i believe this was her life in the videos. i never doubted it. i love visiting her channel. i love your culture. 

i hope you also do a video soon. i will subsvribe to your channel as well.

~shabbat shalom~
๐๐‘๐๐•๐๐‘๐","@AM我lam
问候！

非常感谢您分享她的人生旅程的故事。我相信这是她在视频中的生活。我从不怀疑。我喜欢访问她的频道。我爱你的文化。

希望您也能尽快制作视频。我也将向您的频道子接下来。

〜shabbat shalom〜
"
27376,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB95c_UyiVrj_,0,3 years ago,"it's not classy to promote your channel beneath every video of hers, it's even annoying to see you copypaste the commeny to.attract traffic",在她的每个视频下宣传您的频道并不优雅，看到您复活了混乱甚至很烦人。
27381,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB95f5coJ2vx1,0,3 years ago,"็พๅธ็็ธ็ธ 

if you are referring to the lady whoโ€s channel this is, then itโ€s highly unlikely that she is every going to see the comments, obviously she is a very hard working lady, plus she has over 9 million subscriptions to her channel, highly unlikely that she has the time to sit down and read through all the comments for obvious reasons.","美帝的

如果您指的是这位频道的女士，那么她很可能会看到评论，显然她是一个非常努力的女士，而且她对频道有超过900万的订阅出于明显的原因，有时间坐下来阅读所有评论。"
27421,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9Aq1cqlAzXT,0,2 years ago,"why r u commenting on liziqi's every video?i know u want to promote ur own channel.. but u should comment something like ""i also make same kind of video. so plz watch it"".. here u just showing people u r grateful to liziqi so that people feel sympathy for u and watch ur video also..if u r truly so grateful then why r u commenting the same thing in every video..?it's really disgusting๐‘",为什么您要评论Liziqi的每个视频？我知道您想宣传自己的频道。但是您应该评论“我也制作了同样的视频。所以请观看它。因此，人们对您感到同情并也观看您的视频。
27501,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9GfnuoJRjt2,0,2 years ago,support my channel frnds plss,支持我的频道FRNDS PLSS
27506,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9GrefXr8nLq,0,2 years ago,would you like to subscribe to my channel? ๐,您想订阅我的频道吗？
27507,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9Grem6_-jqZ,0,2 years ago,can i subscribe to my channel?,可以订阅我的频道吗
27508,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9Grenuxy_N5,0,2 years ago,can i subscribe to my channel?,可以订阅我的频道吗
27531,UgyY2IWb-77MMzmBOct4AaABAg,0,3 years ago,please guys support my channel,请支持我的频道
27761,Ugwnvv8thEfwVmNXGm54AaABAg,0,3 years ago,pls subscribe to my channel thankyou ๐,请订阅我的频道谢谢
27827,UgzBdnCssn0nEH0Y8rd4AaABAg,0,3 years ago,"this is state-sponsored chinese propaganda 
youtube is blocked in china, if this channel was legit it would be illegal. 
she lives in a small village but has a high quality camera and computer to upload on a website she is not legally allowed to access. 
women her age do not stay in the villages they go to big cities to get factory jobs.","这是国家赞助的中国宣传
YouTube在中国被阻止，如果此渠道合法，那是非法的。
她住在一个小村庄，但有一台高质量的相机和计算机可以上传在她不允许访问的网站上。
她这个年龄的妇女不会留在村庄里，他们去大城市获得工厂工作。"
27832,UgyiZWwohLUiWN0XpxN4AaABAg,0,3 years ago,"anjd shi is a fairy scene with music with her performance of the girl
you deserve to participate in her channel and give her from my time and see her videos because she is finding crazy and deservedly","Anjd Shi是一个童话般的场景，有音乐表演
您应该参与她的频道，并从我的时间里给她看她的视频，因为她发现疯狂而应有的"
27899,UgxS8qyWb_ikTcB5O214AaABAg,0,3 years ago,i love this channel and i just found it,我喜欢这个频道，我只是找到了
28014,UgxJttPSGb04Kx_cw2h4AaABAg,0,3 years ago,"imagine a channel on television that reported like the news, but instead of mindless propaganda, it would report on what is currently blooming, or fruiting, and educational shows like this one teaching you the many ways of creating with nature, making food, planting back, soil enrichment, and many other cool things. that would get me to start watching tv again...lol just for a little, there is much to do outside.",想象电视上的一个频道像新闻一样报道，但它不是毫无意义的宣传，而是报告目前正在开花或结实的东西，以及像这样的教育表演，教您多种与大自然创造的方法，土壤富集以及许多其他很酷的东西。那会让我再次开始看电视...大声笑只是一点点，外面有很多事情要做。
28062,Ugxp2QPv_RhQMAQC2Ux4AaABAg,0,3 years ago,"nice to meet you ๐€

i am japanese.

this person is addicted to seeing a video that breaks bamboo and watching it.

how old is this woman? i'm curious.

i registered the channel ๐€","很高兴认识你

我是日本人。

这个人沉迷于看一段视频打破竹子并观看它。

这个女人多大了？我很好奇。

我注册了频道"
28398,UgwAmh9mwbsNn2MrK6F4AaABAg.8y_gWQmCqaX9bZgldnINEg,0,1 year ago,that is what they want you to feel like ๐.. it's a propoganda channel.. no one can upload stuff on youtube in china without ccp's approval.,这就是他们希望您的感觉
28427,UgwVDYdENg0NP2FZBWB4AaABAg,0,3 years ago,this is my favorite youtube channel. i watch each video many times.,这是我最喜欢的YouTube频道。我多次观看每个视频。
28843,Ugwpj4JsmOSb3TcTDBN4AaABAg,0,3 years ago,hello from russia!) i really like your channel and what you do!),来自俄罗斯的您好！）我真的很喜欢您的频道和您的工作！）
28914,UgxiCuTm-_94wAqKuoR4AaABAg,0,3 years ago,"dear liziq, i love watching all the contents you creat. today i found this you tube channel ,""https://youtu.be/g9zlkdafjgy"". sharing your content . i was very angry knowing some one steeling your content. as a well wisher i thought of letting you know.",亲爱的利兹克，我喜欢看您创建的所有内容。今天，我发现了这个You Tube频道，“ https://youtu.be/g9zlkdafjgy”。分享您的内容。我很生气，知道有人弄清了您的内容。作为一个良好的愿望，我想让您知道。
28922,UgzgyaGevFTf8xULsoZ4AaABAg,0,3 years ago,i love this channel because this channel is very neat and clean . no extra talking . everything is very clear and beautiful,我喜欢这个频道，因为此频道非常整洁且干净。没有额外的说话。一切都很清楚
28958,UgyzcvlSPIQi9siXtaR4AaABAg,0,3 years ago,help to promote my channel here is my card number 4890494579954496,帮助在这里推广我的频道是我的卡编号4890494579954496
28959,UgzWViyAe-KqCfrSsNp4AaABAg,0,3 years ago,support my channel please,请支持我的频道
29059,Ugw3oBfPsMRMNEMUhs94AaABAg,0,3 years ago,"i wana popcorn too..and watching your channel,, hap hap... ๐",我也想爆米花..然后看着你的频道，hap hap ...
29153,Ugx_DIsfJiCOKlLSO694AaABAg,0,3 years ago,don't tell me she made those marshmallows.. i will crawl under my bed in shame. lol i love this channel.,不要告诉我她做了那些棉花糖。.我会羞耻地在床下爬行。大声笑我喜欢这个频道。
29203,UgytbBHGpYltxLHZ1DB4AaABAg,0,3 years ago,"she doesn't feed dogs , looks like she is getting paid for picturizing all these , this is a paid channel",她不喂狗，看来她为了描绘所有这些而获得报酬，这是一个付费频道
27335,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB93lVWK-FEiA,0,3 years ago,vietnamese channel,越南频道
27129,Ugwu2_gdbnlz11TQh2B4AaABAg,0,3 years ago,hello good night i am brazilian love to see your videos help me improve my food i would like to know where and your country where you live i wanted to cook like you congratulations on your channel and your talents,你好，晚安，我是巴西人喜欢看到你的视频帮助我改善我的食物，我想知道你在哪里和你的住所，我想在您的频道和才华的庆祝
27123,UgwMAB_-ecZMTWxeLct4AaABAg,0,3 years ago,"her channel is ""life is awesome"" in facebook...",她的频道在Facebook中是“生命真棒” ...
26098,Ugw0n2kSPBYdkHKFdl94AaABAg,0,3 years ago (edited),iam ur new subscriber from india .ur intentions behind these channel or vlog are really wondered me .well done dear sizzz๐๐๐‘,我的新订户来自印度的新订户。
25250,UgxfvTJsOrdggkxc9HR4AaABAg,0,3 years ago (edited),cc i love your channel you were too great the kitchen makes us want to eat thank you for sharing. all this wealth that you find in the forest and the courage you have and i tell you bravo and see you soon ๐๐โค ๐’๐’,CC我爱您的频道，您太棒了，厨房让我们想吃，谢谢您的分享。您在森林和勇气中发现的所有财富，我告诉您Bravo，很快见到您
25278,Ugw9xgs_lr3sjt9b1cx4AaABAg.9-WBnZ5tdOJ9-a7rvTs4b2,0,3 years ago,snowflake kitty this is not a pet channel,雪花小猫这不是宠物频道
25283,Ugzu5nNCvq3Dj4gbMT14AaABAg,0,3 years ago,https://www.youtube.com/channel/uctdsgsmifee-5am-afgowtg,https://www.youtube.com/channel/channel/uctdsgsmifee-5am-afgowtg
25284,UgwF7GyoqLKTN8MNiXZ4AaABAg,0,3 years ago,https://www.youtube.com/channel/uctdsgsmifee-5am-afgowtg,https://www.youtube.com/channel/channel/uctdsgsmifee-5am-afgowtg
25286,UgxSZJbXG2Vo7Q7eTkh4AaABAg,0,3 years ago,"niceee...plesase subscribe my channel
https://youtu.be/bip5irw6wqw","尼斯... plesase订阅我的频道
https://youtu.be/bip5irw6wqw"
25496,UgwiQ9JQ_88PZWH4IKZ4AaABAg,0,3 years ago,hi my name is marwar please give me all video for you and i love u channel โค๏ธ,嗨，我叫Marwar，请给我所有视频，我爱你频道❤️
25798,UgzR8o6t_5EFB1zqF4F4AaABAg,0,3 years ago,no one will watch this channel :))). making a video must be ntn,没有人会观看此频道:)）））。制作视频必须是ntn
25926,Ugy3FBgoBwSNFy0VUtZ4AaABAg,0,3 years ago,your channel makes me happy,你的频道让我开心
26022,UgzUCNrMk2PDrZkV2Yx4AaABAg.8zro9_V-xPI8ztoldHF-2_,0,3 years ago,"this channel is very good, but h knows",这个频道非常好，但是H知道
26037,UgzjvR1MonPZfxapOAh4AaABAg,0,3 years ago (edited),"i really like to see this channel ,, almost everything i keep watching ๐๐",我真的很喜欢看到这个频道，几乎所有我一直在观看的一切
26053,UgwEL8jZqANA2txqynx4AaABAg,0,3 years ago,hi i'm from brazil and i loved your channel.,嗨，我来自巴西，我爱你的频道。
26101,UgzDrhMNyKWz-FOiTzx4AaABAg,0,3 years ago,one of my favorite channel๐๐,我最喜欢的频道之一
27086,UgxnhNcaDVhGOcf5UvV4AaABAg,0,3 years ago,where is this place. i'm surprised such places exist. wow. i like this channel,这个地方在哪。我很惊讶这样的地方存在。哇。我喜欢这个频道
26149,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-TOMF7SYno,0,3 years ago,"่ฐขๆ— ่จ€ i've subscribed to this channel two months ago, and i was randomly scrolling through my feed and decided to rewatch couple of her videos in her channel.
before this, i watched two long video documentaries about how chinese life in rural areas are. most of them are about children living alone, taking care of their siblings and managing livestock/farm while parents work in the city to earn money since opportunities are not enough in the countryside.
i do get your point about the whole production/business part and that there's a so-called ugliness behind the camera. though i admit, her videos about cooking inspire me and gives me comfort.
i grew up and live alone in an apartment in the city, i have always desired to live someplace like what she's showing us in her videos. i guess my whole point is yes, it may be ugly as you say behind the scenes, (hardships and all) but then again, living is full of challenges. still, i respect your opinion.","谢无言我两个月前订阅了此频道，我正在随机滚动我的供稿，并决定在她的频道中重新观看她的视频。
在此之前，我观看了两张有关中国在农村地区生活的漫长视频纪录片。他们中的大多数是关于一个独自生活的孩子，照顾兄弟姐妹和管理牲畜/农场，而父母在城市工作以赚钱，因为在农村的机会还不够。
我确实明白了您对整个生产/业务部分的观点，并且相机背后有一个所谓的丑陋。尽管我承认，她的烹饪视频激发了我的灵感，并给了我安慰。
我长大，独自生活在城市的公寓里，我一直希望住在某个地方，就像她在视频中向我们展示的那样。我想我的全部要点是，正如您在幕后所说的那样，这可能很丑陋（艰辛和所有），但再说一次，生活充满了挑战。不过，我尊重您的意见。"
26525,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9Am2geag0MX,0,2 years ago,this channel makes the most mundane chores feel dignified.,该渠道使最平凡的琐事感到庄重。
26548,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9CGlbiTNOkE,0,2 years ago,"https://youtu.be/6j5kg_0kh54 plsss support my channel
subscribe my channal plsss ๐”๐”๐”","https://youtu.be/6j5kg_0kh54 plss支持我的频道
订阅我的频道PLSSS"
26613,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9JaeB6IETKi,0,2 years ago,i recently came across a similar lady in youtube named jonna jinton. she's a photographer and artist living in northern sweden. i love her videos too! check her channel too!,最近，我在YouTube遇到了一个名叫Jonna Jinton的女士。她是居住在瑞典北部的摄影师和艺术家。我也喜欢她的视频！也检查她的频道！
26648,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9MRBA3NQH1m,0,2 years ago,im waiting for you on my you tube channel.i will meet you with beautiful videos. from tรผrkiye esselamรผn aleykรผm.,我在我的管道频道上等着你。我会遇到美丽的视频。来自TürkiyeEsselamünAleyküm。
26656,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9Ne5-HBtBnW,0,2 years ago,https://youtube.com/channel/uc1pqpaiaiafg3lhfrmo4xca,https://youtube.com/channel/uc1pqpaiaiaiafg3lhfrmo4xca
26729,UgwVFy5HNICpyzxcO5x4AaABAg,0,3 years ago,"maam, you found me good working, so i subscribed to your channel",我妈妈，我感觉很好，所以我订阅了您的频道
26847,UgwfwmUl6f5xp_vdvQl4AaABAg,0,3 years ago,this is the video that made me fall in love with liziqi and her channel ๐๐,这是使我爱上Liziqi和她的频道
26869,UgwJ1iWLe21P8ZBzkwN4AaABAg,0,3 years ago,"https://www.youtube.com/channel/ucjgqmuofh4qkzhzae2xf_2g




please like. shear. and subscribe this chanal","https://www.youtube.com/channel/ucjgqmuofh4qkzhzae2xf_2g




请喜欢。剪。并订阅这个Chanal"
26941,UgxNxQtFjQrjfxuicRd4AaABAg.8z_Ejqog0EK8zinLbs5BpX,0,3 years ago,mrshaliwan i saw it. this was the second video i watched. i had just discovered this channel.,先生，我看到了。这是我观看的第二个视频。我刚刚发现了这个频道。
27037,Ugwy_38PjvNyGeZNEIl4AaABAg,0,3 years ago,i think they are two sister . running two different youtube channel.,我认为他们是两个姐姐。运行两个不同的YouTube频道。
19370,UgxrGL_gZgLw_j9TS1t4AaABAg.95rnbAsU2GN96KE53AS_0o,0,3 years ago,"please i need your help and support please subscribe to my channel and enjoy thank you : 
https://www.youtube.com/channel/uc3htyawtiwxfu0eobnbffmq?view_as=subscriber","请我需要您的帮助和支持，请订阅我的频道并享受谢谢：
https://www.youtube.com/channel/uc3htyawtiwxfu0eobnbffmq?view_as=subscriber"
19358,Ugz--tWUqV1NJDLowi94AaABAg,0,3 years ago,"very appetizing 
subscribe to my channel. i am a newcomer to youtube, i want to try myself in this matter. i will lay out simple and affordable recipes for you.","非常开胃
订阅我的频道。我是YouTube的新来者，我想在此问题上尝试自己。我将为您提供简单且负担得起的食谱。"
19164,Ugz7GfDlR4YeU4t_6r14AaABAg.967vXqxs2yP96KE2CZBaS0,0,3 years ago,"please i need your help and support please subscribe to my channel and enjoy thank you : 
https://www.youtube.com/channel/uc3htyawtiwxfu0eobnbffmq?view_as=subscriber","请我需要您的帮助和支持，请订阅我的频道并享受谢谢：
https://www.youtube.com/channel/uc3htyawtiwxfu0eobnbffmq?view_as=subscriber"
19079,Ugy090p17WvdgETeGSp4AaABAg.96F4ZZGrW-Q96KE7msOGwA,0,3 years ago,"please subscribe to my channel and enjoy thank you : 
https://www.youtube.com/channel/uc3htyawtiwxfu0eobnbffmq?view_as=subscriber","请订阅我的频道并享受谢谢：
https://www.youtube.com/channel/uc3htyawtiwxfu0eobnbffmq?view_as=subscriber"
13829,UgzTD28-dE7IOd1Q5aZ4AaABAg,0,2 years ago,"subscribe to my channel, i am designing the video. you will like it",订阅我的频道，我正在设计视频。你会喜欢它
13866,UgwGvlaNrQKPfqU22Kd4AaABAg,0,2 years ago,you are like a professional chef so you can do anything you know. your channel is the inspiration for the whole world .. i love your channel .. i always look forward to new videos ... prayagrajvideo.,您就像专业厨师，所以您可以做任何您知道的事情。您的频道是全世界的灵感。我喜欢您的频道。.我一直期待新的视频... Prayagrajvideo。
13939,UgxHekdslWFm_3rCtbF4AaABAg,0,2 years ago,"i just found your channel and this is the 3rd i've watched so far. what i would give to be able to live wherever you are, it looks like paradise! you're truly an inspiration. 
much love to you and your gramdma","我刚刚找到了您的频道，这是我到目前为止观看的第三次。我会奉献的东西，无论您身在何处，它看起来都像天堂！您确实是一个灵感。
非常爱你和你的革命"
14044,Ugwd3Dka5tYJej958fV4AaABAg,0,2 years ago,the new channel,新频道
14069,UgzInqrBgOU8ZzAB-0l4AaABAg,0,2 years ago,"please, support my channel with likes and comments.",请以喜欢和评论来支持我的频道。
14074,UgzbjMPs2WaOmm6lSgB4AaABAg,0,2 years ago,hi am pranathi i started my new cooking channel on youtube yum tummy please watch it once and do subscribe if you like it /https://youtu.be/5zj5_xshplm,嗨，我是pranathi，我在youtube yum tummy上启动了新的烹饪频道，请观看一次，如果您喜欢的话，请订阅/https://youtu.be/5zj5_xshplm
14085,Ugx4vIKVxCd8MMGgLul4AaABAg,0,2 years ago,hi really great. i have learned a lot of things from your channel. and i hope you to visit me and be a friend. : ),嗨，真的很棒。我从您的频道学到了很多东西。我希望你能拜访我并成为朋友。 ：））
14195,UgxyJwjH5v5lt3M_sah4AaABAg,0,2 years ago,"the spirit of moving forward continues to friends and entrepreneurs of indonesian. i fly our enthusiasm all ... !!!
check mychannel for business information.entrepreneur and the world of civil engineering. greetings our respect. thank you very much","向前发展的精神继续向印度尼西亚人的朋友和企业家。我充满了我们的热情... ！！！
查看MyChannel以获取业务信息。企业家和土木工程世界。问候我们的尊重。非常感谢"
14217,UgyUspjnUchIUzX2ovt4AaABAg,0,2 years ago,"china-jacking and transportation to more than 200 countries including japan, south korea, britain, the united states, canada, australia, etc.
can mail food, clothes, books, snail powder, large furniture, machine and other items
free customers with services such as collection, inspection, collection, warehousing (200 days), packaging, camera and other services. and make a multi -channel price comparison for customers, choose the optimal delivery channel
telephone or wechat: 18926468965 qiu r","中国-集运转运到日本、韩国、英国、美国、加拿大、澳大利亚等200多个国家
可邮寄食品、衣服、书、螺蛳粉、大型家具、机器等物品
免费为客户提供代收、验货、集货、仓储（200天）、包装、拍照等服务。并为客户进行多渠道的比价，选择最优的发货渠道
电话或微信：18926468965 邱R"
14241,UgyUspjnUchIUzX2ovt4AaABAg.9AvPwKIu47S9AvQ9Bj3beC,0,2 years ago,"china-jiangsu shipping to more than 200 countries including japan, south korea, united kingdom, united states, canada, australia, etc.
food, clothes, books, snail powder, large furniture, machines and other items can be mailed
provide customers with free collection, inspection, collection, warehousing (200 days), packaging, photography and other services. and compare the price of multi-channel for customers, select the best shipping channel
inquiries: 18926468965 qiu r","中国江苏运输到包括日本，韩国，英国，美国，加拿大，澳大利亚等200多个国家 /地区。
食物，衣服，书籍，蜗牛粉，大家具，机器和其他物品可以邮寄
为客户提供免费收集，检查，收集，仓库（200天），包装，摄影和其他服务。并比较客户的多渠道价格，选择最佳的运输频道
查询：18926468965 qiu r"
14269,Ugzjn4sswRy__mYmDBh4AaABAg,0,2 years ago,"have fun watching videos
i only created youtube for my channel through the viewers and subscribed to my support channel
thanks !
my channel: # đứcvlogs #","玩视频很有趣
我只通过观众为我的频道创建YouTube并订阅了我的支持频道
谢谢 ！
我的频道：＃™cvlogs＃"
14274,UgzPFAA0NanE0Hi8mvZ4AaABAg,0,2 years ago,"hi there, my name is helen pham original from saigon, vietnam. i'm living in beautiful dallas, texas, usa with my husband. 
my husband has over 30 years us immigration experiences. my videos shares our immigration knowledges, american's life and culture. 
welcome to my channel if you love america.","嗨，我叫来自越南西贡的海伦·潘（Helen Pham）。我和我的丈夫一起住在美国德克萨斯州的美丽达拉斯。
我丈夫有30多年的美国移民经历。我的视频分享了我们的移民知识，美国的生活和文化。
如果您喜欢美国，欢迎来到我的频道。"
14394,UgwRdP7Pm4cFEdSPPal4AaABAg,0,2 years ago,your channel me helps a lot. ☺,您的频道我很有帮助。 ☺
14465,UgyQog6jMe1oYAuOEKt4AaABAg,0,2 years ago,pls subscribe https://www.youtube.com/channel/uciv2gbp6u-vwi3itoy45tvg,请订阅https://www.youtube.com/channel/uciv2gbp6u-vwi3itoy45tvg
14549,Ugyf1eyerpM46nTaDE94AaABAg.9A_DIN9WyHS9Aiv4eeC-tn,0,2 years ago,@filixnono5024 this is the channel of ly tu that ko z or vietnamese posted but also explained tv z,@filixnono5024这是KO Z或越南人发布的Ly Tu的渠道，但也解释了TV Z
14565,Ugy6SPzz18TTnvQJxNV4AaABAg,0,2 years ago,"subscribe my channel plzzz 

https://youtu.be/tosvmvdqqxi","订阅我的频道plzzz

https://youtu.be/tosvmvdqqxi"
14647,UgyQo6isppVpLMWsLAJ4AaABAg,0,2 years ago,welcome to sunny vietnam : https://www.youtube.com/channel/ucs95wob7pcxj8rr_-n5klna,欢迎来到阳光越越南：https：//www.youtube.com/channel/ucs95wob7pcxj8rr_-n5klna
14660,UgwsqhJdVfM_nyw2UpR4AaABAg,0,2 years ago,"you are so well done, you do everything yourself, unfortunately i do not understand your language. but i really like your channel #",您做得很好，您自己做了一切，不幸的是我不了解您的语言。但是我真的很喜欢你的频道＃
14702,UgyD5hnEL0sMcF-8xst4AaABAg,0,2 years ago,the most peaceful channel in youtube,YouTube中最和平的频道
14737,Ugz8tx_Gr5Cvk2DnRUN4AaABAg.9AOjxOE0Ziy9AOkmVM5kFI,0,2 years ago (edited),"people are the cultural output daniel, and the central government does not give her green lights to her; cctv hires so many people to spend so much money to handle the foreign propaganda channel, but li ziyi's feet",人家是文化输出大牛，中央不给谁开绿灯也的给她开；央视雇那么多人花那么多钱办外宣频道都摸不过李子柒的脚
14760,Ugxw9J3gSdg1E6oeHqx4AaABAg,0,2 years ago,are you a great and good girl in this best world ....... i will subscribe your channel,您是这个最好的世界中的伟大而好女孩.......我会订阅您的频道
14956,UgxAZMl3-hirK6QD4eB4AaABAg,0,2 years ago,hi grandmother i'm indonesia me little boy me subscribe channel you okay,嗨，祖母，我是印度尼西亚我小男孩我订阅频道你好吗
15007,Ugx-huIVh5dFs965IHJ4AaABAg.9A26mFnrkW89AD8glwcO6w,0,2 years ago,"can you subscribe my channel?

https://youtu.be/eqndciqc3vs","您可以订阅我的频道吗？

https://youtu.be/eqndciqc3vs"
15012,UgzlAY9umD3Rv2ZMO7R4AaABAg,0,2 years ago,"https://youtu.be/_duf8ac7usi please check our channel...like,share ..our videos.. please",https://youtu.be/_duf8ac7usi请检查我们的频道...喜欢，分享..我们的视频..请
