,cid,votes,含channel,含channel中文翻译
14966,UgwWQO-ODZAK_dJHgTh4AaABAg,0,like share and subscribe to this channel https://youtu.be/huffoarfp9u,喜欢分享并订阅此频道https://youtu.be/huffoarfp9u
15013,Ugz3-Q9R4H5VFLeX56Z4AaABAg,0,"i lovely your channel, congratulations",我很高兴你的频道，恭喜
15035,UgzRNjxwbEPPUpPd1QV4AaABAg,0,this is boomers favorite yt channel,这是Boomers最喜欢的YT频道
15109,UgzeC47PVWTZ3o0aSL54AaABAg.93YZt3DfB0Q9Ss4-TWcIlA,0,interesting channel.. i like it... good content..,有趣的频道..我喜欢它...良好的内容..
15133,Ugzdcq4xzb_xdcrexid4AaABAg,0,"dont know how i found this channel but now i'm binge watching. these people eat like gods,lol",不知道我是怎么找到这个频道的，但是现在我狂热地看着。这些人像神一样吃东西，大声笑
15482,UgzysS1QBdJnNjfPu6p4AaABAg.93F_yI6bbET93K19kpeINJ,0,the mcn multi-channel network company responsible for her going abroad is headquartered in malaysia. it is a company specializing in the asian entertainment creative film and television industry. the company has accounts in youtube and fb,负责她出国的MCN多渠道网络公司总部位于马来西亚。这是一家专门从事亚洲娱乐创意电影和电视业的公司。该公司在YouTube和FB中有帐户
15517,UgxdJfYmLKRmFC24iF54AaABAg,0,"finally, i found your channel & ingredients are also abundant in our province & yummy",最后，我找到了您的频道
15585,Ugz7M5M6aRkqQwERpdZ4AaABAg,0,running a youtube channel which is prohibited in her country? it cant be possible unless this is kind of state-running business,在她的国家运行YouTube频道？除非这是一种国家运营的业务，否则这是不可能的
15661,UgxBzXhW2scsREkX_PV4AaABAg,0,it's a delicious utong.. cowpeas it's english. i love this channel,这是一个美味的utong .. cowpeas是英语。我喜欢这个频道
15903,UgySnBNR5wTBirfXsbN4AaABAg,0,"seeing it over and over, it is still attractive, each time it looks like a new time.
i watched your channel since i was just over 1 million sub and today has been 7.88 million sub. congratulations on becoming the top of china's most influential people","一遍又一遍地看到它仍然很有吸引力，每次看起来都是新的时期。
我看了您的频道，因为我刚刚超过100万个潜艇，而今天已经有788万个子。恭喜您成为中国最有影响力的人"
14210,UgybDy-Ws1p9G9TTpAx4AaABAg,0,observe your behavior and your behavior. i hope i have a subscriber like you on the channel),观察您和您的行为很愉快。 希望我的频道上有像您这样的订阅者）
14135,UgwKKYh9TFVKbEgsuB94AaABAg,0,"i'm also cooking chinese food，welcome to watch

1.sister snow cut mulberry branches to eat? it's delicious! lijingxiu channel
https://youtu.be/6ug8gagnjg8

2.a bowl of potato fork in the winter kiln is delicious and warm! li jingxiu channel
https://youtu.be/yr3degfbrwu","我也在烹饪中国菜，欢迎观看

1.雪山雪切桑树枝要吃吗？这很美味！ lijingxiu频道
https://youtu.be/6ug8gagnjg8

2.冬季窑中的一碗土豆叉既美味又温暖！ Li Jingxiu频道
https://youtu.be/yr3degfbrwu"
8316,UgwTaWJGL70S4T8iwyl4AaABAg,0,"do not deprive yourself of the great reward in the days of dhu al -hijjah, in which god swore a new video of the enlargement of dhu al -hijjah 2020, more than enlargement, may god release you and open the doors of his livelihood, as well as do not forget to subscribe to the channel and share the video
https://youtu.be/f21fkruwqg","不要在dhu al -hijjah时代剥夺自己的巨大奖励，在那儿，上帝发誓，关于Dhu al -Hijjah 2020扩大的新视频，不仅仅是扩大，愿上帝释放您并打开他的生计，他的生计，而且不要忘记订阅频道并分享视频
https://youtu.be/f21fkruwqg"
13955,UgzgSHxhyJWrPBiXvNJ4AaABAg,0,i like this channel! thank you!,我喜欢这个频道！ 谢谢您！
13303,UgwIRkNqBM0qk8L9K3Z4AaABAg,0,ako arab on the channel,Ako Arab在频道上
13312,Ugxqo9YkZeq3B63LhKN4AaABAg,0,like watching this channel.,喜欢看这个频道。
13430,Ugxq2UN3z3w6z2NEU5B4AaABAg,0,lovable way to share beautiful aspect of everyday life .no need to be chinese to learn and understand . it's relaxing and peaceful . i love li ziqi channel.,可爱的方式来分享日常生活的美丽方面。不需要成为中国人才能学习和理解。这是放松而和平的。我爱李Ziqi频道。
13482,UgyF9tEuMsV68gW_9F14AaABAg.95O4S11kPAl95fYs-_2GDJ,0,"j meng, let me tell you one, you have to talk to me three. this is not different stances, but not on a channel at all. talking with you like this, you just continue to tell me three, no matter what you don't have to be, don't speculate for half a sentence. i withdrew,",J Meng 我跟你说一，你非要跟我聊三。这不是立场不同，是根本都不在一个频道上。再这么跟你掰扯下去，你只是继续跟我说三，没得意思，话不投机半句多。我撤了，
13487,UgySa0LSoJLYcazKpCp4AaABAg,0,"i have a small question... 
how do she finds every ingredient she needs within her yard or what ever btw she is cute t^t i love this channel","我有一个小问题...
她如何找到她在院子里需要的每种成分或顺便说一句，她很可爱，我喜欢这个频道"
13513,Ugwl4omiPOF4wtVw0dN4AaABAg,0,i like all your videos god bless you blessings i am new on your channel,我喜欢你所有的视频，上帝保佑你的祝福，我是您在频道上的新来的
13522,UgxWG5rxVK_arlWgUcN4AaABAg,0,"really ur channel make me relize i want to be healthy like you,, go anywhere by foot.thank you for this life god",真的，您的频道让我依赖我想像您一样健康，步行到任何地方。谢谢您这一生
13530,Ugy3i6CNntziF1p0O3p4AaABAg.95IHjNuEDR695zG7FC_uR_,0,my channel or rural characteristics,我的频道或乡村特征
13644,Ugzoq65HCR4A3M8gvt54AaABAg,0,i don't know how i stumbled across her channel but i can't stop watching. been watching all day long.,我不知道我是如何偶然发现她的频道的，但我不能停止观看。整天都在看。
13677,UgxT4ckJJLEj6Vk-rlt4AaABAg,0,"at first i saw many polin channels who were recommended here, crazy cooking really quickly turned out",起初，我看到许多Polin频道在这里推荐，疯狂的烹饪真的很快就会出现
13698,Ugza3f8ORssIxZGUuwh4AaABAg,0,liziqi channel intelligent and a beautiful girl!.,Liziqi频道聪明和一个美丽的女孩！
13752,Ugzuq9estVD7m9LdX7B4AaABAg,0,"now, her channel has an ad :(",现在，她的频道有一个广告:(
13755,Ugy0r1dZiGLkNr_sa8R4AaABAg,0,"you're truly blessed for the way you take care of your granny. you'll be rewarded with silver and gold one day. love, love, love your channel",您为照顾奶奶的方式真是太幸运了。有一天，您将获得银色和金色的奖励。爱，爱，爱你的频道
13854,UgzFNFthPqUlTqh2q3Z4AaABAg,0,"subscribe to our channel #gemologyartworld #mychannel
https://www.youtube.com/watch?v=ctdwnc0lcu&t=657s large nugget gold
https://www.youtube.com/watch?v=o8jog4alwo8&t=22s nugget gold
https://www.youtube.com/watch?v=p9q8q0lqysı
https://www.youtube.com/watch?v=krzvetcwnmc
https://www.youtube.com/watch?v=fg2kkssmnjo
https://www.youtube.com/watch?v=nlzu5xb0jggg
https://www.youtube.com/watch?v=a9ynnrwrlbc","订阅我们的频道#gemologyartworld #mychannel
https://www.youtube.com/watch?v=ctdwnc0lcu&t=657s大掘金
https://www.youtube.com/watch?v=O8Jog4Alwo8&t=22s掘金金
https://www.youtube.com/watch?v=p9q8q8q0lqysı
https://www.youtube.com/watch?v=krzvetcwnmc
https://www.youtube.com/watch?v=fg2kkssmnjo
https://www.youtube.com/watch?v=nlzu5xb0jggg
https://www.youtube.com/watch?v=a9ynnrwrlbc"
13863,UgwtUIWGzgLnNmNQw7V4AaABAg,0,"i do not believe that ths is an impoverished unfortunate soul. ths woman is of noble means, which is why she able to find & harvest fresh original bamboo shoots ages old for their size & able too harvest fresh river shellfish . but i am not a hater. i appreciate & admire her fortune to be able to share with the global community her blessings and happenstance. it's a relief to those of us less fortunate fighters of presence & human being. i have subscribed to this channel. i am an african-american blk male taking pleasure in viewing this asian woman sharing her story to the world. i know she is much more than she appears...but she holds to her legacy of tradition & privilege by sharing her views to the world. a most beautiful & amazing view from her post. i pray she honors and give respect to the lives of the souls who sustain her privileges that we do not see on you tube!",我不相信Ths是一个贫穷的不幸灵魂。这位女人是高尚的手段，这就是为什么她能够找到并收获新鲜的原始竹芽，因为她们的尺寸是老化的，并且能够收获新鲜的河贝类。但是我不是仇恨者。我感谢并钦佩她的命运，能够与全球社区分享她的祝福和偶然性。这让我们中的那些人不幸的战斗机和人类感到欣慰。我已经订阅了这个频道。我是一名非裔美国人的男性男性，很高兴观看这位亚洲妇女向世界分享她的故事。我知道她比她看起来更重要……但是她通过向世界分享自己的观点来掌握自己的传统和特权。她的帖子中最美丽，最神奇的景色。我祈祷她的荣誉，并尊重灵魂的生活，这些灵魂维持她在你看来没有看到的特权！
13876,UgyoQ2AXjPHVnLMZ3O54AaABAg,0,"the man who wins the heart of this beautiful lady will be greatly blessed.
congratulations on your channel and obviously your excellent job.
","赢得这位美丽女士心脏的人将是极大的祝福。
恭喜您的频道，显然是您出色的工作。
"
13944,UgzjIj_NMAM3JyQsElN4AaABAg,0,done subcribe..im watching your channel from malaysia. nice and very good videos.,施加了..我从马来西亚观看您的频道。不错的视频。
16045,UgxlmpG5Nf8Zsn80a_x4AaABAg,0,just found her youtube channel and subscribed immediately!,刚刚找到了她的YouTube频道并立即订阅！
16124,UgwG96r8niukUsL3wKN4AaABAg,0,"ziqi is a husband's dream ...most city girls today don't even know how to boil an egg !
there is also miriam in china's channel on youtube too.","Ziqi是丈夫的梦想...今天大多数城市女孩甚至都不知道如何煮鸡蛋！
YouTube上的中国频道也有Miriam。"
16216,UgzxURqBkYF6twiU8bd4AaABAg,0,"i just found her channel, dayum gotta marry her <3 <3 <3",我刚刚找到她的频道，Dayum必须嫁给她<3 <3 <3
16529,UgxeWcM1z7P98QIkclZ4AaABAg,0,i see a lot of money on thus channel,我在渠道上看到很多钱
18040,UgxBNOEbXvea0YqCmJl4AaABAg,0,"it’s understandable why ms. li ziqi doesn’t interact with her fans here. it’s illegal for mainland chinese to “climb over” the chinese internet firewall to access utube channel. now, do you still want a life of hers? for a bowl of noodle???? without government’s organized operations and special permission, how can a little girl access here and post a video? the country side kitchen may be close to what she presented, however it’s still a big lie fooling around the world......that chinese is a wonderful place to have a decent life.",李齐（Li Ziqi）女士在这里不与粉丝互动的原因是可以理解的。大陆中国人“攀登”中国互联网防火墙以访问UTUBE频道是非法的。现在，您还想要她的生活吗？一碗面条？？？如果没有政府的有组织的行动和特别的许可，一个小女孩如何在这里访问并发布视频？乡村方面的厨房可能接近她所展示的东西，但是在世界范围内，这仍然是一个大谎言……中国人是一个过着不错的生活的好地方。
18057,UgwMKsS_etdKO9tcBgF4AaABAg,0,"this is what the channel should have, praise.",这才是一个频道该有的样子，怒赞。
18060,UgxBNOEbXvea0YqCmJl4AaABAg.92bpytRnG4Q92cqYQOK1Vq,0,"let me tell you why it’s fake, and totally a lie: 1. the pictures here were never a real life of rural life in china before, neither today. it’s an acting. she is a good actress. 2. it’s true she made her meal from scratch. looks like all natural and organic. however through these videos she sells products all made by industrial line. none of those are organic. 3. she has official youtube channel itself shows somehow she is privileged to break chinese law to show so called “chinese value” to the world. i am not saying the law is good. i am just curious who backs her to do this. 4. her videos are generating 84,000,000 chinese yuan (12,000,000 usd) a year partnering with a privileged government backed family to show you a fairy tale, a quiet and soothing life far from business and industry. if this is not lie, what the hell would a lie be like? ! 5. i didn’t say i hate ccp, you said that. i didn’t even mention these three letters. if you hate ccp, may god bless you.....","让我告诉你为什么这是假的，完全是谎言：1。今天，这里的照片从来都不是中国的乡村生活，今天都不是。这是一个表演。她是一个好女演员。 2.确实，她从头开始吃饭。看起来所有天然和有机。但是，通过这些视频，她出售了由工业系列生产的产品。这些都不是有机的。 3.她的YouTube官方频道本身表明她有幸违反中国法律，向世界展示了所谓的“中国价值”。我并不是说法律是好的。我只是好奇谁支持她这样做。 4.她的视频每年产生84,000,000个中国人民币（12,000,000美元），与一个有特权的政府支持的家庭合作，向您展示一个童话故事，远离商业和行业的安静而舒缓的生活。如果这不是谎言，那谎言会是什么样？呢5.我不是说我讨厌CCP，你这么说。我什至没有提到这三个字母。如果您讨厌CCP，愿上帝保佑您....."
18202,Ugxu60tajHiRXoTKGPx4AaABAg,0,"this is not chinese life and her real life, kind of drama play actually, people in china have different attitudes towards this channel because these are all ""fake"" drama play. the reality of chinese rural area is poor, out of electricity/fresh water and no health care. no one really does these cooking, she has a team to plan all these for her we hate her videos because it makes people from other countries thought chinese lives in rural are easy, simple and fun. but actually it is totally opposite!",这不是中国的生活和她的现实生活，实际上是戏剧，中国的人们对这个频道有不同的态度，因为这些都是“假”戏剧。中国农村地区的现实很差，出于电力/淡水而没有医疗保健。没有人真正做这些烹饪，她有一个团队来为她计划所有这些，我们讨厌她的视频，因为这使来自其他国家的人们认为中国人在农村生活很容易，简单和有趣。但是实际上是完全相反的！
18267,UgwYi_h5vXUb3-4Fj-V4AaABAg,0,first time at her channel. i feel like she’s from the city and moved back home to accompany her grandma. and she might as well start making videos since she has time and can educate people of life in the countryside. no wonder netflix came out with “flavorful origins” this channel proves there’s a market for those types of shows.,第一次在她的频道。我觉得她来自城市，回到家陪伴祖母。而且她不妨开始制作视频，因为她有时间，可以教育乡村生活的人们。难怪Netflix以“美味起源”出现，该频道证明了这些类型的节目有一个市场。
18274,UgzD23PikbPTDnMvWut4AaABAg.92Y3ad_4C4k92ZHc7Ucprv,0,annie guli's channel is shot in xinjiang concentration camp. you can go to see it. many videos.,安妮古丽 那个频道拍的就是新疆集中营，你可以去看看，很多视频呢
18348,Ugyx6K5-MFt8_NXZsDx4AaABAg.92WmOfrdVfQ92_X9wN5Jvx,0,"​ @valenciabbk lets talk facts and civilized: 
1. i am and will be a chinese whatever in looking or paper. and dissappointly not in any party . i am physically and psychologically intact not blind in anyway. i dont like the word 'blind' u used, which is very offensive and disgrace.
2. hongkong is a beautiful modern and democracy city as many other citys in china and hopefully will be so soon again. all chinese (included inland chinese) had/has the right to go to the street to speak out their different thoughts/demands. you never heard? pls do research or learn history from the books even youtube instead of the official westen medien. 
3. violence was/is/will not be tolerent in any country in this world. 
4. independence of taiwan? oh, big question and frankly i dont really care it happens or not because i have no idea what and how will everything change based on my poor knowledge about politics and financial aspects. you should better ask the people who live there. i hope oneday i could visit my taiwan-friends, only the reason of food is enough. 


suggestions for u to learn more about china and more if u are interested:
https://www.youtube.com/channel/ucaslyjhr4wc7qhyuaivxb6g
https://www.youtube.com/channel/ucvvik8oq2vnzsci4vr9o4dg
https://www.youtube.com/channel/ucgrhgv7atbftqk8dxwidktg


god bless more peace and happiness for this insane world. this talk is ended from my side. bye...","@valenciabbk让我们谈论事实并文明：
1.无论外观或纸张，我都是中国人。并且在任何政党中都不感到失望。无论如何，我在身体和心理上都不是盲目的。我不喜欢您使用的“盲人”一词，这非常令人反感和耻辱。
2.香港是一座美丽的现代和民主城市，就像中国的许多其他城市一样，希望再次如此。所有中国人（包括内陆中国人）都有/有权上街说出他们不同的想法/需求。你从未听说过吗？请在YouTube而不是官方Westen Medien中从书籍中进行研究或学习历史。
3.暴力是/is/is/ins/is in in in in in in in in ins in in is in is in is in is ins in is/is is in is in in th这个国家的任何国家都不会容忍。
4.台湾独立？哦，大问题，坦率地说，我真的不在乎它是否会发生，还是因为我不知道一切都会根据我对政治和财务方面的知识而发生什么变化。您应该最好问住在那里的人。我希望我可以拜访我的台湾朋友，只有食物的原因就足够了。


建议您了解有关中国的更多信息，如果您有兴趣，更多有关中国的信息：
https://www.youtube.com/channel/ucaslyjhr4wc7qhyuaivxb6g
https://www.youtube.com/channel/ucvvik8oq2vnzsci4vr9o4dg
https://www.youtube.com/channel/ucgrhgv7atbftqk8dxwidktg


上帝保佑这个疯狂的世界更多的和平与幸福。这场演讲是从我身边结束的。再见..."
18557,Ugw97QbhxKAEKTN1Gc54AaABAg,0,"21 million views and 7.5 subscriber?
ooh common you should atlest subscribe to this channel❤","2100万次观看次数和7.5个订户？
哦，您应该订阅此频道❤"
18610,Ugw-4ZcCGQMb7Of6XvF4AaABAg.92QSySm3B1D92cFOdzjCul,0,"pedro c you are wrong on this one ...it wasn't mao who was tearing china's culture apart, it was teared by some of the ignorant people who were so weak and they thought they could take advantages during the time of the cultural revolution...china is the only country in the world still hold onto its culture and civilization, thanks to mao...obviously, you have got your infos from the wrong source ,the anti china channel.",佩德罗·C（Pedro c）你错了这个……不是毛泽东撕裂了中国的文化，它被一些无知的人撕裂了...中国是世界上唯一仍然坚持其文化和文明的国家，这要归功于毛泽东...显然，您已经从错误的来源（反中国频道）中获得了信息。
18703,Ugya-aAMjvLvKEoLWOl4AaABAg,0,"from the first like watching this channel 
like the way he cooks 
tough woman","从第一个开始，就像看这个频道
就像他做饭的方式
坚强的女人"
19253,Ugz4DR9zp0sBqD6g_np4AaABAg,0,"has anyone else noticed that from garden or wild harvest all of the produce was pristine without a hint of insect predation? in the us i can't even grow produce without a barrier cover over it and they still get inside. the video production values and content were exceptional. except for a couple of vegan epileptic fits (i'm better now) over the snails and the canadian fat back, the meals were absolutely delicious (i could taste them vicariously). use of traditional fermentation crocks was a refreshing sight. this was my first video introduction to this channel and what a video.",是否有人注意到，从花园或野生收获中，所有农产品都是原始的，没有昆虫捕食的迹象？在美国，我什至无法在没有障碍物覆盖的情况下生长农产品，他们仍然进入内部。视频生产价值和内容非常出色。除了蜗牛和加拿大脂肪的几个纯素食癫痫病（我现在更好）外，饭菜绝对美味（我可以替代地品尝它们）。使用传统发酵锅是令人耳目一新的景象。这是我第一次对此频道的视频介绍，以及什么视频。
19436,Ugx5Ot171Kkj8Whtqpd4AaABAg,0,this is better than my asian food channel! food is home and home is food. its amazing what the country has to offer if you dont care about burgers and chips,这比我的亚洲美食频道更好！食物在家，家是食物。如果您不关心汉堡和薯条，该国所能提供的令人惊讶的是
19466,UgwdvFASF6-3GugwHuh4AaABAg,0,i wonder where the money from this channel is for,我想知道这个频道的钱是在哪里
19480,Ugw3mBF-qNdz2kFsQMt4AaABAg,0,watching the video feels peaceful and pleasant must support the channel,观看视频感觉和平和愉快必须支持频道
19671,UgxrtHNeHG7WXf7ZRVZ4AaABAg,0,too beautiful and cook wonderfully well. i married you! nice to meet you! i love your youtube channel.,太漂亮了，煮得很好。我嫁给了你！很高兴见到你！我爱你的YouTube频道。
19782,UgyjISwxeuTVs2MQbux4AaABAg,0,"me : watch’s 

me again:i want to play roblox but but....this video and channel is tooo


goooooooooooooqooooooooood","我：看

我再次：我想玩roblox，但是...。


goooooooooooooooooooooooook"
19839,Ugx7yI6htaIQBlC8EVh4AaABAg,0,"i am vietnamese, really like your channel",我是越南人，真的很喜欢你的频道
17978,Ugw6czK9Xf25b4E83At4AaABAg.92ddrN0ohs592nmk8aJT-2,0,check mu channel. you will see my comments on liziqi https://www.youtube.com/watch?v=a17_7vfkl8m&list=plpe6o-or4zd_6hbq-bvqexmpoo87yiqoy&index=4,检查MU频道。您将在liziqi https://www.youtube.com/watch?v=A17_7VFKL8M&list=plpe6o-or4zd_6hbq bvqqexmpoo87yiiqoy&index=4中看到我的评论。
17883,UgyN2zPy9Un8LHVRzit4AaABAg,0,how did the chinese channel upload to youtube?,中国国内的频道怎么上传到YouTube的？
17867,Ugz2_27GZeZRrLMcr1t4AaABAg,0,"while i don't think i could live this type of lifestyle, i am very grateful to have this channel to watch, learn from, and enjoy!",虽然我认为我无法过这种生活方式，但我很高兴能够观看，学习和享受这个频道！
17286,Ugyj8GWTjtNPhee5KmR4AaABAg.92l_qVtfeTK92o23Ph2ttH,0,"she put camera shot every angle follow the procedure from channel start.
now she have a whole team doing that.","她将相机拍摄的每个角度都遵循频道启动的过程。
现在她有一个团队这样做。"
16617,UgwG6EGI9KhD1FkfuKZ4AaABAg.92t3bTvXZ7H933siaSIrUu,0,@yipucui2616 it is also because of the food and the village life. i am overseas chinese and i have just unsubscribed the channels regarding h.k news.,@yipucui2616这也是由于食物和乡村生活。我是海外的中国人，我刚刚订阅了有关H.K新闻的渠道。
106,UgxEyVwu4IEVX75c_Wl4AaABAg,0,why don’t you start another channel,你为什么不启动另一个频道
16672,Ugzikb4OeyN-G0GAdEF4AaABAg,0,"seven million subscribers, and two million views, i have not met such a channel anymore.",700万订户和200万次观看次数，我还没有遇到这样的频道。
16941,UgxL-WXue1vTq3hQRdl4AaABAg,0,"great way of cooking in a traditional manner known by this channel, silence and peace great channel, great chef",以这种频道，寂静与和平的传统方式烹饪的好方法，伟大的厨师，来自印度伟大文化
16986,Ugxp4uXO1mpqukShUx54AaABAg,0,this channel is my new found hidden gem on youtube. food and peace. a good 10 minutes away from the competitive world is all i need every day. subscribed! please keep up the good work!,该频道是我在YouTube上发现的新隐藏宝石。食物与和平。我每天都需要距离竞争世界10分钟路程。订阅！请保持好的工作状态！
17079,Ugzzp6gjWvHqEYVmoWx4AaABAg,0,incredible! i didn't know this channel and now i'm 2 hours ago watching several videos. it is hypnotic. hahahaha,极好的！我不知道这个频道，现在我两个小时前观看了几个视频。它是催眠的。哈哈哈哈
17275,UgxvSWBRnPTsdiXCLRl4AaABAg,0,my channel asmr thai food.,我的频道ASMR泰国食品。
17315,UgyGFq3NuKFtZ7jVZT94AaABAg,0,i recently subscribed to your channel and i have to say i love it hello from america,我最近订阅了您的频道，我不得不说我喜欢美国。
17811,UgyRROJtFbEXrLujpVd4AaABAg.92g4yT1W1r492lOvy2n8g6,0,"no one has never been forced to see it. you just read the news. li ziyi's channel was only opened in 2017. now more than 7 million subscriptions, 80 % are not chinese.",从来没人强迫你看，你不过是看了新闻跑过来的，李子柒的频道2017年油管才开通，现在700多万订阅数，百分之八十都不是华人
17392,UgypqathMbuNR6DhHA14AaABAg,0,"after seeing this channel, i found that those people in ancient times were happy",看了这个频道 我才发现古代那些人过得好幸福
17435,Ugysg4khewZJu6-aKwJ4AaABAg,0,amazing existing asian channels focused on a very traditional cuisine,惊人的现有亚洲频道集中在非常传统的美食上
17535,Ugzc0zUP5u4LDYQSxxJ4AaABAg,0,"hello vietnam> like the new channel i made a video like this sister, guys, please support me, from vietnam,
hello vietnam> like
i just made a new channel like this sister, guys, please come and support me, from vietnam","你好越南>就像我制作了像这个姐姐一样的视频，伙计们，请从越南支持我，
你好越南>喜欢
我刚刚制作了一个像这个姐姐一样的新频道，伙计们，请来支持我，来自越南"
17578,UgwTsZR9877FqrqB6zl4AaABAg,0,"i heard that the comment area was fully occupied by foreign friends, and i sent this congratulatory message. today, the rural life has long been away. this channel has become a soul sustenance.",听说评论区被外国友人全面占领，特来发此贺电。田园生活早已远去的今天，这个频道成为心灵寄托实在再好不过。
17584,UgxZYQ-fSis7Mc96bnp4AaABAg,0,fantastic channel...i wish to go there if possible..pls say place name?,神奇的频道...如果可能的话，我想去那里。
17691,UgyXvJIH-Cz_Bb2ks854AaABAg,0,waow...this channel is amazing....,waow ...这个频道很棒。
17799,UgwdeRtW91Iok4lIjZZ4AaABAg,0,"as chinese, it is so funny to read comments in #liziqi channel.",作为中文，阅读#liziqi频道中的评论真是太有趣了。
13076,UgwsZDggund_8uJQA0Z4AaABAg,0,i really like this girl's channel! watch all the time boring! i wish to live here ??,我真的很喜欢这个女孩的频道！一直看无聊！我想住在这里吗？
13073,UgycCysUYwx0Dm3GRdN4AaABAg,0,"this channel, and jackie chan movies, help me forgive the chinese for killing us all.",这个频道和杰基陈的电影，可以帮助我原谅中国人杀死我们所有人。
13005,Ugyg8SczgvIr8SWaDxh4AaABAg,0,"another great yt video from liziqi that leaves me thinking, wanting to delve further into the subject matter and makes me want to go foraging and living off the land like she does!! would greatly appreciate if you can show my channel hakka moi some support as well 'm producing content that hopefully carry a certain appeal and would encourage thought processes of different cultures and traditions that exist.",Liziqi的另一个很棒的YT视频让我思考，想进一步深入研究主题，让我想像她一样觅食和生活在土地上！如果您可以向我的频道Hakka Moi展示一些支持，也将非常感谢。我正在制作希望具有一定吸引力的内容，并鼓励存在的不同文化和传统的思维过程。
10702,Ugyu_2Q-Yxt8tR9RQ-l4AaABAg,0,junio ​​olive olive this and a brazil channel,Junio Olive Olive这个和巴西频道
9487,UgzzY-3wbYFEs5ACuo94AaABAg,0,"new youtuber here. ๐‘
1 like 1 subscribe ...
plz subscribe my youtube channel thankyou.. ๐ lets hug each other ๐ค","新的YouTuber在这里。 
1喜欢1订阅...
plz订阅我的YouTube频道谢谢.."
9547,UgyJbdjjnq4etTE_50h4AaABAg.99wRLyOTzUJ99wTKPSYrZc,0,"you can go to the li ziyi channel on the bilibili website. the screen will be out of the sichuan dialect in the screen over there, and there are more videos than yt. https://www.bilibili.com/video/bv1st411k7tf",您可以到bilibili网站的李子柒频道看，那边屏幕会将里面的四川方言即时po出，而且影片比yt多。 https://www.bilibili.com/video/BV1St411K7TF
9553,Ugy3BQfuo-woKnJ60gR4AaABAg,0,"wow! i love the channel you have a great content and presentations! looks so yummy and healthy dishes. i leave you with a well deserved like๐‘, subscription, and the bell on๐””! hope to see you in my channel too to be friend and stay connected. sending love๐’•and support from ph๐ต๐ญ.๐โค",哇！我喜欢您的频道，您的内容和演示很棒！看起来很美味和健康的菜肴。我给您留下了当之无愧的
9684,UgwM6fkSJ_6fEd5oHUl4AaABAg,0,subscribe my channel please๐ซ๐๐๐’“,请订阅我的频道
9771,UgzIuPm50KIWj0P2BLx4AaABAg.99cRAznve7299ckGHt7pbh,0,@jeanou6285 well first went to the owner of the channel whom i wrote i did not only say that you are the owner of the channel whom i wrote? xd,@jeanou6285首先是我写的频道的所有者，我不仅说你是我写的频道的所有者？xd
9800,UgxDXe0ZgyntO874XD14AaABAg,0,"its hard to performed a video likes liziqi...congratulation liziqi..others freinds , come visit my channel...you can see my plants",很难执行的视频喜欢Liziqi ...恭喜Liziqi ..其他Freinds，来访问我的频道...您可以看到我的植物
9843,Ugz1KfZz151owKn0T5l4AaABAg,0,i'm new on your channel i love your video i'm from minas gerais๐๐๐,我在您的频道上是新的，我喜欢您的视频，我来自MinasGerais
9853,Ugytg98Ax5RXlINxJJZ4AaABAg,0,it can only be the only iraqi to follow this channel,它只能是唯一遵循此渠道的伊拉克
10027,UgxF8Wg1cgZ9-SjsyxZ4AaABAg,0,https://youtu.be/3yvxbs0dwzo please do subscribe this channel to enjoy some beautiful dance performances from india,https://youtu.be/3yvxbs0dwzo请订阅此频道以享受印度的一些精美舞蹈表演
10077,Ugz-PTDWUeOTYscxpHt4AaABAg,0,watch miss yeah good channel,看小姐是好频道
10092,UgyF9VwbA3EbImJu4ux4AaABAg,0,the number of people who love and spread liziqi's attendance. hope everyone will support my channel,热爱和传播Liziqi出席的人数。希望每个人都支持我的频道
10165,Ugw4GLTWMV9sBmHAvk14AaABAg,0,one thing this channel is teaching me is not to be lazy!,这个频道是教我的一件事是不要懒惰！
10234,UgzVSDvQl5tXvFgtRvR4AaABAg,0,this channel is on another level...,这个频道在另一个级别...
10349,Ugw4oJyiCkpFsTaj02Z4AaABAg,0,i learn that i learn nothing from this channel.,我了解到我从这个频道中什么也没学。
10403,Ugx6RbWB06azLol6D954AaABAg,0,"still curious, is youtube channel available in china? i heard google company is restricted/ banned in china. how is she possible to upload the videos from china? i'm confuse",仍然很好奇，YouTube频道在中国可用吗？我听说Google公司在中国受到限制/禁止。她如何可以上传来自中国的视频？我很困惑
10479,UgyprXZ8va7AKyp89ZV4AaABAg,0,"just found this channel and i ended up watching all her videos. please adopt me, i want to live with you and your grandma",刚刚找到了这个频道，我最终观看了她的所有视频。请收养我，我想和你和你的奶奶一起生活
10486,UgzeZnabSR9BrVQZj2V4AaABAg,0,just for fun channel: https://youtu.be/wti_imdah2w,只是为了娱乐频道：https：//youtu.be/wti_imdah2w
9420,UgykeaoQVXoEJSFWavF4AaABAg,0,lovely fairytales on this channel.,这个频道上可爱的童话。
9407,UgzpW8ZAMFP09p9NBQt4AaABAg,0,time flies when whaching her channel.,捕捞她的频道时，时间飞了。
9401,Ugzv7liEOC3A3dVEpXV4AaABAg,0,"beautiful, strong, can you enlighten my humble channel",美丽，坚强，你能启发我谦虚的频道吗
8780,UgwEG1lHPUCht8nHa1d4AaABAg,0,visit my channel,访问我的频道
