,cid,votes,time,含traditional,含traditional中文翻译
8502,UgzVPZQrTKCOeKYpiu54AaABAg,0,2 years ago,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
42807,UgysGxgQ5Ehy45ioJZ14AaABAg.8rX2wKoQhq08rfyUT08aTV,0,4 years ago,what is the relationship between jean ou and traditional culture,Jean ou 跟传统文化有什么关系
8501,UgxClTbDm4NcZC8ZjB54AaABAg,0,2 years ago,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
42598,UgzoVngfeE07oqkydLV4AaABAg,0,4 years ago,i like traditional food items and making with traditionally....i love them...spcly korean japan and chaina.....i am from sri lanka...,我喜欢传统的食物，并与传统上一起制作。...我爱它们...韩国日本和连锁店.....我来自斯里兰卡...
42625,Ugy6I25UeI-TviAq0K14AaABAg,0,4 years ago,they use traditional way.. so wonderful video.,他们使用传统的方式..如此出色的视频。
42731,UgzcPkReoed7Niy96i54AaABAg,0,4 years ago,i love how traditional and rustic everything is,我喜欢一切的传统和质朴
5590,UgwHtSC_sld716mFb0V4AaABAg,0,2 years ago,"i eat most of this here in washington, dc! but you show me the traditional way. thank you. i love your videos. i can see you work hard on projects and flawless production of the video! bravo.",我在华盛顿特区吃了大部分！但是你向我展示了传统的方式。谢谢。我爱你的视频。我可以看到您在项目和视频的完美制作中努力工作！布拉沃。
8498,Ugx8nDbIRWVQw5hU3ht4AaABAg,0,2 years ago,"please respect that china itself has a kimchi culture. if you don't want to see his video, leave right now.
narrow democracy only makes koreans hate from other countries.
there are 18 million koreans in china, and do you admit that chinese koreans share the same traditional culture as koreans? .
in china, there are dozens of kimchi soaked in china.
we are not worth lying to you, and narrow nationalism makes you unable to see this.","请尊重中国本身具有泡菜文化。如果您不想看他的视频，请立即离开。
狭窄的民主只会使韩国人仇恨其他国家。
中国有1800万韩国人，您是否承认中国韩国人与韩国人有着相同的传统文化？
在中国，中国浸泡了数十个泡菜。
我们不值得向您撒谎，狭窄的民族主义使您无法看到这一点。"
46384,UgzheQh3lqKH1EvFUZZ4AaABAg.8qv-xnvCyIE8qyqPMmDnQB,0,4 years ago,"@mjt4789 https://www.youtube.com/watch?v=qujz0mys6ow&t=160s

look at the pinned comment. if you put it on google translate, it says this, ""hello everyone, here is the official authorized channel of li zi qi's overseas youtube distribution. thank you for your love and support for the channel and the children. we will promptly send the most exciting content to everyone, and hope that everyone can continue to like and support li zi qi. and the official channel, share it with friends around you, share this pastoral artistic life with everyone, and share our excellent chinese traditional culture with foreign friends. thank you all, we continue to work harder~""","@mjt4789 https://www.youtube.com/watch?v=qujz0mys60＆t = 160S

看看固定的评论。如果您将其放在Google翻译上，它说：“大家好，这是Li Zi Qi的海外YouTube发行的官方授权渠道。谢谢您对频道和孩子的爱和支持。我们将立即发送最多的发送对每个人都令人兴奋的内容，并希望每个人都可以继续喜欢并支持李Zi Qi和官方渠道，与周围的朋友分享，与每个人分享这种牧师艺术生活，并与外国朋友分享我们出色的中国传统文化。谢谢大家，我们继续努力工作〜”"
4808,UgwotVtOQyVWEQL0hTp4AaABAg.9QL82uSxCt_9QNXyBxED93,0,1 year ago,"the girl live sichuan province of china, a small mountain village,the videos is make traditional chinese snacks.rural life",女孩中国的四川省，一个小山村，视频是传统的中文小吃。
46588,UgyztlwRUr36M8j1ELl4AaABAg,0,4 years ago,"the interpretation is good, very professional, but now these simple and traditional things in china are getting less and less.",演绎的不错，很专业，但现在中国这些淳朴传统的东西越来越少了。
50906,UgxmG2wdFYPjiTnHSth4AaABAg.8qlbtwK52oe8qm2xQSQLcG,0,4 years ago,"@viovio4256 ok, well, happy new year to you all, janelle and minh
....amazing how long these things that she prepares will last.
i wonder, is it traditional to have a party at probably her grandmothers house? that is where all this will be used, you think?","@viovio4256好吧，好吧，祝大家新年快乐，珍妮尔和明尼
....令人惊讶的是，她准备的这些事情将持续多久。
我想知道，在她的祖母之家举行聚会是传统的吗？您认为这就是所有这些都将被使用的地方吗？"
49349,UgwB5148PGj6J81cUTN4AaABAg,0,4 years ago,"i just wish i could have been able to learn things like this, like...they do practically everything by hand. it's such a traditional way of life, it's completely lost on the rest of the world.",我只是希望我能够学习这样的东西，就像……他们几乎手工做所有事情。这是一种传统的生活方式，它在世界其他地区完全迷失了。
49633,UgxSSNqUAxsxSqnWa7d4AaABAg,0,4 years ago,"your video it's so refreshing... i can see the process of making this food in traditional way, that i only heard it from my mom.",您的视频真是令人耳目一新...我可以看到以传统方式制作食物的过程，以至于我只从妈妈那里听到了。
50120,UgwvLMozRlxxXdN5fNh4AaABAg,0,4 years ago,traditional snacks can see my saliva ~,传统零食看得我口水直流 ~
1531,Ugzx80V3lH9ZKkPUJ394AaABAg,0,11 months ago,love this traditional way of doing things,喜欢这种传统的做事方式
50270,Ugxj4cw1_qNRSDWOQsd4AaABAg,0,4 years ago (edited),"thank you so much for showing traditional new year treats! in the united states, we only see a fraction of what you made. happy new year!",非常感谢您展示传统的新年美食！在美国，我们只看到您所做的一小部分。新年快乐！
1530,Ugz5iLk0yY466ustCCF4AaABAg,0,11 months ago,love this traditional way of doing things,喜欢这种传统的做事方式
1101,UgwBvwSjJS0v0p6X7Lh4AaABAg,0,8 months ago,any traditional me lovers here ???,这里有传统的我的爱好者吗？？？
46638,Ugw9TQVFJ1LLmn8onm54AaABAg,0,4 years ago,"she got 1 person in 3,000 on our globe watching how chineses people develop foodstuffs and live since a long time ago.

bravo girl.

china national patriot.
and its a trade that people within china long wishes to experience their childhood with their traditional mothers capability.","她在我们的全球范围内让3,000人有1位成员，看着Chineses的人们如何发展食物并从很久以前的生活开始。

勇敢的女孩。

中国国家爱国者。
这是中国人们长期以来一直希望以传统母亲能力体验自己的童年的贸易。"
51385,UgwtVFyJjQZ1Ltcx0sN4AaABAg.8qlWjczw-Et8qlobD7mJ7U,0,4 years ago,she is preparing traditional snacks which people always eat during chinese new year.,她正在准备人们在农历新年期间总是吃的传统小吃。
51507,UgzQ5FAqnSg0DW-UxnZ4AaABAg.8qlV3097wGf8qliFzvQ_zb,0,4 years ago,"it is hawthorn and apple ,cover by melton honey and sugar. we call this tanghulu in china and it is the traditional chinese candy .if you want to sell this on the street ,you must carry the big rice leave stick which shows in the background",它是山楂和苹果，由梅尔顿蜂蜜和糖覆盖。我们在中国称之为坦格鲁，它是中国传统的糖果。如果您想在街上出售它
51989,Ugw3HKmFO_uPSUsXc-N4AaABAg,0,4 years ago,is apple's sugar gourd traditional?,苹果的糖葫芦是传统的吗？
52525,Ugyn3OrNPm70D0zrOZx4AaABAg.8qlLn-M0AJU8qlanAQkRiP,0,4 years ago,"she prepared some candy,sunflower seeds,chesnut,jerky for lunar new year(february 5th). traditionally,people usually buy candy to treat friends who come to their house to give good wishes for new year.",她准备了一些糖果，葵花籽，切斯纳特，生死的新年（2月5日）。传统上，人们通常会购买糖果来对待那些来他们家给新年祝福的朋友。
52544,UgzaB-PEgA0QhFATpPF4AaABAg,0,4 years ago,"hey viewers
assalaamualaikum
see my channel too... i'm making traditional authentic dishes in simple and easy way... subscribe to my channel too.. 
made with ease served with pride alhamdulillah mashaallah...","嘿，观众
Assalaamualaikum
也可以看到我的频道...我正在以简单简便的方式制作传统的真实菜肴...也订阅我的频道。
轻松地搭配骄傲的Alhamdulillah Mashaallah ..."
52866,UgyPtSCSjH1mCfKP52x4AaABAg.8qlJlbWN48C8qlRAaqJTNA,0,4 years ago,@linasepti1805 it must be very okay if our youtuber presents the wealth of traditional indonesian -style life that is packaged epic. well ak hopes.,@linasepti1805如果我们的YouTuber呈现了包装史诗般的传统印尼风格的生活，那一定还可以。好吧，AK希望。
49344,UgwL3iAA3s5UTgVNi_N4AaABAg.8qm8_CFNxiT9M7FI32RpRJ,0,2 years ago,@allisgoodallisbad they never said it was a popcorn machine- they said it was a traditional machine.,@allisgoodallisbad他们从未说过这是一台爆米花机 - 他们说这是一台传统机器。
2377,Ugy8trk23QyhmIaUB-d4AaABAg,0,1 year ago,this is the real traditional fried rice flower,这个才是真正的传统炸爆米花
2949,UgyfoTXysMYacEJ8CWF4AaABAg,0,1 year ago,"ly tu that: the girl from poor and unhappy, introducing rural life and traditional chinese food to the world.

and what else? why do you have 16 million sub.

very talented, overcome difficulties, commendable, wonderful!","ly tu：来自贫穷和不开心的女孩，向世界介绍了农村生活和传统的中国菜。

还有什么？为什么您有1600万个子。

非常有才华，克服困难，值得称赞，很棒！"
2950,UgyGQMscCWxysPsWJJ94AaABAg,0,1 year ago,"ly tu that: the girl from poor and unhappy, introducing rural life and traditional chinese food to the world.

and what else? why do you have 16 million sub.

too compliment! great!","ly tu：来自贫穷和不开心的女孩，向世界介绍了农村生活和传统的中国菜。

还有什么？为什么您有1600万个子。

太称赞了！伟大的！"
49066,UgxDtMZrB7UkFSV2y4Z4AaABAg,0,4 years ago,i love her so much d: i wish i could come to china and learn from her all these traditional recipes and methods!,我非常爱她D：我希望我可以来中国，从她的所有这些传统食谱和方法中学习！
48369,Ugw86XeTCixoG401cn14AaABAg,0,4 years ago,first of all greetings my beautiful lady that interesting the traditional way of preparing everything i tell you they gave me the decey of provar everything i love your videos only yours if you could put the ingredients in spanish a kiss and a hug,首先，我美丽的女士的问候，这是一个传统的准备方式，我告诉你的一切，他们给了我宣传的一切，我只有您喜欢的视频，只要您才能将食材放在西班牙语中
2971,UgwulJBIIWN2OPHgUVJ4AaABAg,0,1 year ago,rice cracker pop and traditional pop corns! delicious!,大米饼干流行音乐和传统的流行玉米！可口的！
48267,UgyPM1_C300Oo2AynGd4AaABAg,0,4 years ago,all traditional snacks for the new year (chinese spring festival)!,新年的所有传统小吃（中国春节）！
48126,UgyRhKSY9TDyHnJNhqZ4AaABAg,0,4 years ago,that is traditional food form china,那是中国的传统食物
3359,Ugw3bJy4ZUxVB58alER4AaABAg,0,1 year ago,i hate all traditional chinese dried fruit candies except for one. the powdery orange colored salty dried prunes...话梅 huamei,我讨厌除一种传统的中国干果糖果。粉状的橙色咸干李子...话梅huamei
47778,Ugyqefw7uS5czRaSqRJ4AaABAg,0,4 years ago,i like your chanel but you are definitely using the china language you very traditional,我喜欢你的香奈儿
3923,UgzGdtPvUYlM3HSm31p4AaABAg,0,1 year ago,"nice food , i like your creative. for me makes traditional food too. thank you so much for sharing.",美味的食物，我喜欢你的创意。对我来说，也制作传统食物。非常感谢你的分享。
47207,UgxTFMmuzxGmrpRsEPF4AaABAg,0,4 years ago,young girl like that is so extremely talented in her traditional skills of these beautiful recipes.. so hard working .. hope her hard work will pay off financially.,这样的年轻女孩在这些美丽的食谱的传统技能中非常有才华。
47188,Ugx00MEA2UO81P0xK7x4AaABAg,0,4 years ago,used to have those popcorns poprice made in the traditional way,曾经以传统方式制作那些爆米花
47029,UgyCG4cT9xuiTDgbUoF4AaABAg,0,4 years ago,i love the touch of traditional in everything,我喜欢所有内容中传统的触感。喜欢在这种气氛中生活n吃
40443,Ugw7ROfxk9M_6Ex4nlB4AaABAg,0,4 years ago,"young people in contemporary china should return to their own culture. modern chinese young people have more than westernized, and they have reached the point of flooding. those who have conditions must return to their parents, grandparents, and put those traditional craftsmanship. the customs, diet inheritance, these are our identity passwords, the imprint of our thousands of years of historical culture, and the foundation that we distinguished from others.",当代中国的年轻人，更多的应该回归自己的文化，现代的中国人年轻人西化有余，已经到泛滥的地步了，有条件的一定要回到自己父母，爷爷奶奶身边，把那些传统的手艺，习俗，饮食继承下来，这些都是我们的身份密码，是我们几千年历史文化的烙印，是我们区别于其他人的根本。
46699,UgzaNtr1Dl0nG6v4Qxp4AaABAg,0,4 years ago,perfect to watch and the prepation of cooking is very clean and traditional. thanks a lot im from philippines.,非常适合观看，烹饪的准备非常干净和传统。非常感谢菲律宾的我。
40458,Ugw8IjfAVhZq2f8YVQ94AaABAg,0,4 years ago,"like, traditional",就像，传统
39082,UgzXOQVkg2UULGsGWON4AaABAg,0,4 years ago,"videos like this are a fantastic promotion of traditional chinese culture. i`m from canada, this was wonderful to watch :-)",像这样的视频是中国传统文化的绝佳推广。我来自加拿大，这真是太好了:-)
40141,UgwRNq8Tja0Ee_mrgcx4AaABAg,0,4 years ago,i fell in love with this channel i mean specially her. i always imagine life like this somewhere in china or japan but i am in southeast asia. always feel peaceful thinking and see how great old generation live without modernization still happy and comfortable and have everything they need. i hope someday when technology reach its peak we will be back in old generation again but this time more traditional modern way. balance between real life and tech. i will supprt this channel watch her videos and also the ads,我爱上了这个频道，我的意思是特别是她。我总是想像中国或日本某个地方这样的生活，但我在东南亚。始终感到和平思考，看看没有现代化的伟大的老一代仍然幸福而舒适，并拥有他们需要的一切。我希望有一天，当技术达到顶峰时，我们将再次回到老一代，但是这次更传统的现代方式。现实生活与技术之间的平衡。我会建议您观看她的视频和广告
28227,Ugw_WrfBvkIxIjBeErB4AaABAg,0,3 years ago,still young but mastering various traditional things ... extraordinary ...,仍然年轻，但掌握了各种传统事物...非凡...
16255,Ugy4buKqJXtHssk542t4AaABAg,0,3 years ago,super traditional! i love it.,超级传统！我喜欢它。
30208,Ugx10U_tp-j3NbpPG-54AaABAg,0,3 years ago (edited),dianxi xiaoge and her are similar yet different. this channel gives a very traditional feeling. like those tranditional chinese drama vibe.,Dianxi Xiaoge和她相似但不同。这个频道给人一种非常传统的感觉。就像那些统治的中国戏剧氛围一样。
16818,Ugx59EWA1Fa3VB_LUt94AaABAg,0,3 years ago,the traditional chinese way to make pop corn is next level,传统的中国制作流行玉米的方式是下一个水平
16861,UgxZHqv08fMcRN8QsxJ4AaABAg,0,3 years ago,"im also have an ordinary life style, traditional way",我也有一种普通的生活方式，传统的方式
30013,UgyqNouiyB2hsU0iwwd4AaABAg,0,3 years ago,traditional cooking..looks so yummy..๐๐‘,传统烹饪..看起来好吃..
29920,UgxEGv5_dJAo3-W1BFF4AaABAg,0,3 years ago,doesn't looks like traditional chinese food. it is more like a fusion or western.,看起来不像传统的中国菜。它更像是融合或西方。
996,Ugw5qLUqYcJ1-tTORAt4AaABAg.9haKPICi8eV9hamHowQ68o,0,7 months ago,"https://youtu.be/7xubhtgmexm

traditional fish fry indian","https://youtu.be/7xubhtgmexm

传统的鱼类印第安人"
17240,UgyQCfSHkZrhi_53ApR4AaABAg,0,3 years ago,"li ziqi was born 6 july 1990. she is a chinese food and country-life blogger, entrepreneur, and internet celebrity. she is known for creating food and handicraft preparation videos in her hometown of rural pingwu, mianyang, sichuan, often from basic ingredients and tools using traditional chinese techniques. 
li lives with her grandmother, who occasionally appears in videos, in the countryside of mianyang in southwest china's sichuan. as a young adult, she lived in the city, working various jobs such as a waitress, a music dj, and a singer. when her grandfather died, she moved back to take care of her grandmother. initially doing all photography and editing by herself, as she gained popularity and experience, her recent online videos are produced using a personal assistant and a videographer. 

li started posting her videos on meipai in 2015. as of 2020, she has over 9 million subscribers on youtube, over 22 million followers on sina weibo, over 3 million followers on facebook, and has inspired many bloggers to post similar content. 

she was awarded the people's choice award by the people's daily newspaper in september 2019. cctv praised her and stated ""without a word commending china, li promotes chinese culture in a good way and tells a good china story"". 

❤i was born in sri lanka and five years ago i migrated to australia. after very challenging years, i could buy my very first home last month, on the beautiful sunshine coast. now i can see a new cdb from my home and i have very limited space. however, i really want to be a minimalist and have a sustainable life. 

i came across li's videos when i am trying to find videos of sustainable gardens. thank you very much, li for the inspiration ❤❤ ❤❤❤ ❤ 

i studied so many of her videos in the last couple of days. i could learn a lot from her. even though i was not very active in my channel last few months i will make new style videos using my sri lankan cultural background and my urben but sustainable life. i will make some videos about urben gardening, traditional sri lankan cooking and i will share how i saved for my first home. at the moment most of my videos in english but soon i will do the videos from englis 

❤if you guys have any ideas to improve my channel please let me know. 
https://www.youtube.com/watch?v=mo8egbwhscc&t=64s","李Ziqi出生于1990年7月6日。她以在她的家乡Pingwu，Mianyang，Sichuan的乡村制作食物和手工艺品准备视频而闻名，通常是使用传统的中国技术的基本成分和工具。
李与她的祖母一起生活，祖母偶尔出现在中国西南四川山的乡村中。作为一个年轻的成年人，她住在这座城市，从事各种工作，例如女服务员，音乐DJ和歌手。当她的祖父去世时，她回去照顾祖母。最初，随着她的流行和经验，她的最新在线视频是用个人助理和摄像师制作的。

李从2015年开始在Meipai上发布她的视频。截至2020年，她在YouTube上拥有超过900万订阅者，在Sina Weibo上有超过2200万关注者，在Facebook上有超过300万关注者，并激发了许多博客作者发布类似内容。

她在2019年9月获得了《人民日报》的《人民选择奖》。CCTV称赞她，并表示：“李没有一个单词来宣传中国文化，并讲述了一个好的中国故事”。

我出生于斯里兰卡，五年前我移民到澳大利亚。经过非常挑战的岁月，我可以上个月在美丽的阳光海岸购买我的第一个房屋。现在，我可以从家里看到一个新的CDB，并且空间非常有限。但是，我真的很想成为极简主义者并拥有可持续的生活。

当我试图找到可持续花园的视频时，我遇到了李的视频。非常感谢您，李的灵感❤❤❤❤❤❤

在过去的几天里，我研究了她的许多视频。我可以从她那里学到很多东西。即使最近几个月我在频道上并不活跃，我还是会使用我的斯里兰卡文化背景和我的乌尔本，但可持续的生活来制作新的风格视频。我将制作一些有关Urben园艺，传统的斯里兰卡烹饪的视频，我将分享我为自己的第一个家节省的方式。目前，我的大多数英文视频

❤如果你们有任何改善我的频道的想法，请告诉我。
https://www.youtube.com/watch?v=mo8egbwhscc&t=64S"
17241,UgxTttH8_DhF7EexGr14AaABAg,0,3 years ago,"li ziqi was born 6 july 1990. she is a chinese food and country-life blogger, entrepreneur, and internet celebrity. she is known for creating food and handicraft preparation videos in her hometown of rural pingwu, mianyang, sichuan, often from basic ingredients and tools using traditional chinese techniques. 
li lives with her grandmother, who occasionally appears in videos, in the countryside of mianyang in southwest china's sichuan. as a young adult, she lived in the city, working various jobs such as a waitress, a music dj, and a singer. when her grandfather died, she moved back to take care of her grandmother. initially doing all photography and editing by herself, as she gained popularity and experience, her recent online videos are produced using a personal assistant and a videographer.

li started posting her videos on meipai in 2015. as of 2020, she has over 9 million subscribers on youtube, over 22 million followers on sina weibo, over 3 million followers on facebook, and has inspired many bloggers to post similar content.

she was awarded the people's choice award by the people's daily newspaper in september 2019. cctv praised her and stated ""without a word commending china, li promotes chinese culture in a good way and tells a good china story"".

❤i was born in sri lanka and five years ago i migrated to australia. after very challenging years, i could buy my very first home last month, on the beautiful sunshine coast. now i can see a new cdb from my home and i have very limited space. however, i really want to be a minimalist and have a sustainable life.

i came across li's videos when i am trying to find videos of sustainable gardens. thank you very much, li for the inspiration ❤❤ ❤❤❤ ❤

i studied so many of her videos in the last couple of days. i could learn a lot from her. even though i was not very active in my channel last few months i will make new style videos using my sri lankan cultural background and my urben but sustainable life. i will make some videos about urben gardening, traditional sri lankan cooking and i will share how i saved for my first home. at the moment most of my videos in english but soon i will do the videos from englis

❤if you guys have any ideas to improve my channel please let me know. 
https://www.youtube.com/watch?v=mo8egbwhscc&t=64s","李Ziqi出生于1990年7月6日。她以在她的家乡Pingwu，Mianyang，Sichuan的乡村制作食物和手工艺品准备视频而闻名，通常是使用传统的中国技术的基本成分和工具。
李与她的祖母一起生活，祖母偶尔出现在中国西南四川山的乡村中。作为一个年轻的成年人，她住在这座城市，从事各种工作，例如女服务员，音乐DJ和歌手。当她的祖父去世时，她回去照顾祖母。最初，随着她的流行和经验，她的最新在线视频是用个人助理和摄像师制作的。

李从2015年开始在Meipai上发布她的视频。截至2020年，她在YouTube上拥有超过900万订阅者，在Sina Weibo上有超过2200万关注者，在Facebook上有超过300万关注者，并激发了许多博客作者发布类似内容。

她在2019年9月获得了《人民日报》的《人民选择奖》。CCTV称赞她，并表示：“李没有一个单词来宣传中国文化，并讲述了一个好的中国故事”。

我出生于斯里兰卡，五年前我移民到澳大利亚。经过非常挑战的岁月，我可以上个月在美丽的阳光海岸购买我的第一个房屋。现在，我可以从家里看到一个新的CDB，并且空间非常有限。但是，我真的很想成为极简主义者并拥有可持续的生活。

当我试图找到可持续花园的视频时，我遇到了李的视频。非常感谢您，李的灵感❤❤❤❤❤❤

在过去的几天里，我研究了她的许多视频。我可以从她那里学到很多东西。即使最近几个月我在频道上并不活跃，我还是会使用我的斯里兰卡文化背景和我的乌尔本，但可持续的生活来制作新的风格视频。我将制作一些有关Urben园艺，传统的斯里兰卡烹饪的视频，我将分享我为自己的第一个家节省的方式。目前，我的大多数英文视频

❤如果你们有任何改善我的频道的想法，请告诉我。
https://www.youtube.com/watch?v=mo8egbwhscc&t=64S"
18065,Ugw2iJFhvTmtJ-lCyw14AaABAg.97MfFon2pe598-MGeWlRp3,0,3 years ago,"if you go to china, it's a traditional confection sold on various streets.",如果您去中国，那是在各种街道上出售的传统甜点。
19347,UgzGGjHBn4BClaudb-94AaABAg,0,3 years ago,i love watching her videos. from making furniture to clothing to traditional embroidery....... i'm in awe. i know it's hard work and i just want to work with her....,我喜欢看她的视频。从制作家具到衣服再到传统刺绣.......我很敬畏。我知道这是艰苦的工作，我只想和她一起工作。
19534,UgyoqOcRfTtFEt4gOzx4AaABAg.95gC8_tpiSL95gfPCq7-Ln,0,3 years ago,it's just for welcoming spring festival. a traditional chinese festival. of course. she has products in taobao. you can search liziqi if you want to eat her food,这只是为了欢迎春季。传统的中国节。当然。她在淘宝网上有产品。如果您想吃她的食物，可以搜索Liziqi
19727,UgzixCA890c2elUC4vN4AaABAg.95MIxncGJQw95el_wahJns,0,3 years ago,"i personally think that the things they carry are different. li ziyi pays attention to life, and the tip of the tongue pays attention to traditional culture and inheritance.",个人认为他们所承载的东西不一样，李子柒注重生活，而舌尖注重传统文化与传承
19809,UgxLaAmhdrpNv_zIAat4AaABAg,0,3 years ago,the most loved traditional doing all kind of girl...love ya all the way from north africa,最喜欢的传统做各种女孩...从北非一直爱你
19909,UgxF9AQT_SzXJRCbMW54AaABAg,0,3 years ago,"li zi is amazing, little girl, big article!

one, amazing
1. promote promotion of traditional chinese national culture
2. interpretation of truth, goodness, and beauty
3. stimulate positive social energy

second, big article
1. strike social bias
2. interpret why china is developing rapidly
3. prove why china is strong and will not invade others

third, wait and see.","李子柒了不起，小姑娘，大文章！

一、了不起
1.促进弘扬中华传统民族文化
2.演绎真、善、美
3.激发社会正能量

二、大文章
1.冲击社会偏见
2.诠释中国为什么发展神速
3.证明中国为什么强大也不会侵略别人

三、来日方长 拭目以待。"
40140,UgyP60npm0iFynpTQ6x4AaABAg.8sYfCNysqHb8s_-O3hZfxe,0,4 years ago,this is a traditional chinese snack.。it is a string of wild fruits strung with bamboo sticks and then glued with maltose。it has been recorded since the song dynasty。,这是一种传统的中国零食。
28088,UgxLwIcMb8vM2w6ohuZ4AaABAg.8yp7CHdQ5-18yqaLWMdP61,0,3 years ago,i heard that this is the same. the video is very delicate. some lifestyles are completely deliberately pursuing traditional life from today's china. but it is undeniable that it looks really pleasing to the eye. it is an ideal life pursued under the pressure of modern people!,轻王权 我也听说是这样。视频拍的很精致，一些生活方式从今天的中国来看，是完完全全刻意追求传统生活的。但不可否认，看起来确实赏心悦目，是现代人工作压力下追求的理想生活了！
21200,Ugyg1USHW4pZOO14yPZ4AaABAg.93vDXHWAZ2F93vG101cNbQ,0,3 years ago,"do you understand art? isn't it a work that describes suffering? chinese traditional art has always discovered beauty and creation in a difficult life. do you think the pastoral beauty described in ancient poems is realistic? and don't think that the government will participate in this kind of private creation with such a little trouble. government staff's work standards have always been ""not wrong"", not to ""see"", so popular popular works on the internet are privately created, including li ziyi's works.",你懂艺术吗？不是描写苦难的作品，就不能发表吗？中国的传统艺术，从来都是在艰难的生活中发现美、创造美。古诗中描写的田园美景，你以为就是写实的吗？而且别以为政府会参和这种小打小闹的私人创作。政府工作人员的工作准则从来都是“不出错”，而不是让群众“喜闻乐见”，所以网上受欢迎的流行作品，都是私人创作的，包括李子柒的作品。
27678,UgzAxJaflnoUJCGjIGt4AaABAg,0,3 years ago,"hey where are the french friends? i am happy to meet you in this region of comment, liziqi is a traditional girl who comes from china, she presents to you what is the most real about chinese culture, it is better that you forget false western news.่ฎฉ ไธ–็• ็ๅฐ ไธญๅฝ ๆ–ๅ– ็ ๅ้",嘿，法国朋友在哪里？我很高兴在这个评论领域认识您，Liziqi是来自中国的传统女孩，她向您介绍了中国文化最真实的是什么，最好是忘记虚假的西方新闻。让世界看到中国文化的
21615,Ugxl04psn6EJIlonuWN4AaABAg.93Turk74VEU93Ve6Q5QGnw,0,3 years ago,"@sofiamidkiff7644 www.ncbi.nlm.nih.gov/pmc/articles/pmc4808959 then search popcorn on that article. it says as traditional popcorn machines in china are made from lead alloy and high temperatures cab release lead vapors, the lead levels in chinese traditionally made popcorn can be elevated. meant no disrespect as i have eaten it too until i got a closer look at the machine and learned more",@sofiamidkiff7644 www.ncbi.nlm.nih.gov/pmc/articles/pmc4808959，然后在该文章中搜索爆米花。它说，由于中国的传统爆米花机是由铅合金制成的，驾驶室释放铅蒸气，因此中国传统上制造的爆米花的铅含量可以提升。在我仔细观察机器并学到更多之前，我也没有尊重它，因为我也吃了它
26819,UgxZMXKuLmwRP1HxCdt4AaABAg,0,3 years ago,"cool, cook traditional japanese -style cuisine. i like see your video..good๐‘๐‘ women japan strong ๐’ช๐’ช",凉爽，烹饪传统的日式美食。我喜欢看你的视频。
22414,Ugzb-Eb0rhuUJ4GJLPx4AaABAg.92wQUGWrVxQ93254ORHGFp,0,3 years ago,"it is sand, not soil. fry the sand first to make it hot, and then put in the peanuts so that the hot sand can help frying the peanuts evenly.
this is the traditional way to fry peanuts.","它是沙子，而不是土壤。首先要炸沙以使其变热，然后放入花生中，以便热沙可以均匀地炒花生。
这是炸花生的传统方式。"
22633,UgyNtoEik4MxwMKEOl54AaABAg,0,3 years ago,"it reminds me so many memories while i am still a child living in a small chinese village. those scenes, fruits, traditional food and equipment could be seen in that time. people carries them walk through villages to earn little money for a simple living, send their children to school with the money, they sell sugar, popcorn to kids play on the open ground, feel like spring festival.......but now, we are surrounded by enormous commodities, yet we never feel that kind of happiness when we put a small sugar into our mouth",当我还是一个住在一个中国小村庄的孩子时，它使我想起了很多回忆。在那个时候，可以看到这些场景，水果，传统食品和设备。人们带着他们走过村庄，赚了很少的钱来以简单的生活，将孩子们送去上学，他们出售糖，爆米花给孩子们在开放的地面上玩，感觉就像春节........但现在，我们被巨大的商品所包围，但是当我们将小糖放入嘴里时，我们永远不会感到幸福
22644,UgxK3r_oT2VQLdcCHFZ4AaABAg.92pimCBlCp892sDo8Nhl62,0,3 years ago,"now that we write traditional characters, we all understand as mentally retarded, either bay bay or a fool in hong kong.",现在写繁体字的我们都理解为智障，不是湾湾就是香港傻逼
24132,Ugx_TZ7L9ZSeJcBAbId4AaABAg.91U9KIRGN8y92PI9VH1ezw,0,3 years ago,@hasdhajohn8267 chinese traditional art can bring private living people to attack and start noisy politics,@hasdhajohn8267 中国人传统艺能 夹带私活的人要攻进来开始吵政治了
