,cid,votes,time,含garden,含garden中文翻译
12599,UgxS2BiFJbbDjwmFiyJ4AaABAg,0,3 years ago,"oh, why can she plant so beautiful vegetable gardens, the video is so good, no criticism at any point, just want to see her",哦，为什么她可以种如此美丽的菜园，视频是如此的好，在任何时候都没有批评，只是想见她
12695,UgyFmL8NFomUv4dh2gp4AaABAg,0,3 years ago,ah we have a lot of purslane in the u.s. but people don't eat it even though it is very healthy. if i could find some i'd try to replant it in my garden,啊，我们在美国有很多curo的球架，但即使它非常健康，人们也不会吃它。如果我能找到一些，我会尝试在我的花园里重新种植它
12882,UgzvzXk3hE-YiE0e_0V4AaABAg,0,3 years ago,"hi liziqi, i really enjoy your videos.. they're very relaxing.. can we have a video about a tour in your garden? i'm planning to have a garden similar to yours after my baby's born, i'm want to plant some fruit trees as well as some veggies so that i can feed my family fresh and healthy food like you",嗨，利兹奇，我真的很喜欢你的视频..他们很放松..我们可以在您的花园里有一个有关游览的视频吗？我打算在宝宝出生后有一个与您的花园相似的花园，我想种一些果树以及一些蔬菜，以便我可以像您这样的家人新鲜健康的食物
13339,Ugw4uciVL3ahmMOqtlF4AaABAg,0,3 years ago (edited),"with that lady ! foods seemed to be like heaven . growth your own vegetable , raised your own livestock, cooked your food from your garden and farm. 
beautiful living .","和那个女士！食物似乎就像天堂。生长自己的蔬菜，饲养自己的牲畜，从花园和农场里煮食物。
美丽的生活。"
13652,UgxKjqiSJpU7t_RvYKJ4AaABAg,0,3 years ago (edited),"have any americans tired gardening for at least two months...before dreaming about life like that...you work all day long...so many naive female comments...you can't even eat a garlic...not adding you would smell all day long from sweating and smoke...etc...plus..to all naive...it is impossible to take care of, or to have a garden like that by one person...every gardener knows this..who has a first job.etc.. not to mention the smell of the poo of the animals that are there..but the manure is not recorded..
but the other girl who records this fake life is a very good editor..
not to mention flying insects and flys..but the fermenting idea is wonderful..ps..there is no a/c there...but cooking still alive snails...i wouldn't do even i am a man...","有任何美国人疲倦的园艺至少两个月...在梦想着这样的生活之前……你整天都在工作...这么多天真的女性评论...你甚至不能吃大蒜...补充说，您会整天从出汗和烟雾中闻起来...等...知道这一点..谁有第一份工作。
但是，记录这种虚假生活的另一个女孩是一位非常好的编辑。
更不用说飞行的昆虫和飞蝇了..但是发酵的想法很棒。 。"
13655,UgwEdg-i94sN6SZk-Tl4AaABAg,0,3 years ago,do you live in the garden of eden?,你住在伊甸园吗？
13720,UgyjVZU42IejLU0Hf2R4AaABAg,0,3 years ago,"organic cooking style. from pot to jar, fire to dish, water to shell, crockaries, spoon everything is natural. ceramic cooking pot, wooden table everything is simply natural. when watching her video i forget myself. her video take into me with her. her villege, nature, garden, yard. this is so deeply related with nature. crystal water even its sound when she washes her foot. i forget myself. i went into the nature and her villege. even her yard. thanks your beautiful video.",有机烹饪风格。从锅到罐子，开火到盘子，水到外壳，crockaries，勺子一切都是自然的。陶瓷烹饪锅，木桌一切都是自然的。观看她的视频时，我忘记了自己。她的视频和她一起吸引了我。她的村庄，自然，花园，院子。这与自然密切相关。当她洗脚时，水晶水甚至声音。我忘了自己。我进入了大自然和她的病人。甚至她的院子。谢谢你美丽的视频。
13833,UgxldieEhf7eRgELn054AaABAg,0,3 years ago (edited),i have never had snails but dang that looks so good... your gardens are amazing... i am enjoying watching your videos and so is my hubby.. thanks so much for the time..,我从来没有蜗牛，但是看起来很不错...您的花园很棒...我很喜欢看您的视频，所以我的丈夫也是如此。。。非常感谢。
13860,UgziALFFypcbNoNIH9F4AaABAg,0,3 years ago,liziqi i'm so good. my vegetable garden is so good. i show you how to grow vegetables with.,liziqi我真好。我的菜园太好了。我向您展示如何种植蔬菜。
14174,Ugwwje7UxEZydDJKwVB4AaABAg,0,3 years ago,"i like your garden very much,that is my dream in my life and also many food that fine there.",我非常喜欢您的花园，这是我一生中的梦想，那里也可以很好地使用。
14355,Ugw1VzOqO0zX_dfp3kJ4AaABAg,0,3 years ago,mmmmmm i like your garden and walk barefoot that beautiful,嗯，我喜欢你的花园，赤脚走路那个美丽
17299,UgzNwunajL4UILKvNKd4AaABAg,0,3 years ago,i want to see her. i want to go to see her garden.,我想见她。我想去看她的花园。
14364,UgxwKhLTrxOPstD_wQR4AaABAg,0,3 years ago (edited),"i discovered your videos two days ago-i have been doing a marathon. i celebrated chinese new year today and went to find some authentic chinese food that was nothing like your meals. i went outside and tried to fix my failing garden. you gave me hope i can try again and make it happen. all of it. i’ve made big furniture pieces myself w wood and twine, and i have some farm experience...but you tied it all together. i tip my hat to you sister. i have my own youtube show i just started about my fashion line and i am so re-inspired. i can watch you for hours. from so. california i want to say thank you being bold, in charge and making the simple life contemporary and very well desired.",我两天前发现了您的视频 - 我一直在参加马拉松比赛。我今天庆祝农历新年，去寻找一些正宗的中国菜，这些菜与您的饭菜不一样。我出去试图修复失败的花园。您给我希望我可以再次尝试并实现它。所有的。我自己制作了大家具，木材和麻线，我有一些农场经验……但是你把它们都绑在一起了。我给你的妹妹给我帽子。我有自己的YouTube节目，我刚刚开始关于我的时尚系列，我是如此重新启发。我可以看你几个小时。来自这样。加利福尼亚，我想说的是，感谢您大胆，负责人，并使简单的生活当代和非常渴望。
14542,UgzcVZ16_nUq8At7xut4AaABAg,0,3 years ago,i want to visit her house n garden .....it's just amazing,我想去她的房子n花园.....真是太神奇了
14555,UgyfJf3K7L8NadShAfZ4AaABAg,0,3 years ago,how can you dry everything in air so freely?.. you dnt have concept of birds and monkeys in yr country? .. next time i want to see the corner in yr garden where you grow marijuana...,您如何自由地将空气中的所有东西晾干？ ..下次我想看看您种植大麻的拐角处...
14597,Ugy1-puAFAhu16xFuMt4AaABAg,0,3 years ago,everything i hear and see in her video is beautiful.. i wanted to have a garden(?) like hers.,我在她的视频中听到和看到的一切都很漂亮..我想拥有一个像她的花园（？）。
15132,UgyDd785tYvpzokfbIt4AaABAg,0,3 years ago,"8.16 million subscribers. i wonder how much she makes from youtube alone each month. she probable could hire a team of more than a dozen farmers to help. based on the amount of veggies growing in her garden/farm, she would need more than ten farmers. add to that other labor intensive work (based on the other videos), such as raising lamb for wool, harvesting the wool and cleaning/dyeing/spinning the wool which she used to knit a huge winter coat. i know i won't be able to do all those without help. while i enjoyed the videos and admire her capabilities, i enjoy my simple life without having to toil like her. another note: unless she is selling them, why does she cook so much food? harvest so much veggies put into jars to ferment - that would last her ten years of fermented veggies, etc., etc. overall, one needs more than the knowledge of ten phd's to do all what she is doing in these videos. congratulations to her, super woman/girl. for city girls, don't dream of living like her, just not practical or possible. enjoy your city life.",816万用户。我想知道她每个月独自从YouTube中赚多少钱。她可能会雇用一个由十几个农民组成的团队来提供帮助。根据在她的花园/农场种植的蔬菜数量，她需要十多名农民。再加上其他劳动密集型工作（基于其他视频），例如抬起羊毛的羔羊，收获羊毛，清洁/染色/旋转羊毛，她用来编织一件巨大的冬衣。我知道我将无需帮助。当我喜欢这些视频并欣赏她的能力时，我享受了简单的生活，而不必像她一样辛苦工作。另一个注意：除非她要出售它们，否则她为什么要煮这么多食物？收获太多的蔬菜将罐子放入发酵中 - 这将持续她十年的发酵蔬菜等。总的来说，一个人比十个博士学位的知识更需要做她在这些视频中所做的一切。恭喜她，超级女人/女孩。对于城市女孩来说，不要梦想像她一样生活，只是不切实际或可能。享受你的城市生活。
15296,UgxpPF1iDXOi6HrfqkJ4AaABAg,0,3 years ago,i envy her garden,我羡慕她的花园
15304,Ugze2ngPz_-VPbIndax4AaABAg.93JzQ2cg-xK94S-oX9_CTk,0,3 years ago,"in the treasure garden, baibaozhu, the category is better than the bustling city;",百宝园中百宝植，品类更胜繁华市；心驰神往盼相遇，立等拜师求一技。
15361,Ugx2bhZldjuBDcXJq7x4AaABAg,0,3 years ago,"woman gathered whatever shit from the garden, she stuck",女人收集了花园里的任何东西，她卡住了
15763,UgxMG-ZfDWYJ245BTC54AaABAg,0,3 years ago,"there is a vegetable garden at home, eating heaven ~",家里有个菜园子，吃货天堂～
15924,UgyJUkeaP5GLqmepKvx4AaABAg,0,3 years ago (edited),"from the idea of foraging fresh bamboo shoot which i have never had, to the brilliant fermenting clay pots, to the hearth broiled ashen pepper sauce, to the beautiful cowpea garden, to the way you fry bits of dry soy bean curd... as someone who used to live in an american chinatown and is picking up on asian cooking techniques i was amazingly inspired and impressed by this video. you are a wonderful person.",从觅食我从未有过的新鲜竹芽的想法，到鲜艳的发酵粘土锅，到炉烤胡椒酱，到美丽的牛皮花园，再到您炸干豆豆豆豆的方式...一个曾经住在美国唐人街并且正在接受亚洲烹饪技术的人，这段视频给我留下了深刻的印象。你是一个很棒的人。
16208,Ugz_FWPZ9hCyl8Esp694AaABAg,0,3 years ago,"what wealth. how peaceful it is to say, ""let's go get some food"" but not in the restaurant rather directly from the garden. i want my own farm too. how peaceful. love lots. shi shi.",什么财富。说：“让我们去吃东西”是多么宁静，但不是直接从花园里的餐厅里。我也想要自己的农场。多么和平。爱很多。什什。
16434,Ugx7Ij-IxdMARoBoHG94AaABAg,0,3 years ago,she plucked allthose veggies from her garden or its a community type garden...i dont get it..m,她从花园或一个社区类型的花园里拔出了全菜的蔬菜...我不明白。
16459,UgygEkwtXR3W-N4oxLp4AaABAg,0,3 years ago,omg you cooking and your garden look just out of this world amazing...,天哪，你做饭，花园外观刚好这个世界惊人...
35018,UgylSLSQl-ce6F2IjdZ4AaABAg,0,3 years ago,i want see your gardens please visit,我想看你的花园，请参观
