,cid,votes,time,含fake,含fake中文翻译
30538,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xYh2o714CX,0,3 years ago,"@hongweigeng5546 hey, you know what, that guy is exactly correct! because we are here at youtube, so everything bad about china is true, and everything good is fake and is sponsored by the chinese government! everything is just a show! i mean, millions, if not billions, of videos saying good things on different aspects of china, made by different youtubers from all kinds of countries, are all just manipulated by the chinese government! this is so scary! omg! no wonder trump wanna fight a trade war with china! oh donald trump you are our hero, you are the saver of this world! ;)",@hongweigeng5546嘿，你知道吗，那个家伙是正确的！因为我们在YouTube上，所以关于中国的一切都是真实的，一切都是假的，是中国政府赞助的！一切只是一个节目！我的意思是，数以百万计的视频（即使不是数十亿美元）在中国政府的各种Youtuber制造的各个国家的不同方面都说出了好事，而中国政府都在操纵中！这太可怕了！我的天啊！难怪特朗普想与中国进行贸易战！哦，唐纳德·特朗普（Donald Trump），您是我们的英雄，您是这个世界的节省者！ ）
30034,Ugy-T2R8gorn8TFFqaF4AaABAg,0,3 years ago,that's so fake,太假了
9941,UgzP4Ze5G4c6Hk9dmfd4AaABAg,0,2 years ago,"my review about doctor mohammed herpes cure. thank god i gave him a chance to cure me, i saw so many comments about him on the cure of herpes virus and other diseases and infection, this man is 100% real. well. i notice there are still other fake doctors on line which they have scam me before, thank god for coming across doctor mohammed facebook page which www.facebook.com/herpes-cure-with-herbal-medicine-643324002519440 i am perfectly cured from the virus and my result came out negative after taking doctor mohammed herbal medicine for weeks. you can also contact him on whatsapp/chat +2349036036397 email herbalcure12@gmail.com this cure is real, i can not keep this healing to myself because i know a lot of people are dying silently of this virus thinking there is no cure. i have been scam several time so i do not want you to fall victim of those fake doctor outside there that is why i refer you to the right doctor which is doctor mohammed .....................",我关于穆罕默德疱疹医生治愈的评论。谢天谢地，我给了他一个治愈我的机会，我看到了很多关于他治愈疱疹病毒以及其他疾病和感染的评论，这个人是100％真实的。出色地。我注意到他们之前还有其他假医生，他们以前曾曾骗过我，感谢上帝遇到了穆罕默德Facebook医生，www.facebook.com/herpes-cure-with-with-herbal-medicine-64324002519440我从病毒和我的结果在服用穆罕默德医生几周后就呈阴性。您还可以通过WhatsApp/CHAP +2349036036397与他联系，电子邮件herbalcure12@gmail.com这种治疗是真实的，我无法对自己进行治疗，因为我知道很多人都默默地静静地垂死着这种病毒，以为没有治愈方法。我曾经骗过几次骗局，所以我不希望您成为外面那些假医生的受害者，这就是为什么我将您推荐给合适的医生，这是穆罕默德医生.................................... ......
10154,Ugylsi-nRxT2KbArufh4AaABAg,0,2 years ago,love the videos but they are fake. just know this is not real.,喜欢这些视频，但它们是假的。只知道这不是真实的。
29072,Ugxaxlt53tc935zxNCZ4AaABAg,0,3 years ago,"thanks to the director and production team! try it, really throw her in such an environment, see how long it can live ... too fake ...! intersection",应该感谢编导和制作团队！试试看，真的把她丢在这样的环境生活，看她能活多久……太假了吧……！！
28083,UgxLwIcMb8vM2w6ohuZ4AaABAg,0,3 years ago,her videos are fake.this is what i want to say as chinese.we know she had a team to do these,她的视频是假的。这就是我想说的话。我们知道她有一个团队来做这些
10487,UgyODtH68ZR4SrMbNB14AaABAg,0,2 years ago (edited),it looks so fake when she jumps after the popcorns popped,当她在爆米花爆发后跳跃时看起来很虚假
27350,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB949nHPRujlk,0,3 years ago,"@itrashcant7947 i was fake story, i'm almost certain. come from vietnamese ๐",@itrashcant7947我是虚假的故事，我几乎可以肯定。来自越南
27349,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9492bByw7XI,0,3 years ago,sounds fake but still a charming story,听起来是假的，但仍然是一个迷人的故事
10632,UgxvYpjirvsYY0sBPUt4AaABAg,0,2 years ago (edited),"i don't know why, but it feels fake. great video, warm and beautiful but something about it doesn't feel right",我不知道为什么，但是感觉很伪造。精彩的视频，温暖而美丽，但关于它的感觉不正确
11794,UgwIKFHqsTfOvMrAAvp4AaABAg,0,2 years ago (edited),"i can't explain exactly why i don't like her videos. don't hate it though. i was born and raised in rual china not far from her hometown, 2h drive maybe. this looks familiar, but is not what i experienced. as an amature photographer, i know good shooting skill can make it looks great while keep it real. but i still think it's fake, it's more like staged acting (a well made tv series), and it was made for profit. maybe that's why i don't like it. you can still have a good glimpse of what country life is like in rural china, though it is usually worse than what it looks in her video.",我无法确切解释为什么我不喜欢她的视频。虽然不要讨厌。我是在距离她家乡2小时车程不远的Rual China出生和长大的。这看起来很熟悉，但不是我经历的。作为一名伪造的摄影师，我知道好的拍摄技巧可以使其看起来很棒，同时保持真实。但是我仍然认为这是假的，它更像是演戏（制作精良的电视连续剧），并且是为了盈利而造成的。也许这就是为什么我不喜欢它。您仍然可以很好地了解中国农村地区的乡村生活，尽管通常比她的视频看起来还差。
12396,UgyuDAwUOTBp3b7JIud4AaABAg,0,2 years ago,"while i was all set to like this because of her hard work ideal rural living beautiful kitchen set up etc the fact that she didn't give a damn even a wee bit of love (even if it were fake for atleast video purposes) to those adorable pups, i ll be one of those dislikers!! i am convinced she raises those lamb and dogs and others animals for food",虽然我全都喜欢这样，因为她的辛勤工作理想的乡村生活美丽的厨房设置等等，她甚至没有给那些人该死的一点点爱（即使是为了至少是为了至关重要的视频目的是假的）可爱的幼犬，我将成为那些不喜欢的人之一！我坚信她抚养了那些羔羊，狗和其他动物作为食物
27009,UgytoADga1YV3fmneu94AaABAg,0,3 years ago,"for a woman who did so much of tough works, her fingers are surprisingly soft and pretty. 
i am not saying the video itโ€s total fake, but it is definitely scripted, very well written each steps, and the camera shooting were above professional, i am not surprised if thereโ€s a professional team behind this video, and a much older experienced person to teach her how to do. and she probably had some experiences of her own and she learnt quick, she was pretty skillful in the video you can see. but the quality of the filming, the flow make it hard to believe that thereโ€s no golden production team behind its making","对于一个做很多艰苦工作的女人来说，她的手指令人惊讶地柔软而漂亮。
我并不是说视频是完全假的，但是它肯定是脚本的，每个步骤都写得很好，而且相机拍摄均高于专业，如果此视频背后有专业团队，我并不感到惊讶，还有一个老年经验丰富的人来教她怎么做。她可能有自己的经历，她学得很快，她在您可以看到的视频中非常熟练。但是拍摄的质量，流程使很难相信其制作背后没有黄金制作团队"
26784,UgwS3HA5d7NkDxe0xah4AaABAg,0,3 years ago,fake,伪造的
13419,Ugy1r1ukYlGOCEX02C94AaABAg.9BoMps1mmw-9CoLkn8AWwd,0,2 years ago,@windylj whatttt so the great wall of china is fake ?,@Windylj Whatttt，中国的长城是假的？
26170,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-qQn8WaRZD,0,3 years ago,"as a students who studied around yangzi river but never been poisoned by air around, as a young generation growing in a village and now have access to further my study aboard, sorry i do cannot feel what you feel, and cannot understand why when you saw a popular video about china, you have to show your opinion and say ""all must be fake! because it's too beauty to fit my experience and imagine"", so curious about your guys' motivation hhh. i have no expectation for guys like you can see the different of china with real understand(actually i don't think you would like to spend time on learning rather than browsing the video and make emotional comments) and without biases. but plz keep enjoying your life outside china and mind your own business, anyway, thank your for your visitor's opinion",作为一个在扬齐河周围学习但从未被空气中毒的学生，因为一个年轻一代在一个村庄里成长，现在可以进一步进入我的学习，对不起，我确实无法感受到您的感觉，并且当您看到时为什么不明白为什么关于中国的热门视频，您必须表达自己的意见，并说“所有人都必须是假的！因为适合我的经历和想象太美了”，对你们的动机很好奇。我对像您这样的人都没有期待，可以看到中国的不同理解（实际上，我认为您不想花时间学习而不是浏览视频并发表情感评论），而没有偏见。但是，无论如何，请继续享受中国以外的生活并注意自己的生意，感谢您的意见
26156,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-UcmTKoGAn,0,3 years ago,"bunnyfreakz the company behind her made this fake image of her living country life, it is ok the company make millions but it is really not ok for this company to make lies and spend millions to make even big lies cover the truth, for what, for even more million. not simply at all., wake up , people!",BunnyFreakz在她身后的公司制作了她的生活乡村生活的这张假形象，这家公司赚了数百万美元，但是这家公司做出谎言并花费数百万美元以大谎言涵盖了真理，这是真的，这是不对的。甚至更多。不仅仅是醒来，人们！
26151,UgwQdehRp_7a7Gz3Xz94AaABAg.8zoNNAQmde-9-UaUqqaCQS,0,3 years ago,"chaohua zeng, don't be disgusting, talk about the sun, ms. fan is also ""waiting for you in the sun"". do you lie to you? are you afraid of being fake? the fake one is to be afraid of people, right, right? say sympathy yourself, sing praise to deceive.",Chaohua Zeng 别恶心死人了，谈什么阳光，范小姐也是在“阳光下等你了”. 你骗你的，还由不得人说真相吗，为了几个臭钱. 装逼装到国际，是真的害怕被人说成假的的吗？ 假的就是怕人捅穿对吧？ 同情你自己吧，为欺骗唱赞歌.
2094,Ugw-Ue50cmSabJQfLqt4AaABAg,0,1 year ago,"do not from the sky. renewal (life of life, memory, time), objectized thinking (mirror opposite, ability to oppose, confrontation of mind, messenger and non -me), self -consciousness, is a trap. (no matter who sets the trap. no matter it is related to the second law of thermodynamics.) it is a robbery.
the diversity of life is complicated, so that ""the mirror is unchanged, and the phase variant is unchanged. so as a rosary."" i, i, i, ... "". is it inevitable? is it considered a progress or evolution, and there is no need for discussion. (even science is fans. fans from all walks of life can't offend)
with me, i lost my own (so -called me, my self -definition: i have it, there is no need to read me.)
freedom often, no need to find.
riding a donkey to find a donkey, looking for his head, anxiety, nervousness, and pain (to crazy). this should be a common sense and cannot be avoided. even if you do n’t go to the school to receive instilling (the ancient and modern chinese and foreign instills are paste, big witch and small witch, fifty steps and hundred steps, the same), and being named by the parents at the “niang gow”. essence
this may be the price that the so -called civilized progress (or the so -called prosperity development) must be paid.
the concept noun, according to ""a brief history of humanity"", is a powerful weapon for the wins of the homo sapiens.
it now appears that this is a double -edged sword.
human beings are about to (or have already) so crazy to destroy this world (this prison, this corner field, the fighter field)
anyway, each ownership (there are all kinds of promises. including nothingness, or even absurdity, each have their own fans.)
go to see marx, go to see the ancestors .......
the so -called conflict of civilization is not just the dispute between the conceptual dispute, the mixed geographical skin color and even the habit of dispute, etc.
there are unified thoughts, standardization, simplification, part -time, systematic, modern, and global blessings. these war machines cannot stop.
this may be a disaster that will usher in the evolution of life.
i got a hint from a great place many years ago. unexpectedly, it is so obvious now. (at least for me, it is obvious)
the effort to try to try with the mud has long failed, but now it has been verified that this is basically a car.
let's practice it. only practice.
xin zhai did not, the cliffs were scattered, and he fell into the darkness at all, admitting ignorance. (from a song from pu shu)
or can get new life. heaven and man are one, and the tao is not out of the foreigner. it is often sufficient. as a result, calmly, facing the ending of life and even the universe.
(but pay attention: unequal mind and easy to enter the magic.)

renewal: continuity. it was mainly inspired by the story of the knowledge of knowledge (good and evil differences) by the temptation of the snake.
some people say that adam's original sin originated from eve's lying. in fact, there is no snake, it is eve to seduce adam himself.
i wrote a short article to refute this absurd interpretation. (yi zhongtian believes that this snake is related to reproductive worship. it is more than this more than this.)
see ""adam's original sin (eve did not lie)"" 6park.com
""diamond sutra"": ""no one, no one, no one, no beings, no life.""
generally explained as equal treatment. not bad. but what is the ""life""?
some people say that it is a fake word of ""suffering"", and those who have no sufferings depends on the appearance of through the body. it is also easy to say, but it is not coherent with the context.
i think: the so -called life, regardless of longevity and shortevity, and those who have a life span. (not only beings, not life, but also life.)
the actual feiya is not moving, fang sheng fang died, fang dead fangsheng (zhuangzi) has a life span, which is the illusion or illusion that memory brings us (like visual retention) 6park.com
regarding memory phase and time, please see ""congenital first reason (background and source)"" 6park.com
regarding the trap of objectization thinking and self -consciousness, please see ""objective thinking (self -conscious trap)"" 6park.com
mirror opposite is a metaphor, which is more important. it can be said: everyone (even all perception sentient beings) is a bright mirror that is the same.
(the dimension is pushed. we are a two -dimensional plane in front of us. it is not three -dimensional. three -dimensional logic from our straight logic. what we see is illusion. we can't see the actual space. it's bent.)
including the body, it is just a mirror image.
where did this sensory mirror come from? no one knows.
at least i don't know, i can only guess. at present, my recommended conjecture is: energy conservation, energy first.
if you have energy, you must light up your consciousness, and even the so -called non -organism. it is definitely not self -conscious, or even if it is, it is extremely vague and extremely unstable. 6park.com
the metaphor of a rosary, like snakes, seduces selfish self -cultivation.
on one occasion, a netizen asked me: why did he feel that he had many previous lives and died in the same nanjing massacre.
i made an analogy. zhuangzi: fang sheng is dead, fang dead. for example, the mahjong card stacked together.
the difference is just stacked neatly. there is still the next life, and it still has to be empty and it is not worth pursuing. 6park.com
regarding the second law of thermodynamics, due to the lack of professional knowledge, it cannot be accurately judged. at present, it is considered that: uniform distribution is an orderly. the complexity and diverse life (each gene is different, including twins, including clones, there are somewhat places to copy wrong homework, and there is no mutation or evolution), which is disorderly.
therefore, there is no contradiction between the laws of thermodynamics and the evolution of species. it cannot be misleading because someone wrote this book or made a prophecy, thinking that the world should live like this, and it is better to destroy it. see the contradiction between the second law of thermodynamics and evolution? ""6park.com
if we face a disaster, we do not from heaven, the crazy from our own, and the cause is the self -loss that must be caused after self -awareness.
找不到真正的自己，必然要攀援（执着于镜中像，例如身体或金钱，笔杆子，刀把子，等等等等）或妄想（执着于对于镜的猜想，各种名词之争，以至于the so -called civilization conflict, at the expense of destroying this world, must also maintain your beliefs)
this may not be avoided. 6park.com
collective, it is mainly bad in the modernization of standardization industrialization.
the so -called civilization, the so -called cultural circle, has become a war machine that has become unified.
(western advocating personality is an illusion. actually, the family cannot standardize it into a screw, which is not conducive to industrialization. see ""another brick on the wall"")
this simple and orderly repeatting is a reactionaries that violate the heavens, not a variety of complicated life.
energy is conservative, life will not be cut off, and the big deal will change the form. the standardization of the systemic and the cold war machine will inevitably be destroyed.
i kept at the nuclear winter.
(genghis khan's war machine is also very ""modern"".
establish officers such as functions and so on. and the whole people can be equipped with a quota, without any troubles such as three crickets.
is the winner more advanced? ) 6park.com
(there is no determination to go to the end of the hundreds of millions of people, and there is no spirit of swallowing the ten directions in the lone peak, and talk about the real awakening.
even if it is a praying arm blocking the car, the wind is not shining anyway, try it again. .

personally, you can practice xinzhai's inaction and let the cliffs let it go.
dharma: foreign interest (let go of my persistence, like persistence), there is no breath in the heart (letting go of the law, the mirror persistence)
this is the mind, not in the external behavior, meditation or standing piles, running or sleeping, let alone practice unnecessary asceticism.
altar scriptures: there is no need for righteousness and evil. long extension lying on his feet.
one foot evil, that is, obsessed with foreign ministers, one foot is positive, that is, imagine the infinite perceptual body (it is too easy to enter the magic, because there is no difference between good and evil)
don't do the so -called good things, let alone do bad things (not chinese culture too much sauce cylinder, some people are dull by themselves)
the method of inaction is the principle of leverage, the alternative use of cathode and yang (see ""alternative application of leverage principles"")
be careful of all the so -called proofs, especially the sudden sensitivity, such as suffering from a sense of purity, sober, clear and clean ...
there is no need to do thousands of miles in life experience. this does not become a test, mainly depending on the inner and unequal (see ""equal equality and entering the magic"")","劫不从天外来。相续相（寿者相，记忆相，时间相）、对象化思维（镜像对立、能所对立、心物对立、我与非我的对立）、自我意识，是个陷阱。（无论是谁设的陷阱。无论与热力学第二定律有没有关系。）更是一个劫。
生命之多样复杂，以至于敏感到“像变镜不变，相变体不变。从而串起一条念珠。“我，我，我,.......”. 是不是演化的必然，算不算进步或进化，也没有讨论的必要。（连科学也是有粉丝的。各路粉丝都得罪不起）
有了个我，反而失去了本我（所谓本我，我的自我定义：本就有的，没必要念的我。）
自在常在，无须寻找。
骑驴找驴，迷头觅头，焦虑紧张烦恼痛苦（以至于疯狂），这应该是人之常情，也无法避免。即便不去学校接受灌输（古今中外灌输的都是浆糊，大巫小巫，五十步与百步，一样的），被父母指着“娘生褂”起个名字，就已经是迷失的开始了。
这也许是所谓文明进步（或所谓繁荣发展）必须付出的代价。
概念名词，据《人类简史》，是智人胜出的有力武器。
现在看来，这是柄双刃剑。
人类快要（或已经）疯到要不惜毁去这个世界（这个监狱，这个角斗场、斗兽场）
反正各有各的归属（各有各的应许之地。包括虚无，甚至荒诞，也各有各的粉丝。）
去见马克思，去见祖宗.......
所谓文明的冲突，不止于理念之争宗教之争，混杂了地域肤色甚至习惯之争等等等等
有统一思想、标准化、简单化、零件化、系统化、现代化、全球化的加持，这些战争机器是停不下来的。
这或许是生命演化出自我意识后，就必将迎来的一劫。
我很多年以前就从某位大能处得到暗示。没想到如今已如此明显。（至少对我来说已经很明显了）
试图和稀泥的努力早就失败，如今不过再次验证这基本上是螳臂当车。
还是实修吧。也只有实修了。
心斋无为，悬崖撒手，不惜坠入黑暗，承认无知。(出自朴树的一首歌）
或能获得新生。天人本一，道不外人，常在具足。从而自在从容，潇洒面对人生乃至宇宙的ending。
（但是要注意：心不平等易入魔。)

相续相：连续感。主要受夏娃被蛇诱惑吃了知识果（善恶分别果）的故事的启发。
有人说亚当的原罪源于夏娃的撒谎。其实没有蛇，是夏娃自己要诱惑亚当。
我曾写了篇短文反驳这种荒唐的解读。（易中天认为这蛇与生殖崇拜有关。也比这强了不止一点。）
参见《亚当的原罪（夏娃没有撒谎）》 6park.com
《金刚经》：“无我相，无人相，无众生相，无寿者相。”
一般解释为要平等对待。大抵不差。但何谓“寿者”？
有人说是“受”的通假字，无受者，就是说要看穿身体这个表相。也说得通，但与上下文不太连贯。
我认为：所谓寿者，不分长寿短寿，有寿命可计的都是寿者。（不仅是众生，非生命，也是寿者。）
而实际飞矢不动，方生方死，方死方生（庄子），有寿命可算，是记忆带给我们的错觉或幻象（好比视觉暂留） 6park.com
关于记忆相与时间相，请看《先天第一因（背景与源头）》 6park.com
关于对象化思维与自我意识陷阱，请看《对象化思维（自我意识陷阱）》 6park.com
镜像对立，是个比喻，比较重要。可以这么说：人人（乃至所有的知觉众生）都是一面同样圆满的明镜。
（维度是推想出来的。我们眼前是个二维的平面。不是立体的。三维来自我们笔直的逻辑。我们看到的是幻象。实际的空间我们看不到的。按物理学来说不是平直的是弯曲的。）
包括身体，都只是镜中像。
这个知觉镜到底从哪里来的，没人知道。
至少我不知道，只能猜。目前我比较推荐的猜想是：能量守恒，能量第一性。
有能量必然点亮知觉，连所谓的非生物也是一样。只是肯定没有自我意识，或即便有，也是极其模糊极其不稳定的。 6park.com
一串念珠这个比喻，和蛇一样，都是引诱人自私自利修来世的。
有一次，某位网友问我：为什么他觉得自己有很多前世，都是死于同一场南京大屠杀的。
我打了个比方。庄子：方生方死，方死方生。好比叠在一起的麻将牌。
区别只是叠得整齐不整齐。来世下面还有来世，还是要清空了重来，不值得追求。 6park.com
关于热力学第二定律，由于缺乏专业知识，无法准确判断。目前倾向于认为：均匀分布是一种有序。生命的复杂多样，（每个基因都不同，包括双胞胎，包括克隆，都多少有抄错作业的地方，没有变异就没有演化或进化），是一种无序。
因而，热力学定律与物种演化论并无矛盾。不能因为有人写了本书或做了个预言，就被误导，认为世人活该如此，毁灭了更好。参见《热力学第二定律与进化论矛盾吗？》 6park.com
如果我们面临一劫，不从天外来，来自我们自己的疯狂，究其因，就是自我意识产生后必然造成的自我迷失。
找不到真正的自己，必然要攀援（执着于镜中像，例如身体或金钱，笔杆子，刀把子，等等等等）或妄想（执着于对于镜的猜想，各种名词之争，以至于所谓文明的冲突，不惜毁了这个世界，也要维护自己的信念）
这未必不能避免。 6park.com
从集体来说，主要坏在标准化工业化现代化全球化，
所谓的文明，所谓的文化圈，已经各自成为统一了思想的战争机器。
（西方崇尚个性是个幻象，实际是家庭无法规范成一个个螺丝钉，不利于工业化。参见《墙上的另一块砖》）
这种简单有序的重复灌输才是违反天道的反动派，不是多样复杂的生命体。
能量守恒，生命不会断绝，大不了换个形态，标准化零件化体系化的热战或冷战机器必然覆灭。
自己不停就止于核冬天。
（成吉思汗的战争机器也很“现代化”，百夫长千夫长万夫长的连排制度，从各部落独立出人质建立近卫军，
以职能设立军官等等等等。而且全民皆兵，可以配给配额，没有三饷从哪里来之类的烦恼。
胜利者一定比较先进吗？） 6park.com
（没有虽亿万人吾往矣的决心，没有独居孤峰顶一口吞尽十方的气魄，奢谈真正的觉醒。
哪怕是螳臂挡车，反正风吹不动光，再试试吧。）

从个人来说，可以修习心斋无为，悬崖撒手。
达摩：外息诸缘（放开我执，像执），内心无喘（放下法执，镜执）
这是心法，不在于外在的行为，打坐还是站桩，跑步还是睡觉，更不要去修什么无谓的苦行。
坛经：正邪俱不用。长伸两脚卧。
一脚邪，即迷恋外相，一脚正，即想象无限大的觉性本体（过分了容易发狂入魔，因为本无大小善恶之分）
所谓好事都不要做，更不要说做坏事了（不是中国文化太酱缸，是有的人自己愚钝）
无为心法，是杠杆原理，阴极而阳的另类使用（参见《杠杆原理的另类应用》）
要小心一切所谓的证明，特别是突然过于敏感，例如突获清净感、清醒清晰干净......
人生历练不一定要行万里路。本不成为考验，主要看内心平等不平等（参见《心不平等易入魔》）"
